Speaker,Spanish (ES)
,Dos piezas blancas fueron puestas en el tablero.
,"... Las incontables piezas negras que las rodeaban estaban tan apretadas, que ya ni siquiera estaban colocadas en las casillas."
,"Entonces, {f:5:Bernkastel} tumbó las dos piezas blancas... y las retiró del tablero."
{f:5:Bernkastel},"""¿Está bien si lo termino ahí?"""
{f:5:Featherine},"""... Sí. Tu lectura verdaderamente deleita mis oídos, mi miko."""
{f:5:Bernkastel},"""Como deseabas, he arrancado incluso las partes más profundas de las entrañas. ¿Fue suficiente para que comprobaras tus respuestas?"""
{f:5:Featherine},"""Sí. Estoy muy satisfecha. Con la respuesta que has revelado como llave, regresaré a los relatos anteriores, abriendo las habitaciones cerradas como cofres del tesoro, una por una."""
{f:5:Featherine},"""... Es divertido encontrar la llave. Y es incluso más divertido insertarla en todos los candados. Lo has hecho bien, mi miko. A partir de aquí, me gustaría disfrutar mis pensamientos sola. Ha sido suficiente..."""
,"La Bruja del Teatro, el Drama y la Expectación se sentó en su mecedora, una sonrisa de satisfacción apareció en su cara, como si disfrutara de un agradable regusto."
,Ya no había necesidad de un tablero de juego.
,"Ella solo tenía que volver mentalmente a través de todos los relatos, para revisar si su teoría era correcta o incorrecta."
,"Parecía que esto la dejaba agradablemente embriagada, incluso mejor que el vino más caro..."
{f:5:Bernkastel},"""... ¿Terminaste conmigo?"""
{f:5:Featherine},"""Lo has hecho bien, mi miko. Te absuelvo de tus deberes... Volveré a mi sueño. Me gustaría disfrutar de este sueño placentero por unos pocos siglos más."""
{f:5:Featherine},"""Y cuando me canse de eso... encontrarás otro relato para mantenerme entretenida... Por esos siglos, que pasarán en un parpadeo, te otorgo tu libertad."""
{f:5:Featherine},"""Jejejejejeje... Muy bien hecho, {f:5:Bernkastel}, mi linda, linda miko..."""
{f:5:Bernkastel},"""... Eso no me concierne. Solo púdrete y muere, ¿vale? Hasta la vista, por toda la eternidad."""
{f:5:Featherine},"""¿Llamas a unos pocos siglos ""toda la eternidad""? *carcajada*carcajada*..."""
,La consciencia de {f:5:Featherine} se desvaneció lentamente.
,Mientras el sueño de la dueña del estudio se hacia más profundo... Las luces del mismo se oscurecían con lentitud.
{f:5:Bernkastel},"""Buenas noches por siempre, Auaurora... Ya no necesitas este tablero de juego. Lo tomaré."""
,"{f:5:Bernkastel} se acercó al tablero de Beato, que estaba en la mesa en frente de la mecedora de {f:5:Featherine}, y lo tocó dos veces."
,"El tablero y las piezas volaron por el aire, se doblaron y se guardaron solas, luego aterrizaron en la mano derecha de {f:5:Bernkastel}."
{f:5:Bernkastel},"""... Aún no he tenido la oportunidad de hacer de Game Master de verdad. Solo hice el funeral de Beato. Eso, y arrancar las entrañas... Aún no he hecho nada."""
,La sonrisa de {f:5:Bernkastel} se torció de forma malvada.
,"Entonces, el tablero flotó una vez más... y un mundo se desdobló sobre la palma de {f:5:Bernkastel}."
