Speaker,Spanish (ES)
,"En una gran cama se encontraban esparcidas gominolas de diferentes colores, y chocolates con forma de moneda."
,"Un tenedor estaba clavado en un pastel que se asomaba de una caja de regalo, y había jarras con bebidas de varios colores alineadas en la mesa de al lado."
,Pero el color venenoso de la bebida vertida en el vaso no coincidía con ninguna de las jarras.
,"Alguien probablemente había estado jugueteando, mezclando varias cosas juntas."
,"Era muy divertido de hacer, a pesar del sabor."
,Encima de la suave cama había varias almohadas coloridas que parecían sacadas de un sueño.
,"Y en esta cama que parecía sacada de los sueños de un niño, estaba {f:5:Bernkastel} tumbada boca abajo, y {f:5:Lambdadelta} tumbaba boca arriba, abrazando una almohada y relajándose..."
{f:5:Lambdadelta},"""Ajajajajajajaa, esta vez ha estado bastante emocionante, ¿no? Me preocupé de verdaaad cuando Beato dijo que detendría el juego."""
{f:5:Bernkastel},"""... Qué bruja más maleducada, mira que empezar un juego como este y luego intentar terminarlo tirándolo a la basura."""
{f:5:Lambdadelta},"""Ange fue una buena pieza, ¿no? Después de que Beato huyera, Ange la arrastró de vuelta e hizo que reanudara el juego. Aunque es una pena que haya entusiasmado demasiado a Battler."""
{f:5:Bernkastel},"""... Battler es débil con los temas emocionales."""
{f:5:Lambdadelta},"""Es cierto. Parecía que incluso podría dejarse ganar por Beato."""
{f:5:Bernkastel},"""... Basándome en el juego anterior, me inquietaba que empezara a sentir compasión por Beato y llevara el juego en una dirección extraña... Ange era una carta de triunfo para volver a encarrilar a Battler cuando se equivocara de objetivo."""
{f:5:Bernkastel},"""... Aunque me hubiera gustado que lo hubiese apoyado un poco más antes de lo que le pasó. Realmente tuvo una corta participación. Qué desperdicio para una pieza que requería tanta preparación."""
{f:5:Lambdadelta},"""¡Ejejjejeje! ¡Menos mal que estaba atada con la norma que le prohibía decir su nombre! De no ser por eso, el duo combinado de hermanos se habrían devorado a Beato en un abrir y cerrar de ojos."""
