Speaker,Spanish (ES)
{f:5:Bernkastel},"""... Lambda... ¿dónde estás?..."""
,Solo el haber sido forzada a decir eso fue como admitir mi derrota... y no me agradó.
,¿Por qué siempre es tan molesta y pegajosa cuando no la necesito... pero cuando la llamo no se digna a aparecer?
,¿Dónde... estoy?...
,"Había abandonado la catedral, enfadada porque el final había sido completamente predecible."
,... Había planeado encontrar una terraza con una fresca brisa nocturna... para matar el tiempo hasta que terminara aquel absurdo banquete de bodas..
{f:5:Bernkastel},"""... Es cierto que intenté encontrar algún lugar desolado para no tener que ver a la gente... pero esto ya es algo ridículo."""
,"Yo, la gran {f:5:Bernkastel}, estoy... ¿perdida?"
,Sí... los milagros no existen en este mundo.
,"Para crear un milagro, necesitas ""una cantidad de tiempo que jamás puede ser alcanzada"","
, un período de tiempo que no se diferencia de lo infinito.
,"Por eso, cuando algo que parece ser un milagro sucede en un lapso de tiempo menor a ese... no es un milagro... sino algo que sucedió por... las intenciones de alguien más."
,"En otras palabras, la razón por la que estoy en este pasillo... es porque alguien tuvo la intención de forzarme a estar aquí..."
{f:5:Bernkastel},"""... ¿Quién? ¿Quién podría haber logrado hacerme una broma tan compleja?... Parece que eres una persona bastante tímida... llamándome a un lugar tan desolado como este."""
,... Entonces... desde el otro extremo del oscuro pasillo... escuché un sonido.
,{a:c:*pisada*... *pisada*pisada*pisada*...}
,"Sonaba como si un animal pequeño, como un perro o un gato, estuviese caminando a paso ligero."
,"Ningún milagro podría provocar que un perro o un gato estuviese en un lugar como este.{n}Tal milagro no estaría ""permitido""."
,"Dado que esto no es un milagro, significa que estoy siendo guiada en esa dirección."
,... Muy bien. Puede que esto sea una nueva idea para mantenerme entretenida.
,"Si esto es una nueva broma de Lambda, voy a recompensarla cubriendo su cuerpo con miel utilizando mi lengua."
,... Y luego voy a clavarle sombrillitas de chocolate en los ojos mientras le digo que no vuelva a hacerlo.
,"La dirección por la que había escuchado el ruido... no solo estaba poco iluminada, sino estaba sumergida en la oscuridad."
,Sin embargo... pude sentir algo en esa oscuridad.
,... Había dos destellos verde esmeralda... probablemente los ojos de un gato. Los ojos de un gato negro que espiaba desde la oscuridad.
{f:5:Bernkastel},"""¿Eres el que me ha llamado aquí?... ¿O... solo eres el mensajero?..."""
,Cuando miré hacia mis pies... vi rojas huellas de gato que continuaban hacia donde estaban esos ojos felinos.
,"... Era perturbador, como si hubiese corrido hasta ese sitio con sus patas manchadas de sangre."
,"Cuando mis ojos se ajustaron a la oscuridad, incluso con la falta de luz, fui vagamente capaz de distinguir estas huellas rojas."
,... No es que brillaran ni nada... pero cumplieron su cometido de guiarme hacia delante perfectamente.
,{a:c:*pisada*pisada*pisada*pisada*...}
,Como si me estuviese diciendo que lo siguiera... el gato se dio la vuelta y corrió hacia la oscuridad.
,... ¿Qué es esto?... Algo me parece... muy extraño.
,Es una sensación que no tengo desde que comencé a llamarme la bruja más cruel del mundo.
,... No puedo recordar exactamente qué es este sentimiento.
,"De todas formas, para alguien tan cansada del aburrimiento como yo, es más divertido de esta forma."
