Speaker,Spanish (ES)
,"Es cierto. Solo una vez en el pasado, me sometí a un entrenamiento que debería haberme permitido entrar al mundo de las brujas."
,"Acepté que el único poder que podía salvarme de mi tristes y dolorosos días en la Academia Santa Lucía... era esa cosa llamada magia, y recibí una introducción de María onee‐chan sobre lo básico..."
Ushiromiya Ange,"""... Imagina... un espacio vasto... El panorama de cuando miré hacia abajo, a la base, desde la parada de descanso en la cima..."""
Ushiromiya Ange,"""... ¿Así?..."""
,Proyecté esa escena de un recuerdo en mi mundo mental.
,... Las chicas normales dejan de admirar a las brujas cuando dejan la escuela primaria.
,Así que entrenar para usar magia seriamente a esta edad... era vergonzoso incluso para mí.
,Pero incluso esa emoción de vergüenza se sintió placentera para mí ahora.
,"Ahora, estaba aprendiendo concentración mental de María onee-chan con el fin de usar la magia."
,"Pero no estaba saliendo muy bien... Era casi imposible, era como intentar enseñarle a una persona a mover sus orejas solo mostrándoselo..."
,Parece que necesitas imaginar un vasto espacio para ganar la concentración mental necesaria para usar magia.
,"Así que recordé los días en los que era más joven, cuando mi familia se había ido en un pequeño viaje, cuando miré hacia la base desde una plataforma de observación de la parada de descanso en la cima de una montaña, y traté de pintar ese panorama en mi mundo mental. "
Ushiromiya Maria,"""No, aún es demasiado pequeño. Imagina un espacio mucho, mucho más amplio. Y crea tu propio mundo mental."""
Ushiromiya Maria,"""Tu imagen aún es muy borrosa. No hay temperatura en el aire, y no hay viento. Tampoco olores. El mundo es muy débil aún... Puedes dejar eso para después, así que por ahora, imagina un espacio aun más amplio."""
Sakutarou,‘Uryu... ¿Por qué hay que imaginar un espacio vasto?’
Ushiromiya Maria,"""Desde que nacemos, los {y:0:Humanos}{n:0:humanos} tenemos dentro una toxina que bloquea la magia. Si esa toxina no es purificada, no puedes usar bien la magia... Un método efectivo para lograr esto es imaginar un vasto espacio."""
Ushiromiya Ange,"""... Justo ahora, pensé en el mundo como visto desde la ventana de un avión, pero no funcionó... No puedo ni pensar... en un mundo más vasto que eso."""
Sakutarou,"‘En ese caso, ¡María solo tiene que enseñarle a Ange sobre el vasto mundo que tiene!... ¿No haría eso que Ange pudiera imaginarlo más fácilmente? ¡Uryu!’"
Ushiromiya Ange,"""... Es cierto. Y, estoy interesada en la clase de mundo que Onee-chan imagina cuando usa la magia... También usaré eso como referencia."""
Ushiromiya Maria,"""Uu, no funcionará. El mundo mental debe ser vasto y aislado. Un mundo sin más obstrucciones que tú misma."""
Ushiromiya Maria,"""... Así que si le enseñas a alguien sobre ese mundo, ya no será aislado. Por eso no debes revelar tu mundo mental a nadie. Así que si dibujas un mundo mental, debes mantenerlo en secreto para ti misma."""
Sakutarou,"‘Uryu... Qué tacaña, María...’"
Ushiromiya Ange,"""Gracias, Sakutaro. Supongo que no hay atajos en el entrenamiento... Haré un esfuerzo. Está bien, ya me dieron muchas pistas."""
Sakutarou,"‘¡Uryu!... ¡Hazlo lo mejor que puedas, Ange!...’"
,"Había llegado a pensar que no podía ser salvada por algo como la magia.{n}Después de todo, la magia no existe en este mundo.{n}Esa clase de cosas supuestamente no son más que una ilusión, un delirio, un sueño."
,"... Sin embargo, María onee-chan había mostrado que podía llenar su propio mundo con felicidad usando ese poder que era imposible para mí."
