Speaker,Spanish (ES)
,Dos siluetas podían observarse en la capilla.{n}Un hermano mayor... y su hermana menor.
,"El hermano mayor que no regresaría jamás de aquel día doce años en el pasado, y su hermanita que esperó sola doce años en el futuro."
,"Sin embargo, el hermano mayor sabía todo, entendía todo.{n}Y la hermana menor no sabía nada, no entendía nada."
,"Así que, sin importar cuanto tiempo pasara, la hermana menor se mantuvo como la niña que había sido doce años antes."
,Se mantuvo como una niña de seis años por siempre...
,Sus sollozos encima del pecho de su hermano finalmente cesaron...
,Ahora esperaba tranquilamente sus próximas palabras.
,"Tras acariciar su cabeza gentilmente, el hermano mayor comenzó a buscar algo dentro del bolsillo de su camisa."
,"Eventualmente, sacó algo."
Ushiromiya Battler,"""¿Estás escuchando, Ange? Cuida bien esto."""
Ushiromiya Ange,"""... ¿Qué es?... ¿Una llave?..."""
,"Battler tomó de su bolsillo una gran llave unida a un collar, y se la entregó a Ange."
,"Era lo suficientemente grande como para cubrir la palma entera de Ange, y es probable que la pequeña no pudiese sujetarla bien con su mano."
,La llave tenía un brillo dorado a la vez que un hermoso y complejo diseño.
,Su peso por sí solo dejaba en claro que esta llave era algo muy importante.
,Battler puso el collar alrededor del cuello de Ange.
Ushiromiya Battler,"""Esta preciosa llave es solo tuya, Ange."""
Ushiromiya Ange,"""¿Para qué es?..."""
Ushiromiya Battler,"""El momento para usarla llegará pronto. Cuando lo haga, serás tú quien tome la decisión... ¿Entendido?"""
,"... Por supuesto, ella no tenía idea de lo que Battler estaba diciendo."
,"Pero sí comprendió que le estaba pidiendo que cuidara muy bien de esta llave. Así que Ange asintió, al menos como respuesta a esa parte."
,"En su mano, la llave se sentía pesada. Sin embargo, ahora que estaba alrededor de su cuello, se sentía tan ligera como un collar cualquiera."
,Qué extraño.
Ushiromiya Battler,"""Muy bien, vamos."""
Ushiromiya Ange,"""¿A dónde?..."""
,Ella estaba segura de que su hermano había estado a punto de sentarse.
,"Hace un segundo, le había dicho que le contaría lo que pasó en Rokkenjima aquel día."
,Pensó que se lo contaría aquí...
Ushiromiya Battler,"""Ese día, en aquella isla... ¿Qué ocurrió?"""
Ushiromiya Ange,"""¿No estabas por contármelo, onii-chan?"""
Ushiromiya Battler,"""Oh, lo haré. Contaré la historia y te dejaré escucharla... Sin embargo, podría ser la clase de cosa que no puedes sentir si es que la escuchas de alguien más."""
Ushiromiya Ange,"""... ¿A qué te refieres?"""
Ushiromiya Battler,"""Lo que realmente quieres... no es saber lo que pasó en esa isla aquel día."""
,"... Así que... realmente lo entiende, después de todo."
,¿Qué pasó en aquella isla ese día?
,"Intentar responder esa pregunta era todo lo que yo era capaz de hacer, así que no deseaba nada más."
,"... Pero, si pudiera..."
,Me... gustaría ir.
,A esa isla. Aquel día.
,"A Rokkenjima, en ese día no pude ir... a la mansión de la familia Ushiromiya."
,"Mamá y papá. Todos mis primos, mis familiares. Y... todos los demás."
,Quiero volver... a la isla en aquel día.
,"Así que me mantuve en la forma que tenía aquel día.{n}Mi corazón y alma se detuvieron, atrapados como los de una niña de seis años por siempre..."
Ushiromiya Ange,"""... Quiero volver."""
Ushiromiya Battler,"""Lo sé."""
Ushiromiya Ange,"""Mamá, papá, onii-chan. Todos... Quiero ir... donde están todos..."""
Ushiromiya Battler,"""Es por eso... que he decidido invitarte."""
Ushiromiya Ange,"""... ¿Eh?..."""
Ushiromiya Battler,"""Ahora soy el Game Master. Solo aquellos que conocen todo sobre el tablero pueden abrirlo e invitar piezas... Así que, te invitaré al tablero."""
Ushiromiya Ange,"""Me llevarás... a Rokkenjima... aquel día..."""
Ushiromiya Battler,"""Correcto. Te invitaré a la Rokkenjima de 1986."""
Ushiromiya Ange,"""¿Podré verlos? ¿A todos?..."""
Ushiromiya Battler,"""Por supuesto."""
Ushiromiya Ange,"""Incluso si... mi memoria está difusa... y no puedo recordar con claridad los rostros de ninguno..."""
Ushiromiya Battler,"""Lo recordarás dentro de poco... Y, aunque sea una reunión tras doce años para ti... solo habrá pasado un pequeño instante para el resto de nosotros... Todos te recibirán. Todos te darán la bienvenida de aquel futuro distante."""
Ushiromiya Ange,"""¿Podré... quedarme para siempre?"""
,"De este modo, podré estar con todos por siempre.{n}Esta es la meta que se supone que debo alcanzar..."
Ushiromiya Battler,"""Ange, escúchame atentamente."""
,Pero Battler habló en un tono serio.{n}Como si me advirtiera que dicho sueño no podría cumplirse...
Ushiromiya Battler,"""La conferencia familiar de Rokkenjima solo dura una noche. No obstante, el tifón impidió que el barco viniera ese día, así que se extendió una noche más."""
Ushiromiya Ange,"""Entonces, cuando el tifón pase... ¿tendré que abandonar la isla de nuevo?..."""
Ushiromiya Battler,"""... No exactamente. La decisión es tuya, Ange."""
Ushiromiya Ange,"""..."""
Ushiromiya Battler,"""Tienes que decidir eso por ti misma."""
,"... Entiendo, por supuesto."
,No existo en esa isla aquel día.
,El mero hecho de ser invitada así es un milagro.
,Solo los dos días antes de que el tifón pase. Solo tener esos dos días para mí ya es un milagro irrepetible.
,"Si soy codiciosa y pido más, ese tenue milagro podría esfumarse."
,"... Pero aunque pensara eso, mi joven corazón, que aún tenía 6 años, no estaba satisfecho con un milagro tan efímero..."
Ushiromiya Ange,"""No quiero irme."""
Ushiromiya Battler,"""... Lo sé."""
Ushiromiya Ange,"""Estaré con todos por siempre. Me quedaré con mi familia. Incluso si me dices que debo regresar... me quedaré en Rokkenjima."""
