Speaker,Spanish (ES)
,Una hermosa luz entraba desde la claraboya sobre la gran catedral.
,El lugar parecía de alguna manera diferente de como había sido durante el juicio de las brujas.{n}Las decoraciones habían cambiado.
,"Había varias cintas finas de un agradable blanco brillante, colgadas de un modo bonito en el aire."
,"Se dispusieron flores por todas partes, de una manera que haría que cualquier lugar pareciese alegre."
,Podrías asemejarlo a cómo una sola gota de agua impura puede echar a perder todo un barril de vino.
,"La simple presencia de las flores, cintas, y la alfombra roja que recorría el centro de la sala... hacía difícil creer que este era el mismo lugar en el que Ushiromiya Natsuhi había sido acusada falsamente de un crimen..."
,Realmente se había convertido... en una capilla para bodas.
,"""¡El amor es generoso, el amor es misericordioso!"""
,"""¡El amor no envidia, el amor no presume!"""
,"Estas palabras, pronunciadas por los dos demonios que parecían estar a cargo de esta reunión, fueron parte de una ceremonia para hacer un juramento de amor ante los ojos de Dios."
,"Por supuesto, en esta boda celebrada por demonios, no había ningún sacerdote a la vista.{n}En cambio, allí estaba la bruja que controla los milagros."
{f:5:Bernkastel},"""En la enfermedad y en la salud... Sí, el verdadero trabajo de una esposa es ser de apoyo en tiempos de enfermedad. ¿No es cierto, Erika?"""
Furudo Erika,"""... Sí. Mi ama..."""
{f:5:Bernkastel},"""Eso te queda bien. Qué conjunto adecuado para la que ha conquistado al novio.*risita*risita*risita*."""
Furudo Erika,"""Ejejejejejejejejeje. Me siento halagada, mi ama."""
,La novia de pie en el camino alfombrado... era Furudo Erika.{n}... El rostro del novio no se podía ver.
,"El conjunto de la novia era, sin duda, un vestido de novia blanco puro."
,El velo de la novia representaba tanto el blanco de las bendiciones de Dios... como el blanco de la crueldad de los demonios.
,"Un gran número de nobles cabras, brujas, y demonios fueron reunidos para esta boda."
,"Si tan solo sus cabezas no hubieran sido de cabras, probablemente habría parecido ser un grupo muy refinado digno de esta gran catedral..."
{f:5:Lambdadelta},"""... No esperaría menos de ti, Bern. Cada cosa que se te ocurre siempre termina siendo retorcida."""
{f:5:Bernkastel},"""Una mujer apoyando a su marido en dificultad... ¿No es eso maravilloso? Te pega, Erika."""
{f:5:Bernkastel},"""... Y... felicidades a usted también, Sr. Novio."""
,En ese momento... {f:5:Bernkastel} miró directamente a los ojos del novio.
,El novio... no respondió.
,Sus ojos eran grises.
,"... Sus labios murmuraban algo de vez en cuando, pero nadie sabía si las palabras significaban algo."
{f:5:Bernkastel},"{a:c:""Oigan... ¿{i:están escuchando}? ¿Todos ustedes?}"""
,"Ella le habló al novio en plural.{n}... Por supuesto, solo había un novio."
,"Y, desde luego, el novio de ojos grises no respondió..."
Furudo Erika,"""*risita*risita*risita*. Probablemente te oiga, pero no puede responder, ¿verdad?... No te preocupes, ¿de acuerdo, Battler-san?"""
Ushiromiya Battler,"""... Nn... gah..."""
Furudo Erika,"""Voy a tomar todo lo tuyo, y pisotearlo por todas partes... ¡¡*risita*risita*risita*!!"""
Furudo Erika,¡¡Ajajajajajajajaajajajajajaajajajajaja!!
,La Bruja de los Milagros se burló con una sonrisa malvada que haría que incluso los demonios desviaran su mirada.
,Ni siquiera ese desprecio... provocó respuesta alguna... de los oscuros ojos de Battler.
,"""¡La gente vive gracias al amor! Por lo tanto, hoy han cumplido con el propósito de sus vidas."""
,"""¡Oh, qué grande es el poder para vivir, el poder del amor!... ¡Rezo para que el brillo de este día bendiga a estos dos por todos los tiempos!"""
{f:5:Bernkastel},"""... Ya paren con eso, demonios. ¿Qué viene ahora?"""
,"""Ahora la pareja hará un juramento de amor eterno."""
,"""¡Después de eso, intercambiarán los anillos!..."""
,"En la mano de Battler... había un anillo con el sello del Águila de un Ala, una prueba de que él era el Lord Territorial de este mundo."
,Y en el dedo de Erika había un anillo de diamantes que no podía ser destruido por ningún milagro.
,"Los diamantes significan un 'vínculo eterno'.{n}Sin embargo, en griego, la palabra diamante simplemente significa 'irrompible'."
,Erika no estaba prometiendo amar para siempre a Battler.{n}Ella solo quería apropiarse de Battler para toda la eternidad.
,Esta boda se estaba realizando... con el único propósito de humillar a Battler.
Furudo Erika,"""... No te preocupes. No te amaré para siempre. Después de todo, la razón de esta ceremonia es que te sometas a mí... Tu corazón se quedará encerrado dentro de una habitación cerrada ineludible para siempre... donde yo, Furudo {f:5:Erika}, la detective y la Bruja de la Verdad, lo manipularé. Tu posición como Lord Territorial y tu anillo serán míos..."""
Ushiromiya Battler,"""... No... puedo..."""
Furudo Erika,"""... ¿Mmm? ¿Qué fue eso?"""
Ushiromiya Battler,"""... Nn... gah...... No puedo... escapar..."""
Furudo Erika,"""Mmf... ja... ¡jajajajajajajajaja!... Sí, apuesto a que no puedes salir de esa habitación cerrada. Después de todo, tú fuiste quien la creó. Sufrirás en esa habitación por toda la eternidad. Permaneceré a tu lado como tu esposa para siempre... y solo yo disfrutaré de esa cara angustiada que tienes."
Furudo Erika," *risita*risita*, ¡¡ajajajajajajajaja!!... ¡¡¡Te voy a deshonrar para siempre... Ushiromiya Battleeeeeeeeeeeeeeeeer!!!"""
