Speaker,Spanish (ES)
Ushiromiya Rosa,"""..."""
,Rosa se despertó de su letargo.
,Debe de haber sido un sueño muy profundo.{n}Su mente estaba confusa y no podía pensar con claridad.
,"¿Dónde estaba?...{n}Parecía una mansión, pero no parecía ser la mansión de la familia Ushiromiya."
,Estaba en una habitación que parecía un salón.
,Y había té preparado.{n}Estaba casi segura de que se había preparado para ella.
,Alrededor de la sala se veía algo parecido a hojas doradas brillantes que danzaban en el aire y transformaban la escena en algo fantástico.
,"Al final se dio cuenta de que eran mariposas doradas, lo que hizo que aquello resaltara aún más."
,Había alguien enfrente de ella.
,Una mujer. Una dama.
,La bruja... del retrato.
,Parecía que ella estaba teniendo una conversación unilateral.
,"Probablemente estaba hablando con Rosa, pero la mente de Rosa estaba nublada, y no tenía ni idea de lo que se decía..."
{f:5:Beatrice},"""Puede ser cualquier cosa. Si hay algo que desees, te lo concederé. Puedes considerarlo una recompensa por tu buena suerte, o como un intercambio por mis demandas."""
{f:5:Beatrice},"""Puede que no sea tan importante para ti. Pero esta es una transacción importante para mí."""
,¿De qué... está hablando?
,"No lo sé, no lo sé."
{f:5:Beatrice},"""Es solo que, considerando que {i:soy} una bruja, pienso que lo más sabio sería pedir algo que solo una bruja podría conceder."""
{f:5:Beatrice},"""¿No es esta una oportunidad única? ¡Podrás recibir un favor de {f:5:Beatrice} la Dorada. *carcajada*carcajada*!"""
Ushiromiya Rosa,"""U..."""
,"Finalmente, Rosa empezó a sentir la sangre fluir por su cuerpo.{n}Sus movimientos seguían siendo lentos y ni siquiera podía pronunciar las palabras que estaba pensando."
{f:5:Beatrice},"""Se me conoce comúnmente como la Bruja Dorada. Dar una montaña de oro, como la que le di a Kinzo, no es un problema para mí. Al fin y al cabo, todos los placeres del mundo humano pueden expresarse en términos de dinero. Dicho de otro modo, el oro es el placer humano en sí mismo."""
{f:5:Beatrice},"""¿Te lo imaginas? Una montaña de oro que no podrías ni gastar en toda tu vida."""
,"La bruja sopló su pipa, y siete colores de humo cubrieron la zona."
,"Cuando lo hizo, el interior del salón se llenó de repente de montones de lingotes de oro."
,Parecía una brillante pared dorada.
,"Si cada lingote vale decenas de millones de yenes, ¿cuánto valdría todo esto?"
,Me pareció pecaminoso siquiera pensar en esa cifra.
{f:5:Beatrice},"""Sin embargo, el mundo humano es difícil. Sé que hay cosas que no se pueden conseguir por muy alto que llegue tu montón de oro al cielo. Sé que hay grietas que no se pueden tapar."""
{f:5:Beatrice},"""No voy a quitarle importancia a eso, y de hecho, creo que es precisamente por eso que este es un regalo que solo una bruja como yo puede dar."""
{f:5:Beatrice},"""¿Por qué no relleno esas grietas por ti? Sí, ¿qué tal esto? Es algo que solo yo puedo dar. Deberías alegrarte mucho."""
{f:5:Beatrice},"""No hace falta que lo digas en voz alta. ¡Puedo entenderlo enseguida, las grietas de tu corazón están escritas en tu cara, *carcajada*carcajada*!"""
,"Rosa sintió una pizca de incomodidad ante esta bruja, quien seguía hablando a pesar de que ella misma no había pronunciado ni una sola palabra, pero como seguía sin poder hablar con claridad y le costaba aún más poder moverse, no podía hacer nada al respecto, y no era capaz de hacer otra cosa que no sea escuchar."
{f:5:Beatrice},"""¿Hasta dónde debo recorrer las profundas heridas de tu corazón para curarlas?"""
