Speaker,Spanish (ES)
,"El evento más importante para la familia Ushiromiya en otoño es la conferencia familiar en octubre, pero para Jessica, había otro antes de ese: el festival cultural de la escuela."
,A Jessica le gustaba mucho la escuela; para ella era un lugar donde podía descargar el estrés que había acumulado durante el estricto estilo de vida que se veía obligada a llevar en casa.
,"Para el festival cultural de hoy, ella había formado una banda con sus amigas, y tocarían pop-rock casual en un escenario provisorio."
,"Ella estuvo preparándose y practicando para ello, y tenía muchas ganas de que llegara el día de hoy, pero había una cosa que le preocupaba."
,"Ella miró al reloj. Todavía había un poco de tiempo, pero estaba inquieta."
,¿Él vendrá realmente?
,"Cuando estaba a punto de exhalar un suspiro para aliviar el estrés, su corazón dio un salto cuando todas sus amigas empezaron a hablar de repente con voces estridentes."
,"""¡¡No puede ser, el novio de Hina es un auténtico ga~lán!!"""
,"""¡Lo es totalmente, ¿verdad?! ¡Lo es totalmente, ¿verdad?!"""
,"""¡Rin, tu novio parece muy inteligente! ¡¿Así que es de los que parecen superlistos con gafas?! ¡¿O sea, en serio?!"""
,"""¡No hay forma, no hay forma, mi hombre es un gyaru-o!"""
,"""""""*risita*{p:0:♪} *risita*{p:0:♪}"""""""
,"No es que todas las chicas sean necesariamente así, pero al menos en la escuela de Jessica, el festival cultural era realmente una exhibición de novios."
,"Jessica no tenía un novio.{n}Tenía muchos amigos del sexo opuesto, pero ninguno en ""especial""."
,"Sin embargo, Jessica era un poco famosa en la escuela, y todos naturalmente esperaban que tuviera una pareja adecuada."
,"Además, su orgullo la había llevado a actuar como si ese fuese el caso."
,"Mediante su forma de actuar y de esquivar preguntas, se las había arreglado para mantener esa farsa hasta este año."
,"Pero por diversas razones, no había podido librarse del festival cultural de este año..."
,"""Jessie~. ¿Tu novio ya vino~?"""
Ushiromiya Jessica,"""¡¿Hweh?! Ah, ah, no, parece que aún no está aquí. ¿Tal vez está ocupado con su trabajo? Ajajajajajajajajajajaja..."""
,"""¿Qué clase de tipo es tu novio, Jessie? Al menos danos una pista. ¿Qué clase de tipo es? ¡¿Qué clase de tipo es?!"""
,"""¡Él es un increíble hombre trabajador, ¿verdad?! ¡¿Vendrá con un traje?! Por supuesto que va a llevar gafas deportivas, ¿verdad? ¡¡Kyaaa!!"""
,"""Eeeeeeey, pero la verdad es que no tienes uno, ¿no es así? ¡Si te sinceras ahora, te dejaré que te unas a mí! ¡Inundemos ambas este festival cultural con lágrimaaas!"""
Ushiromiya Jessica,"""No, no, no, ya lo dije, ya lo dije, se los dije, de verdad lo dije... ¡¡Ajajajajajajajajajajaja!!..."""
,"Jessica se rio torpemente, cubierta de sudor frío. Era muy dudoso que realmente hubiese engañado a sus avispadas amigas..."
Shannon,"""Ya veo. Entonces, ¿qué tal si se consigue un novio falso y lo lleva consigo?"""
Ushiromiya Jessica,"""¡¿F‐F‐Falso?! ¡¿A q‐quién?!... ¡No puedo pensar en nadie!..."""
,El ridículo plan de Shannon sorprendió mucho a Jessica.
,"Aun así, era un poco más realista que el irreal método que le rondaba por la cabeza acerca de conseguir un novio a toda prisa antes del día del festival cultural."
Shannon,"""Por ejemplo... ¿Qué tal Kanon-kun?"""
Ushiromiya Jessica,"""¡¿K‐K‐Kanon‐kuuuuuun?! ¡¡N‐N‐No hay manera!! Y de todos modos estoy segura de que Kanon-kun tendrá trabajo el día del festival. No quiero molestarlo y eso..."""
Shannon,"""No hay ningún problema, ya he revisado los horarios. Kanon-kun tiene ese día libre."""
