Speaker,Spanish (ES)
,Ya casi eran las diez de la noche.{n}El tifón ya había envuelto Rokkenjima.
,"Incluso el jardín de rosas que tan bello se había visto al mediodía, era azotado por el viento y resistía con todas sus fuerzas, ondulando e intentando que la flores no salieran volando..."
,"En ese jardín de rosas, con Shannon por delante, Battler, que llevaba un paraguas; Jessica; y María, que dormía en el hombro de George, se dirigían a la casa de huéspedes."
Ushiromiya Battler,"""Podemos ir solos a la casa de huéspedes desde aquí. Shannon-chan, no te preocupes, deberías volver y descansar."""
Shannon,"""No hay problema, cuidarlos es también mi deber..."""
Ushiromiya Jessica,"""La conferencia familiar continúa en el interior, y mamá y Genji-san estarán estresándose. Si te mantienes con nosotros demasiado tiempo, van a pensar que estás holgazaneando."""
Ushiromiya George,"""Tienes razón. Aceptar nuestra oferta podría ser la mejor forma de evitar ser una carga... Gracias, Shannon."""
Shannon,"""No es nada... Tal y como la Señorita ha dicho, hoy se palpa la tensión en el interior de la mansión. Por lo tanto, venir con ustedes me ha permitido tomar algo de aire fresco, y he podido relajarme un poco."""
Ushiromiya Battler,"""La conferencia familiar, eh... Teniendo en cuenta que se molestaron tanto en echarnos, estarán hablando de cosas desagradables."""
Ushiromiya George,"""Es probable. Seguramente no podamos hacer nada para ayudar. Mantenernos fuera de su camino será la mejor forma de ser útiles."""
Ushiromiya Jessica,"""¡Je!... ¡Seguro que estarán hablando de ‘dinero, dinero, dinero’!"""
Ushiromiya Jessica,"""... Aunque siempre actúan como unos multimillonarios, cuando las cosas se ponen difíciles, se ponen agresivos. ¿No podrían ser elegantes y repartirlo en partes iguales?"""
Ushiromiya Battler,"""Ijiji. Sería genial. Me gustaría recibir una parte. Y si la recibiera, la repartiría con Shannon-chan de inmediato."""
Shannon,"""M-Muchas gracias... Bueno, aprecio el sentimiento."""
Ushiromiya George,"""Shannon no es nada codiciosa. Lo normal sería que las chicas de tu edad tuvieran un montón de cosas que quisieran comprar."""
Shannon,"""Sí. Pero nada de lo que quiero se puede comprar con dinero."""
Ushiromiya Battler,"""¡Ooh! ¡Qué desinteresada! Creo que, para todo lo que yo quiero, ni todo el oro del mundo sería suficiente."""
