Speaker,Spanish (ES)
,"""""¡¡A continuación, dejemos que la pareja intercambie los anillos!!"""""
,... Beato tomó la mano de Battler... y puso en su dedo un anillo con el sello del Águila de un Ala.
Ushiromiya Battler,"""... ¿Estás segura?..."""
{f:5:Beatrice},"""Ya eres el Lord Territorial... Así que, este anillo te pertenece, Battler-san."""
Ushiromiya Battler,"""... ¿Estás realmente segura?... A este ritmo, el mundo que has creado... la historia..."""
{f:5:Beatrice},"""Sí... He creado esta historia porque quería estar contigo... Eso quiere decir que el propósito de este mundo se ha cumplido... Así que, desde ahora, quiero que tú escribas... El resto de la historia... sobre tú y yo."""
Ushiromiya Battler,"""..."""
{f:5:Beatrice},"""... Jejeje, ¿bromeas? *carcajada*carcajada*, te estoy dejando el agotador deber de Lord Territorial a ti. ¡Es mucho más fácil ser la esposa, solo tienes que presumir!..."""
{f:5:Beatrice},"""Solo necesito divertirme y esperar a que escribas una nueva historia. Y, para cada nueva historia que escribas, haré el papel que quieras... Ya sea una bruja malvada, un rival... Una amante... o una esposa."""
Ushiromiya Battler,"""Mis historias son bastante intensas. Estarás ocupada desde el alba hasta el anochecer."""
{f:5:Beatrice},"""Mmm... Suena perfecto..."""
,La mano de Beato renunció al anillo de Lord Territorial...
,Ella recibió de Battler el anillo de plata con un emblema que solamente podía ser usado por la esposa del Lord Territorial.
,"Entonces, cambiaron los anillos y su boda estaba completa."
,"Luego, la pareja se dio la vuelta, frente a la multitud de invitados y alzaron sus anillos."
,Un estruendoso aplauso resonó para ellos...
Zepar,"""Como conmemoración de los eventos de esta noche, el gran Lord Territorial ahora reconocerá los logros de ciertas personas."""
Furfur,"""Que los llamados se presenten."""
,"En cuanto Battler asintió, Beato leyó el nombre de la primera persona a ser reconocida."
{f:5:Beatrice},"""... Kanon. Adelante."""
Ushiromiya Jessica,"""¡¿K-Kanon-kun?!..."""
,"Una chica cabra se abrió paso entre la multitud, se quitó su máscara y gritó."
,"Una nube de mariposas doradas rodearon a Battler y a Beato... y tomaron la forma de Kanon, arrodillándose frente de estos dos nobles."
,"Kanon ya se había muerto y desvanecido.{n}... Sin embargo, todos los muertos reviven en la Tierra Dorada."
Kanon,"""Kanon, presente..."""
{f:5:Beatrice},"""Cuando mi esposo estuvo encerrado y en peligro, lo rescataste y demostraste un auto-sacrificio al optar por permanecer en la prisión eterna en su lugar. Esa devoción es merecedora de un premio. Por lo tanto, permitiremos tu resurrección y que continúes tu servicio."""
Kanon,"""... Sí. Me siento tan honrado... ¡y feliz!"""
Ushiromiya Jessica,"""Kanon-kun... ¡¡Y-Yoshiya-kun!! ¡¡Yoshiya-kunnnn!! ¡¡Waa{-}a{-}a{-}a{-}a{-}a{-}a{-}a{-}a{-}a{-}a{-}a{-}a{-}a{-}a{-}ahhhhhh!!"""
,Jessica corrió y cayó sollozando en el pecho de Kanon.{n}Kanon acarició suavemente su cabeza y la mantuvo firme...
Ushiromiya Battler,"""No servirás como mueble. Servirás como un ser humano... ¿Entiendes lo que eso significa?"""
Kanon,"""... Sí."""
,"Después de ver a Jessica sollozando, miró a Battler otra vez y asintió con fuerza."
