Speaker,Spanish (ES)
,Un monótono sonido electrónico se repetía.
,"Un ""higiénico""... e inexpresivo blanco, era la temática de esa habitación.{n}... Era una habitación de cierto hospital universitario."
,"Una persona normal no podría permitirse el coste de una sola noche en esta habitación, en la que ni sus médicos, ni ella misma, tenían alguna duda de que sería la última en la que estaría..."
,¿Era la persona en la cama... Eva?
,"Parecía demacrada y envejecida, hasta el punto de que no creerías que era ella, a menos que te lo dijeran."
,"El fornido hombre de traje esperando en la esquina cerca de la puerta, estaba teniendo una conversación con el exterior en voz baja por el intercomunicador."
,... Él era un guardia que protegía a Eva.
,"Después de decirle a la persona del otro lado del intercomunicador que esperara, se acercó a la cama de Eva."
,... Eva había estado despierta durante un corto tiempo.
,"... Sin embargo, ella se quedó mirando un punto vacío en el espacio, como si su mente no estuviera en el mismo lugar."
,"""... Ange‐san ({p:0:縁寿}) ha llegado al vestíbulo de abajo. ¿Dejamos que pase?"""
Ushiromiya Eva,"""..."""
,"Durante un largo rato, Eva no respondió."
,"Sin embargo, poco a poco, sus ojos empezaron a recobrar su enfoque, y ella levemente asintió con la cabeza, indicando que no le importaba si llamaban a Ange."
,... Eva había sido quien la llamó. Y ella llegó justo a tiempo.
,"Ahora para Eva, cualquier persona que quisiera una reunión sin una cita sería rechazada."
,"La habitación estaba a oscuras a pesar de que afuera era de día, porque las cortinas estaban cerradas."
,"... Siempre había un guardia en la sala de espera, y tres más esperando en el pasillo y el vestíbulo."
,Todos ellos estaban allí para proteger a Eva...
,"Eventualmente, se oyó el ruido de un golpe."
,"Además, había un mensaje desde el intercomunicador de que el cacheo de la visita se había completado sin problemas."
,"La puerta fue destrabada, luego abierta... y una chica estaba parada allí."
,"""Presidenta. Ange-san ha llegado."""
,Eva reaccionó y giró su rostro hacia la visita.
,"Sin embargo, en lugar de reaccionar al llamado del guardia, quizás sería mejor decir que ella reaccionó al aroma del maquillaje de Ange."
,"... Después de estar encerrada en esta habitación durante tanto tiempo, Eva era sensible a pequeños cambios en el olor."
Ushiromiya Eva,"""... Así que viniste... Ange."""
Ushiromiya Ange,"""... Sí, lo hice. Tú me llamaste."""
,"En el rostro de Eva, no podrías encontrar la expresión de una cálida bienvenida a su sobrina.{n}... Y en el rostro de Ange, no podrías ver la expresión de alguien complacido de encontrarse con su tía."
,"Eva agitó su brazo, el cual se había puesto tan fino como una rama seca, y le indicó al guardia que se fuera."
,El guardia se inclinó en silencio y salió al pasillo.
Ushiromiya Ange,"""... No solo está poco ventilado, sino que también oscuro. ¿Por qué no tienes las cortinas abiertas?..."""
Ushiromiya Eva,"""... Y entonces el sicario que contrataste disparará a través de la ventana, ¿es eso lo que estás planeando?..."""
Ushiromiya Ange,"""... Si llegara a ser así, preferiría ser yo a quien pagaran por matarte. Todo lo que tendría que hacer es relajarme en casa durante un mes y el trabajo se ocuparía de sí mismo."""
Ushiromiya Eva,"""... Jejejeje, jajajajaja..."""
,Su discusión era bastante morbosa para una tía y sobrina.
,"... Sin embargo, ellas no parecían estar bromeando.{n}... Muy en el fondo, Eva creía que alguien estaba tras su vida."
,Toda la gran fortuna de la familia Ushiromiya había caído en manos de Ushiromiya Eva.
,... Se decía que esta fortuna también incluía las 10 toneladas de oro oculto que según los rumores Ushiromiya Kinzo había escondido.
,"No podía ser evitado que esta enorme riqueza cayera en las astutas, maliciosas y celosas manos de Eva... pero se rumoreaba que si esta era pasada a Ange, que no era más que una chica joven, algunas personas conspirarían para arrebatársela."
,"En este momento, Eva y Ange eran las únicas descendientes de Kinzo.{n}... Si Eva moría, toda la riqueza iría a Ange."
,"... Y si Ange fuera asesinada, aquella riqueza iría a la familia de la madre de Ange, Kyrie."
,"En este sentido, no solo Eva, sino que Ange también... estaba en una posición donde no sería extraño que su vida fuera el blanco de una persona desconocida."
,... Y Eva había odiado a Ange durante mucho tiempo.
,"Eso era porque sabía que, después de perder a su preciado y único hijo George... el heredero de su propia riqueza sería nada menos que la chica que había estado ausente en la conferencia familiar 12 años atrás... y que había sobrevivido."
,"Eva rechazaba a Ange, le disgustaba, incluso la detestaba."
,"Ella aisló a Ange en una escuela especial, y la separó de la juventud y la felicidad que tienen las personas normales, tratando de privar su vida de toda oportunidad."
,"... Sin embargo, Eva había sucumbido ante una enfermedad incurable, e irónicamente... su vida restante se estimaba que era la misma que había sido estimada para Kinzo en la conferencia familiar 12 años atrás..."
,Tanto Eva como Ange... se odiaban la una a la otra.
,A pesar de que ellas eran las últimas parientes consanguíneas... se odiaban tanto que esperaban que la otra muriera rápidamente...
