Speaker,Spanish (ES)
Ushiromiya Battler,"""Oigan, todos, ¡buen trabajo finalizando ""Umineko no Naku Koro ni""! Vaya, ¡todavía no tengo ni la más remota idea de qué ocurrió cuando la historia terminó!"""
Ushiromiya Jessica,"""¿Qué sucedió, entonces? ¿Fue eso básicamente el ""final malo"", donde el tiempo se acaba antes de que el culpable fuese expuesto?"""
Ushiromiya Maria,"""Uu. Definitivamente un final malo. Uu."""
Ushiromiya George,"""Yo pienso lo mismo. La carta de {f:5:Beatrice}, que María‐chan leyó en el primer día, nos avisó de antemano que teniamos que resolver el acertijo del epitafio. Estuvimos tan ocupados intentando protegernos y de buscar al culpable que no dimos ni siquiera intentamos resolverlo."""
Shannon,"""Sí, es verdad. Si realmente hubiésemos intentado resolver el acertijo, estoy segura de que las cosas habrían terminado de manera diferente."""
Ushiromiya Battler,"""No estoy muy seguro de eso. ¡Shannon‐chan, tú también hiciste un buen trabajo!"""
Ushiromiya Battler,"""No tienes que ser nuestra mesera y servir el té. Después de todo, esta es nuestra fiesta de despedida. ¡Como un grupo de gente que ha encontrado un destino horrible, vamos a llevarnos bien y lamernos las heridas! ¡¡Lamerlamerlame~r!!"""
Ushiromiya Jessica,"""Hablando de un destino horrible, Shannon nos gana en cuanto a eso, ¿no creen? Ella era un personaje tan hermoso, que pensé que sobreviviría hasta el final, pero murió justo al principio, y además... ¿Cómo fue? La mitad de su cara estaba destrozada, ¿no? ¡Eso es de lo peor!"""
Shannon,"""Ese fue mi papel, así que, umm... no había otra manera..."""
Kanon,"""Nee‐san, no es nada de lo que te debas preocupar. A juzgar por el epílogo final, incluso la señorita y los demás encontraron un final considerablemente trágico."""
Ushiromiya George,"""Jajaja... Así parece ser. Creo recordar ver esta horrible imagen, algo así como si mi cuerpo entero hubiese sido consumido y descuartizado."""
Ushiromiya Battler,"""Hablando de eso, ¿no creen que los últimos momentos de Kanon‐kun fueron geniales? Incluso con todo en contra, fue un enfrentamiento contra el culpable, ¿no? ¡Mucho mejor que nuestros confusos últimos momentos!"""
Kanon,"""Aunque, al final, no fui rival ante ella."""
Shannon,"""Aun así... creo que la muerte de Kanon‐kun fue una pista importante. Quiero decir, debido a ello, estuvo más que claro que una 19.ª persona existía."""
Ushiromiya George,"""Sí. En aquel momento, la ubicación de todo el mundo era obvia. Así que era imposible que alguien más que una 19.ª persona desconocida matase a Kanon‐kun."""
Ushiromiya Maria,"""¡Uu! María les dijo que era {f:5:Beatrice} desde el principio, una y ooootra vez. ¡Uu!"""
Ushiromiya Jessica,"""No lo quiero creer, pero sí que demuestra que el culpable era una bruja llevando el nombre de {f:5:Beatrice}."""
Shannon,"""Así es... Sucedieron demasiadas cosas extrañas que un humano no podría hacer..."""
Ushiromiya Maria,"""Uu. Solo una bruja podría hacer cosas como el asesinato de la habitación cerrada de la tía Eva. ¡Un humano no podría hacer eso! ¡Uu!"""
Kanon,"""... No solo está claro que una 19.ª persona existe, también es obvio que esta persona tiene un poder que los humanos no pueden ni imaginar."""
Ushiromiya Jessica,"""En ese caso, no creo que haya nada malo en llamar a esta persona {f:5:Beatrice}."""
Ushiromiya George,"""Probablemente nos la encontramos al final... a la Bruja Dorada."""
Ushiromiya Maria,"""Por eso María estuvo diciendo que {f:5:Beatrice} existe. Todo fue mal porque nadie creyó. ¡Uu! ¡Incluso una de mis amigas brujas dice que los milagros no sucederán si no crees! ¡Uu!"""
Shannon,"""Es verdad. {f:5:Beatrice}‐sama es generosa ante quienes la respetan."""
Kanon,"""Siento que, a pesar del hecho de que horribles incidentes ocurrían uno tras otro, María‐sama no estuvo en peligro de {f:5:Beatrice}‐sama hasta el final."""
Ushiromiya Jessica,"""María creyó en {f:5:Beatrice} desde el principio. Pero aun así, también lo hacían Kanon‐kun y los demás, así que, ¿cómo explican el por qué todos ellos fueron asesinados?"""
Kanon,"""{f:5:Beatrice}‐sama debió tener sus razones."""
