Speaker,Spanish (ES)
Ushiromiya Hideyoshi,"""Wajajajajajaja, ¡¿'tás bien, Battler-kun?!... ¡Ya 'tamos en el suelo, no puedes caer más abajo que eso, wajajajajajajaja!..."""
Ushiromiya Maria,"""¡Uu, jajajajajaja! ¡¡Caeeeer, caeeer... jajajajajajajaja!!"""
,"En el vestíbulo del aeropuerto de Niijima, María corría dando vueltas de la emoción.{n}El escándalo de Battler en el avión debió haber sido muy interesante."
Ushiromiya Rosa,"""¡Oye, María! ¡Ya déjalo!... Lo siento, Battler-kun. No te lo tomes a mal."""
Ushiromiya Rudolf,"""Qué chico tan {i:patético}. ¿Aun con ese cuerpo inmenso, no puedes soportar subir en un vehículo?"""
Ushiromiya Battler,"""Ah, cállate...Todos los humanos tienen una o dos cosas que no pueden aguantar..."""
Ushiromiya Eva,"""Battler-kun, ¿por qué no vienes con tu tía de viaje al extranjero un día de estos? ¿Qué tal Europa? Estoy segura de que tú podrías soportar un viaje de medio día en un avión. ¡*risita*risita*risita*!"""
Ushiromiya George,"""... Ya basta, madre. Estoy seguro de que la aversión de Battler-kun por los vehículos es heredada."""
Ushiromiya Kyrie,"""¿Oh, de Asumu-san?"""
Ushiromiya Rudolf,"""... Por alguna razón, ella no podía soportar vehículos o lo que se le pareciera. Casi cualquier cosa distinta de una bicicleta o un auto. Cuando tratábamos de ir lejos, esa mujer era tan molesta con eso del ""no esto no, no eso no, estoy asustada estoy asustada, me caigo me caigo, gyaah gyaah""."""
Ushiromiya George,"""A los niños se les enseña que las cosas que al parecer sus padres no pueden soportar son peligrosas. Estoy seguro de que Battler-kun vio a Asumu-san haciendo algo como eso y aprendió que los vehículos dan miedo."""
Ushiromiya Kyrie,"""*risita*risita*. ¿Serán entonces los genes de Asumu-san?"""
Ushiromiya Rudolf,"""Ni idea. Esos serían genes bastante molestos... Deja de hablar de Asumu. Ahora, la que está aquí eres tú. ¿Cierto?"""
Ushiromiya Kyrie,"""... Tienes razón, lo siento."""
Ushiromiya Hideyoshi,"""¡Ey~, llegaron los autos! Exactamente tres de ellos. ¡Súbanse, súbanse!"""
Ushiromiya Maria,"""¡¡Caeeeer, caeeer!! ¡¡¿Dónde está el paracaídas~, dónde está el paracaídas~?!! ¡¡Uu-uu, jajajaja!!"""
