Speaker,Spanish (ES)
{f:5:Beatrice},"""¡¡Idiota!! ¡¡¿No es obvio?!! ¡¡{i:Será divertido matarla y ver tu cara de dolor, ¿por qué si no?}!! ¡¡Kuhyajajajajajajaja!!"""
{f:5:Beatrice},"""Mira, mira, no desvíes la mirada, observa. Mira mira, ¡mira mira! Es magia, son muebles, no importa cuánto intentes negarme a mí y a la magia, mira mira, ¡mira mira mira mira! ¡¡Gyajajajajajajaja!!"""
{f:5:Beatrice},"""... Lo siento, Battleer. Fue bastante interesante... De todas formas, solo estaba intentando lo que mi maestra sugirió, ¡pero funcionó realmente bien! He oído que, después de actuar temperamentalmente y explorar las profundidades de la crueldad, si actúas como una auténtica incompetente {ruby:dere:tierna}, puedes conseguir un aumento masivo en eso del medidor de buena voluntad, ¿veeerdad? ¡¡Kyajajajajaja!!"""
,Ese solitario tono era el sonido del desolado viento que soplaba.{n}El color de los brillantes pétalos de flores en los rosales era... dorado.
,El grupo de mariposas doradas que una vez había danzado por este jardín de rosas doradas revoloteando como pétalos de rosa... ya no se veía por ningún lado...
,"Quien gobierna la Tierra Dorada es la Bruja Dorada, {f:5:Beatrice}.{n}Algunos podrían llamarla inhumana y cruel. Arrogante y escandalosa.{n} Y también, ingenua y simple."
,"Su risa, la cual perdía su gracia mientras más larga era... ya no se escuchaba."
,"La Bruja Dorada {f:5:Beatrice}... estaba sentada como una muñeca, descansando en una silla de jardín adornada tan hermosamente como el mismo jardín de rosas."
,... Ella no se estaba relajando allí.
,"Sus ojos estaban vacíos. No respondía a preguntas. Y aun así, no tenía permitido dormir. {f:5:Beatrice} estaba sentada allí como si fuera una muñeca..."
,"Llevaba el cabello suelto, y {f:5:Virgilia} lo desenredaba cuidadosamente con un peine."
,"Si ella se hubiera estado quejando de esto y lo otro en relación con su peinado, entonces habría quedado claro que ella era la Beato de siempre."
,"... Sin embargo, no respondió, ni mostró reacción.{n}Por lo que en vez de ello, solo parecía que {f:5:Virgilia} peinaba el cabello dorado de una gran muñeca..."
,"Junto a ellas, había una mesa."
,"Sobre esta había un tablero de ajedrez... junto con una distribución de piezas blancas y negras, en una batalla campal."
,"Sin embargo, algo en esta formación parecía distinta a la normal del ajedrez.{n}... Podría haber sido un juego similar al ajedrez, pero no idéntico."
,"Y al otro lado... sentado en su silla mientras contemplaba su próximo movimiento, había un joven."
,"... No, quizás él no pensaba en su próximo movimiento."
,"De vez en cuando, él cambiaba la posición de las piezas, reconsiderando la situación cada vez que las cambiaba."
,"Quizás reconstruía las distribuciones anteriores, tratando de descubrir el razonamiento detrás de esos movimientos."
,"En el pasado... Kinzo, el líder de la familia Ushiromiya, una vez comparó el aprendizaje de formaciones en el tablero de ajedrez con tomar un viaje a través de los pensamientos de los antiguos maestros."
,Ushiromiya Battler... estaba en una travesía.
,Una travesía en busca del razonamiento de la Bruja Dorada... que la había llevado a crear esta formación y a realizar estos movimientos.
,"Battler tomó una pieza negra que debería haber sido movida hacia adelante... y la devolvió a su posición original, suspirando profundamente."
,"Las piezas de Battler eran blancas. Sin embargo, en ese tablero, el lado de Battler eran las negras. Estaba reconstruyendo esa formación, intentando jugar desde el lado de Beato..."
Ushiromiya Battler,"""... Entre más hago esto, menos puedo entender tus movimientos."""
,Ni siquiera Battler... esperaba que Beato respondiera a esa declaración.
,"No... lo había dicho como si estuviera hablando solo, pensando que podría haber una pequeña oportunidad de que respondiera."
,Los ojos de Beato... no reflejaban nada.{n}Y su boca no decía nada.
{f:5:Beatrice},"""..."""
,Después de rogarle que la matara... la Bruja Dorada se había convertido en un cadáver que había renunciado a la vida.
,No estaba durmiendo.{n}... Ella no podía salirse de este juego y por lo tanto le estaba prohibido dormir.
,Así que debía haber oído.{n}Sin embargo... esas palabras probablemente no habían alcanzado su corazón.
,"Ahora, la Bruja Dorada ya no se burlaba de los movimientos de Battler, ni los alababa, ni los despreciaba."
,{f:5:Beatrice} ya no era... nada más que una muñeca viviente.
,"Aun así, de vez en cuando, ella lo miraba. Eran miradas vacías, pero miradas al fin y al cabo."
,"A veces, parecía hacer algún tipo de gesto o incluso parecía mover sus labios."
,"Sin embargo, sus movimientos nunca fueron capaces de comunicar nada a Battler..."
Ushiromiya Battler,"""¿Qué le llevó a hacer este movimiento en esta situación?... No lo entiendo. No entiendo tus movimientos."""
{f:5:Beatrice},"""..."""
{f:5:Virgilia},"""... Beato. Battler-kun te está hablando..."""
{f:5:Beatrice},"""..."""
Ushiromiya Battler,"""... Di algo. Trata de reír un poco, a carcajadas... Ni siquiera me importa si usas esa estridente risa tuya."""
,... Parecía increíble. Esa risa estridente de Beato... nunca jamas se volvería a oír.
,"Sin embargo, aun si ella no podía responder, su voz definitivamente llegaba a ella.{n}... Battler había hablado porque creía en ello.{n}Así que dijo lo mismo una vez más..."
Ushiromiya Battler,"""¿Qué le llevó a hacer este movimiento en esta situación? No lo entiendo. No entiendo tus movimientos."""
{f:5:Virgilia},"""... Entonces, ¿sus acciones no tienen sentido para ti?"""
,{f:5:Virgilia} respondió en lugar de su discípula.
,"Hasta este punto, había dado su mejor esfuerzo para evitar hablar por Beato.{n}Después de todo, había una posibilidad de que Beato respondiera de alguna forma, y {f:5:Virgilia} no quería ser quien le robara esa oportunidad."
,... Por lo que Battler tendría que soportar este silencio... hasta que la misma Beato respondiera.
,{f:5:Virgilia} ya no soportaba ver a Battler así...
,"Además, Battler quería conversar con {f:5:Virgilia}, con la esperanza de que sus palabras llegarían al corazón de Beato..."
Ushiromiya Battler,"""Sí. No tengo idea... Entre más intento ponerme en los zapatos de Beato y mover las piezas como ella, menos lo entiendo."""
,"La exitosa ejecución de un asesinato en serie siguiendo el epitafio. Él estaba viendo los juegos desde el lado de la bruja con eso como condición de victoria, pero no pudo hacerlo encajar con los movimientos de Beato."
,Pudo ver varios movimientos incomprensibles en sus partidas pasadas que claramente entraban en conflicto con esa condición de victoria...
Ushiromiya Battler,"""... No lo entiendo para nada. Esta travesía a través de su mente es demasiado difícil."""
{f:5:Virgilia},"""Aun así, no te rendirás, ¿verdad?"""
Ushiromiya Battler,"""Así es... Se lo prometí."""
,{a:c:Má... tame... Solo déjame morir...}
Ushiromiya Battler,"""Prometí que la dejaría morir pacíficamente... Y yo soy el único que puede hacer eso."""
,"... El tobillo derecho de Beato estaba atado a un grillete de acero, frío y pesado."
,"No estaba atado a nada, por lo que no restringía sus movimientos."
,"Sin embargo, simbolizaba su restricción. Era una visualización de la restricción que le impedía salir del juego sin una victoria o derrota..."
,Y el grillete probablemente... la hería.{n}El despiadadamente frío grillete... la atormentaba una y otra vez dentro de su sueño despierto.
{f:5:Beatrice},"""... Ghh... ah..."""
,"Así que no se veía alivio en su expresión vacía.{n}Sus párpados a veces temblaban como si estuviera teniendo un mal sueño... y de vez en cuando, dejaba salir unos quejidos."
,A menos que gane... Beato nunca será liberada de la maldición que le impide descansar en paz...
{f:5:Virgilia},"""... ¿No estás en un apuro? Parece que el quinto juego ya ha comenzado."""
Ushiromiya Battler,"""...  No me interesa."""
,"¿Por qué debería participar en un juego sin Beato como oponente?...{n}Si esa es la única alternativa, entonces reconstruir las formaciones de los juegos pasados en una travesía en busca del razonamiento de Beato es un uso mucho mejor de mi tiempo..."
{f:5:Lambdadelta},"""Yo seré la siguiente <Game Master>. ¿Alguna objeción? Ninguna, ¿cierto?"""
{f:5:Bernkastel},"""... Tengo muchísimas. Beato abandonó la lucha y está inconsciente. ¿No es esta una derrota por defecto y el fin del juego para ella?..."""
{f:5:Lambdadelta},"""Admito que a Beato le han pasado muchas cosas, y parece que la han dejado inconsciente. Pero eso no significa que ha perdido su voluntad de pelea. Es por eso que actúo como su asistente. ¿Entienden?"""
,"Beato estaba tendida en la silla de jardín, casi como si estuviera durmiendo."
,"Sin embargo, ella no estaba durmiendo... y tampoco estaba despierta."
,"No era más que una muñeca viviente que había renunciado a la victoria, pidiéndole a Battler que le diera el golpe de gracia, y habiéndole confiado todo a él..."
,"Por supuesto, no se prepararía un quinto juego si todo el mundo se quedara sentado."
,"Así que, {f:5:Lambdadelta} había sucedido a Beato como Game Master, y proclamó que prepararía el próximo juego."
Ushiromiya Battler,"""Déjate de tonterías. Este juego es entre Beato y yo. No sé quiénes son ustedes dos, pero no voy a dejar que continúen sin nosotros."""
{f:5:Lambdadelta},"""Nadie te pidió tu opinión. ¿Qué harás, Bern? ¿Aceptarás o no?"""
