Speaker,Spanish (ES)
,... No tengo idea de lo que está pasando.
,"Por favor, que alguien me ayude a entender qué pasó ayer."
,Estaba sirviéndome la comida en la cocina de la mansión.
,Esa enorme nevera industrial tenía de todo.{n}Pude comer y beber todo lo que quise.
,"... Incluso si el tifón no se despejara hasta dentro de una semana, tendría comida más que suficiente."
,"Con una botella en la mano, de la que ya me había bebido la mitad, me serví unas lonchas de jamón."
,Me pregunto lo caros que deben de ser este vino y este jamón.
,"Vaya, se les acabó la suerte a los ingredientes. Si solo hubieran tenido a Gohda-san para cocinarlos, podrían haber renacido como una comida mucho más increíble."
,"Miré al reloj. Muy pronto, sería medianoche.{n}El 5 de octubre, el segundo día, acabaría."
,... El demencial 4 de octubre de ayer no parecía real.{n}... Fue así como... nada había pasado después de mi prueba o lo que fuera eso.
,No pasaba nada.
,"Ni llamadas telefónicas, ni cartas.{n}Nadie viene a verme, ni a atacarme."
,No pasaba nada en absoluto.
,"Quiero quejarme por haber perdido todo ese tiempo y esa energía debido a toda esa presión de antes... Un día entero, 24 horas completas."
,... Naaaada había pasado.{n}Y también estoy seguro de que nada seguirá sucediendo.
,... Hace 24 horas enteras...{n}... Fui llamado al frente de la mansión por {f:5:Beatrice}.
,"Allí, me hicieron un extraña prueba para determinar el sucesor del líder o algo así."
,"Di una respuesta seria a mi manera, pero por desgracia, no parecía que nos entendiéramos."
,{f:5:Beatrice} se había enojado sin ninguna razón y se había quedado en silencio.
,"Le grité que dijera algo, pero no dijo ni una palabra."
,Entonces le pregunté dónde estaba María y me dijo que fuera a la capilla y se fue.
,"A decir verdad, había sido anticlimático... Me da igual qué tipo de prueba rara me hagas, por lo menos dime si he aprobado o no."
,"¿Qué, está tratando de decir ""Buen trabajo, sus resultados serán enviados a usted más tarde"" o algo así?{n}... Maldita desgraciada."
,"En cualquier caso, luego me dirigí a la capilla."
,... Tanto George-aniki como Jessica fueron asesinados tras fracasar en sus pruebas.{n}No podía permitir que le sucediera lo mismo a María.
,"... Además, es posible que tenga la oportunidad de atrapar a quien esté intentado matar a María."
,"Durante mi niñez, había oído a menudo de Jessica que tendrías problemas si te acercabas a la capilla, así que nunca había estado allí, pero al menos sabía dónde estaba."
,No pude sentir a nadie allí... pero había un manojo de llaves tirado frente a la puerta.
,"Pensé que esto podría ser que alguien me estaba diciendo que abriera la puerta, pero después de probar todas las llaves, no pude encontrar ninguna que encajara."
,"También llamé a María, pero no hubo respuesta alguna.{n}Busqué alrededor de la capilla, pero había un límite a lo que podía hacer totalmente a oscuras con solo una linterna."
,"Me di cuenta de que este manojo de llaves podría ser un set de llaves maestras, que posiblemente podrían abrir la puerta de la mansión."
,"No encontré ninguna señal de María, así que volví a la mansión."
,La mansión estaba envuelta en silencio. Y en un horrible hedor.
,"Sin embargo, es impresionante lo buenos que son los humanos adaptándose."
,"Técnicamente, ese olor seguía impregnando toda la mansión."
,Pero ya me había acostumbrado y había dejado de importarme.
,No daba la sensación de que fuera nada más que una casa antigua donde alguien había quemado algo de carne.
,"Al principio había estado completamente desconcertado por el hedor, pero había decidido dirigirme al comedor por el momento..."
, y había encontrado esos cuerpos en un estado tan lamentable que entendí porque Gohda-san y el resto habían dudado en hablar de ellos en detalle.
,Eran los restos de la tía Natsuhi y los demas que se habían convertido en las primeras víctimas.
,"Cada uno de ellos tenía la mitad de su cabeza completamente destrozada, y era tan horrible que sin siquiera tener el más mínimo conocimiento sobre autopsias, podría decir que estaban 100% muertos..."
,"... Y encima de eso, las mitades restantes de sus caras quedaron sin alterar, así que fue sencillo identificarlos."
,"... Unos cadáveres realmente convenientes, todo sea dicho."
,"Y, no solo estaban los seis cadáveres... habían aumentado en número para incluir un cuerpo más."
,Este séptimo cadáver... era María.
,"Yacía junto a Rosa, como si simplemente estuviera durmiendo a su lado."
,... Lloré.
,"Ante la muerte de una chica joven e inocente. Y, ante la forma cruel en que mi padre y el resto habían muerto."
,"Recorrí corriendo la mansión esgrimiendo mi lanza-perchero, gritando ""Vengan aquí, bastardos""."
,"... Sin embargo, no pude encontrar señales de que hubiera alguien más."
,"... Pensando que podrían estar planeando esconderse en algún lado y atacarme por detrás, di varias vueltas buscando posibles escondites, a veces siendo cauteloso, y otras bajando la guardia intencionadamente de varias formas, pero al final, no apareció ni un gatito..."
,Así hasta que amaneció.
,"... La tensión y el cansancio, unidos a la somnolencia, hicieron el peor de los amaneceres."
,Los humanos son bastante increíbles.
,"... A pesar de que ni siquiera sabía si había un asesino escondiéndose en algún lugar o no, le di prioridad a la fatiga y al sueño sobre la preocupación por mi propia vida."
,"... Para entonces, empezaba a sentirme bastante ridículo."
,"Durante las seis horas anteriores al amanecer, había recorrido toda la mansión gritándoles que se dejaran ver."
,"Había buscado con diligencia, y me había cansado, bajando así mi guardia.{n}{i:Aun así} nadie vino a atacarme."
,"Y en ese momento dije: al diablo, que hagan lo que quieran..."
,"El barco no vendría hasta que el tifón no pasara. Decían en la tele que no pasaría hasta mañana, así que tenía un día entero libre."
,"La idea de vaguear no parecía muy atractiva... y, aunque sabía que eso probablemente haría enojar a la policía, decidí jugar a los detectives un poco."
,"Primero fue el comedor, donde el primer asesinato había ocurrido."
,Los seis que habían sido asesinados al principio fueron realmente desafortunados.
,"... Probablemente habían sido asesinados con un arma de fuego. Es posible que sus cabezas fueran reventadas por algo poderoso, como una bala de una magnum o de una escopeta."
,Me pareció un razonamiento válido.
,"Comparado a eso, el séptimo cadáver, María, había muerto de una forma mucho mejor y mucho más limpia."
,"A primera vista, no podía ver heridas externas, y no entendía cómo había muerto."
,"Pero había indicios de que le habían salido burbujas por la boca, y parecía la típica muerte por envenenamiento que puedes ver en un drama televisivo."
,¿No fue María llamada a la capilla para que le hagan la prueba allí?...
,"... ¿Entonces por qué estaba en este comedor lleno de cadáveres, yaciendo junto a su madre, muerta?..."
,Incluso si la causa de la muerte hubiese sido un veneno... ¿quién se lo había dado?
,Su ropa no había sido perturbada en lo más mínimo. Es difícil imaginar que la tiraran contra el suelo y le inyectasen veneno.
