Speaker,Spanish (ES)
,"En la catedral vacía de gente... podía observarse una figura que miraba todavía a los cielos, cuyo pecho estaba atravesado por una larga espada roja que lo sujetaba contra el suelo... Era la figura de Battler."
,"... Irónicamente, se parecía a lo que le había hecho a Beato con las cuñas azules en el cuarto juego..."
,Battler ya había muerto hacía tiempo.
,"No... en este lugar, el concepto de muerte no significa nada salvo que uno ha dejado de pensar."
,"Por lo tanto, en cierta forma, Battler no estaba muerto."
,"... Tras haber sido derrotado en una batalla por la verdad y haberse rendido, ya no tenía la fuerza para pensar en cómo resistir."
,Y por eso... estaba muerto.
,"La enorme espada larga de Dlanor, la cual había sido dejada allí haciendo de lápida... sujetaba a Battler en el lugar incluso después de su muerte..."
,Esta escena era iluminada por una tenue luz que llegaba de un altísimo tragaluz.
,Unos silenciosos pasos resonaron a través de esta desolada catedral...
,De la oscuridad detrás de una columna... una mujer caminaba lentamente hacia adelante.
,... Era {f:5:Beatrice}.
,"Sus ojos no tenían luz... y tenían el mismo aspecto que habían tenido durante todo este tiempo en la Tierra Dorada, y todavía estaban opacados con gris."
,"Anteriormente, ni siquiera podía beber té negro correctamente sin ayuda... pero ahora, aunque era lenta... y aunque no había vida en sus ojos... ella, sorprendentemente, estaba caminando."
,"Y con pasos lentos y deliberados, llegó hasta Battler, quien seguía muerto y atravesado..."
,Entonces.... lentamente... tocó a Battler.{n}... Ella tiró... de su manga.
,"Sin embargo, Battler no mostró reacción alguna..."
,... Cuando ella se dio cuenta que no estaba durmiendo... sino muerto... La bruja con la mirada de desesperanza... bajó la cabeza aún más...
,Luego... en voz baja... murmuró...
{f:5:Beatrice},"""... Mentiroso..."""
,Beato... tocó suavemente a Battler...{n}Y entonces... apoyó su frente contra el pecho de Battler.
,Ya no había... latidos.
,No era solo porque se hubiera rendido.{n}Era porque las brujas lo habían sacado del tablero de juego.
,... Así que de ahora en adelante...{n}... Battler jamás... regresaría...
,"Así que a partir de ahora... la Bruja Dorada, {f:5:Beatrice}..."
,había perdido su razón... de existir...
{f:5:Beatrice},{a:c:... Gracias... mentiroso...{n}... Adiós... y... lo siento.}
,Entonces... la Bruja Dorada... terminó... su deber... y se desmoronó... en forma de rocío dorado.
,En la Tierra Dorada... la lluvia gris... seguía cayendo suavemente.
,... Había un vago aroma de un buen té negro.
,Beato observaba la superficie del té con una mirada vacía.
,"Ahí estaba {f:5:Virgilia}, todavía tejiendo... junto conmigo y... Dlanor, hablando uno con el otro."
,... Esto es... un recuerdo...
,"Un recuerdo en la memoria de Battler, el cual le debe haber traído la espada de Dlanor al momento de atravesarlo..."
,Un recuerdo de aquel momento en que Dlanor había visitado la fiesta de té en la Tierra Dorada...
Dlanor,"""Lo mismo digo {f:5:yo}. La próxima vez que nos enfrentemos, no me {f:5:contendré}."""
Ushiromiya Battler,"""Perfecto. Seré tu oponente. Enfréntame con todo lo que tengas."""
Dlanor,"""Lo {f:5:prometo}. Daré todo lo que {f:5:tengo}."""
,... Dlanor.
,Yo creía que era una despiadada muñeca asesina sin corazón... pero quizá sea bastante asequible.
,"... Aunque, por supuesto, ninguno de nosotros mostrará piedad cuando peleemos en el tablero."
,"Por un momento, miramos el jardín de rosas empapado por la lluvia... mientras disfrutábamos nuestro té en silencio."
Ushiromiya Battler,"""... Aun así, es realmente aterradora... la forma en la que peleas... Los Diez Mandamientos de Knox, o el Decálogo, ¿no? Esos recursos del género de misterio, ¿cierto?"""
Dlanor,"""{f:5:Sí}... Son los mandamientos creados por mi {f:5:padre}."""
Ushiromiya Battler,"""Queda prohibida la existencia de pasadizos secretos. Esa es la tercera de Knox, ¿cierto? Eso significa que ni siquiera hay necesidad de que los detectives busquen pasadizos secretos... Suena algo ridículo."""
,{f:5:Bernkastel} habló de esto.
,"Había dicho que, ya que estaban prohibidos por Knox n.° 3, el solo buscar pasadizos secretos era una pérdida de tiempo."
,Quisiera contraargumentar diciendo que no es tan infrecuente que la mansión de una familia rica tenga una o dos pasadizos secretos.
,"... Pero aparentemente, esa clase de reglas funciona a la perfección en las novelas de misterio."
,"Por cierto, hay muchas historias de misterio maravillosas en las que aparecen pasadizos secretos, y en las que son un tema principal."
,"... Claro, esto se limita a las novelas con la ""premisa"" de que existen las pasadizos secretos."
,"Sin esa ""premisa"", queda prohibida la existencia de pasadizos secretos.{n}Así que ya que esa ""premisa"" no existe, no hay necesidad de buscar pasadizos secretos."
,... Creo que esa es probablemente la base de su ridículo argumento.
,"Tengo la impresión de que el detective que intenta encontrar la verdad, y la ilusión que intenta enmascararla con la ficción... se están mezclando, lo cual lleva a un tipo de argumento extraño que se asemeja a la Prueba Diabólica."
,Hacer que un asesinato en una habitación cerrada parezca obra de una bruja con magia es fantasía.
,Exponer que fue un crimen humano hecho con trucos es anti-fantasía.
,El considerar todas las posibilidades para exponer esos trucos es misterio.
, Pero ¿afirmar que las posibilidades que no presentan pistas que las respalden no merecen ser investigadas es también misterio?
,"Los pasadizos secretos, por definición, están escondidos de tal forma que no pueden haber pistas."
,¿Afirmar que los pasadizos secretos existen necesariamente aunque el detective no los encuentre sería... anti-misterio?
,... Es suficiente.{n}Esta discusión es un desvío muy grande de los acertijos que se supone que debería estar resolviendo.
,Mi lucha es muy sencilla.
,Lucho solo para explicar cómo fue posible para un humano llevar a cabo estos crímenes que supuestamente realizó una bruja.
,"Toda esta discusión de ""misterio"" y ""anti"" no sirve de nada."
