Speaker,Original Witch Hunt (OG)
,...Hideyoshi's claim that advertising doubled the taste was apparently right.
," The kids and Nanjo, who had been chased out to the guesthouse, had gathered in the cousins' room, and were eating the cake that Kumasawa had brought there for dessert."
," It was both wonderful and high-class, with lavish amounts of cream and decorated deliciously with fruits, but even though it was delicious, for some reason it didn't taste quite as good..."
Ushiromiya Jessica,"""Haha, without Gohda-san's advertising, it doesn't taste nearly as good."""
Ushiromiya Battler,"""Even if we wanted advertising, Kumasawa-san'd just say that it's made out of mackerel."""
Ushiromiya Maria,"""Uu-?! Really?! You can make cake from mackerel?!"""
Kumasawa Chiyo,"""Hoh-hoh-hoh-ho. Yes, yes, this cake too, if you cook with the squeezed juice of mackerel mixed in with flour and eggs, it comes out all fluffy. Hoh-hoh-hoh-ho."""
Ushiromiya George,"""That would be incredible if true. Maybe mackerel cake will show up on the new menu at Father's store."""
Ushiromiya Battler,"""Wahahaha! Because mackerel is full of nutrients and has a healthy image. It'll be really popular with women and old people! But I'm not gonna get anywhere near it!"""
Ushiromiya Jessica,"""Girls won't eat something that weird."""
Nanjo Terumasa,"""Even old people would wish to decline."""
Kumasawa Chiyo,"""Hoh-hoh-hoh-ho! But it's delicious?"""
,"Kumasawa was really raising the mood with the mackerel jokes that were her specialty....But no matter what happened, the sound of the downpouring rain focused their concern on the mystery guest."
," In the end, they ended up showering Maria with questions again, since she was the only person here to have met Beatrice."
Ushiromiya George,""".........I can't believe, ...that story was true."""
Ushiromiya Battler,"""From the way you say that you didn't believe, it sounds like this isn't the first time you've heard of this witch Maria says she met."""
Ushiromiya Jessica,"""...Yeah. I thought it was a pretty common fairy tale for people of that imaginative age."""
Ushiromiya Maria,"""Exi-sts!! Beatrice 'exi-sts'! Every year, when we come to the family conference, she meets with Maria, and we play together!"""
Kumasawa Chiyo,"""That's right. Although Beatrice-sama doesn't usually show herself, I hear that she sometimes unexpectedly does so before honest people with clean hearts. Hoh-hoh-ho."""
,Beatrice was a name which referred to the being in that fairy tale about the Rokkenjima witch.
," Because the family and the servants publicly accepted the image of the witch of Kinzo's delusions to keep him in a good mood, the Rokkenjima fairy tale, or maybe ghost story, was formed..."
," To the family members who knew those details, the fairy tale of the Golden Witch was only a vague thing....However, in front of Kinzo, they hadn't been able to say that."
," So those who didn't know the details...like young Maria, for example, it definitely wasn't vague, ...but a real legend of the witch."
, So Maria believed in the legend of the witch. She swallowed the story.
,...That was natural for an imaginative girl who believed in witches.
," So no one said anything to betray her dream....On the contrary, they had arranged things beforehand to get her excited about her dreams."
Ushiromiya George,"""...So even though Maria-chan was showing off to us that candy which she said the witch gave her, ...I thought that somebody had probably slipped a candy into Maria-can's handbag."""
Nanjo Terumasa,""".........I have also acted in such a way two or three times, long ago, secretly placing sweets somewhere. ...Probably, Kumasawa-san too, no, all of the servants and all of the Ushiromiya family have done it once or twice."""
Ushiromiya Battler,"""......So, if it will make a small, innocent kid happy, you sometimes plan it beforehand and place some sweets somewhere. ......Come to think of it, I'll bet you do that kind of thing all the time, right, George-aniki?"""
Ushiromiya George,"""............Who knows."""
,Admitting that would probably be unrefined.
, George admitted it while being extremely wary that Maria didn't find out.
Ushiromiya Battler,"""In other words, ......it's kinda like Santa Claus. To protect a kid's dreams, the parents plot together and lie, setting presents at the bedside of a child fast asleep."""
Ushiromiya Jessica,"""......I want to protect a kid's dreams. ...Although I knew that Santa obviously didn't exist a long time ago. ......If it's a dream you don't need to be disillusioned of, I wanted to believe it my whole life."""
Nanjo Terumasa,"""...Because they know that the world is tough, ...adults want to at least protect a child's clean dreams."
Ushiromiya Maria,"""Uu-!! Beatrice exists! 'Exiiiists'!!!"""
Kumasawa Chiyo,"""Yes, she does. Beatrice-sama does exist, right? Some time ago, when I was drying mackerel to make some black tea, unexpectedly..."""
Ushiromiya George,"""......Well, it's something like this. ...Supposedly, at least."""
Ushiromiya Battler,"""In short, ......except for Maria, it's a witch that supposedly no one believed in."""
Ushiromiya George,"""Those words don't quite explain it. ......It's not that we didn't believe. Everyone was trying to make her believe."""
,So this was about not betraying a child's innocence.
," But Santa doesn't exist in reality. If you don't want them to be all disappointed when they learn that, you should just not show them that dream in the first place."
,...Did I think like that because I was still a long way from becoming a full adult? 
,Battler was finally getting an idea about the true form of the Rokkenjima witch.
,".........But in the current situation, that understanding had been revised, and that premise had been turned upside down..."
Ushiromiya Battler,"""......That's what we thought we knew, but the witch Beatrice-sama actually appeared. Is that what this is?"""
Ushiromiya Battler,"""Furthermore, judging from our parents' uproar, it looks like she wasn't an invited guest. ......That sounds kinda interesting."""
Ushiromiya George,"""There actually is no basis to say that a woman called Beatrice doesn't exist. ......It's what Rudolf oji-san called a Devil's Proof. ......None of us knew that a woman calling herself Beatrice existed."""
Ushiromiya George,"""...But that doesn't necessarily mean we can deny the possibility that Beatrice exists."""
Ushiromiya Jessica,"""......Doctor Nanjo, you've been friends with Grandfather for a long time, right?"""
Nanjo Terumasa,"""..................At one point, I heard a lot about it at the family conference from Krauss-san and the others. ......A story that, long before that time, perhaps Kinzo-san had a mistress, and a hidden child with her."""
Ushiromiya Battler,"""I see. Our parents' heads are full with the distribution of the inheritance. So it's obvious that if the daughter of a mistress showed up, it'd be troublesome for them."""
Nanjo Terumasa,"""Krauss-san and the rest probably asked Genji-san about it first. However, Genji-san has sworn loyalty to Kinzo-san as his right-hand man, ...and is probably a more trusted friend to Kinzo-san than myself."
Nanjo Terumasa," ......Genji-san probably didn't say anything. ......So next, they went to ask me as his old friend..."""
Ushiromiya Battler,"""And? ......So, ......did Grandfather have a mistress called Beatice, Doctor Nanjo?"""
Nanjo Terumasa,"""............He did. ...No, I have never met her. ...However, I have heard from Kinzo-san that he had a relationship with a woman like that. .........He said that she passed away a very long time ago."""
Ushiromiya Battler,"""......She's dead. ......And did she have a child with him?"""
Nanjo Terumasa,"""That, I do not know. ......But Kinzo-san always says that he is researching how to revive Beatrice."
Nanjo Terumasa," ...Usually, if one loses a mistress and has a child left from them. they pour all of that love on that child. ......Therefore, we naturally thought that there wasn't a child between Kinzo-san and Beatrice..."""
Ushiromiya Battler,"""............Yeah? ....In other words, that also makes for a Devil's Proof."""
Ushiromiya Jessica,"""......It does. ......It's impossible to prove that a child between him and a mistress 'didn't exist'. ......So now that she's actually appeared, we have to assume that she does 'exist'."""
Ushiromiya George,"""That's a bit of a rushed argument. ......It's more realistic that someone caught wind of the trouble with the Ushiromiya family inheritance problem, knew about Grandfather's relationship with a mistress long ago, and impersonated her, trying to get something out of the inheritance problem."""
Ushiromiya Battler,"""......It is realistic. ...However, we can't deny the possibility that she really is a hidden child, who lived in isolation, forgotten by Grandfather, and who's returned for revenge, right...?"""
Ushiromiya Jessica,"""Revenge?! What do you mean?!"""
Ushiromiya Battler,"""Aaah, sorry, sorry... Guys just like to embellish things to make them sound interesting. I've seen too many weird dramas. Ihihihi!"""
,"Normally, that should have been a light joke."
,"......But it had come when a mystery guest calling herself Beatrice, who no one had invited, had marched in on the day of the family conference, when the bloody argument which the inheritance distribution had become was being discussed."
,.........There was no way that Battler's joke would be welcomed with laughter.
, So it was a really big help when Nanjo laughed energetically to calm everyone down.
Nanjo Terumasa,"""Hah-hah-hah-ha... I see, I see, that does sound quite interesting. I should love to read a novel with a plot like that."""
Ushiromiya Battler,"""Well, I don't think that could actually work. ......After all, right now, on this island, there's one, two, three..., 18 people, right? "
Ushiromiya Battler,"If they did something weird, they'd immediately be caught. And thanks to the typhoon, they can't even leave the island. In other words, it really doesn't look like some crazy crime is gonna happen."""
Ushiromiya George,"""......I agree. In a dead-end, without any way to escape, and in a situation where everyone is suspicous, I really don't think they could pull off a terrifying revenge drama like that."""
Nanjo Terumasa,"""Probably. ...In that case, it would be more realistic if she had come in secret, without showing herself. You do not often hear about people appearing openly for revenge except in historical plays."""
Ushiromiya Jessica,"""I don't get it. Revenge is based on emotion, not logic. Even if that's misplaced, maybe she isn't really afraid of the police or the number of people or that there's no way out."""
Ushiromiya George,"""It's alright, Jessica-chan. Nothing as horrible as we imagine will happen."""
Ushiromiya Battler,"""Ihihi! Like the battle royal between our parents over the inheritance isn't horrible."""
Ushiromiya Jessica,"""......That's right. ...Dad and Rudolf-oji-san are pretty tough, and Eva oba-san's even trained in the martial arts. ......It's alright. Yeah..."""
,"Jessica didn't say it, but she had vaguely noticed that her own father opposed all of the other siblings regarding the inheritance."
," They acted like everything was good in front of the children, but when that pretense was lifted away, like it had been at dinner, it would become a tumultuous uproar."
," It was only natural that Jessica, realizing that, would be frightened that her father and mother had gotten into some kind of trouble, ...and were about to be sacrificed for something terrifying..."
Ushiromiya Battler,"""Seriously. George-aniki's right. ...Nothing's gonna happen. Even if she pretends that she's a witch, what can a single human woman who can't even use magic do?"""
Ushiromiya Maria,"""Kihihihihihihihihihihihihihihihihihihi..."""
,"The sudden, creepy laugh made all of us jump."
,"......And when we realized that this strange laugh was coming from Maria, we were shocked again."
Ushiromiya Maria,""".........That's right. ...Battler, that's what you think, isn't it?"""
Ushiromiya Battler,"""Wh, .........what is? Don't laugh all creepy like that."""
Ushiromiya Maria,"""You accept Beatrice's existence for now. At least you accept her as the 19th person and a guest. ............But that's all, right? ...You don't accept that the 19th person, Beatrice, is a witch, right...?"""
Ushiromiya Battler,"""If I think about what I'm suddenly saying, ......that's probably right. Witches couldn't exist. It's impossible for it to be anything other than a human woman pretending to be one."""
Ushiromiya Maria,"""......Kihihihihihihihihihihihihihihi. Hmmm...? Isn't that odd, Battler? ......That's a Devil's Proof, right? ......Witches couldn't exist? But just because Battler's never met a witch, doesn't mean you can deny that witches exist, right...?"""
Ushiromiya Battler,""".....................That's right. ...That really is right. I can't prove that witches don't exist. ......However, even if I can't prove it, I can claim it. I claim that witches don't exist."""
Ushiromiya Maria,"""Why...? Why can you claim that witches don't exist even though you can't prove it...?"""
Ushiromiya Battler,"""Because things like that don't exist."""
Ushiromiya Maria,"""Kihihihihihihihihihihihihihihihi! So, that's QED? You're finished proving it without any evidence or basis? Setting aside your own superficiality is typical of the ignorant. A reckless suspension of thought. Kihihihihihihihi...!"""
Ushiromiya Battler,"""In that case, I have one answer, Maria. ......The witch's side has to show some proof themselves. This is another Devil's Proof. ......If you bring one, it'll be over quickly."""
Ushiromiya Battler,"""...In that case, this woman calling herself Beatrice would only have to display some wonderful, magnificent magic like the twinkling stars. She would only have to show us something that's impossible for humans, right?"""
Kumasawa Chiyo,"""......Come now, you two. Please settle down..."""
,"Kumasawa noticed that the atmosphere between them was getting worse, and tried to calm them."
,...It seemed as though Battler quickly realized that he wasn't acting like an adult.
," But Maria's expression didn't loosen.......As she laughed creepily, she kept staring at Battler..."
Ushiromiya Jessica,"""You quit it too, Maria. ...Let's get back in a good mood, alright?"""
Ushiromiya Maria,"""Kihihihihihihihihihihi, kihihihihihihihihihihihihi."""
Ushiromiya Battler,"""..............."""
Ushiromiya Maria,"""......If that's what you want, Beatrice will definitely show you. Something impossible for humans. When she does, you will believe too, right? About Beatrice."""
Ushiromiya Battler,"""............Sure. ......If she lets me have a look, I'll believe."""
Ushiromiya Maria,"""It's a chess argument between the witch and you, Battler. .........If you get checkmate, you will believe in the witch."""
Ushiromiya Battler,"""Oh, that's a stylish analogy. ......The witch shows her magic. My king is put into check. "
Ushiromiya Battler,"I quibble, saying that it would be possible to reproduce that by measures even a human could take, and my king escapes. ...And since if I couldn't do that, it'd be checkmate, that's a pretty good analogy."""
Ushiromiya Maria,"""Battler. ......In chess, you and your opponent have pieces which move in the same way. So you can predict your opponent's moves."
Ushiromiya Maria," ............But you know what? You haven't supposed that your opponent's pieces might be able to move in much more strange ways than yours. You've simply assumed that, since witches shouldn't exist, the movements of Beatrice's pieces will obviously be the same as your own."""
Ushiromiya Battler,"""....................."""
Ushiromiya Maria,"""......But you know what? .........Sorry Battler, but your chess partner isn't human. She's a witch. ......She can move her pieces in ways that humans can't. .........Right now, your knowledge is wrong. ...Battler, you like Kyrie oba-san's chessboard thinking, right?"""
