Speaker,Original Witch Hunt (OG)
,""".........Let it be heard. I am one yet many. What I speak is our tale. However, this is a small world, sealed by glass and cork, with no one to hear. None shall lay eyes upon it, and my entire tale shall be sealed away, set adrift in the sea of my heart until it disappears along with the seaweed......"""
Furfur,"""Ah, where is this place?! And who am I?!"""
Zepar,"""Then let me ask! Where do you want it to be? Who do you want to be?!"""
Furfur,"""Any place, so long as it will wrap itself around me gently! Anyone, so long as I am treated kindly!"""
Zepar,"""Yes, for us...!"""
Furfur,"""For us...!"""
,"""""Where and who we are hardly matters!!"""""
Clair,"""Correct. That is a very trivial thing to us. At least, until that day comes to pass. Why must we be thrown in the path of a new fate? Fate's pronouncement was sudden and abrupt."""
Zepar,"""That wasn't the fate I'd wished for."""
Furfur,"""But it did make your heart pound...!"""
Zepar,"""Where will the new fate take us?!"""
Furfur,"""It doesn't matter where!"""
,"""""So long as that place is kind to us...!!"""""
Clair,"""When we were brought to the temporary dwelling where sad, parent-less children gather, was that a sign of God's salvation, or a lure into the demon's game where the new fate would torment us? We have no way of knowing."""
Clair,"""And yet, we want to believe. We want to believe that it was God's salvation sent to us, a sign of 'fukuin', the Gospel."""
Furfur,"""But what does that mean for me? I have no religious beliefs!"""
Zepar,"""Then that wasn't the Gospel, but a demon's lure!"""
Clair,"""And yet we cannot go against fate. Oh, I am one yet many. I pray that the new fate brings us blessings. The time is 1976 AD, in April. A time in which it is still too cool to be called spring. The strange new land tormented us with the same stale air and drafts......"""
Ushiromiya Natsuhi,"""Those are all of the family rules. They may be strict, but I believe that the discipline you learn in this house will serve you well in the future."""
,"""""""Yes, Madam."""""""
,The servants who would start working this April all called out in unison.
, The rules of the Ushiromiya family are no more or less strict than those at the Fukuin House.
," However, here, we get paid a lot of money. They also give us a lot of help in finding our next job."
," We work for the Ushiromiya family, store up money, use their influence to get a job at a good company, and start on a new, happy life."
,"......That was the dream, and it was a very realistic one, held by all of us at the Fukuin House."
," However, not everyone can become an Ushiromiya family servant. Only kids with a record of exemplary conduct and good grades are recommended."
," So, all of the kids who want to be sure of leaving the Fukuin House to live a happy life are feverishly devoted to their studies......"
Ushiromiya Natsuhi,"""That's enough for today. Tomorrow, you start early. Make sure the lights are all out at the appropriate time. That is all."""
,"""""""Yes, Madam. Thank you very much."""""""
,"After bowing until Natsuhi was no longer in sight, the new servants all followed the lead of one of the more experienced servants and raised their heads."
