Speaker,Original Witch Hunt (OG)
,"......It was......, a pitch black room."
,"There were no windows, and with the weak light bulb, one could just barely make out the state of things around them."
,"It appeared to be an old forgotten underground storehouse, with some kind of dusty furniture haphazardly thrown into it......"
,"However, even with just a little light, one could at least tell that it probably wasn't a storehouse."
,......Because that room was sealed off with iron bars.
Ushiromiya Kyrie,"""......Where....is this.........?"""
Ushiromiya Krauss,"""I don't know.........I wonder, is this place underneath the mansion......?  Was there this kind of room......directly underneath the dining hall......?"""
,"They had dropped into what appeared to be a pit, and fallen into the room."
,"Therefore, it was appropriate to think that this room was directly under the dining hall."
,"......However, not even Krauss could bring himself to believe that there were pitfalls rigged in the beloved dining hall, where he had enjoyed his meals for years, ...and that directly below it was this dungeon-like room."
,"But the ceiling above was of crude stone craftsmanship, ......and they could not understand how they could have fallen from somewhere up there."
,"No, all five people who had been dropped here thought the same thing."
,"Although they had had the sensation of falling into a pit, ......there was no way there could be pitfalls in the dining hall, nor could this dungeon-like place be directly under it."
,"......But, the truth was that they actually had fallen into this place and were locked in.......And so, ...they had been confused."
Nanjo Terumasa,"""......It is lucky that no one was hurt after falling such a height..."""
Ushiromiya Krauss,"""........Shannon, Kanon.  Did either of you two know about this room...?"""
Kanon,"""......No.  We did not know of this room either."""
Ushiromiya Kyrie,"""..................Really...?"""
Shannon,"""R, really......  We really......don't know about a room like this......"""
,"Despite their age, Kyrie apparently wouldn't have found it odd that, as servants allowed to wear the One-winged Eagle, they might know of the mansion's secret tricks."
,"There was a long silence, as if Krauss was evaluating their answer..."
Ushiromiya Krauss,"""......No, it's probably true that you don't know.  Afterall, this is the clean-freak Shannon we're talking about."
Ushiromiya Krauss,"  If she knew about this room, she'd probably scrub this place until it was sparkling.  The filth of this room is proof that you two don't know of it.  ......More importantly than that, I think we should worry about what to do now."""
Nanjo Terumasa,"""E, exactly.....  We need to call the police....o, or rather administer first aid as soon as possible......"""
,Nanjo's words were hollow.
,...Obviously.
,Six people had been killed in the dining hall.  Everybody had seen the exact moment when they had been killed.
,"Besides, since half of their heads had been destroyed, anyone could tell that the deaths had been instant with just a single glance."
,Everyone understood that first aid no longer held any meaning......
Ushiromiya Kyrie,"""Thank you, Doctor Nanjo.  ......We already understand that our partners are no longer alive.  .........Thanks for trying to console us by mentioning first aid."""
Ushiromiya Krauss,""".........Natsuhi......................................."""
,"Once again, a gloomy silence gained control of them."
,"But Krauss shook his head harshly over and over, and, for the time being...decided to forget the pain of losing his wife, and to dedicate himself to figuring out where they were."
Ushiromiya Krauss,"""Everyone, listen to me.  ...............Father is.........hopeless now.  There is no longer any way...to ask him for an explanation or reason."""
,Nobody answered.
,"......Without any kind of discussion or mercy, six people had been killed in an instant."
,"And, Kinzo had even been so bold as to proclaim that we would become sacrifices for a ceremony involving 13 murders."
,"......Since we've been locked up in this place, we too will probably become the ceremony's next sacrifices soon."
,"Around this time, our eyes became used to the darkness...and, bit by bit, we were able to understand more about the dungeon's interior."
,......What we thought was furniture haphazardly left in the dungeon turned out to not be furniture at all.
,"They were, ......things like small cages to lock people in, restraints, or else, ......torture racks."
,".....At any rate, it was obvious that it was eerier than a mere jail cell."
,"Since the objects were rusted together and coated in thick dust, there was no doubt that they had been forgotten."
,......Maybe you could even call these things Kinzo's sealed and forgotten madness.
,"However, we had been locked away in this room."
,"......Those objects weren't exactly comforting to people who were locked up, hoping to be released without harm..."
Ushiromiya Krauss,"""......Anyway, let's get out of here.  We've lost loved ones and friends and would like to spend some time shedding tears, but more than that, ......I'm worried about the children."""
Shannon,""".........I...I wonder if the children are safe......"""
Ushiromiya Krauss,"""All we can do is pray...  ......Come to think of it, Kumasawa and Gohda aren't here."""
Shannon,"""Perhaps, ...they were able to get away safely..."""
Nanjo Terumasa,"""You never know.  It'd be a relief if they were able to meet up with the children..."""
Shannon,"""When it comes down to it, Gohda-san is reliable, and Kumasawa-san is knowledgeable and calm...  I'm sure they would be helpful to the children..."""
Ushiromiya Krauss,"""......Hahaha.  Well that's good."""
,"Shannon and Krauss smiled bitterly a little.But they quickly realized how improper that was, and stopped, clearing their throats."
Kanon,""".........We can't be optimistic, Nee-san.  There's a chance that they have already been attacked after we were."""
Ushiromiya Kyrie,"""I agree.  What Father carried out in the dining hall was......the six murders of the first twilight from the witch's epitaph, right?Then, the second twilight is to 'tear apart the two who are close'."
Ushiromiya Kyrie,"  ......We can't deny the possibility that Gohda-san and Kumasawa-san may have been killed after escaping together.  ......We can't cling to the optimistic idea that they definitely got to the guesthouse and are protecting the children."""
,Kyrie coldly analyzed the worst case scenario.
,"For her, it was heartbreaking to have lost her beloved husband........But right now, the most important thing was protecting that husband's son, along with the other children, from becoming the insane family head's sacrifices."
,She overcame her sadness with the parental urge to protect children from sorrow.
,"......It seemed that both Kyrie and Krauss were strong enough to forget about their grief, if only for the time being..."
,They would let their tears flow later.
,"......In order to protect the children, they had to act."
Ushiromiya Krauss,"""Anyway, let's get out of here...  It seems to be a rather old cell.  Couldn't we break the bars with something?  Let's try searching the entire room for some way to escape."""
Ushiromiya Kyrie,"""I wonder if there are some torture tools lying around all these torture cages.  They might be useful as weapons, or to break the bars."""
,Kyrie pulled a lighter from her pocket.
,"She herself didn't smoke, but she kept one tucked away in her pocket to light Rudolf's cigarettes."
,......It was an extremely valuable source of light for searching in this dim dungeon.
Ushiromiya Krauss,"""Shannon, help Kyrie-san search the room.  Kanon, you'll help me check out the bars.  This is a very old cell.  The bars could be loose."""
Nanjo Terumasa,"""W...what should I help with......?"""
Ushiromiya Krauss,"""Please just keep up your strength.  ......Father will probably come soon.  You're the only one whose words will reach him.  In a way, you might be holding our lives in your hands."""
Nanjo Terumasa,"""......My words, ...will no longer reach him, I think.  I'm sorry, but I don't believe I will be of any use......"""
Ushiromiya Kyrie,"""Then lend us your expertise as a doctor.  .........I wonder if there is a drug that makes people instantly faint."""
Shannon,"""......A drug that makes people instantly faint......?  What are you talking about......?"""
Ushiromiya Kyrie,"""We believe we fell through a pit, and landed in this dungeon.  ......In that panic stricken place, that's what we believed happened."
Ushiromiya Kyrie,"......But I measured the breadth of this room and came to a realization.  This dungeon cannot be underneath the dining hall."""
Shannon,"""Why do you say it cannot...?"""
Kanon,""".........You're an idiot, Nee-san.  If you compare it to the dining hall, this dungeon is too narrow."""
Ushiromiya Kyrie,"""Exactly.  The first person to fall was Krauss nii-san.  The second was myself.  When you fell into this room, did you move from that spot, Krauss nii-san?"""
Ushiromiya Krauss,"""......It's embarrassing to say, but the landing hurt, and I lied there groaning in pain.  Immediately after that, Kyrie-san came crashing down next to me."""
Ushiromiya Kyrie,"""The distance between where we were standing and the places where we landed is clearly strange."""
Nanjo Terumasa,"""C, ...certainly, when you put it that way.  ......I was the next to fall, so I remember fairly well where you two were standing.  ......The distance between you two in the dining hall might have been greater than this entire room."""
Ushiromiya Kyrie,"""We fell into a pit, and directly dropped down here.  ......It's not like we fell into multiple interlocking pipes, and were all collected here.  "
Ushiromiya Kyrie,"The fall was instant, wasn't it?  I don't remember rolling around in some sort of elaborate water pipe system."""
Ushiromiya Krauss,""".........Surely, we can't explain it with a pitfall.  ....What a strange tale."""
Shannon,"""What does that have to do, ......with the drug that makes people instantly faint that Kyrie-sama was talking about...?"""
Kanon,""".................................Kyrie-sama is probably thinking that there were no pitfalls in the dining hall, correct?"""
Ushiromiya Krauss,"""But in reality, we fell."""
Ushiromiya Kyrie,"""To put it accurately, we had the feeling that we fell into a pit.  ......Obviously.  That's the only way we can describe that experience."""
Nanjo Terumasa,"""I...I see......  In other words, this is what you want to say..."
Nanjo Terumasa,"......We did not fall through a pit........We were attacked with something like a blowdart, for example, and lost consciousness instantly.  It could be that we just remember the instant we fell to the floor as though it were falling through a pit......"""
Ushiromiya Krauss,"""............I see.  That's a much more persuasive argument than there being numerous pitfall traps in the dining hall that we've never noticed, even after decades eating there."""
Kanon,"""......Nee-san.  Do you have a watch?"""
Shannon,"""Eh?  .........Y...yes.  I have a pocket watch.  ........Umm, it's about 22:40."""
Kanon,""".........Yes.  My watch says the same.  ...In short, it hasn't been more than ten minutes since that uproar in the dining hall."""
Ushiromiya Krauss,"""My watch is the same.  ............That's much too short a time to knock us out and carry us somewhere.  .........Judging only from the time, it's appropriate to assume that we did fall through a hole leading directly underneath the dining hall."""
Ushiromiya Kyrie,"""They can tamper with the watch hands as much as they want.  ......While we were passed out, they may have wound everyone's watches back.  We are incapable of proving that this possibility doesn't exist."""
Nanjo Terumasa,"""...........................Whether a pitfall, or else a drug that induces fainting.........it does not change the fact that we need to be on guard..."""
Ushiromiya Kyrie,"""......Well then, Doctor Nanjo?  Is there a drug that can do that?"""
Nanjo Terumasa,"""Well, ..................It's the same as your logic, Kyrie-san.  ...I cannot prove that there is not a drug with that effect of which I do not know."""
Ushiromiya Kyrie,"""......As they say, you can never be too careful.  ...Sorry, it was a useless question.  I just thought that with my hypothesis, I could suggest that this dungeon is not necessarily directly underneath the dining hall."""
Ushiromiya Krauss,"""I see..........There's always the possibility that we were carried off to the hidden mansion they say Father built in the middle of the forest.  ......If we can escape from here and get outside, then we'll know.  We'll save worrying about that until after we get out."""
Ushiromiya Kyrie,"""Exactly.  I'm truly sorry.  I've only been asking and prying into useless things."""
Ushiromiya Krauss,"""No, it's quite promising.  If you notice anything else, please tell me.  It might become a hint to escaping from here."
Ushiromiya Krauss,".........I always heard from Rudolf.  He was always surprised by your advice, and it would sometimes become a valuable hint.  ......The fact that you're here is a blessing within a tragedy."""
Ushiromiya Kyrie,"""......Thank you.  I heard something from Rudolf-san as well.  He said that you usually just swagger about, but when things get serious, you overflow with a sense of responsibility, and are a very dependable older brother."""
Ushiromiya Krauss,"""Hahaha..., that's too kind.  .........Dammit, at any rate, these iron bars won't even budge.  How are things on your end, Kanon?"""
Kanon,""".........No, this side is no better."""
,Krauss and Kanon tried wiggling the bars in various ways.
,......There were a few bars that could be twisted...and a few had enough space to rattle a little bit around in...but they could not be broken with human strength alone.
,"......However, there was still hope if they could use some kind of lever-like tool."
,It was still far too early to give up yet.
,"The children's lives were hanging in the balance.......Even if there was no hope, they couldn't stop their struggle."
,"And, it was better for them to act this way."
,"......If they were to stop...there's no doubt they'd once again be overcome by the grief of loosing their loved ones, and crouch down, clutching their knees......"
Ushiromiya Krauss,"""How are you doing, Kyrie-san?  Find anything?"""
Ushiromiya Kyrie,"""......I've found some small stones that we could hold onto and hide.  Something like this could probably be a weapon.  Though, it'd be impossible to whittle down those iron bars.  How about you, Shannon-chan...?"""
Shannon,"""No, nothing.  "
Shannon,".........Ah, this is............a phone."""
Ushiromiya Kyrie,"""I doubt it's connected.  ......But, we might be able to use the cord as some form of string-based weapon.  If we break it, we could take out the metal parts.  Krauss Nii-san, there's a keyhole for opening the bars, right?"""
Ushiromiya Krauss,"""Yeah.  It's a pretty large hole, quite old fashioned.  ......If we twist some wire into it, we just might be able to pick it."""
Ushiromiya Kyrie,"""We might be able to use the metal parts of the phone as a substitute for something.  ......This phone will become our weapon."""
Ushiromiya Krauss,"""It's the same as an investment.  Information is our weapon."""
,Krauss and Kyrie laughed together at how they hadn't once thought of using the phone as a means of communication.
Kanon,"""............What are you doing, Nee-san."""
Shannon,"""Ah, ......um, ...I just wondered if maybe the phone was w, working......"""
Kanon,"""............You dummy, Nee-san.  (*whisper*)"""
Shannon,"""Eh...?  .........Huh?"""
,"At this point, Shannon let out a small surprised cry."
Shannon,"""K, Kyrie-sama...!  .....This phone, it's connected."""
Ushiromiya Kyrie,"""What did you say...?"""
,"It was like when people move out of an office, taking everything with them, leaving only the telephone behind...that's the feeling the phone gave off, having been left in the corner of the cell."
,"The cord was wound into a coil, the tip of it being swallowed by the wall, and at a glance, it wouldn't seem surprising if it were connected."
,"......But, to think that it was actually was connected somewhere..."
,"Kyrie took the receiver from Shannon and pressed it to her ear.Certainly, the electric hum of a phone was a familiar sound.......And this phone was certainly live."
Nanjo Terumasa,"""Wh...what good luck...!  Let's contact the police...!"""
Ushiromiya Krauss,"""Hold on...!  This is too good to be true.  It's bugged, isn't it...?!"""
Ushiromiya Kyrie,"""If they were planning a trick like that, normally they would cut the telephone line.  ......There's a good possibility that they actually overlooked this."
Ushiromiya Kyrie,"  If they notice, then they might actually cut the line this time.  There's nothing that we could tell the police that would be problematic for us if they overheard."""
,"......Surely that is true.The point of a wiretap is to overhear some important piece of information...but the way things are now, she could not think of a single thing that would come up in a conversation to the outside world that could be troublesome to have heard."
,Kyrie instantly concluded that it was more likely to be a mistake on Kinzo's part than a trap......
Nanjo Terumasa,"""Y...you do have a point......  I believe that you start with 0 to make calls to the outside......"""
Ushiromiya Kyrie,"""Kanon-kun, I'm going to make a phone call, so will you watch how things are out there for me?  If you sense somebody coming, let me know."""
Kanon,"""Y, yes......!"""
,"Kanon raced off towards the iron bars, silenced his breathing, and strained his ears......As everyone present watched her, Kyrie dialed 110..."
,"However, she pushed the hook down and re-dialed many times."
,......It didn't seem to be working very well.
Ushiromiya Kyrie,"""......The outside line begins with 0?  110 would be 0110 then, right?  It doesn't seem to want to go through..."""
Ushiromiya Krauss,"""Hand it over here, I'll try to call..................................."""
,"Krauss took the receiver in Kyrie's place, and tested various things......"
,"But in the end, they were unable to notify the police......"
,"The phone itself was definitely live, but the circuit was apparently cut somewhere."
,......Did this mean that 'they' were not so naive?
Shannon,"""......So it's useless after all......"""
Ushiromiya Kyrie,"""This means our enemies aren't naive themselves.................."""
,"Kyrie let out a deep sigh, leaned against the wall, and hung her head for a while."
,"As severe a girl as she was, for a brief moment, she might actually have had the naive hope that the phone could actually work."
,......She sneered at herself mockingly for holding onto that naive hope for even one moment.
,"And then, ......she remembered just what was happening here."
,"......Honestly...regardless of having been shown such a thing right before her eyes, ......or rather, exactly because of that..."
,"......She still could not think of that gruesome mass murder as something real...Rather than that she couldn't believe it, it was that she didn't want to."
,Ushiromiya Kinzo killed six family members.
,"He summoned strange witch-like, demon-like people, ......right out of thin air...............and with something like magic, ......began to kill people one after another.........."
,..........................
,"It's just all so screwed up.......Even though she definitely saw it, there was no way she could accept that spectacle......"
Ushiromiya Kyrie,""".........There's no way that's what happened.  .........Those were obviously Grandfather's friends, or something.  ......They just hid somewhere in the dining hall beforehand and used some tricks to appear suddenly and fool us.  ......There's no other way to explain something as screwed up as that."""
,"But when those six had had their heads blown apart, a golden arrow had flown around and around the room."
,"......That had truly looked like, /......magic."
,Was that another thing we just saw wrong?There's no way it was magic.  It was definitely some kind of setup.
,"......Since those heads were smashed, there's no doubt it was some explosive."
,"For example, a styrene toy plane like they sell at candy stores, painted gold...and with a powerful explosive loaded onto the end of it."
,".......However, at a glance, it had seemed to be flying at random...but Kyrie couldn't imagine that after being fired six times, each time had perfectly hit the victims square in the head, one after the other."
,"It couldn't be that there was a computer control system for finding and hitting targets, which would make it a high-tech styrene plane on the same level as a guided missile, right...?"
Ushiromiya Kyrie,""".........Would he invest such a large amount of money into developing some stupid trick like that?  .......For that insane entertainment......?  Does this come back to the old 'I wouldn't put it past Father'......?"""
,"A number of mysterious people appeared out of thin air, ......6 people had had their heads demolished by a mysterious golden flying object, ......the five of us were locked away in a mysterious dungeon by a mysterious set of pitfalls, or else put to sleep by some fainting poison dart......"
,The family conference had started a bit after 22:00.......It's only been about 30 minutes since then.
,"Probably, even though I witnessed it myself, ......since that event took place in such a short amount of time, I still can't understand it, and I still can't come to grips with it."
,"For argument's sake, even if we did get ahold of the police, it would probably be impossible for anybody to accurately explain what we saw......"
,"Regardless of having just seen it, ......my brain's fried, and I have no self-confidence even in what I saw myself..."
,"Kyrie tried her hardest to cheer herself out of her overwhelming confusion, to just hold onto her sanity......"
Ushiromiya Krauss,"""Dammit......what's going on here, ......dammit, ...dammit...!"""
,"Krauss started to become desperate, hitting the hook multiple times, resetting the dial."
,"......Krauss had also been feigning composure, but he was unable to hide his panic."
,"The more he retried the dial, the more the pretense of serenity peeled away..."
,I don't know what's going on anymore......
,Kyrie couldn't help but pray that the events that had just occurred were a dream...
,".........At that time, the look on Krauss's face changed."
Ushiromiya Krauss,"""Uu, o......oh...!  I got through, I got through...!  It's ringing...!"""
Nanjo Terumasa,"""R, really, Krauss-san...?!"""
Ushiromiya Krauss,"""I see, how frivolous, old man...!  Since we can't contact the police, it seems that the external line is cut, but he missed out on severing the internal line...!"""
Ushiromiya Kyrie,"""Inside line?  Krauss-san, where did you call...?!"""
Ushiromiya Krauss,"""The guesthouse.  I'm calling the room where Jessica and the rest are staying...!"
Ushiromiya Krauss,"  ......Ah?!  Hello!  Hello?!  It's me...!  You're...!  Gohda?!  Is Jessica there, is she safe...?!!"""
Gohda Toshiro,"""K, Krauss-sama......!!  I'm so glad you're safe!!  Yes!  Lady Jessica and the other children are here as well, safe and unharmed...!"""
Ushiromiya Jessica,"""Dad!!  It's Dad?!  I'm so glad you're okay......!!  Is Mom okay?!  Is she there?!"""
Ushiromiya Krauss,""".........M, ......"""
,Krauss choked on his words.
,"......Krauss had clearly seen Natushi's head crushed, had seen her killed right before his eyes......"
,"Eventually, he was going to have to tell that to Jessica."
,".....However, Krauss began to fret over whether he should tell her now or not, and lost his words."
,......But even that was an answer under these circumstances......
Ushiromiya Krauss,"""......I don't know about Mom............Let's pray she's safe.  ...For now, I'm just glad you're safe."
Ushiromiya Jessica,"""..........................Yeah.  ......I understand.  .........I'm sorry for, ......asking."""
,"Jessica's voice was filled with tears.........There was no doubt for Krauss anymore.When Gohda and Kumasawa had met them at the guesthouse, Jessica and the rest had heard everything, start to finish..."
,"Most likely, when they learned that six people had been killed, they had worked themselves into a frenzy to go to the dining hall."
,.........Luckily he had been able to call before they had stormed off towards the mansion.Krauss was relieved at his good timing during such tragedy...
Ushiromiya Krauss,"""We have Kyrie-san and Doctor Nanjo, as well as Shannon and Kanon here.  We've been locked in a place that's like a dungeon, but don't worry.  We'll figure something out."""
Ushiromiya Jessica,"""Dungeon?  Where?!  We'll come save you...!!"""
Ushiromiya Krauss,"""Unfortunately, we can't figure out where this is either.  We think it might be under the dining hall, but that might not be true.  .........Anyways, Jessica.  You mustn't leave there.  You've heard from Gohda what happened?"""
Ushiromiya Jessica,"""Yeah............Grandfather......-ed.../...everyone......"""
Ushiromiya Krauss,"""Grandfather isn't in a sane state of mind right now.  It'd be dangerous if you happen to meet him.  You might be killed...!  You mustn't even think about trying to come and save us...!  We'll take care of ourselves."""
Ushiromiya Jessica,"""Th, then what should we do?!  Damn you, Grandfather, how dare you do that to Mom and the rest......!  I'm gonna kill that worthless bastard...!!"""
Ushiromiya Krauss,"""Jessica, if you talk like that, you'll sadden your mother.  A lady isn't someone who uses those kinds of words."""
Ushiromiya Jessica,"""Uuuuuuu......, uuuuuu......!!"""
Ushiromiya Krauss,"""Anyway, put your own safety first.  Lock all the guesthouse doors.  ......But you mustn't overestimate how safe that'll make you.  The large window in the first floor lounge might get broken."
Ushiromiya Krauss,"  Stay in that room, and use a bed to make a barricade.  There's a toilet and fridge in there too, right?  You should be able to stay holed up until tomorrow morning."
Ushiromiya Krauss,"  ......Alright, I'll say it again...don't think of anything dangerous.  Don't even think about trying to take revenge for Mom!  Only think of hiding, without agitating the enemies."""
Ushiromiya Jessica,"""Yeah....., yeah....!!  I understand, ......Dad......!  Uuuuuuuuuu!!"""
,"After that, Gohda took the phone, and was told again to watch over the kids."
,"......Gohda, with his face covered in cold sweat, repeatedly replied in an overstrained ""Yes! Yes!""."
,"From there, Kyrie received the phone and spoke with Battler, and when Shannon and Kanon got their turn, George and Jessica answered.  And following that, Nanjo and Kumasawa picked up as well, so that all members of both sides took the receiver alternately, confirming that everyone was safe for now, even if their location was unknown, and encouraging each other, coming to an understanding on the current situation for both sides."
,"They wanted to talk forever, but now was not the time to chat."
,"Krauss explained that they would be hanging up for now, and those in the guesthouse consented."
Ushiromiya Krauss,"""If anything happens, we'll call.  Wait by the phone so you can pick it up quickly.  Again, be careful.  You mustn't do anything rash...!"""
Ushiromiya Jessica,"""Y......yeah, I understand......  As long as Dad and, ......Kanon-kun and the rest are safe, ......then that's good enough for me...........We'll do our best.  Somehow, stay safe...!"""
Ushiromiya Krauss,"""Yeah, of course.  Well then, I'm hanging up for now.  Be on your guard."""
,"With that, the phone call ended."
,"Gohda and the rest of the men quickly descended to the first floor, closed the shutters, and secured the strong locks on the doors."
,"However, just as Krauss had worried, there was nothing that could be done about the beautiful wide window in the first floor lounge."
,"If this were to be broken, it would be easy to get inside."
,"It wouldn't be hard for someone like Kinzo, who hadn't hesitated at committing murder, to invade the first floor."
Ushiromiya George,"""......It's likely that Grandfather and his followers will be armed.  Locking ourselves in this room is our best bet, and moreover our only method of staying locked down.  ......It's painful that we have no choice but to hole up in a sealed room, but if our enemies are carrying guns, then that's the only method we have left to us."""
Gohda Toshiro,"""Y, you mean about how the Master has a collection of working guns.  ......That's right, guns, that was a gun...  If so, ......it's a horribly powerful gun...!  W, we can't contend with that at all...!"""
Ushiromiya Battler,"""............It takes a lot of force to smash someone's head, right?  So it might be a magnum bullet, or something along those lines.  That'll probably go through a flimsy door like it's nothing."""
Ushiromiya George,"""If so, then that's even more of a reason to hold out in the room...  Let's put up a bed and block the window.  ......If we do that much, then it doesn't matter how many guns they've got, they shouldn't be able to raid us."""
Ushiromiya Battler,"""Crap, ......all we can do is this passive, one-sided defense.  ...Damn, dealing a finishing blow to Dad, and even capturing Kyrie......that's going to cost you, you damn geezer...!"""
Gohda Toshiro,"""I, i, i, impossible, there's no way we can compete with them...!!  Besides, it's not just the Master, he has his underlings too!  T, there might even be more of them...!  .........Just what......, are they......?"""
,"Battler was filled to the brim with the urge to get revenge for Rudolf, and to rush out of here to save Kyrie."
,"......But just by looking at how terrified Gohda was, there was no doubt in him that this would be reckless..."
