Speaker,Original Witch Hunt (OG)
,"I had planned on taking a nap, ......but the boat really was shaking bad."
,I gave up on sleeping and went up onto the deck.I was welcomed by the shining sun and a strong sea breeze...
,Amakusa had been doing some stretches on the deck.
,......He probably had a lot of time on his hands too.Since it'd take a while longer to reach Niijima.
,"It would only have taken a couple dozen minutes by airplane, but there had been the chance that the Niijima airport was under the Sumadera family's web."
,"The harbor would probably be the same.For that reason, I had obtained a boat that would let me land while avoiding the harbor, no questions asked."
,"I'd bumped into a cheery boat captain, plied him generously, and he had decided to help me out, amused......"
Ushiromiya Ange,"""Still going to be a while?"""
Amakusa Juuza,"""I just asked the captain, and it sounds like it'll take a full two hours more.  Well, you can't call this luxury."""
Ushiromiya Ange,""".........The weather sure is nice.  Feels like I'll burn."""
Amakusa Juuza,"""Going to read on the deck?  You'll damage your book."""
,Amakusa apparently thought that since I was clutching Maria onee-chan's diary under my arm.
,"I'd been reading it half asleep, which was why I had come back up still clutching it."
Amakusa Juuza,"""How's it going?  Think you'll be able to find the truth of Rokkenjima from Maria-san's diary?"""
Ushiromiya Ange,""".........Who knows.  No matter how much I investigate what happened on that island, it won't make for anything more than a theory.  There's no truth written in the message bottle or Onee-chan's diary, just a fairy tale with a witch walking around.  ......I'm stuck."""
Amakusa Juuza,"""Looks like you've got nothing to look forward to except questioning those involved on Niijima."""
Ushiromiya Ange,"""I imagine the Witch Hunters have showered them with questions over and over, so I'm pretty sure I won't find any new facts."""
Amakusa Juuza,"""Hehhaha...!  So even though your hopes are that low, you're willing to spend a half-day trip on a boat to go to Niijima anyway!  You really are fickle."""
Ushiromiya Ange,""".........It's like a journey of self-satisfaction, so that I can say 'I investigated'.  I'm not so naive as to seriously think that the truth of 12 years ago will be revealed."""
Amakusa Juuza,"""When you've finished with your self-satisfaction, what do you plan to do?"""
Ushiromiya Ange,"""Who knows.  Haven't thought of it.  .........I'll go to Niijima, ask some people who were involved.  ...Then, after going to Rokkenjima in the end and leaving some flowers, my journey will be over."""
,.........Several days have already passed since this journey began.
,"After being told by Bernkastel on the roof of that building to search for the truth of 12 years ago, I had left on a journey like trying to grasp a cloud."
,"At the time, I'd felt something mystical, and had had the feeling that I might be able to grasp some kind of miracle at the end of this journey."
,"......But after several days passed, my excitement died down."
,"On that day, when I stood on the roof of that skyscraper, my heart had been completely cornered, and dead."
,"......So I had wanted from the bottom of my heart to be released from the cage of my body and rise into the sky, ......and had crossed the fence in order to die."
,"Maybe experiencing the desire to die and actually stepping forwards, throwing my body down...caused some kind of mystical experience inside my head, making me think I had received a message from a witch."
,".........The excitement from jumping down lessened over time, and the more I came back to my senses, the more this journey lost its meaning."
,But I didn't consider suspending this journey just because of that.
,"If I stop this journey, it will mean acknowledging that the message from that witch was an illusion."
,"And I could imagine that meant throwing away the promise the witch had made, and any chance that someone from my family might come back."
,"So, because it was hard to believe that those events were an illusion, I've continued on my journey."
,I don't seriously believe that this journey will change anything.......It's even up to me when to end this journey.  It's up to me to choose where the final destination is.
,"In the end, this journey is only for my self-satisfaction......"
Amakusa Juuza,"""............Self-satisfaction, is it.  It sounds bad when you say it, but I think that's actually what life is all about."""
Ushiromiya Ange,"""......Heh.  If that's the answer you've reached after hovering over the line between life and death in the mercenary business, that's probably pretty deep."""
Amakusa Juuza,"""Don't take it so lightly.  What I'm trying to say is that the only one who can acknowledge you in this world is you yourself."""
,Amakusa continued stretching as he spoke.In a mortifyingly brisk way.
,"Hearing it told to me as though from a teacher made me instinctively want to resist, but what he was saying was extremely sensible."
Ushiromiya Ange,"""........................That may be true.  "
Ushiromiya Ange,"People work hard when they want to be acknowledged by someone.  ......In most cases, that someone is their parents.  Children learn how to work hard because they want to be praised by their parents.  .........Although that's why I never learned."""
Amakusa Juuza,"""Sorry, that's not what I intended when I spoke.  "
Amakusa Juuza,"......What I want to say is that self-satisfaction is usually alright.  No matter who praises you, it's meaningless unless you can accept that.  ......Turning it around, even if no one praises you, that doesn't matter as long as you can accept it."""
Ushiromiya Ange,""".........Self-satisfaction and aspirations contradict each other, so we're usually taught that the former is bad.  Your argument seems somehow fresh, Amakusa."""
Amakusa Juuza,"""The anguish of the human world comes when you want someone to acknowledge you, but you don't know what it is you should be striving for.  I had a time like that too."
Amakusa Juuza,"  I wanted someone to acknowledge me, but I didn't know what I wanted them to acknowledge about me.  And since I didn't know what to strive for or how far I should go to be acknowledged by someone, I did a lot of crazy things."""
Ushiromiya Ange,"""And the answer you reached, ......was self-satisfaction?"""
Amakusa Juuza,"""It sounds bad, but that's how it is.  Rich is the one who is content with what they are, they say."
Amakusa Juuza,".........If I live my life believing that this is enough, that's not something to be nagged over and criticized by others.  It's the same for your life, and for this journey.  No one has any right to criticize you other than you yourself, Ange-san."
Amakusa Juuza,"You are the only one who determines the meaning and results of your journey, Ange-san.  If it's been a meaningful journey for you, then that's more than enough."""
Ushiromiya Ange,"""...........................I'd thought you were a guy who liked to talk nonsense, but you really do say some weird things every once in a while.  I'll bet you think saying things like that every now and then will get you popular."""
Amakusa Juuza,"""You must be joking.  That's not what I had in mind when I said it.  .........It looks like you want to be alone.  I'll head over to see the boat captain.  Please, take your time."""
,It seemed Amakusa had decided I was in a bad mood.......Although I didn't feel that way myself.
,Or he might have finished a set of stretches and wanted to cool off in the shade.
,"The sea winds were strong, but not enough to cool the rays of the sun."
,Amakusa disappeared.Only I remained.
Ushiromiya Ange,""".........Self-satisfaction is life itself, he says."""
Mammon,"""That's just boring.  Life is nothing without greed."""
,"I noticed that Mammon had suddenly appeared, her abundant hair fluttering over by the prow of the ship."
Ushiromiya Ange,"""It's true that a life of greed would be fun.  But unlike you, humans have a limited life-span.  "
Ushiromiya Ange,"If greed remains for eternity, that means that a person has desires even in the last moment before they die.  Having desires means that there's something they want.  Something they don't have, some way they aren't complete."
Ushiromiya Ange,"......I'm sure it's tough to die when you can't think of your life as being fulfilled.  So I'm sure self-satisfaction is necessary."""
Mammon,""".........I see.  Because of the existence of a life span, you have to find a common ground there?  All of my masters had very long life spans, so I've never thought of it."""
Ushiromiya Ange,"""I wonder if humans live so that they can be satisfied.  ......If so, unselfishly is probably the easiest way to live.  ...I see, I understand why greed is one of the seven deadly sins."""
Mammon,"""*giggle*.  Your praise honors me."""
,Apparently that counted as praise in Mammon's eyes.She turned and gave a graceful bow.
Mammon,"""Ange-sama.  Do humans live so that they can be satisfied at the moment of their death?"""
Ushiromiya Ange,"""......Wouldn't it be pretty tough if you were unsatisfied about something at the moment of your death?"""
Mammon,"""If so, then humans live only so that they can meet a satisfied death.  They live so that they can have a better death.  They live so that they can die."""
,"............This kid's saying something pretty incredible....I see, as I'd expect from a demon stake."
,"However, that might be the truth.Humans suffer because they aren't satisfied, and live only to be satisfied."
,"In other words, that might be the same as a desire to die while satisfied."
Ushiromiya Ange,"""I can't counter that.  ......People live in order to be satisfied.  And they hope to die while still satisfied.  So, not knowing how to make yourself become satisfied is very tough."""
Mammon,"""What can they do to become satisfied?  In a human's life."""
Ushiromiya Ange,""".........Being acknowledged.  Hearing 'you are happy'."""
Mammon,"""If it doesn't matter who acknowledges them, then I will do so."""
Ushiromiya Ange,"""Yes, there's that.  .........People don't know who they should have acknowledge them."""
Mammon,"""So, searching for that person to acknowledge them is the journey of life?  Hmmmm."""
Ushiromiya Ange,"""It sounds strange.  Whether you're acknowledged or not, it supposedly doesn't change your circumstances.  ......And yet, if you are acknowledged you will be satisfied, while if you aren't then you won't."
Ushiromiya Ange,"  ...It's almost like the blue bird.  ......Because you can't notice the blue bird even though it's already in the cage, you have to go out on a journey searching everywhere."""
Mammon,"""What the heck.  Kyahhahaha.  Human lives sure are stupid."""
Ushiromiya Ange,"""That's right.  Amakusa said something really good.  ......Rich is the one who is content with what they are...was it?  I don't know where that proverb came from, but it has a deep meaning."
Ushiromiya Ange,"  ......In short, if you won't be satisfied enough unless someone acknowledges you, that's the same as not acknowledging yourself.  ......The ultimate in self-fulfillment is acknowledging yourself."""
Mammon,"""That's right.  Because if you can become aware that you are fully satisfied, there's no need to be acknowledged by anyone.  Just by taking notice of the small things, the humans' foolish journey of life can be ended easily.  "
Mammon,"You can spend the rest of your life playing and having a good time.  A human's life is so ridiculous, kyahhahahaha!"""
,"Mammon's choice of words was bad, but it was surely the truth."
,"If most of a human's life is a journey where they wish that someone would acknowledge them, so that they could achieve a satisfied death..."
,".........Then when they realize that the person to acknowledge them is not someone else, but they themselves, that pointless journey can end."
,Humans who have ended that journey can probably spend the rest of their lives as they wish with their chests stuck out.
,"......How sublime, how praiseworthy would that be."
Ushiromiya Ange,"""You know, it seems Amakusa's on pretty bad terms with his parents.  ......That makes sense.  He's in the kind of trade that'd have proper parents wanting to make him wash his hands of it."""
Mammon,"""Isn't that alright though?  As long as it's fun for the person in question."""
Ushiromiya Ange,""".........Exactly.  That's what it comes down to in the end.  Criticism of yourself as you're observed by others doesn't matter."
Ushiromiya Ange,"  If your existence is firmly acknowledged by you yourself, that's enough.  ......If you can live with confidence in yourself, surely you can accept any kind of lifestyle."
Ushiromiya Ange,I'm sure Amakusa will eventually eat a stray bullet on the battlefield and get seriously injured.  ...He might even die.  
Ushiromiya Ange,"But I don't think Amakusa thinks that's unreasonable.  I'm sure he'd cackle about how that's also part of life."""
Mammon,"""What a great way to live.  I'm enchanted."""
Ushiromiya Ange,"""......Pitiful humans who aren't acknowledged by themselves...wander about searching for that their whole lives, and without anything being accepted, they do nothing but grumble and die while still unsatisfied."
