Speaker,Original Witch Hunt (OG)
,The true enemy of a siege isn't the fear of unseen enemies. It's probably about whether you can keep that going over a long period of time.
," Maria had gotten bored and had started making a ruckus because she wanted to watch TV. Since there was no TV in the lobby, we decided to return to the cousins' room on the second floor."
, They probably expected that we wouldn't want to leave Maria all alone. The adults told all the children to go to the second floor cousins' room.
," George, whose heart was wounded by the loss of the person he was engaged to, led the cousins up to the second floor without any resistance."
," At first, Nanjo had been reading a book in the lobby, but when he noticed that the relatives looked like they wanted to talk about something sinister, he said 'it seems I am in the way' and returned to his room on the second floor."
Ushiromiya Rudolf,"""............I'm starving. If we just sit around, we'll get even sleepier."""
Ushiromiya Rosa,"""It's only natural. Because we didn't sleep last night."""
Ushiromiya Krauss,"""...We will probably end up barricaded here for a full 24 hours. It may be wiser to take naps in turn instead of over-stressing ourselves."""
Ushiromiya Natsuhi,"""That's right. My husband and I will be here, so anyone who finds this difficult should rest without overdoing it."""
Ushiromiya Eva,"""Our opponent might be expecting that, right? While they couldn't defeat this many people, if that number was reduced by a certain amount, they may plan to use it to their advantage."""
Ushiromiya Kyrie,"""There are seven of us here. We could take three hour shifts in pairs. ......It's a long time until tomorrow. We still have some energy now, but tonight's going to be tough."""
Ushiromiya Hideyoshi,"""Sure will. Anyone sleepy? Don't overdo it, and rest."""
,"Hideyoshi looked around at everyone to see who wanted to sleep first, but no one volunteered."
,"...Everyone was just as tired, but no one was bold enough to be able to sleep now.......Their fear of the unknown culprit was just as strong as their sleepiness."
Ushiromiya Hideyoshi,"""......Nobody? Well, don't overdo it, everyone."""
Ushiromiya Eva,"""If we get tired, then we can think about it. ......I certainly am tired, but I'm not in the mood now."""
,"As Eva spoke sharply, she reminded everyone of the second letter from Beatrice, which had been found in the boiler room."
," Beatrice had sent them two letters, and had repeatedly told them to solve the riddle of the epitaph."
, And she had even provoked them by saying she would give up her assets and the inheritance if it could be solved...
, Eva took out a notebook and opened it to a page with the epitaph copied onto it.
Ushiromiya Kyrie,"""............Is that the epitaph?"""
Ushiromiya Eva,"""Yes. ......Although it's annoying to do as the culprit says. After all, we do have time to waste. I think it's the perfect way to stave off boredom."""
Ushiromiya Krauss,"""...Not a bad way to kill time. Why don't we challenge it together as siblings?"""
