Speaker,Original Witch Hunt (OG)
Leviathan,"""Hey!!  That's mi-ne!  Give-it-back-!!"""
Beelzebub,"""No, no, I'll eat i~t!  Asmo, Asmo, pass!"""
Asmodeus,"""Kya-hahahaha!  Over here, Levia onee-sama~!"""
,"I wonder where they swiped it from.They were fighting over a donut or something, playing around really loudly."
Satan,"""Heeeeey!!  Ange-sama is reading, so can't you be a little more quiet?!"""
Lucifer,"""You're the loudest one by yelling that, Satan!  Be silent!!  You foolish sister!"""
Satan,"""Y, you're the loud one, Lucifer onee-sama!!  D, do you have a complaint?!"""
,"The oldest and the third oldest sister were already used to arguing with each other.Even though they're both so quick to anger, it's a bit funny how they're both having to hold back a little."
,"They might be surprisingly like each other."
Belphegor,"""*cackle*cackle*.  You were told to be noisy, but this is a bit too much.  Won't you lower the volume a little?"""
Ushiromiya Ange,"""............They can mess around all they want.  It's a hundred times more pleasant than the shrill laughter in the classroom."""
Mammon,"""Ange-samaa, go to the next page quickly!  You read really sloow!"""
Ushiromiya Ange,"""You like to read, Mammon?  And you looked like you'd be the worst at doing plain things."""
Belphegor,"""Mammon controls greed.  ......That also includes a thirst for knowledge.  Still, she wants to keep that knowledge all for herself, so be warned that she refuses to let people read any book you give her, and sometimes burns them after reading them."""
Mammon,"""I like learning things that no one else knows.  I like being able to do things that no one else can do.  So I like studying and practicing.  Because I want to keep intelligence that no one else knows about all to myself."""
,"As Mammon said that, her eyes sparkling, she peered down at the page that was open and read through it again."
,"You could see the greed that made her covet the same page even more thoroughly than I did."
,"As you can see, my magical power has grown much stronger than it was on the first day I summoned them."
,"By now, I've gotten so that I can summon all of the Seven Sisters of Purgatory at once and still calmly read a book like this."
,"This place, although I can't recall where it was, is a quiet and calm street-side bench."
,"I had been young back then, so I don't remember where this is."
,"......Still, I remember that my days walking here had been a lot of fun."
,"Together with Dad, Mom, ...and even Onii-chan, it was a memory of a very rare and very happy day when everyone had been together..."
,"The people who walked by every once in a while didn't notice me.They just pleasantly ignored me and passed by as though everything was normal."
,"Even the Seven Sisters' incredible outfits weren't embarrassing or anything, because it wasn't like anyone was actually watching."
,"Come to think of it, I'm getting pretty used to it.  As long as they don't make me wear those."
,"I was sitting on a stylish bench, memorizing a timeline for world history."
,"......In an academy system where everything is based on collective responsibility, there's no tolerance for dunces."
,"It seemed that I was considerably below the average grade for the class."
,"According to those extremely intellectual girls, if I alone improved my grade, the average would rise drastically."
,"......They had been kind enough to show me with a graph drawn by colorful pens on a B4 sheet of drawing paper."
,"...Just thinking of the effort it had taken to draw that was repulsive."
,"But I've already spat out all of those complaints.......I've already spat out at them with my constant and furious anger and sadness."
,"The Seven Sisters were sometimes indignant, sometimes compassionate, and sometimes mourned along with me."
,"......I was truly happy to be able to share emotions like that with friends."
,"It's said that they were originally furniture that existed to carry out Beatrice's cruel sacrifice ceremony."
,"......According to the occult message bottle, which I didn't like, ...it seems that several of them even attacked my family."
,"But I don't believe that, and it's pointless to question them about it."
,"They are furniture, so they only respond to their master's requests."
,"Even if they really did attack my family, I can't hate them."
,"......What I really hated, ......was the Golden Witch Beatrice..........Or else the ringleader of the Ushiromiya Suspicion, Eva oba-san."
Mammon,"""......Ange-sama, quickly, the next page."""
Ushiromiya Ange,"""Oh, sorry.  .........I'm tired.  Mind if I take a break?"""
Asmodeus,"""Kyahaha!  Ange-sama said break!"""
Beelzebub,"""Let's play, let's play!  Ange-sama, let's pla-y!!"""
,"When they noticed that I had interrupted my studying, the most energetic youngest sisters gathered around me."
,"That wasn't all."
,"Even Maria onee-chan and Sakutaro showed themselves."
,"They had probably been very close by, but they must have hid themselves so that they didn't interrupt my studying."
Sakutarou,"『Uryu-!  Ange~!  How's studying?  How's studying?』"
Mammon,"""Kyaaah!!  Sakutaro-!!  How are yooooouu?!"""
Leviathan,"""Wait a second!  Let me squeeze him tooooooooooo!!"""
