Speaker,Original Witch Hunt (OG)
Ushiromiya Ange,"""Amakusa, could you turn that off?"""
Amakusa Juuza,"""Whoops, my bad.  You don't like M. Zakky?"""
Ushiromiya Ange,"""I'm just not in the mood."""
,"Amakusa turned the radio off."
,"The world of cheery sounds was immediately swallowed up by the roar of the sea, and blotted out by the ocean's gray......"
Captain Kawabata,""".........Can you see it?  Over there's where the harbor was at the time."""
Ushiromiya Ange,"""........................"""
,"The boat captain pointed, but I couldn't really recall that scene of 12 years ago."
,"......I had believed that I would surely be able to immediately remember how things had been at the time, ...but no memories came back to me."
,"After that incident, the island was sealed off and left to the wild."
,"......That was probably reasonable as well, but being unable to satisfy myself, ...was sad and painful for some reason."
,".........Ah, but I at least remember one thing."
,"You could say that it would probably be the same anywhere on the sea, ......but I remember at least one thing."
,"The cries...of the seagulls.I do remember...those."
,"......When I had been young, I'd rarely gone to the ocean."
,"...So everything that symbolized the ocean meant Rokkenjima and a family gathering to me."
,"In short, ......it was a symbol for the happiness of going out with my family."
,"However, at this point in time, it seems doubtful whether that even was happiness."
,"In my younger days, the trip had felt like a relaxed family vacation, but considering my parents' situation at the time, it was surely a very difficult trip to handle, with the distribution of the inheritance filling the place with the smell of gunpowder."
,"I can remember giggling all over the place, completely ignorant of my parents' feelings..."
Amakusa Juuza,"""Rokkenjima, ......is it.  The beginning of everything, and the last stop for all journeys."""
,"Amakusa, in an attempt to speak for my innermost feelings, tried to sound cool."
,"The boat slowly rounded the island.......As the angle changed, I hoped that my memories of the island's silhouette at the time might come back just a little, but in the end, even though the inlet was completely hidden by cliffs, I wasn't able to remember anything..."
Ushiromiya Ange,"""......Captain, that thing you mentioned...about the other harbor...please tell me about it."""
Captain Kawabata,"""Hmmm.  .........Rokkenjima supposedly has only one harbor.  But that's only it's public appearance."""
Ushiromiya Ange,"""On the back of the island, there's another hidden harbor.  .........Like Rokkenjima itself.  It has a second face, which no one knows about..."""
Captain Kawabata,"""............Rokkenjima is an island in the possession of the Ushiromiya family.  But it has another face, as an island owned by Kinzo-san personally......"""
Amakusa Juuza,"""So this island, ...has two harbors and two mansions.  He sure spent a lot just so that he could keep a mistress."""
Ushiromiya Ange,"""And who knew about this other harbor...?"""
Captain Kawabata,"""Very few.  Kinzo-san, the butler Genji-san.  Those of us involved with the boats, and a very small number of the oldest servants.  ......Both the previous owner of the Nanjo clinic and that Kumasawa baa-san knew.  Naming them off like this makes it sound like there were quite a few, but in any event, there was a small number of people who knew."""
Ushiromiya Ange,"""Please...tell me about that other mansion."""
Captain Kawabata,"""......I was only told that there was a mansion called Kuwadorian.  Since I wasn't permitted to leave the boat, I never saw it, not even once."""
Amakusa Juuza,"""So it was far away enough that you couldn't see it from the harbor?"""
Captain Kawabata,"""I don't know.  ......But it was a hidden mansion after all.  Probably was built where you couldn't see it from the outside.  ...Anyways, Kuwadorian was the biggest secret of that island."""
Ushiromiya Ange,"""There's a theory that Beatrice lived in Kuwadorian, or else was confined there.  What do you think, Captain?"""
Captain Kawabata,"""......I did sometimes carry miscellaneous goods to Kuwadorian.  And that included a lot of high-class stuff that only women would use.  ......I also am convinced that theory is true."""
Amakusa Juuza,"""So does that mean you never saw Beatrice directly, Captain?"""
Captain Kawabata,"""Nope.  Came and went for about 20 years, and I never saw her once."""
Amakusa Juuza,"""Twenty years...!  Whew, that means she was at least 20+.  Look's like she wasn't any mademoiselle."""
Captain Kawabata,"""But one day, *bang*, all coming and going to and from Kuwadorian suddenly stopped.  That was about 30 years ago, ......so around Showa 43 (1968), I think."""
Ushiromiya Ange,"""*bang*?  You mean suddenly?"""
Captain Kawabata,"""......We came by the back on a specified schedule to carry food and trash one way or the other.  ......Oh, when I say the back, I mean the harbor on the Kuwadorian side."""
Ushiromiya Ange,"""I get it.  ...So then?"""
Captain Kawabata,"""One day, we got an urgent message from Genji-san.  He said that until we heard differently, there was no need for us to go to the back anymore."""
Amakusa Juuza,"""And did you hear differently?"""
Captain Kawabata,"""Not in particular.  In short, one day, suddenly, I was told that they wouldn't need regular service at the back anymore, and that I didn't have to take food there either.  ......At first, I thought I was being fired."
Captain Kawabata,"  But I quickly noticed.  ......And because of the reactions from the servants who knew of Kuwadorian, I managed to guess somehow."""
Ushiromiya Ange,""".........Beatrice died, and there was no longer any need to take food or people to care for her?"""
Captain Kawabata,"""That's what I think.  From that point on, I was never told to take a boat to the back.  However, after that, Genji-san came to see me face to face, and got pushy, strongly urging me never to speak of anything related to the back until I died."""
Ushiromiya Ange,"""So, if that hidden mansion was abandoned for 20 whole years, .........why was Eva oba-san there?"""
,"On that day 12 years ago.........Ushiromiya Eva somehow escaped harm alone in a hidden mansion 2 kilometers away from the mansion."
,"Why was she in a hidden mansion that had been forgotten for 20 years.........?"
Captain Kawabata,"""I saw on the talk shows.  Even I don't have a clue what happened.  Not once did I guide Eva-san to the back.  I have no idea how or why she knew about and reached Kuwadorian."""
Ushiromiya Ange,"""I wonder if it was possible to go to the back where Kuwadorian is by land."""
Amakusa Juuza,"""......If, as we heard, the forest was dense and uncultivated, I seriously doubt a well-dressed lady person'd be able to bush-crash it."""
Ushiromiya Ange,"""So what about by sea?  Maybe there was a motorboat or something."""
Captain Kawabata,"""Are you kidding?  That two-nighter typhoon was awful.  No way you could'a used a boat."""
Ushiromiya Ange,"""So what if, ......there was an underground passage or something between the mansion and Kuwadorian.  Wouldn't it have been a pain to have to charter a boat each time he wanted to visit his mistress's house...?"""
Amakusa Juuza,"""You mean a tunnel long enough to connect mansions on opposite sides of a 2 kilometer island like Rokkenjima...?"
Amakusa Juuza,"...Well, I'd like to laugh at the thought, but this rich guy made a whole hidden mansion for his mistress.  Guess I can't deny the possibility.  ......What do you think, Captain?"""
Captain Kawabata,"""I'm a man of the sea.  I don't know about holes.  But the Japanese military dug a 25 kilometer tunnel on Iwo Jima.  Wouldn't surprise me if 'that' Kinzo-san could dig at least 2 kilometers."""
Ushiromiya Ange,"""...............There really is something wrong with this island.  Even now, not one of us really knows a thing about it."""
,"The boat reached the shore.There would be a short walk to reach the mansion."
Captain Kawabata,"""......I'll wait here.  The mansion's that way.  The path from back then's probably still there, but I'll bet it's covered with plants.  Make sure you don't get lost."""
Amakusa Juuza,"""Right, let's go."""
Ushiromiya Ange,"""Thanks for everything, Amakusa.  You wait here too."""
Amakusa Juuza,""".........Well, I had a feeling you'd say that."""
Ushiromiya Ange,"""I'm just delivering something.  It'll be a pain over there if you come too.  I imagine your toxin is strong."""
Amakusa Juuza,"""Toxin?  Oho."""
Ushiromiya Ange,"""I'll be back soon.  Today, our main goal is Kuwadorian.  ......After I deliver this, I'll come right back."""
,"Ange put on her knapsack, holding the flowers she would offer."
Captain Kawabata,"""I feel for you, young'un.  ......See you soon, little lady.  Your family is waiting for you."""
,"I had never been on a road like this, but I had no trouble finding my way.If I walked straight ahead, it would probably guide me to the final destination for everything."
,"Of course, when the vegetation got incredibly vague, I would lose track of the path."
,"......But the road that was left was much better than I had imagined."
,"Still, that didn't change the fact that it was a bad road."
,"......Contrary to the distance shown on the map, I was forced to walk a long way......"
,"......The forest was deep and dark."
,"At the time, I had been threatened into staying away from the forest because a witch lived there."
,"Of course, that fear is gone now, .........but, I feel it."
,"Because I was me, ......I could feel the presence, like an aura, of the Golden Witch Beatrice..."
,"Here and there were massive fallen lumps of rock along with overgrown trees and ivy.  ......And the voices of birds and bugs."
,"Yeah, I feel it..........I feel...that the witch...is here......"
,"Ahead, an ivy-covered construction site fence and warning sign stood."
,"'No entry, Tokyo Metropolis'.That was written on it."
,"Yeah, that's right.  When you think 'Tokyo', you tend to think of a city, but Rokkenjima is also located within Tokyo Metropolis."
,"......Apologizing to the sign for my mistaken impression, I climbed the fence."
,"When I crossed the steep slope beyond that, ............my field of vision rapidly expanded, and a fresh sea breeze blew through my hair......"
,"It was like the top of a little hill."
,"......Below me was a vast view of the island."
,"I could only see desolated forest and rock walls spread out below me.......But, somehow, I realized that the mansion was probably somewhere around there."
,"The steep downward slope beyond this hill had probably been caused by landslides from 12 years of wind and rain."
,"It had become a slant filled with crags that you might even call gentle cliffs, and it would be easy to tumble down, though it looked like climbing back would be pretty difficult."
,".........In any event, it seemed that proceeding any further would be impossible."
,"If I continued any further, I wouldn't be able to return.In other words, .........this is...the border."
,"This place is 1986 and 1998.And, it is that day and today.The boundary between this world and nirvana."
Ushiromiya Ange,"""............This place is, ......this journey's final destination, it seems."""
,"As the strong wind blew Mammon and Sakutaro's hair, they looked down from the hilltop..."
Mammon,"""......From here, I can't really tell.  Where's the mansion?  Let's get closer."""
Sakutarou,"『Uryu, ...that's impossible.  We won't be able to come back.』"
,"......We won't be able to come...back.  ...Is it?"
,"I see.  ......This is 1998, ......and I am the Ushiromiya Ange who has been left all alone."
,"At first, it was a journey to die.But not anymore.It has become a journey to accomplish something......"
Ushiromiya Ange,"""Yeah.  ......So, I'm sorry, you two.  Although, as I was back then on that day, I would have gone down that cliff without any hesitation."""
Mammon,"""Come on, this is pretty lame for the skyscraper-jumping Ushiromiya Ange."""
Ushiromiya Ange,"""Sorry."""
Sakutarou,"『This place is as good as any.  .........Because you can feel the wind of that day.』"
Mammon,"""..................Was the wind...really like this?"""
Sakutarou,"『Yeah.  Very soon, they will come.  ..................Everyone.』"
,"Sakutaro said it as though it was completely natural.......And...I believed it."
