Speaker,Original Witch Hunt (OG)
Ushiromiya Maria,"""......I don't know why you're mad, Battler."""
Ushiromiya Battler,"""You don't?!  Everyone was killed!!  By that damn geezer!  Saying something incomprehensible about Beatrice's resurrection ceremony or something!!"""
Ushiromiya Maria,"""Then by now, 13 people have been offered as sacrifices, ......and it's already time for Beatrice to revive, right?"""
Ushiromiya Battler,"""Sure, that sounds great!!  I'll take Beatrice too and kill them both!!"""
Ushiromiya Maria,""".........We have survived the ceremony.  So we will receive an invitation to the Golden Land from Beatrice, you see......?  "
Ushiromiya Maria,"Over there, all wishes will be granted.  If having your family killed is painful, then you just have to resurrect them.  ......That's what Maria plans to do.  Maria will revive the really nice real Mama, the one that isn't possessed by the black witch."
Ushiromiya Maria,"......So Mama will always be with Maria.  ......There won't be any more overtime or working on days off.  ...She will always be with Maria, and think only of Maria, kihhihihi, she'll always fight against fearsome enemies for Maria's sake.  Kihhihihihihihi...!"""
Ushiromiya Battler,"""......There's something wrong with you.  ......Why are you saying something so incomprehensible in a situation like this...?!"""
Ushiromiya Maria,"""............Didn't Kyrie just tell you, Battler...?  ......Didn't she tell you...to believe......in the witch?"""
Ushiromiya Battler,"""...............F, fuck.  This isn't the time to get in an argument with you over something like this...!!  Now, there are no hostages or anything...anyone left alive!  This weird, shitty ceremony game is already over...!!"
Ushiromiya Battler,"Let me do what I want now.  Someone might still be alive.  Or someone might be hiding!  I'll search everywhere, find them, and beat the shit out of them!!"""
,"In a rage, Battler grabbed his hat stand spear and flew out of the room."
,"Maria watched him go, looking bored..."
Ushiromiya Maria,""".........And Beatrice'll grant our wishes soon anyways.  ......Stupid Battler.  ......Kihhihihihi."""
,"At that time, the phone rang out again......"
,"Maria stood up, and grabbed the receiver."
Ushiromiya Maria,"""Uu-.  Hello.  ......Uu-?  Uu-!!!"""
,"Of course, the sound of the phone also reached Battler's ears as he was about to dash out of the house."
,"With a violent forcefulness, he turned around and dashed into the cousins' room..."
Ushiromiya Battler,"""M, Maria......!  Who, ......was the phone call from...?!"""
,"With a terrifying look on his face, Battler yelled at Maria, who was on the phone."
,"You couldn't blame him......Right now, the only humans left alive on the island were himself, Maria, Gohda, and Kumasawa."
,"But there was no way those two could call after being locked up in the gardening storehouse."
,"......Which meant, .........there was only one person.It had to be Kinzo."
,"After continuing her pleasant chat with the person on the other end of the phone for a while, Maria slowly turned to face Battler."
,".........Then, with an unsettling expression on her face, she laughed 'kihihihihihihihihihi'.......It felt almost as though the person on the other end of the line was chatting about Battler."
Ushiromiya Battler,"""Maria..., who's on the phone?  ......Grandfather......?!"""
,"Battler couldn't imagine that this was the case."
