Speaker,Original Witch Hunt (OG)
{f:5:Bernkastel},"""......Erika, Dlanor."""
Furudo Erika,"""Yes, my master."""
Dlanor,"""You CALLED?"""
{f:5:Bernkastel},"""......I want you two to stay in this Fragment and explain everything in the remaining 1st through 4th games. That pitiful transient witch who claims the Illusion of the Witch is true no longer exists herself. Expose the frank truth thoroughly."""
Furudo Erika,"""*giggle*! Leave it to me, my master. There is no riddle that I, Furudo Erika, cannot solve."""
{f:5:Bernkastel},"""......Of course. That's why you're my piece, my double. *giggle*giggle*giggle*!"""
,"Bernkastel wore a massive...and horrible smile, which Erika shared."
,"......Beatrice's Illusion of the Witch would disappear, and the results in all of the previous games would be painted over."
," It had been crushed in every way possible, ......and only the frank truth remained."
, Such a weak truth was no better than fish on the chopping board for Erika...
Furudo Erika,"""It is possible to explain all of the past four games with Natsuhi as the criminal, or with certain irregularities based off that theme. I won't let anyone say it's the crime of the witch Beatrice again. I'll start compiling it together at once, and then present a first-rate tale to you."""
{f:5:Bernkastel},"""*giggle*...... You mustn't leave even a single Fragment of Beato's Legend of the Witch behind. The rumors among the servants, the way people talked about unexplained events as though that legend was the cause, the Illusion of the Witch that worked alongside the illusion of Kinzo. ......Deal with all of them completely."""
Furudo Erika,"""Of course. I'll get to it right away. ......We now have the furniture in custody. We're hurrying to identify their vessels."""
,The Seven Sisters of Purgatory had already been taken into custody.
, Those noisy sisters who had served Beato now faced nothing but denial.
, What sort of illusion were they based upon which allowed them to 'manifest'?
,......Everything would be exposed......and denied.
Dlanor,"""Eiserne Jungfrau has already begun its INVESTIGATION. According to the most recent results, there is a high probability that they were constructed during the 1960's in the vicinity of New York. An aide has already been sent to the LOCATION."""
{f:5:Bernkastel},"""The 1960's? The Seven Sisters of Purgatory are <Made in USA>? Pfft, *giggle*giggle*giggle*...... Even though they bragged about being furniture connected with King Solomon and serving a thousand year old witch, they're a total sham. Who was it...?"""
Furudo Erika,"""According to the report, ...... there's this group of big-time swindlers who make money by selling fakes to rich fans of the occult."""
Dlanor,"""Because the deceived millionaires try to resell the fakes as though they were real, there's a chance that they've been falsely deified by enthusiasts in the FIELD. We are rushing to find confirmation and further DETAILS."""
Furudo Erika,"""So Ushiromiya Kinzo was a sucker who'd pay big bucks for any fake occult object."""
{f:5:Bernkastel},"""......*giggle*giggle*, ...ahahahahahahahaha...!! And that's what the Seven Sisters of Purgatory really are...? That's so weird, ahahahahahhhahahahahhahahahha!! A total sham, just like Beato's Illusion of the Witch."""
Furudo Erika,"""Though they call themselves the seven deadly sins, they're actually cheap, fake souvenirs. ......Well, from the very beginning, I figured they were nothing more than paperweights sold at some shady souvenir shop."""
{f:5:Bernkastel},"""*giggle*giggle*!! Paperweights...! Ahhahhahhahahahahahahahahahaha!! Have you confronted the Seven Sisters with that truth yet?"""
Dlanor,"""No, not YET."""
Furudo Erika,"""They still seriously believe that they were created by a great sorcerer over a thousand years ago. ......I'd like to confront them with perfect evidence and the truth right away and let them know that they're mere paperweights worth less than 30 US dollars."""
{f:5:Bernkastel},"""When you do, I wonder what their faces will look like...as they lose all hope. ......*giggle*, I can't wait. Call for me when that happens. I'll come to watch, with some of the best black tea and dried plums."""
,"Beato's Illusion of the Witch had already been penetrated, and it was proven that everything was simply the result of human delusions."
," What kind of delusions created them, and what caused these in the first place? When that was proven perfectly and shoved in the faces of those concerned..."
,......The illusion would vanish and be completely annihilated.
, This is what they meant......by 'execution'.
Dlanor,"""......An execution is not a SHOW. As a general rule, it is not made PUBLIC."""
Furudo Erika,"""This is an inspection by the Great Lady Bernkastel, member of the senate, so she can observe that the Great Court is performing its duties satisfactorily. Do you, as a mere Inquisitor of Heresy, wish to block this...?"""
{f:5:Bernkastel},"""Yeah, that's right. I'm just observing as a representative of the senate to make sure you observe the proper procedures when you carry out your work. ......*giggle*giggle*giggle*."""
Furudo Erika,"""We are currently preparing to take Virgilia, Ronove, and Gaap into custody as well. The Siesta Sisters Imperial Guards are conducting that investigation."""
Furudo Erika,""".........Of course, we will then detain and execute those three connected to Beatrice."""
{f:5:Bernkastel},"""Dlanor. What is the true nature of the Siesta Sisters?"""
Dlanor,"""......We believe there is a high likelihood that their vessels are weapons used in the CRIME. For this purpose, Senior Aide Gertrude has formed a special TEAM. We are currently investigating all CASES."""
Furudo Erika,"""I'm looking forward to the Siesta Sisters' execution too...! One at a time? Or all of them at once?"""
{f:5:Bernkastel},"""No one's stupid enough to put an entire can of tea leaves in a pot at once. You've got to enjoy it slowly, one spoonful at a time."""
Furudo Erika,"""*giggle*giggle*! Exactly. Let's have their executions on consecutive days. For the furniture and the witches, one by one. I'll send you an execution show every day."""
{f:5:Bernkastel},"""Wonderful. .........After all, there really are a lot of them. Looks like we'll be able to enjoy ourselves for a full two weeks. "
{f:5:Bernkastel},"......Maybe we can let them decide which ones to execute first. Heheheheheheheheh! Make sure you think up something great for the execution concept. ......I'd like to enjoy executions both old and new, from east and west every day."""
Dlanor,"""......The rules state that the method of execution is to follow Great Court REGULATIONS."""
Furudo Erika,"""Leave it to me, my master. I will most certainly prepare you a fascinating execution show!"""
{f:5:Bernkastel},"""At the very least, you've got to quarter one of them."""
Furudo Erika,"""Of course. I shall make a list of the best forms of execution from all countries, from Europe to Asia, which were used by kingdoms east and west for nothing less than treason against the king!"""
{f:5:Bernkastel},"""......I'd like to think of some execution methods myself. ...Pondering that will be the perfect way to relax on those sleepless nights. ......*giggle*. I'll iron out my ideas and send you a letter soon."""
Furudo Erika,"""Certainly, my master. Then we'll have the Bernkastel-style one as the grand finale. ......At the very, very end, when all of the illusions are broken and Beato's magical compendium has been completely crushed, ...I shall present my master with the finest execution she desires...the execution of Beatrice...!"""
{f:5:Bernkastel},"""Thank you, Erika. ......Thanks to you, it seems I'll be able to forget the pain of my illness for a little while...... *giggle*giggle*, hehehehehehhahahahahahahahahaha! You're just perfect. My piece, my double, ......and my cute daughter."""
Furudo Erika,"""Y, ......your words are too good for me...! My master...!!"""
{f:5:Bernkastel},"""Erika, I will give you honor and a reward. ......It's the greatest symbol of Beatrice, the portrait from the reception hall. Take that off, smash it to make firewood, bake a cake with that and eat it. After that, I'll allow you to put your portrait up in the remaining frame."""
Furudo Erika,"""...Th, ......thank you very much...! It is a great honor...!"""
{f:5:Bernkastel},""".........You will eradicate and erase Beatrice's name and all traces of her. Until that is all finished, I will order that you be made the master of this sealed-off Rokkenjima."""
{f:5:Bernkastel},"""......By the name of the Witch of Miracles, Bernkastel, I proclaim that you will be given the rank of witch until that day. ......From now on, you will call yourself Erika, the Witch of Truth."""
Furudo Erika,"""Th, ......the Witch...of Truth......! ......Th, ......thank you very much, my master...!! I vow to work even harder so that this honor is not wasted...!"""
,"Even though she was nothing more than a piece, .........she was being granted the honor of calling herself a witch like her master, if only for a brief stretch of time......"
, Erika was so moved that her actions had been acknowledged in this greatest form that she trembled......
