Speaker,Original Witch Hunt (OG)
Willard H. Wright,"""........."""
,"""......This form is..."""
{f:5:Bernkastel},"""I'm lending it to you. After all, I hate idiots. ......*giggle*giggle*. Call yourself Clair, as a temporary name. Or would you prefer Beato?"""
Clair,"""...............You have my gratitude. This way, I won't have to expose my pitiful form."""
,Bernkastel had given Clair a fake form.
," It was a temporary form, for the person acting the part of Beatrice. A fake to fool those who still hadn't discovered Beatrice's true form......"
Ushiromiya Lion,"""......Then... is this a tale... about me in another world?"""
Clair,"""Lion. ......This is a tale of you in another world, and also my tale. ......The tale of the world where I live as a witch, not a human..."""
Ushiromiya Lion,""".........I am capable of imagining 'what if' scenarios for my own life. ......However, the tale you tell......is beyond anything I can imagine..."""
Willard H. Wright,"""Even so, ......it's the life that another 'you' has led."""
Ushiromiya Lion,"""But still! That doesn't mean I can accept it easily."""
,Lion suddenly yelled and looked at the floor. Lion already knew.
," Because of the Fragments lent by Bernkastel, Lion knew."
," This was a different world, where the same person lived as the Golden Witch Beatrice."
," And, in this world, ......eventually, .........on the day of the 1986 October family conference, ......this person would be the ringleader of a terrible crime."
Ushiromiya Lion,"""......Even if it is a different world, ......you're saying that I get my entire family and all of the servants involved in a terrible crime that I'm the mastermind of! How am I supposed to deal with that?!"""
Willard H. Wright,""".........Be quiet, listen, and figure it out."""
Ushiromiya Lion,"""In a different life, I end up as a servant! And if that wasn't enough, I suddenly become a witch! And then, I eventually carry out several terrifying murders...! How am I supposed to figure that out?!"""
Clair,"""............"""
Willard H. Wright,"""Yeah, I see where you're coming from. ......I doubt anyone could understand. ......This person here thought that no one would ever understand. That's why you're here. ......That's why Bernkastel brought you two, two people who never should have met, together like this."""
{f:5:Bernkastel},""".........It's not like I had any deep reason for it. It was just a whim."""
Willard H. Wright,"""It's a motive that no one else can understand, Lion, so you need to be the one to understand it. I'm not the main character in this tale. You are. ......I'm just here to help you understand."""
Ushiromiya Lion,"""You said that you understood the culprit's motive."""
Willard H. Wright,"""......I did."""
Ushiromiya Lion,"""Is it...a satisfying motive for explaining why I'd kill my entire family...?!"""
Willard H. Wright,"""Who knows. That's for you to decide. Even if I say it's satisfying, that doesn't mean it'll satisfy you. ......You have to decide that for yourself."""
Ushiromiya Lion,"""I really don't have a clue what's going on...! I've seen several crimes called game boards that Beatrice supposedly carried out. And now, I'm hearing another me talk about a different life from mine. But none of that fits with the crime! I don't understand!!"""
Clair,""".........At this point in the tale, .....even I... could not have dreamed that I would eventually carry out such terrible crimes. In fact, even if I could have dreamed it, ......I did not have the power to commit those crimes at that time."""
Willard H. Wright,"""Probably. ......Your misfortune probably came... when you solved the epitaph's riddle."""
Ushiromiya Lion,""".........Huh? You mean that epitaph about the hidden gold, which Grandfather supposedly wrote...?!"""
Willard H. Wright,"""First, a system for gaining different accomplices for each crime. ......Reasoning leads us to the possibility that the culprit possesses a vast amount of money. And, ...the other system... for inviting all to the Golden Land......and making all loves bear fruit."""
Clair,"""......It wasn't just the motive. So, you've already seen that far."""
Willard H. Wright,"""That's the answer to the final riddle in the 4th game. ......Your great misfortune was solving the epitaph, ......reviving as the Golden Witch in the truest sense, and gaining magical power."""
Clair,"""......Looking back, ......perhaps that was an ill-fortuned event. ......I do not know. However, as long as the fact that Battler-san returns in 1986 remains unchanged, ......some sort of tragedy would certainly have occurred."""
Willard H. Wright,"""That's right. ......If Battler had returned a year earlier or later, ......that incident might not have occurred."""
,"No, some small incident would probably have occurred."
," And it would surely have been a mysterious, impossible incident, which no one could understand."
," But even so, compared to the Rokkenjima serial murders, it would be a tiny thing......"
Ushiromiya Lion,"""......If Battler-kun......had returned a year earlier or later, ...then what?"""
Clair,"""...............Fate can be so filled with irony. ......It made me walk the path of a witch, ......and when I solved the epitaph, I became a true witch. ......Then, six years passed, and I learned of his return. ......If all of that was fate, ......then this crime must have been inevitable and inescapable for me."""
Willard H. Wright,"""In 1980, when Asumu, his mother, died, and his father remarried too soon for his liking, Battler left the Ushiromiya family. And for six whole years, he had no direct contact with the family."""
,He convinced his grandparents on his mother's side to help him and had his last name changed to his mother's maiden name.
," Then, when those grandparents passed away, he finally made up with Rudolf...and returned to the Ushiromiya family again in 1986..."
Willard H. Wright,"""That bad luck......gave birth to your motive for the crime."""
Clair,"""......I did wonder. ......Why, after six whole years, ......did he finally come back?"""
Willard H. Wright,"""I understand. In a way, ......it would have been better for you if he had never come back."""
Clair,"""Of course, my suffering would have continued. ......However, I would not have tainted myself with the unforgivable crime of mass murder."""
Ushiromiya Lion,""".........How could Battler-kun leaving create a motive?"""
Willard H. Wright,"""You've got it backwards."""
Ushiromiya Lion,"""......Backwards?"""
Willard H. Wright,"""The crime didn't occur because Battler left. ......It happened because Battler came back."""
Clair,"""..................The more I think about it, ......Ushiromiya Battler... was quite a disagreeable man. More than anything else, because he never realized that the outbreak of the crime was his fault."""
Willard H. Wright,"""He did remember, in the end. ......However, that was long after you gave up and disappeared."""
Clair,"""......If that is so, ......then it would give my heart some peace..."""
Ushiromiya Lion,"""I don't have a clue what you two are talking about anymore. ......But I'd like to ask you straightforwardly. I want to know. ......What on Earth happened to you that made you decide to commit the crime?"""
