Speaker,Original Witch Hunt (OG)
,"That's right. Just once in the past, I underwent training in order to step into the world of witches. "
,"I accepted that the only power that could save me from those sad, painful days at Saint Lucia Academy... was the thing called magic, and I received Maria's introduction to the basics... "
Ushiromiya Ange,"""......Imagine...a vast space... ...The scene from when I looked down at the mountain's base from a rest stop at the peak... "
Ushiromiya Ange,"......Like this...?"" "
,I projected that scene from a memory into my mental world. 
,...Normal girls get over their fascination with magical girls when they leave elementary school. 
,So seriously training to use magic at this age...was embarrassing even for me. 
,But even that embarrassed feeling felt pleasant to me now. 
,"Right then, I was learning mental concentration from Maria onee-chan, in order to use magic. "
,But it wasn't going very well. ...It was about as hopeless as teaching a person to wiggle their ears by showing them... and expecting to learn anything at all from their demonstration... 
,It seems that you need to imagine a vast space to gain the mental concentration for using magic. 
,"So I remembered the time from my younger days when my family had gone on a small vacation, when I had looked down towards the base from a viewing platform at a rest stop on a peak, and I tried painting this scene in my mental world. "
Ushiromiya Maria,"""No, still far too small. Imagine a much, much wider space. And create your own mental world. "
Ushiromiya Maria,"Your image is still way too foggy. There's no temperature in the air, and there's no wind. No smells either. The world is still very faint. ...You can leave those for later, so for now, imagine an even wider space."" "
Sakutarou,‘Uryu. ...Why do you have to imagine a vast space?’ 
Ushiromiya Maria,"""From the time of their birth, Humans have inside of them a toxin that blocks magic. If that toxin isn't purified, you can't use magic well. ...One effective method of achieving this is to imagine a vast space."" "
Ushiromiya Ange,"""......Just now, I thought of the world as seen from the window of an airplane, but that didn't work. ...I can't even think of... a world more vast than that."" "
Sakutarou,"‘In that case, Maria just has to teach Ange about the vast world Maria has...! Won't that make it easy for Ange to imagine as well? Uryu!’ "
Ushiromiya Ange,"""...That's right. And, I'm interested in the kind of world Onee-chan imagines when she uses magic. ...I'll use it for reference."" "
Ushiromiya Maria,"""Uu-, that won't work. The mental world must be vast and isolated. A world with no obstructions other than yourself. "
Ushiromiya Maria,"...So, if you teach someone about that world, it won't be isolated anymore. That's why you mustn't reveal your mental world to anyone. And if you draw up a good mental world, you too must keep it as a secret only for yourself."" "
Sakutarou,"‘Uryu... So stingy, Maria...’ "
Ushiromiya Ange,"""Thanks, Sakutaro. I guess there are no shortcuts in training. ...I'll make an effort. It's okay, I've been given plenty of hints."" "
Sakutarou,"‘Uryu...! Do your best, Ange...!’ "
,"Until recently, I thought there was no way something like magic could save me. After all, magic doesn't exist in this world. That kind of thing's supposedly nothing more than an illusion, a delusion, a daydream. "
,"...However, Maria onee-chan showed me that she could fill her own world with happiness using a power that's impossible for me. "
,I used to look down on that happiness as something empty. 
,"...Because I didn't believe in magic, I also denied everything else, refusing to believe in the happiness that magic gave birth to. "
,"But slowly, bit by bit, Maria onee-chan's world grew happier. "
,"In the past, I'd disparaged it, thinking it too pitiful to look at. "
,But...that might've been nothing more than jealousy. I was forced to admit that. 
,"And now, this was my first step in my search for happiness... "
,A vast space. A dry wind that could blow without being blocked by anything. ...Let me feel that wind blowing through my own hair. 
,"...I see, ...even the ground might get in my way as I am now. "
,"Then, I don't need a ground. "
,"......Brush the ground away, downwards, downwards. "
,"In other words, ...it was as though I had floated up, leaving the ground far behind. "
,"After pushing the ground further and further downwards, ...the ground grew foggy and faint, ...and for the first time, it began to feel like the sky. "
,"......Then, I understood its vastness. "
,"In that instant, I felt the vivid wind go right through even my body...in other words, blowing through me without any resistance. "
Ushiromiya Maria,"""............ ...Yes. Maintain that sensation."" "
Ushiromiya Ange,"""...Yeah, I get it. ...I get that I've been...released from all hinderances."" "
Sakutarou,"‘You did it, Ange, you did it...! You've taken your first step into the world of witches...!’ "
Ushiromiya Ange,"""......This is...the world of witches...?"" "
Ushiromiya Maria,"""Yeah. So, let's try practicing the magic that you've always wished for, Ange. ......Magic that'll summon friends. ...A magic that'll create allies who'll save you from your loneliness, and thereby bring you happiness."" "
Sakutarou,‘Will Ange also be able to summon friends like me?! Uryuuryu!’ 
Ushiromiya Maria,"""...As she is now, it's still far to early for Ange to summon friends like Sakutaro from the sea of zero. ...To begin, let's start by practicing with friends that are easy to summon."" "
Ushiromiya Ange,"""...... ...What will we start with...?"" "
Ushiromiya Maria,"""Because you're a witch of Mariage Sorcière, you are also permitted to use those employed by other witches in the alliance. "
Ushiromiya Maria,"...For example, Sakutaro is my friend, but since you're in the same alliance, he's your friend too, and you can summon him. ...You wanna try summoning Sakutaro one of these days? When you're so lonely it gets tough, I'm sure Sakutaro will cheer you up."" "
,I see. You could call Sakutaro a being employed by Onee-chan. 
,"So, as a witch in the same alliance as her, it's possible for me to summon Sakutaro too... "
,I met Sakutaro's gaze. 
,"...How pleasant it would be to have him just be there by my pillow, so he could talk to me a bit on lonely nights. "
Ushiromiya Ange,"""...If I call out, will you appear... and talk to me...?"" "
Sakutarou,"‘Uryu-! I can't wait to be summoned by you, Ange! Uryuuryuuryu!’ "
,"Looking happy, Sakutaro pressed his head against me like a cat. "
,"Suddenly getting a cute younger brother...felt a bit confusing, a bit embarrassing, and a bit nice. "
,"......Unable to understand why I couldn't honestly accept this feeling, I felt tears well up in my eyes. "
Ushiromiya Ange,"""Right. ...I'll give it all I've got, Onee-chan."" "
Ushiromiya Maria,"""Then let's practice. ......Let's try summoning the furniture of {f:5:Beatrice}, a witch from the same alliance."" "
Ushiromiya Ange,"""......{f:5:Beatrice}'s...furniture."" "
,Hearing {f:5:Beatrice}'s name gave me a slightly strange feeling. 
,"When it came to the crime on Rokkenjima, the public kept going on and on in a frenzy about how it was a sacrifice ceremony performed by a witch. "
,...And that witch was {f:5:Beatrice}. 
,"So, if the witch did commit that crime, ...that would make her the culprit who stole my family from me. "
,"However, Maria onee-chan said that {f:5:Beatrice} was a good witch. "
,"If I held negative emotions towards {f:5:Beatrice}, she'd get mad, leading to a nasty fight, and refuse to talk for a while. "
,"...At this moment, Onee-chan was my only close friend. "
,"...So to avoid worsening her mood, I'd decided to think of {f:5:Beatrice} as nothing more than Onee-chan's magic teacher... "
,"...Also, I believed that the crime was a conspiracy cooked up by Aunt Eva. "
,...I would definitely expose the truth about that someday...... 
Ushiromiya Maria,"""Ange, obstructions are entering your body again."" "
Ushiromiya Ange,"""......Sorry, I lost my concentration. ...One more time..."" "
,"I'd expect no less from you, Onee-chan... You instantly noticed that I was being overcome with idle thoughts. "
,"After shaking my head just once, I re-imagined the wind blowing through a vast space... "
Ushiromiya Ange,"""......The Seven Sisters of Purgatory? That's a pretty creepy name."" "
Ushiromiya Maria,"""But they're very energetic and fun kids. They might become your new friends, Ange. ...First, I'll show you how to summon them. Watch."" "
,Maria onee-chan lifted both hands up to the level of her head...and quietly unified her mind. 
,"...The state I wasn't able to reach except by meditating for a long period of time, she reached in the span of a few quick breaths. "
,"Then, a pale light began to gather in her palms, ......and one by one, the girls began to show themselves. "
,"1, 2, 3 people. 4, 5, 6, 7 people... "
,The way they were summoned one after another in a line was a masterpiece. 
,"...Incredible. Just like the illustrations in Onee-chan's grimoire, ...the Seven Sisters of Purgatory... "
,"The younger sisters were behind the eldest, Lucifer, who saluted Onee-chan. "
Lucifer,"""The Seven Sisters of Purgatory, right here...! Lady {f:5:Maria}, it has been quite some time."" "
Ushiromiya Maria,"""Yes. Long time, no see. Is everyone well...?"" "
Lucifer,"""We furniture are what we are because we are used. To us, being summoned after so long is truly an honor!"" "
