Speaker,Original Witch Hunt (OG)
,"Obviously, since the time she was born, ......Jessica had been raised in this mansion."
,"The atrophied, western-style house that the cousins called a mansion was her home."
,"And yet, she had never understood her cousins' feelings as much as she did today."
,"......And at the same time, she had never felt that her own home, which she knew well, was a different place as much as she did now......"
,"Her own.........room."
,"This had once been her hideaway, the only place in this vast mansion where she could feel at peace."
,"However, ......she had never felt as much pressure coming from that door as she did now."
Ushiromiya Jessica,""".........A test, you say...?  Tch, what the hell could be waiting in there......  I'm not gonna find my desk and stuff dragged around all over the place, right......?"""
,"She acted tough, trying to deceive herself.......Trying make herself believe that she wasn't scared of anything."
,"Readying herself, she opened the door to her room."
Ushiromiya Jessica,"""....................."""
,"......When she saw that, fortunately, the room didn't appear to be messed up, she relaxed."
,"No one......was there.  ......Of course.There was nowhere for anyone to hide here."
,"Right away, Jessica locked the door behind her.......This way, the room was safe."
,"She peeked under the bed and in the closet, but of course, no one was hiding."
Ushiromiya Jessica,"""......Wh, ......what the hell.  ...Haha, ...haha...!"""
,"She looked at the clock.  ......It was just past 23:10."
,"As her tension lessened and fatigue came back to her entire body, she realized how messed up this whole day had been."
,"It was still about 23:00."
,"......The plan had been for all the cousins to gather, have fun playing around, and talk animatedly about various things together into the night."
,"Normally, we would have done that kind of thing by now.Why, ......has that turned into this......?"
Ushiromiya Jessica,""".........It's all that damn geezer's fault............How could he do that...to Mom......to everyone........."""
,"She shook her head back and forth with anger and sadness......But there was no one here to direct those emotions at."
,"......Because of the lock, this room's security was guaranteed.Remembering that one more time, Jessica somehow regained her calm......"
,"If it keeps up like this and nothing happens...I want to go to the dining hall and see Mom's dying face."
,"......Even though Gohda had emphasized so strongly that it was gruesome and that I definitely shouldn't look at it, even so, I wanted to see Mom's last face..."
,"But we were warned repeatedly that doing anything stupid would put the hostages in danger."
,"......Could it be that locking the door was also against the rules......?"
,"If I close myself up in here, I alone might be saved."
