Speaker,Original Witch Hunt (OG)
Ushiromiya Jessica,""".........A test......?"""
Ushiromiya Krauss,"""......Y, yes.  Listen well..."""
,"Once again, there was a call from Krauss to the guesthouse."
,"......And the message was......that Kinzo wanted to hold a test to see if the grandchildren had the qualifications to be the next head."
Ushiromiya Krauss,""".........The head has said that the next head will not be one of my siblings...that he wants...to pick from the grandchildren..."""
,"From Krauss's restrained style of speech, Jessica realized as his daughter that he was being forced to speak."
,"And she was forced to realize that the hostages were being exposed to danger even now, and that if they refused this test, there was a possibility that the hostages would be harmed."
Ushiromiya Jessica,"""T, ......then......what should we do?"""
Ushiromiya Krauss,"""......H, ...hmm.  Hold on..."""
,"Krauss put down the receiver, then looked at the grinning Kinzo on the other side of the bars."
,"Kinzo gave his next order."
Ushiromiya Kinzo,"""Before the test, those unrelated must be removed.    ..........Gohda and Kumasawa are there, I believe?  It will be a problem if they hinder the test.  Banish them from the guesthouse."""
Ushiromiya Krauss,""".........Banish, ...you say......?"""
Ushiromiya Kinzo,"""There should be a gardening storehouse in the rose garden.  Lock Gohda and Kumasawa in there.  Hmm, we'll begin from there.  Tell them to do it immediately."
Ushiromiya Kinzo,"  .........My weapons will be watching.  If they happen to do anything questionable, I'll instantly stop the test and execute all of you as sacrifices!"""
Ushiromiya Krauss,"""......I, ......I understand......  ......Hello, Jessica...  Listen closely to what I say......"""
,"Krauss relayed the orders to lock up Gohda and Kumasawa..."
Ushiromiya Kyrie,"""......What kind of test are you planning?"""
Ushiromiya Kinzo,"""Hmm?  Aah, it truly is a simple test.  I only want my grandchildren to show me their resolve.  Well then, I wonder what kind of results they'll show me.  ......*cackle*."""
,"Kyrie watched Krauss, who was talking with the children, looking disgusted."
,"......It's regrettable, but for now we cannot refuse orders."
,"In this dungeon, a feeble resistance won't amount to anything."
,"If we provoke him too much and drive him into a position where he might kill us, there will no longer be any way to stop this murderer."
,"......For now, the only choice left is to obey his rules without agitating him...all the while waiting for a chance......"
,"However, if we continue to obediently follow his commands, the children might be attacked in this so-called test, and they might even lose their lives."
,".........Whether we feign obedience or try to resist, ......nothing will cause the situation to improve."
,"Anyway, straining our eyes so that we don't let a single chance escape until the very end...is the only resistance possible now."
,"......While telling herself this, Kyrie watched over Krauss as he delivered Kinzo's orders......"
Nanjo Terumasa,""".........Kyrie-san.  Let us be patient......"""
Ushiromiya Kyrie,"""I understand.  ......It's unfortunate, but all we can do right now is wait.  If only we could do something about these bars, we would be able to return to the mansion......"""
Nanjo Terumasa,"""......If only we could somehow get out of here.........I, I'll try something.  ...............Kinzo-san, I have a request."""
Ushiromiya Kinzo,"""Hm, what is it, my friend?"""
Nanjo Terumasa,"""We understand well that you want to test the children.........It is fine for you to do things as you desire."
Nanjo Terumasa,"Without your power, the Ushiromiya family might have been destroyed long ago.  We truly understand why you want to carefully select the person who will take charge.  Besides, that is what the family conference is about.  We won't get in your way..."""
Ushiromiya Kinzo,"""Hmm.  Your insight is useful.  That's right, this is the family conference.  The final family conference, where I will select the next head.  Fuhahahaha...!"""
Nanjo Terumasa,"""And yet, Kinzo-san.........It is far too cold here.  Since we won't interfere with your test, couldn't you take us to a slightly warmer place......?"""
Ushiromiya Kinzo,""".................."""
,"At Nanjo's words, the slight signs that Kinzo's mood had been improving were blown away."
,"Nanjo was struck with a moment of silence as Kinzo gazed at him with dangerous eyes, as though appraising him......"
{f:5:Virgilia},"""......Certainly, this place is cold.  It's tough on an old body.  ......Master.  Wouldn't it be alright if we moved them upstairs......?"""
Ushiromiya Kinzo,"""I cannot do that!!  Are you naive, Nanjoooooo...?  By acting as though you'll skip this turn, you truly and splendidly advance your strategy?  I'm not falling for that, you seeeee...?  If you're freezing, then why not line the floor with red hot coals!!"""
{f:5:Virgilia},"""M, My apologies......"""
,"Virgilia had tried to help out, but in the end, Kinzo would not comply..."
Gaap,"""...............You two sure are obedient.  ...If you felt like it, you could easily break these bars."""
Kanon,"""...........................""\"
Shannon,"""......Even if we break these, nothing will come of it."""
Gaap,"""Of course.  ......If you were to break these, it would mean the end of Goldsmith's game.  ......All of you, as well as those humans in the guesthouse, would immediately become sacrifices for Kinzo's ceremony."
Gaap,"......But, surprisingly, you two might be the only ones, yes?  Perhaps only you two hold the power to break out of this situation, ......right?"
Gaap,".........You want to reach the Golden Land, don't you?  You must have many dreams you want granted, right...?  *cackle*cackle*......"""
Kanon,""".............................."""
Ronove,"""Gaap.  You musn't provoke them.  ......This is not your game.  It is the Master's, as well as Milady's game."""
Ushiromiya Kinzo,""".........What is it, Ronove?"""
Gaap,"""Oh, no, nothing.  ......We were talking to the prisoners.  Forgive us."""
,"Gaap sent one final sneering smile at Kanon, then turned away."
,"Kanon could only bite his lower lip and shake his fists......"
Kanon,""".....................  ......Dammit........."""
Shannon,"""......You did well......  Good job hanging in there......"""
Kanon,"""We're powerless......  Because we're furniture......"""
Shannon,"""That's right, ......we're powerless.  ......However, there are times that furniture is necessary, and even loved."
Shannon,"  ......Right now, we've only been stored away in the basement.  ......Surely, one day, somebody will love us.  Because we are necessary.  ......That's why, for now, let's ignore to their provocation and bear with it.........Alright?"""
Ushiromiya Krauss,"""......Father.  I've ordered them to lock up Gohda and Kumasawa."""
Ushiromiya Kinzo,"""Very well.  Hang up now.......Siesta Sisters.  Observe the grandchildren as they lock Gohda and Kumasawa away.  If they do anything suspicious, ......then in that moment, the selection test for the next head will be over."""
,"When Kinzo made his order, the Siesta Sisters appeared behind him in a line."
Chiester00,"""Understood, sir.  ......I will scout.  556 and 410 will cover both flanks.  45 has wide-area surveillance."""
Chiester45,"""00...  556 is......"""
Chiester00,"""Ah, ............that's right.  Sorry."""
Chiester45,"""She was a good kid......."""
Chiester410,"""......That's why I don't like them, nyeh.  ...Good people."""
Ushiromiya Kinzo,"""What are you doing, Siesta Sisters?!  Follow my orders!"""
Chiester00,"""..............My apologies, sir.  Then, let us go observe.  ......Move out!"""
,"The Siesta Sisters erased their forms simultaneously."
