Speaker,Original Witch Hunt (OG)
,"""Good day to you."""
Ushiromiya Ange,""".........G, ...good day to you."""
,"'Good day to you' is the standard greeting used here."
,"No matter how many years pass by, this style of greeting still feels very awkward..."
,"Even though I had responded to the greeting in order to stifle that awkward feeling, the classmate who had spoken looked at me blankly."
,"""......Huh?  *giggle*giggle*giggle*"""
,"""Hu-h, what's that?  It seems you're mistaken, *giggle*giggle*..."""
,"Their choice of words and manner were certainly what you would expect of a school for rich girls, but the actual meaning was as innocent and cruel as you would expect from kids of that age."
,"......It seems they found it funny that I'd mistakenly thought the greeting was directed at me.  No, it might be the opposite."
,"...Maybe I should say that they didn't know what to do after being greeted by an introverted kid like me."
,"No, judging by the gazes of my classmates, who were looking this way over their shoulders and whispering to each other, it was as though some of them considered this refreshing morning ruined."
,"......I was...dark.  Because I was disliked."
,"So, trying not to get in the way of everyone's refreshing morning any more, I stooped lower and entered the classroom."
,"......Almost like I was cutting through the aisle in a movie theater while the movie was running."
,"This is an all-dorm academy, Saint Lucia Academy."
,"It's not a school that anyone can get into by taking a test....It's a hidden rich girl's school, known of only by a select group of celebrities from various fields."
,"For lofty nobles who truly wish their daughters could be raised like saints, this is probably the ideal school in which to protect their daughters from the impurities of the common world."
,"......But at the same time, it was probably also convenient for nobles to confine daughters who they didn't want out in public."
,"As well as an academy isolated from the impurities of the common world, it also held excellent potential as a prison school."
,"I was truly among the latter, and was confined in Saint Lucia Academy, ......forced to live my life in dreariness."
,"Of course, there weren't that many students like me, and you couldn't tell us apart at a glance."
,"However, even if one of these kids didn't talk about it, you could usually guess from their appearance."
,"...Because they were always hanging their heads all the time, with an expression on their faces as though the whole world had abandoned them."
,"And every class had one or two kids like that, so even if they didn't speak up about it, you could guess who they were."
,"Therefore."
,"Even though I didn't confess that I was one of those kids, at some point, everyone in the class had found out......"
,"Just like how the seriousness of an injury becomes a sign of status in a hospital room, how noble a birth one had became a sign of status here."
,"Those who aren't permitted to go out in public places are probably nothing more than filthy people to them."
,"They must think that getting involved with students like that would dirty them as well."
,"When a rumor sprang up about a particular student, those fastidious girls would grow cold and distant, chasing that student out of all social groups."
,"Thanks to that, I led a quiet school life like this, all by myself..."
,"Well, that's only if hearing people whisper behind my back, finding my things lost or broken all the time, and having everyone pretend like they didn't know anything...can be called a quiet school life."
,"Even in the morning, I must be wearing a worn out expression."
,"......I can almost understand how my other classmates, who had had a refreshing morning, looked at my face and wanted to click their tongues."
,"Consciously trying to do as I should and avoid tainting my classmates' morning, I quietly took my seat."
,"......Then, unusually, someone came to talk to me.  It was the class leader."
