Speaker,Original Witch Hunt (OG)
,The world whitened......
,It wasn't white....It was a gold color as bright as can be.
,"There, ......was the beautiful Ushiromiya family rose garden."
,"However, the flowers on the roses were all gold."
,......The nectar was also gold-colored.  The butterflies that gathered there were gold as well.
,............This is...the Golden Land.........
,The promised land that the witches of Mariage Sorciere had finally been guided to...
,"There, all wishes are granted, and all magic and dreams are born."
,"...........In that garden of gold roses, ......were two...and only two...witches."
,"I, the uninvited guest, appeared, making that atmosphere tremble with unrest."
,.........What was to them a wind of misfortune shook the golden roses.
,The incredibly beautiful scene formed from the golden rose petals scattered by the wind was without a doubt something not of this world......
,"The two who had been taking a walk on a path of golden roses noticed me, and were surprised."
Ushiromiya Maria,"""......Ange......?  .........Beato, it's Ange......!!"""
{f:5:Beatrice},"""............How did you get here...?  .........Leave us alone.  I shall no longer invite anyone here."""
,Beato spoke coldly..........She seemed like a completely different person from the boldly sneering woman she had once been.
,"She had closed off her heart, and shut herself up in a world where she was alone with Maria onee-chan."
,"A world where she could always be alone with a friendly Maria onee-chan, lecturing about magic while drinking tea."
,"......No one to hurry them, and nothing to hold them back."
,A world where not a single person who might hurt them existed.
,"Yes, to the two of them, that was a small, perfect universe......"
Ushiromiya Ange,""".........Sorry.  ......I can't have you shutting yourself up in here.  ......We can't continue the game unless you come back."""
{f:5:Beatrice},"""I said I stopped because I was tired of it.  I will not return to the game anymore."""
Ushiromiya Maria,"""............Beato will always be here with Maria.  Here we'll drink tea together, and think of lots of ways to play...!  You can play with us too, Ange."""
{f:5:Beatrice},"""......MARIA.  I believe I said that must not happen.  I am satisfied as long as I have you alone.Say that you too are satisfied as long as you have me."""
Ushiromiya Maria,"""........................Yeah.  ......Thank you.  The only person who needs Maria that much is you, Beato.  So, I'll be with you.  Just us is enough."""
{f:5:Beatrice},""".........MARIA......, ......thanks..................I am grateful........."""
,"Beato held Maria tight, even creating a small, warm universe between their joined arms..."
,".........It was probably the birth of the smallest universe in the world....The smallest universe in the world, which a pair who needed each other could give birth to..."
,"No matter how small it was, it was a complete world..........But, I had to tear it apart............."
Ushiromiya Ange,"""......Sorry, .........but I can't let it happen that way.  I came to smash this Golden Land of Mariage Sorciere."""
{f:5:Beatrice},"""............Why, ......will you break, ......my world.........?  A, are you saying that this world is causing anyone other than Maria and me trouble......?!"""
Ushiromiya Ange,"""You've left Onii-chan waiting all this time, in a game that you started, and then walked away from without finishing!  If you don't return to your seat, the contest won't end for all eternity...!!"""
{f:5:Beatrice},""".........Hahahahaha, ha...!  There is no longer a single player in that game.  Battler vanished, and I did as well, coming here.  That game is already over."""
Ushiromiya Ange,"""It isn't over!  You started the game, right?!!  Take responsibility and see it through to the very end!  "
Ushiromiya Ange,"Will you defeat Battler, and give birth to the world you truly wished for?!  Or will you be defeated and everything swallowed up by your magic released?!!  Take responsibility until the very end!!"""
Ushiromiya Maria,"""............Don't, Ange.  Beato will spend her time in this world, alone with Maria for eternity.  ......And Maria too, as long as she has Beato, doesn't need anything else.  ......Here, all wishes are granted.  Everything is here."""
,............This Golden Land is made up of nothing more than the crystallization of Maria onee-chan and Beatrice's thoughts.
,"......To drag Beato out of this world, ......I would have to, ......destroy it........."
,"...............I will destroy this Golden Land, .........which must be the final peaceful world in Beatrice's eyes......"
Ushiromiya Ange,"""Onee-chan.  That's wrong.  This Golden Land is a liar.  It won't grant the one wish you truly want granted, Onee-chan."""
Ushiromiya Maria,""".........That's not true!!  Anything can be granted here!  Look, there's even a nice Mama here!!"""
,"Gold butterflies gathered behind Maria, forming into a kindly smiling Rosa oba-san."
,".........And after smiling sweetly at me, it became golden petals and crumbled."
Ushiromiya Maria,"""Here, anything can be created.  Even Ange, even Battler, even George onii-chan, even Jessica onee-chan...!!You can summon as many as you want, and everyone is nice...!!  You come too, Ange, and let's play together......!!"""
,"............Sorry, Onee-chan............"
Ushiromiya Ange,"""And what about Sakutarou......?"""
Ushiromiya Maria,""".........ah."""
,"Upon hearing Sakutarou's name, Onee-chan looked like she was choking."
{f:5:Beatrice},"""Stop it......  Do not speak that name......"""
,"Beato's expression changed as well.And she hugged Maria, guarding her shoulders."
,......Sakutarou's name was still taboo for Onee-chan.
Ushiromiya Ange,"""Why can't I say it?  It's the name of Maria onee-chan's best friend.  "
Ushiromiya Ange,"......Why won't you invite that close friend to this wonderful Golden Land?  Why, in this Golden Land where any wish can be granted, is Sakutarou the only one who you cannot summon?"""
{f:5:Beatrice},"""Th, ...that is............It's alright, MARIA.  You don't have to remember Sakutarou-"""
Ushiromiya Maria,"""............Sakutaro was killed by Mama!!!!"""
