Speaker,Original Witch Hunt (OG)
Ronove,"""Good morning, Milady.  My, my, you do appear to be in a good mood.  What a pleasant awakening you seem to have had."""
{f:5:Beatrice},"""What do you mean, pleasant awakening...!  I was so excited, I couldn't sleep a wink.  After all, the curtain is rising on the fun, fun fourth game...!"""
,It seemed that she truly had been so excited that she hadn't gotten any sleep.
,"Was the fact that she showed absolutely no signs of lacking sleep because she was young, or because her mental age was young?"
,"Ronove chose not to say that aloud, and laughed 'pu ku ku' instead."
{f:5:Beatrice},"""I really ran that Battler into the ground last time!  Ah, the look on his face when he was like 'you tricked me'!  That was so pathe-tic!  Even so, is that guy still feeling down?"""
Ronove,"""Feeling down, you say...?"""
{f:5:Beatrice},"""Hm, well, that's right.  ...That person is a bit too trusting for his age, right?"""
Ronove,"""That is true.  Although you could call that his charm.  Pu ku ku..."""
{f:5:Beatrice},"""*cackle*cackle*cackle*!  Isn't that true, isn't that true?  Well, speaking of which.  Didn't he completely fall for that one last time?"""
Ronove,"""Yes, completely and splendidly.  ...You violated the purity caused by never being tricked by a person once since birth, as well as his rosebud-like innocence, all to your heart's content."
Ronove,  ............Even the joy of running around a field covered with beautiful new snow on a winter morning and trampling it completely wouldn't even begin to compare.
Ronove,"Didn't you take Battler-sama's innocent heart, and quite thrillingly, splendidly, atrociously, mercilessly, and unculturedly go just a little too far...?  And you insulted him in the highest degree, enough to make one uneasy."
Ronove,"  Most people would start to feel down.  Pu kukukuku, so much so that they wouldn't want to see your face again."""
{f:5:Beatrice},"""S, so, you understand...!  "
{f:5:Beatrice},"I also, umm, thought that if he was so disheartened that he wouldn't join us at the table, even though the fourth game is finally starting, that would be such a pain, and thinking that it would be better to prepare a counter-measure for that case beforehand, I asked you first...!"""
Ronove,"""Hmmmm...  In that case, perhaps it would be best to prepare a counter-measure.  Most unfortunately, due to your 'North Wind and the Sun Strategy', Battler-sama has received quite a shock."""
{f:5:Beatrice},"""H, hoh.........A shock, you say...how badly...?"""
,"Beato lowered her voice slightly, asking timidly.Ronove went along with that, and lowered his voice in the same way."
Ronove,"""......In truth, he has been crouching and clutching at his knees for some time now.  I spoke to him several times, but he did not answer.  I also carried him food, but he made no effort to touch it."""
{f:5:Beatrice},"""...Th, that is...troublesome......  Is he really feeling that down......?"""
Ronove,"""Pu kukukuku.  It is only natural.  ...After all, you did it tho・rough・ly , Milady.  That would make most people start to distrust humans."""
{f:5:Beatrice},"""Hoh, distrust of humans?  How convenient!  Let him give up on humans and trust witches, wahahaha...............O, ...oh, *cough*.  Sorry, I shouldn't fool around too much."""
,"Beato had tried to joke about it, but it seemed that the situation was quite serious, and she hid her laughter, reading between the lines."
{f:5:Beatrice},"""......Is it really that serious...?  Sh, should we wait just a little longer before beginning the fourth game...?"""
Ronove,"""Because Lady Bernkastel's guest will be coming, it may be more appropriate to open the fourth game quickly.  However, it might be useful if you were to show a little consideration, Milady."""
{f:5:Beatrice},"""Consideration!  Consideration, you say?!  How should I show that...?!  He is feeling down, so...th, that's right, shall I cheer him up?!"""
Ronove,"""When a person's heart is dark and closed off, it is useless to interact with them darkly.  You can do nothing but shine with a brightness stronger than the dark."""
Ushiromiya Battler,"""Damn iiiiiiiiiiiiiit, quit messing arooooooooouund...!!!"""
Beelzebub,"""Kya-hhahaha!!  Battler-ku-n, over he~re!  A croissant baked by Ronove-sama would be wasted on the likes of yo-u!  Why don't I enjoy it myself?"""
,Battler's stomach involuntarily growled at the fragrant smell of the croissant.
,"His breakfast plate was empty, but Battler hadn't eaten any of it....The biggest glutton of the Seven Sisters of Purgatory, Beelzebub, had waited for Ronove to leave, and had then come to snatch the food away."
,"Battler had noticed, and they had been really noisy ever since."
,"Even though Beelzebub only had to give it back immediately, or else throw it into her own mouth right away, she intentionally ran around in circles, making fun of Battler."
Ushiromiya Battler,"""Give me my breakfast back, damn iiiiiiit!!  If you give it back now, I'll let you off with a single flick to the forehead.  But just you try eating it!!"""
Beelzebub,"""So are you gonna eat me inste~ad?!  Kyaha!  If you can eat me, just try it!  I'll bet I'd be as sweet as honey pancakes.  Kya!"""
Ushiromiya Battler,"""Gotcha!!  Right now, I want to eat that bread even more than your thighs.  Be a good girl and give it heeeeeeeeere, fugagigigigi...!!  So, you resist until the eeeeeeeeeend...!!"""
Beelzebub,"""Ugugugugu!!  No way, no way, I won't give it to yo~u!!  Even the croissant wants me to eat i~~t!!!"""
{f:5:Beatrice},"""Y, yaa~y, yahooooooooo, g'moooooorning, Battleeee~r!!  Are you still moping so early in the morni~ng?!?!  It's the beginning of a new day, and a new game, so let's get our spirits uuuuuuuuuuuuuuup!!"""
,...She opened the door forcefully.
,"Like a marathon runner drawn on a certain caramel box, with her hands held high and with an idiotic cheeriness, ......Beato appeared."
,"For some reason, flags from around the world and confetti scattered about, looking completely stupid and out of place."
,"......Battler and Beelzebub, who had been fighting over the croissant, completely forgot about their argument, speechless."
Beelzebub,"""Ky, ...kyahahahaha!  Good morning, Beatrice-sama!  That's all for me!  Here, Battler-kun, say aa~h!"""
Ushiromiya Battler,"""Mmmm!!  "
Ushiromiya Battler,"Mmm mmm, *chomp*, ...*gulp*.  .....................H, hey, morning, Beato.........Glad to see you're in perfect form this morning."""
,........................
,Beato and Battler looked at each other....It seemed that neither had a clue what was going on with the other.
