Speaker,Original Witch Hunt (OG)
,"It was already approaching 10:00 at night.By now, the typhoon had wrapped itself around Rokkenjima."
,"Even the rose garden that had looked so beautiful midday, was beaten down upon by the fierce winds and resisted with all its might, undulating and trying to keep the flowers from blowing away..."
,"In that rose garden, with Shannon in the lead, Battler, who was holding up an umbrella, Jessica, and Maria who was sleeping on George's shoulder were heading for the guesthouse."
Ushiromiya Battler,"""We can at least make it to the guesthouse from here.  Shannon-chan, it's fine, you should go back and rest."""
Shannon,"""It's fine, because seeing you off is also my duty...."""
Ushiromiya Jessica,"""The family conference is going on inside, and Mom and Genji-san are probably getting stressed.  If we keep you, they'll misunderstand and think you were being lazy."""
Ushiromiya George,"""That's right.  Just graciously accepting our offer might be the best way to avoid burdening people.  ...Thank you, Shannon."""
Shannon,"""Not at all. ......Certainly, as Milady has said, it is very tense inside the mansion today.  Therefore, coming with all of you allowed me a breath of fresh air, and I have been able to relax a bit."""
Ushiromiya Battler,"""The family conference, huh.  .........They went to all the trouble of chasing us kids out, so they're probably talking about something ill-natured."""
Ushiromiya George,"""Probably.  I'm sure there's nothing we can do to help out.  Just trying to stay out of their way is probably the best way for us to be useful."""
Ushiromiya Jessica,"""Heh......!  I'm sure they're just talking about 'money money money!'.  "
Ushiromiya Jessica,"...Even though they act like they're so rich most of the time, when it gets tough, they all start getting pushy.  Why don't they just be graceful and split it evenly between everyone?"""
Ushiromiya Battler,"""Ihihi.  That'd be awesome.  It'd be nice if I got a share too.  Since if I got some too, I'd split it with Shannon-chan right away."""
Shannon,"""Th, thank you very much....  Well, I appreciate the sentiment."""
Ushiromiya George,"""Shannon isn't greedy at all.  Normally, girls of your age would have tons of things they want to buy."""
Shannon,"""I guess.  But none of the things I want can be bought with money."""
Ushiromiya Battler,"""Ooh!  How unselfish!  If you lined up all the things I wanted, all the gold in the world wouldn't be enough."""
Ushiromiya Jessica,"""That's if you're talking about things that can be bought with money.  I wonder what these 'things that can't be bought with money' that Shannon wants a~re.  Do you have any idea, George nii-san?"""
Ushiromiya George,"""W, well, I wonder.  I'm not Shannon, so how could I know?"""
Shannon,"""I, ...I don't know either."""
,George and Shannon looked down with their faces red.
,"Battler had also heard the details, so he knew what Jessica was teasing them about."
Ushiromiya Battler,"""George-aniki is a person I respect as well.  I think you've met up with a really great person, Shannon-chan."""
Ushiromiya Jessica,"""Yeah.  I also feel relieved that we can leave Shannon to George nii-san."""
Ushiromiya George,"""St, stop teasing.  It's a serious issue for us.  More importantly, what about you, Jessica-chan?  Have you been able to get a little closer to Kanon-kun?"""
Ushiromiya Battler,"""Whaaaaaaaaat?!  So, you and Kanon are like that?!"""
Ushiromiya Jessica,"""Ah, um, well!! Th-, that's dirty, George onii-san, twisting the conversation around like that is dirty!"""
,"As they had an animated discussion with ups and downs, the four kids headed for the guesthouse......."
,"The annual family conference was extremely important to the Ushiromiya family, and this year seemed like it was going to be especially important."
,"Apparently, the family head, Kinzo, was personally going to be making a very serious announcement, and everyone other than the adults had been strictly ordered to leave."
,"Battler hadn't attended the family conference in six years, so he didn't really notice, but according to Jessica, there seemed to be a very tense atmosphere tonight, completely different from a normal year."
,"......Common sense made it clear that Kinzo, whose remaining life was short, was going to make some big announcement about the succession of the head and the distribution of his fortune......"
Ushiromiya Battler,"""But I'm suprised.  .........To think that Grandfather actually made an appearance......."""
Ushiromiya Ange,"""......I see.  So, this is the witch's counterattack."""
{f:5:Beatrice},"""*cackle*cackle*cackle*!  I wanted to leave the Joker called Kinzo face-down a little longer, but it's probably about time to turn it over.  Trump cards exist to be used.  *cackle*cackle*!"""
Ushiromiya Battler,"""Damn.  My theory that Grandfather was dead since the beginning, and a different 18th person had snuck in, ......is now suddenly torn apart."""
{f:5:Beatrice},"""I had foreseen that you would begin to doubt Kinzo eventually...!  Alright, now your reasoning has all gone back to square one again, right?"
{f:5:Beatrice},"With this, your theory that Kinzo was dead at the very beginning and I was hiding as the 18th person goes poof!"
Ushiromiya Battler,""".........Fuck...  But no way I'll lose heart.  That's only one theory gone.  I'll attack you like a storm, like a tornado......."""
{f:5:Beatrice},"""*cackle*cackle*!  I'd have it no other way!  Even the first twilight has not yet begun.  It is far too early to give up."
Ushiromiya Ange,"""That's right.  And, it's not like it was denied with the red truth.  .........At this point in time, Battler's theory hasn't been defeated.  It's too early to say that you've won."""
Ushiromiya Battler,"""Yeah, that's right.  ......It's still to early for me to simply swallow her story.  ...Grandfather is supposed to finally appear, but there's a chance that he'll talk about how his health has gotten worse and not appear after all."
Ushiromiya Battler,"......Krauss oji-san might be trying desperately to hide the fact that Grandfather really is dead until the last second."""
{f:5:Beatrice},"""Ha...!  I see, I see, you could also think of it that way.  Do as you please.  It will be resolved soon.  Very soon...  *cackle*cackle*......!"""
,All of the relatives and Nanjo could be seen in the dining hall.
,"Nanjo sat alone, quietly watching the wind and rain outside."
,"Krauss sat down in the seat of his own rank, with Natsuhi standing motionlessly at his side."
,"The other siblings were gathered at the opposite end of the long table, whispering to each other......."
Ushiromiya Rudolf,"""......Is that true?"""
Ushiromiya Rosa,"""Yes.  ......Maria said...the person who gave her the umbrella......was Father."""
Ushiromiya Hideyoshi,"""What in the world...?  In other words, our strategy has collapsed from the roots...!"""
Ushiromiya Eva,"""Not just our strategy.  Since Father is healthy and has said that he will make an announcement himself, our trivial bargaining with Nii-san was completely pointless."""
Ushiromiya Rudolf,"""Yep.  ......That old bastard.  Why couldn't he have just shown himself right away without making a show of it?  Thanks to that, we've just been quarreling with Aniki uselessly."""
Ushiromiya Kyrie,"""............Don't you think he may have wanted to test us?  Maybe I'm not one to talk, since we aren't related by blood, but your Father is very intelligent, correct?"""
Ushiromiya Eva,"""Our arguments during the day were probably overheard by one of the servants, and reported to Father.  .........Incredible.  The fact that we were making a fuss with Father's inheritance as our goal is now right in the open............Ah, just incredible..."""
,"Eva uncharacteristically held her head, dejected."
,"If, as Kyrie had said, everything had been going according to Kinzo's plans from the beginning, and if this was a huge setup that had been kept up for over a year, trying to find the siblings' true intentions, then they had fallen for it completely..."
Ushiromiya Hideyoshi,"""......Still don't know for sure whether it's reached Father's ears or not."""
Ushiromiya Eva,"""No, it definitely has!  ......Everyone but Nii-san claimed that Father was dead, and none of us believed in Father's good health...!  "
Ushiromiya Eva,"Aaah, it's already over.............Father will make an announcement.  Nii-san will become the successor, and he will say that we aren't even qualified to wear the One Wing.............Oooh, I............"""
Ushiromiya Rosa,"""Nee-san......, get ahold of yourself......."""
Ushiromiya Kyrie,"""......Rosa-san.  I wonder whether Maria really received that umbrella from Father."""
Ushiromiya Rosa,"""Huh?  What do you mean......?"""
Ushiromiya Kyrie,"""......Maria-chan might have met Father.  However, we haven't met him.  Maria-chan only claims to have met him."""
Ushiromiya Rosa,"""What are you saying.......?  ......Are you saying that Maria is telling a lie?!"""
Ushiromiya Rudolf,"""Calm down, Rosa.  ......Maria-chan didn't necessarily lie.  However, isn't Maria-chan an innocent child?"
Ushiromiya Rudolf,"......For example, if Genji-san came up to her and said something like 'I was told by your Grandfather to hand this to you, Maria-sama', then even if Maria-chan hadn't met Dad, she still might say that she got an umbrella from him, right?"""
Ushiromiya Eva,"""Th, ......that's right.  That trick could work...!"""
Ushiromiya Hideyoshi,"""However, what was it that Maria-chan said? 'Grandfather came, and then handed me the umbrella'."""
Ushiromiya Rosa,"""Yes, that's what she said. She clearly said that she had received an umbrella directly from Grandfather."""
Ushiromiya Rudolf,"""......Directly, huh?  Then we're stuck."""
Ushiromiya Kyrie,"""............................They often say that stupid thoughts are no better than sleeping.  If you think about it a bit, all this about the umbrella is a trivial problem."""
Ushiromiya Eva,"""Why's that?  Couldn't Maria-chan have been bribed by Nii-san to lie and say something that made it seem like Father was in good health?!  There is no evidence that Father actually handed the umbrella to her...!"""
Ushiromiya Kyrie,"""No matter who Maria-chan received the umbrella from, and even if she never was given an umbrella in the first place, Father will appear very soon.  With Father in front of us, the problem with the umbrella would become completely trivial."
Ushiromiya Kyrie,".........In other words, this is not the time to gossip about the problem with the umbrella."""
Ushiromiya Rudolf,"""What do you mean, this isn't the time?"""
Ushiromiya Hideyoshi,""".........I see, ...got it.  ......This is probably what Kyrie-san's sayin'.  "
Ushiromiya Hideyoshi,".........Father is supposed to come here very soon, but the chance still remains that he'll criticize us again and won't appear in the end, right......?"""
Ushiromiya Eva,"""I, .........I see.  That's true...  "
Ushiromiya Eva,"Maybe Nii-san just said Father was going to appear at random in a desperate bid to buy time against our investigation.  Father really is dead already, and Nii-san is still lying and saying he's healthy...!"""
Ushiromiya Kyrie,"""In short, if Father appears, then no schemes will be effective.  There's no need to even think about it.  We're fish on the chopping board.  We'd have no choice but to leave fate to the heavens and attend direct negotiations with Father.  That means we'd have no choice but to prostrate ourselves and beg for money."
Ushiromiya Kyrie,"......But on the other hand, if Father doesn't appear, then our primary strategy isn't hampered in the least."""
