Speaker,Original Witch Hunt (OG)
Ushiromiya Eva,"""3 months left to live.  It was last year when you said that, right, Doctor Nanjo?"""
Nanjo Terumasa,"""......I, I only spoke of what I had comprehensively determined from his physical condition at the time.  As a result, this year too by chance-"""
Ushiromiya Rudolf,"""Even though it's doubtful whether Father will last until the end of the year, he's still enthusiastically immersed in his occult research.  And even so, he has only three months left, Doctor?"""
Nanjo Terumasa,"""L, like I said, Kinzo-san's-"""
Ushiromiya Krauss,"""Isn't it wonderful that our respected father is still in high spirits?  Out of respect for your parents, all of you strongly desire to greet Father.  So you cannot accept the fact that you cannot meet with him."""
Ushiromiya Natsuhi,"""...Considering that everyone has started aiming for the inheritance while the sun is still in the sky, it seems that you do not truly wish to meet with Father."""
Ushiromiya Rosa,"""Y, you've got it wrong, Natsuhi nee-san.  ......We just, umm-"""
Ushiromiya Rudolf,"""Dad isn't immortal, and he'll die someday.  We aren't telling him to die.  We're just saying that he will die someday.  We're just talking together about how to prepare for that."""
Ushiromiya Natsuhi,"""And that is precisely what is so disrespectful!!"""
Ushiromiya Krauss,"""Stop it.  You'll make your headache worse."""
,"Krauss told Natsuhi, who had risen from her chair in agitation, to sit down."
,"Trying to smooth over the atmosphere, which had suddenly become filled with suspicion, Hideyoshi put on a forced smile and motioned for everyone to calm down."
Ushiromiya Hideyoshi,"""......Natsuhi-san, don't misunderstand.  They say that you should always clean up after yourself, right?  We are just talking about seeing him off.  We are discussing this so that we can see Father off cleanly when he leaves for a journey he must eventually take."""
Ushiromiya Krauss,"""Hah-hah-ha...  That's just like you, Hideyoshi-san.  Even though you're saying the same thing, you make it sound so intellectual."""
Ushiromiya Eva,"""Yes, that's right.  Unlike you, Nii-san."""
Ushiromiya Rudolf,"""Stop it.  We aren't getting anywhere.  .........So like we're saying, Aniki.  We can just forget all of this about the inheritance.  It doesn't even matter if Dad hits us."
Ushiromiya Rudolf,"To make a long story short, we want to meet Dad directly and say hello.  Even if Dad says he doesn't want to.  If he's locked up in his study, we don't care if we have to borrow a key from Genji-san.  Right, Rosa?"""
Ushiromiya Rosa,"""...Oh, ...well, umm...it's not like we're forcing you.........It's just...we haven't said hello to Father in such a long time.  "
Ushiromiya Rosa,"If his remaining life really is short, then there's a chance we might never be able to see him again.........Today might be our final opportunity to exchange words with Father..."""
Ushiromiya Eva,"""That's right, just like Rosa says.  If he only has three months left, it wouldn't be odd for him to pass away any time now, right?  "
Ushiromiya Eva,"Are you saying that despite that, we don't even have the right to talk with him one last time?  ......Regardless of the circumstances, isn't that just a bit too much...?"""
Ushiromiya Natsuhi,"""......You would be able to meet with Father if the topic you wanted to discuss really was a greeting."
Ushiromiya Natsuhi,"But Father has already heard about the disrespectful topic you hope to bring about!  No one would want to meet with you under those conditions.  The reason you cannot meet with Father is because of your own doing, and nothing else, right?"""
Ushiromiya Krauss,"""Heheh.  Exactly.  You should be able to understand why Father doesn't wish to see your faces without wracking your brains over it, right?  Father has seen through all of your stringent financial situations."""
Ushiromiya Eva,""".........What are you talking about?  ...I don't have a clue what you're going on about, Nii-san."""
Ushiromiya Krauss,"""Heheheheh!  Did you think I didn't know about the conditions all of you are under...?"""
,"Eva and the rest realized that he had seen through to their current lack of funds, and alternating between bluffing and returning to the point at hand and arguing back, they repeatedly pressed Krauss to let them meet with Kinzo."
,"...The sweet smell of the black tea Rosa had gone out of her way to buy had been completely wasted."
