Speaker,Original Witch Hunt (OG)
,"That's right.  Just once in the past, I underwent training which should have allowed me to step into the world of witches."
,"I accepted that the only power which could save me from my sad, painful days at Saint Lucia Academy, was the thing called magic, and I received Maria's introduction to the basics......"
Ushiromiya Ange,"""............Imagine...a vast space............The scene from when I looked down at the base from the rest stop at the peak......"
Ushiromiya Ange,".........Like this......?"""
,"I projected that scene from a memory into my mental world."
,"......Normal girls get over admiring witch girls when they leave elementary school."
,"So seriously training to use magic at this age, ......was embarrassing even for me."
,"But even that embarrassed emotion felt pleasant to me now."
,"Right now, I was learning mental concentration from Maria onee-chan in order to use magic."
,"But it wasn't going very well.......It was about as hopeless as teaching a person to wiggle their ears by showing them..."
,"It seems that you need to imagine a vast space to gain the mental concentration for using magic."
,"So I remembered the time from my younger days when my family had gone on a small vacation, when I had looked down towards the base from a viewing platform at a rest stop on a peak, and I tried painting this scene in my mental world."
Ushiromiya Maria,"""No, still far too small.  Imagine a much, much wider space.  And create your own mental world.  "
Ushiromiya Maria,"Your image is still far too foggy.  There's no temperature in the air, and there's no wind.  No smells either.  The world is still very faint.  ......You can leave those for later, so for now, imagine an even wider space."""
Sakutarou,"『Uryu.  ......Why do you have to imagine a vast space?』"
Ushiromiya Maria,"""From the time they're born, humans have inside them a toxin that blocks magic.  If that toxin is not purified, you can't use magic well.  ...One effective method of achieving this is to imagine a vast space."""
Ushiromiya Ange,""".........Just now, I thought of the world as seen from the window of an airplane, but that didn't work.  ......I can't even think of, ......a world more vast than that."""
Sakutarou,"『In that case, Maria just has to teach Ange about the vast world Maria has...!  Won't that make it easy for Ange to imagine as well?  Uryu!』"
Ushiromiya Ange,"""......That's right.  And, I'm interested in the kind of world Onee-chan imagines when she uses magic.  ...I'll also use that."""
Ushiromiya Maria,"""Uu-, won't work.  The mental world must be vast and isolated.  A world with no obstructions other than yourself.  "
Ushiromiya Maria,"......So if you teach someone about that world, it won't be isolated anymore.  So you must not reveal your mental world to anyone.  So if you draw up a good mental world, you too must keep it a secret only for yourself."""
Sakutarou,"『Uryu...  So stingy, Maria...』"
Ushiromiya Ange,"""Thanks, Sakutaro.  I guess there are no shortcuts in training.  ......I'll make an effort.  It's alright, I've been given plenty of hints."""
Sakutarou,"『Uryu...!  Do your best, Ange...!』"
,"I had come to think that I couldn't be saved by something like magic.After all, magic doesn't exist in this world.That kind of thing is supposedly nothing more than an illusion, a delusion, a daydream."
,"......However, Maria onee-chan had shown that she could fill her own world with happiness using a power that was impossible for me."
,"I had come to look down on that happiness as an empty happiness."
,"......I had denied everything, thinking that, because I didn't accept magic, I couldn't accept the happiness that came from it either."
,"But slowly, bit by bit, Maria onee-chan's world grew happier."
,"In the past, I had disparaged it, thinking it too pitiful to look at."
,"But, ......that might have been nothing more than jealousy.I had to admit that."
,"And this had been my first step in my search for happiness..."
,"A vast space.A dry wind that could blow without being blocked by anything.......Let me feel that wind blowing through my own hair."
,"......I see...even the ground might block me as I am now."
,"Then, I don't need a ground."
,".........Brush the ground away, downwards, downwards."
,"In other words, ......it was as though I had floated up, leaving the ground far behind."
,"After pushing the ground further and further downwards, ...the ground grew foggy and faint, ......and for the first time, it began to feel like the sky."
,".........Then, I understood its vastness."
,"In that instant, I felt the vivid wind go right through even my body, in other words, blowing through me without any resistance."
Ushiromiya Maria,"""...........................Yes.  Maintain that sensation."""
Ushiromiya Ange,"""......Yeah, I get it.  ......I get that I've been, ......released from all hinderances."""
Sakutarou,"『You did it, Ange, you did it, Ange...!  You've taken your first step into the world of witches...!』"
Ushiromiya Ange,"""............This is, ...the world of witches......?"""
Ushiromiya Maria,"""Yeah.  So, let's try practicing the magic that you've always wished for, Ange.  .........Magic that will summon friends.  ......A magic that will create allies who will save you from your loneliness, and thereby bring you happiness."""
Sakutarou,"『Will Ange also be able to summon friends like me?!  Uryuuryu!』"
