Speaker,Original Witch Hunt (OG)
,"On a large bed were scattered cute jellybeans of various colors, and coin-shaped chocolates."
,"A fork was stuck into a shortcake peeking out of a gift box, and there were decanters with drinks of various colors lined up on the side table."
,"But the color of the partially finished drink that had been poured into a cup was venomous, matching none of the decanters."
,"Someone had probably been playing around, mixing various things together."
,"It was very fun, regardless of the taste."
,"On top of the fluffy bed were several colorful, big pillows like something from a dream."
,"And on this bed that looked like something out of a child's dream world, Bernkastel lay face down, and Lambdadelta lay face up, clutching a pillow and relaxing......"
{f:5:Lambdadelta},"""Ahhahahhahhahha, it was pretty thrilling this time, wasn't i~t?  I got re~ally anxious when Beato said she'd stop the game."""
{f:5:Bernkastel},"""..................What a rude witch, to start a game such as this and try to end it by throwing it away."""
{f:5:Lambdadelta},"""Wasn't Ange a good piece?  After Beato ran for it, Ange dragged her back and made her resume the game.  Although it is a shame that she gave Battler a little too much enthusiasm."""
{f:5:Bernkastel},"""............Because she knew Battler is weak against emotions."""
{f:5:Lambdadelta},"""Too true.  He looked like he might even go easy on his enemy Beato."""
{f:5:Bernkastel},"""............I was uneasy that, like the last game, he might in the worst case feel compassion for Beato, and take the game in a weird direction.  .........Ange was a trump card to get Battler back on track when he mistook his goal."
{f:5:Bernkastel},"  .........Although I wanted her to support him a bit more before using her.  She really was used right off the bat.  What a waste for a piece that required so much preparation."""
{f:5:Lambdadelta},"""Ehheheheh!  It's a good thing she was shackled by the rule about not giving her name!  If that hadn't been set up, the brother-sister tag team would have swallowed Beato up and won in the blink of an eye."""
{f:5:Bernkastel},"""............I thought it was a chance for them to press her all at once, but your mark was so restrictive that I couldn't make the best use of her.  ......Aaah, what a waste that piece was."""
{f:5:Lambdadelta},"""Isn't it obvious that such an unfair piece would have to be retired right away?  Well, in the end, she did a good job of preventing the suspension of the game, and that helps me out too.  The way she acted to make both our interests match is what made her a truly wonderful piece."""
{f:5:Bernkastel},"""............She was an innocent kid like Battler, so it was easy to get her to do as I said.  .........Morons and impulsive types are the best for pieces.  ......Aaah, I really can't stand losing that piece."""
{f:5:Lambdadelta},"""By now, that kid's minced meat!  Hey, let's make hamburgers out of that later on☆  Oh wait, didn't you like gyoza more?  I wonder what little sister tastes like, *giggle*, hilarious!"""
{f:5:Bernkastel},"""..................Is it really alright for you to be so relaxed?  Thanks to Ange, Battler has gotten all stirred up.  I believe he's started a hot pursuit of Beato, making this game take a big turn to my advantage, right...?  I mean, didn't Battler solve almost all the mysteries up until now this time?"""
{f:5:Lambdadelta},"""Huuh?  No~t even close!  Almost all of Battler's blue truth is off!  Beato's lukewarm red is full of holes.  If she had any brains in her, she'd slip through it easily by setting up a suitable web of twisted logic."
{f:5:Lambdadelta},"  ......Yeah, it really ticks me off.  If it were me, I'd thoroughly cut down all of it with the red."""
{f:5:Bernkastel},"""............Oh, really?  And I was sure that those were all correct.  ......Well, I don't know about that small bomb part though."""
{f:5:Lambdadelta},"""Not all of Battler's blue truth was effective.  ......Beato clearly declared, for the first game, that {p:1:the identities of all unidentified corpses are guaranteed}!  This breaks Battler's reasoning about the culprit of the Eva/Hideyoshi closed room murder being someone who faked a corpse."
{f:5:Lambdadelta},"Next, Kanon might have died in an accident in the boiler room but, *giggle*!  What kind of accident could drive a stake into his own chest?  Are you a moron?  I'll slice it with that red treasured sword."
{f:5:Lambdadelta},"{p:1:Kanon did not die in an accident!}  For the next one, the murders of the three including Genji in the parlor, the thought that it was a simultaneous murder where they shot each other in a clockwise pattern at the same time is laughable.  {p:1:Genji, Kumasawa, and Nanjo are not killers}!"
{f:5:Lambdadelta},"The final trap X to kill Natsuhi is also ridiculous.  {p:1:The thing that shot Natsuhi wasn't a trap, it was a real shooting murder with a gun raised and trigger pulled!}  *giggle*, how sad...!"""
{f:5:Bernkastel},"""......You mustn't do that.  Saying something like that in red.  That kid's trying to make it so that she bounced Natsuhi's bullet back with magic and killed her."""
{f:5:Lambdadelta},"""Oh-hoh-hoh-hoh, oh my, how could I, that's true...!  Even the blue truth for the second game was too naive.  "
{f:5:Lambdadelta},""" {p:1:When the six were killed in the chapel, the culprit was inside the chapel!}  That guy tries to explain things left and right using trap X.  What the heck is trap X, a pattern in some strange mystery novels?"
{f:5:Lambdadelta},"It's also laughable to say that, in the case where Nanjo and Kumasawa were killed in the servant room, someone inherited Kanon's name.  {p:1:The only one who can claim Kanon's name is the person himself!  A different person cannot claim his name!}"
{f:5:Lambdadelta},"And that theory about borrowing the master key from Rosa for Natsuhi's room is also worthless!  "
{f:5:Lambdadelta},"{p:1:After the master keys came into Rosa's control, never did any of them leave her hands!  Except for the time when she lent it to Battler to unlock Natsuhi's room.}  I can keep on going, just taking a quick look at them turns out like this, right?"""
{f:5:Bernkastel},"""............Forget taking a quick look...you've just denied Battler's blue truth for the first and second games across the board.  .........My, my, what a thing.  If Battler heard, he'd faint."""
{f:5:Lambdadelta},"""......Right?  Beato wasn't cornered at all.  .........Looks like that kid's a pretty good actress after all."
{f:5:Lambdadelta},"  I'm sure she planned to make it look like she was getting cornered this game, and then sometime next game, *bang*, slice it up with a single red stroke and make Battler shocked and surprised."
{f:5:Lambdadelta},"*giggle*, and then I'm sure she'll say it again with a huge smile.  'Witches never ge~t into a pinch'!  Pff, *giggle*giggle*giggle*!!"""
{f:5:Bernkastel},"""............Then that whole tragic feeling as though Beato was getting cornered was all an act?"""
{f:5:Lambdadelta},"""Isn't it obvious!  She really is a big actress!  Even though she wasn't cornered at all, it felt like an astonishing, last-episode climax!"
{f:5:Lambdadelta},"  She's totally the winner for best supporting actress this year!!  Oh, but of course I'm the sta~r!  Or it could be you, Be~rn!"""
{f:5:Bernkastel},"""............At the end, she said something like 'kill me' and laid out a big riddle.  Wasn't that her last stand, with Beato to be finished for good if that riddle was solved?"""
{f:5:Lambdadelta},"""*giggle*giggle*...!  No way, you were tricked too, Bern?"
{f:5:Lambdadelta},"  That wasn't even close to a last stand!  Beato is still holding back a glaring hidden move.  ......When she stuck out both hands to give the final riddle, did you notice how only her right hand fell down?"""
{f:5:Bernkastel},"""......Yeah, now that you mention it.  .........Is that what that meant."""
{f:5:Lambdadelta},"""Sure is!  That kid still had plenty of hidden moves left!  And none of the mysteries have been solved...!"
