Speaker,Original Witch Hunt (OG)
,The VIP room was filled with the sweet smell of pumpkin tea... and packed with smiles and laughter.
Ushiromiya Kinzo,"""Ahhahahahahahahahahaha!! Simply splendid. I am glad to see you in such high spirits...!"""
{f:5:Beatrice},"""I could say the same for you. What idiot said you're reaching your last years?"""
Ushiromiya Kinzo,"""I just borrow a bit of cheer from you. Once I return to my study, I will be little more than a withering, senile old man."""
{f:5:Beatrice},"""Enough with your lies! Give it up and swear that you'll be living it large until you're a hundred."""
Ushiromiya Battler,"""Same here. I haven't seen you for six years, but I was surprised to see how little you'd changed."""
Ushiromiya Kinzo,"""Wahahahaha, you little brat. So, it seems you've learned flattery these past six years! Sorry to disappoint you, but you're hardly a fair judge in the matter. I have grown quite old indeed."""
{f:5:Beatrice},"""I'll bet a thousand yen that Kinzo's still doing great when he turns a hundred."""
Ushiromiya Battler,"""Yeah, me too. Grandfather won't be any different when he's a hundred."""
Ushiromiya Kinzo,"""Wahhahahaha! Don't think you'll get any more presents for complimenting me!"""
,"Kinzo laughed cheerily. Beato, who sat next to Battler, was also laughing merrily."
," Ange stood all alone by the window, ......staring at the others and trying to figure out what sort of relationship the witch of the portrait and her grandfather had."
, There was a knock on the door.
Ushiromiya Kinzo,"""Is that you, Genji? Come in!"""
Ronoue Genji,"""......Pardon the intrusion. Krauss-sama and Natsuhi-sama are here."""
Ushiromiya Krauss,"""Father...oh, and Battler-kun's here too."""
Ushiromiya Natsuhi,"""It has been some time, Beatrice-san. Has there been any news?"""
{f:5:Beatrice},"""I'm just the way I used to be. Come on, have a seat. And Ange, why are you standing by the window like that? Come over here and sit down."""
Ushiromiya Battler,"""Ange. Come over here."""
Ushiromiya Ange,"""......I'll just watch from here."""
,"Ange grasped the candy she had gotten from Beato tightly, and with a still wary gaze, she continued to stare."
," Genji offered her a chair, but Ange just shook her head."
Ushiromiya Kinzo,"""Let her do as she pleases. Come, Krauss, Natsuhi, and sit."""
Ushiromiya Battler,"""......Is it something important? I guess Ange and I should leave."""
{f:5:Beatrice},"""Hey, if you leave, who's going to back me up here...?! Kinzo, you don't mind if Battler stays, do you?"""
Ushiromiya Kinzo,"""I have nothing to hide. I do not mind."""
,"However, he had called Krauss and Natsuhi to the VIP room to meet Beatrice, the Golden Witch."
, It was hard to imagine that Kinzo wanted to have a casual conversation......
," After Kinzo said he didn't mind, Beato also asked Battler to stay, so he decided to do so."
," In order to avoid getting in the way of their conversation, Battler stood up from the sofa and walked over to Ange's window."
," When the big brother finally came back to Ange, she clung to his waist, as though determined not to let him go away again."
{f:5:Beatrice},"""Oh, I see. That must be why Ange doesn't like me."""
Ushiromiya Battler,"""Huh? What do you mean? I really don't think she dislikes you."""
{f:5:Beatrice},"""*cackle*cackle*. You never could understand women, Battler."""
,"Beato smiled at Ange, but the latter turned to look the other way..."
{f:5:Beatrice},"""*cackle*cackle*! Even a young woman is a woman nonetheless."""
,"When Beato stopped laughing, the conversation switched gears."
," Why on Earth did Kinzo summon Krauss and Natsuhi to the VIP room, and what was he going to talk about? Everyone fell automatically silent."
Ushiromiya Kinzo,"""Beatrice, Golden Witch. Each and every day, I remember the debt owed by the Ushiromiya family for the time it was saved on the brink of destruction."""
{f:5:Beatrice},"""*cackle*cackle*! Yeah, you'd better thank me."""
Ushiromiya Battler,"""Well, it's actually your grandmother he's thanking."""
{f:5:Beatrice},"""Shut up, you."""
Ushiromiya Krauss,"""No, it comes to the same thing. All of that gold has been lent to the Ushiromiya family for three generations. And for no compensation."""
Ushiromiya Natsuhi,"""......We truly...cannot be grateful enough."""
{f:5:Beatrice},"""Gold is no more than a pile of bricks to me. It was a relief to have Kinzo hold onto it, since I had nowhere to put them."""
Ushiromiya Battler,"""Whoa. I'd like to say that just once before I die."""
Ushiromiya Ange,""".........Is the Golden Witch...a rich person...?"""
Ushiromiya Battler,"""Hmm? Well, yeah. After all, she just went and lent Grandfather ten tons of gold."""
Ushiromiya Kinzo,"""Precisely. I've been borrowing it for several decades, always promising to return it someday. It is a debt I will never be able to fully repay."""
Ushiromiya Natsuhi,"""The head family has never forgotten its gratitude. Isn't that right, dear?"""
Ushiromiya Krauss,"""Of course. If the Beatrices hadn't kindly lent it to us for three generations, the Ushiromiya family would have fallen long ago. Even someone as shrewd as Father couldn't do anything without funds to start with."""
Ushiromiya Kinzo,"""By now, my money is making money, and the gold that made up my original funds can sleep in peace. .........Krauss. Do you know what I am about to say?"""
,"Since the moment Krauss had been summoned here, he had guessed about the things Kinzo's words now hinted at."
, All things borrowed must be returned someday. That day had finally come.
Ushiromiya Krauss,"""......Yes, I understand. Father."""
Ushiromiya Kinzo,"""Beatrice. I do not have many years ahead of me. In fact, ......this may be the last family conference that we will attend together."""
{f:5:Beatrice},"""How fainthearted you sound. You must be joking."""
,Beato alone laughed.
," She looked at Battler, so he laughed along with her, but Kinzo and the others remained silent."
," Apparently, there existed some major concerns about Kinzo's health......"
Ushiromiya Kinzo,"""Of course, I do not intend to die as soon as next year. However, I don't believe I can make any certain promises about meeting you again next year. Not once have I ever made a promise that I cannot keep."""
{f:5:Beatrice},"""If you say it so proudly like that, I'm in no position to disagree. ......Are you serious about this?"""
Ushiromiya Kinzo,"""Beatrice. I want to make amends. And I must do it while I am still in high spirits. For that reason, I made a decision today."""
Ushiromiya Ange,"""......What's Grandfather talking about...?"""
Ushiromiya Battler,"""Quiet. ......Grandfather is......about to talk about something very important."""
,"By now, even Battler understood what Kinzo was about to propose."
, Beato probably realized it too...
," At one time, the Ushiromiya family had ruled the skies like an eagle...before being crushed in the Great Kanto Earthquake."
," The eagle had one of its wings torn off, and it crawled in the mud, on the point of death."
," Then, they were saved by the Golden Witch's golden miracle. Under the Golden Witch's protection, the eagle had nursed its wounds for many years."
," And now, finally, it was time for the eagle to leave the nest the witch had provided......"
Ushiromiya Kinzo,"""I will return all of the gold  your grandmother lent me. ......Krauss, you have no objections, correct? That gold did not belong to the Ushiromiya family in the first place."""
Ushiromiya Krauss,"""Of course. I have no objections whatsoever."""
{f:5:Beatrice},"""Are you sure, Krauss? You're an investor, aren't you? You could always do with more money, right? Didn't you want Kinzo to hand the gold over to you?"""
Ushiromiya Krauss,"""Hahahaha... Yes, now that you mention it, it's hard to deny what you say. However, the contract was always between you and Father, and the gold was yours to begin with."""
Ushiromiya Natsuhi,"""After all, my husband is the successor. Just as Father rebuilt the family in one generation, I am sure my husband will make the family thrive in his. And this is something the two of us will do together."""
Ushiromiya Kinzo,"""Hmm, well said. That's the spirit."""
{f:5:Beatrice},"""......So, you have no regrets to leaving behind ten tons of gold. I must say, that is quite impressive. What can a witch do against an opponent who cannot be swayed by the golden magic?"""
Ushiromiya Kinzo,"""I will return the gold to you. However, that will not change the fact that the Ushiromiya family will always be supremely indebted to Beatrice, the Golden Witch."""
{f:5:Beatrice},""".................."""
,To return the gold once lent by the Golden Witch. It was both simple and clear.
," However, the expression worn by the Golden Witch herself was slightly lonely."
, Ange couldn't understand why this was.
{f:5:Beatrice},"""......After all, if you're giving it back, that simply means that you have no use for it. Ah, well."""
,Beato rose from the sofa.
," Then, she walked up to the window and looked down at the rose garden waving in the wind."
Ushiromiya Kinzo,"""Krauss. I have also decided to present you and the others with my inheritance while I still live."""
Ushiromiya Krauss,"""F, Father......"""
Ushiromiya Kinzo,"""When I die, you will not only be busy with the funeral, but I imagine that you will have Eva and the others at your throats over the inheritance issue. If all is divided now, the funeral will be less trying for you. ......Krauss, write this down. And Genji, please be our secretary. I will now lay out the distribution of my assets."""
,Kinzo immediately began explaining how the inheritance would be split up.
," Battler, realizing that he shouldn't be listening in on this conversation, walked over to where Beato was loitering by the window..."
Ushiromiya Battler,"""Hey, rich person. If you've got too much gold on your hands, I'd be happy to lighten the load."""
{f:5:Beatrice},"""Gold...would be no less useful if you turned it to firewood and used it to cook a stew."""
Ushiromiya Battler,"""What's the matter? You're looking a bit bored."""
{f:5:Beatrice},"""So, this day has finally come. ......I do feel a bit lonely."""
Ushiromiya Battler,"""......You do?"""
{f:5:Beatrice},"""My magic revived the Ushiromiya family and created Rokkenjima. ......And now, it seems the Ushiromiya family no longer has any need for the power of my gold. It has taken flight, leaving the nest of my magic behind."""
Ushiromiya Battler,"""True. ......That's pretty much it."""
{f:5:Beatrice},"""I have called Rokkenjima the witch's island... my island."""
Ushiromiya Battler,"""......Yeah."""
