Speaker,Original Witch Hunt (OG)
Ushiromiya George,"""............I can't believe it. ......Are you, ...saying that's the truth?"""
Shannon,"""......Yes. ......We described everything as we saw it."""
,George folded his arms and started humming again....And the kitchen was once again absorbed by a long silence.
Gohda Toshiro,"""George-sama, I understand well that you aren't able to believe that so suddenly. ...Anyway, ...even though I should have seen it with my own eyes, I'm still not sure what it was I saw... "
Gohda Toshiro,"I'm sure I saw it. And I'm sure I got into a scuffle! And yet, ......I almost feel like it was all an illusion..."""
Ushiromiya George,"""...I see. ......So that's why you couldn't go into the details in front of Rosa oba-san. "
Ushiromiya George,"......If what you said is true, then we're in even bigger trouble. ...I see, I understand that Genji-san handled the whole thing composedly."""
Ronoue Genji,"""............If only I had the power to explain it."""
,"George had not actually seen it, and even when pressed to believe, he just couldn't imagine it."
,......It was only natural. Because even the people who had actually seen it had given up asking themselves what it was...
Ushiromiya George,"""...Let's rewind the story a bit. ......Shannon, you said that when you thought Kanon-kun was an impostor, you picked up some spider-webs and came back, right? Why did you do that?"""
Gohda Toshiro,"""......That's right, I was thinking about that as well. Why spider-webs?"""
Shannon,"""In the past, I happened to hear it from Kumasawa-san. ......A long time ago, evil spirits lived in Rokkenjima and they, umm, feared spider-webs. And they say there's a legend that people treasured spider-webs as amulets. "
Shannon,"......And, umm, ......right at that moment, I, I think I was also a bit confused..."""
Ronoue Genji,"""............When it came to those old stories, ...Kumasawa was very knowledgeable."""
Ushiromiya George,"""That's because spiders are useful. ......Certainly, the existence of such a creed isn't strange at all."""
Shannon,"""............I'm sure. ...I think that torii shrine was entrapping the power of those evil spirits. ...And, since the spirit mirror was broken, that power revived.........I have no doubt that it became the power to make Beatrice-sama revive..."
Shannon,"............If I, ......as weak-hearted as I am, .........hadn't done such an outrageous thing......... Whaaaaaaa...!!"""
Ushiromiya George,"""...Shannon. You don't have to worry about that anymore. ......I don't blame you for that."""
,"Since long ago, Shannon had hinted at a certain occult aspect regarding how she had met George."
," After listening to her, George had come to think that this was typical of a girl, associating love with fate, chance, and miracles."
,"......George thought that she had gone a little too far when she broke the spirit mirror that was offered at the torii shrine, but he had smiled and forgiven her, thinking that it was only a little prank she had done because she had seriously desired a relationship with him."
,......Just breaking a mirror in some musty shrine wouldn't change the fate of our meeting.
," And that would never cause any curse. I should have cheered her up, saying it was only a musty mirror covered in dust."
Gohda Toshiro,"""...I had heard the story of a spirit called Beatrice from several coworkers ever since I started working on this island."""
Gohda Toshiro,"""In the beginning, I thought it was ridiculous, but since it would appear indiscreet to comment on that, ...outwardly, I conducted myself as if I also believed it. ......But, could it really-"""
Shannon,"""She existed. ...Beatrice-sama was in this mansion all along. ......But Beatrice had lost her powers, ...and could not appear before us. She did 'exist' all along. It's just that we couldn't see her."""
Ushiromiya George,"""............I'd like to hear Genji-san's opinion."""
Ronoue Genji,"""......I do not have any opinion. .........All that I would like to say is, ......at that time, there were five people there."
Ronoue Genji," ......And I thought that Kanon had returned through the back door. Then, we carried him to the servant room, .........something happened, and Doctor Nanjo and Kumasawa became people who will never come back."""
Ronoue Genji,"""......That is all. ......We have already explained everything we saw. ...I understand that it would be very unreasonable to try and force you, who didn't see it, to believe it."""
Gohda Toshiro,"""How could he believe it? .........I thought that it was undoubtedly Kanon-san."
Gohda Toshiro," ......But that guy got up from the bed, ...and, that's right, when he started to grope about that wound in his chest in that manner, ......I felt that this wasn't Kanon-san, but some different being."""
Gohda Toshiro,""".........George-sama probably couldn't understand it. ...The terror of that moment when the person I thought I knew well exposed that he was in fact, a different person............I can't explain. ...I can't explain it at all..."""
Ushiromiya George,"""I understand. ......I can guess at what kind of a shock such a dreadful thing would cause to Gohda-san."""
Gohda Toshiro,"""......Thank you very much, ...George-sama."""
,And they all went silent again.
," Shannon kept crying no matter how many times she was consoled, thinking that listening to the witch's sweet whispers and breaking the spirit mirror on that day had all been a mistake..."
Ushiromiya George,"""............The witch that whispered this to you, ...loses her powers if that mirror exists?"""
Shannon,"""...I think she explained it to me a little, but I don't really remember. ......I think she said something about how she couldn't release her power if that mirror existed."""
Ushiromiya George,"""......What happened to this mirror that you broke?"""
Shannon,"""I don't remember. ...I probably left when I broke it, ...so it's probably just how I left it."""
Ushiromiya George,"""......So when, as they say, the reef was struck by lightning and disappeared, the bottom of the ocean... Well, I'll bet picking it up and taping it together won't make it effective again. Hahahahaha."""
Shannon,"""......Truly, .........what, .........have I done........."""
Ushiromiya George,"""......Sorry. I shouldn't have said that."""
,He didn't know whether the time Shannon had broken the mirror had really been the time that everything had started.
," The servants didn't blame Shannon, but it seemed that they believed that had been the beginning."
,"...But even now, there was no way George could believe that far."
,"......Even if he was told a story about witches and evil spirits, it just sounded fake to him."
," Even so, he listened seriously to Shannon's story, trying find a hint that might relieve at least a little of the pain in her heart."
Gohda Toshiro,"""Come to think of it, .........I think it is different from the one in that torii, ...but I have heard that Madam keeps a spirit mirror as a charm."""
Ushiromiya George,"""......Really? Natsuhi oba-san?"""
Gohda Toshiro,"""Yes. I believe she received it as a memento from her grandfather or something, and that it held a very strong magic repelling power, of high pedigree? A spirit mirror or something..."""
Ronoue Genji,"""............I have also heard the same story. ......Something about the mirror having the power to reflect that which is not good and send it back."""
Ushiromiya George,"""If we had that spirit mirror, ......could we resist the witch, Beatrice?"""
Shannon,"""Huh......"""
,"When George proposed this, the servants looked up."
Ushiromiya George,"""......The shrine and the torii where it was enshrined are gone now, but the important thing is that there is still another spirit mirror. "
Ushiromiya George,".........I've heard that Natsuhi oba-san's family is descended from Shinto priests. Maybe that isn't just a simple mirror."""
Gohda Toshiro,"""I, I am sure that I have heard Madam say that she keeps it safe in a treasure box. ...It might not be very large."""
Shannon,""".........I don't think its size is a problem. Even the mirror I broke didn't look so big at a glance."""
Ushiromiya George,""".........If our opponent is occult, then we too must resist by using occult measures. ...If we just sit around here, nothing will be resolved. It's worth trying, if only for some peace of mind."""
,"Of course, this didn't mean that George had accepted the witch.......However, he thought it would be necessary to have some kind of purification ceremony to heal the wounds in Shannon's heart."
,...So this story about Natsuhi's spirit mirror was really convenient.
Ushiromiya George,"""Let's go. ...I won't say that it will finish off the witch or something so outrageous. ...However, I think it would be nice if we had something that repels magic to protect us from the witch."""
Ushiromiya George,"""......Maria-chan told me about it earlier, but the door to Grandfather's room was supposed to be able to repel magic, right? ......As expected of Grandfather. This means he was pretty good on defense when it comes to the occult. .........Let's go. To Natsuhi oba-san's room!"""
Gohda Toshiro,"""B, but, I think Madam's room is locked...! We returned the master keys to Rosa-sama, ...and even the key box in the servant room is now locked away..."""
