Speaker,Original Witch Hunt (OG)
,They had eaten breakfast at a coffee shop in the station building.
,"...By chance, the inside of the shop had been decorated with Halloween colors, since it was October."
, It seemed that Maria had been awfully pleased with that.
," And since then, she had kept on making a fuss inside the train about wanting to have a Halloween festival, without caring that she was attracting the attention of others."
," Halloween is popular in Europe and America, but people aren't familiar with it at all in Japan."
," The shopping district was colorfully decorated with orange pumpkins, but the costume parades of children demanding sweets and saying 'trick or treat' were nowhere in sight."
Ushiromiya Maria,"""Uu-! I want a Halloween festival! I don't want to wear these clothes, I want to look like a witch! Uu-uu-!"""
Ushiromiya Rosa,"""The family conference isn't for playing. We're going to meet Grandfather, so you have to dress up nice."""
,"While it wasn't completely full inside the train, it was really packed, with almost all of the seats occupied by passengers."
," Among them, Maria was making a fuss, stomping her feet on the seat while Rosa scowled at her."
," Since earlier, Rosa had warned her many times to lower her voice, but Maria hadn't obeyed her at all."
,"...Once Maria gets this way, no matter how much you try to explain the situation or calm her, she doesn't listen."
," Before, Rosa used to pamper Maria and give in to her at times like this."
," But, that had probably been a bad thing."
," When young Maria had complained noisily, her mother had given in, wrongly assuming that Maria had listened to what she had said."
," Rosa had realized that error with the help of an educational book, and since then, she had turned the part of her heart that wanted to pamper her beloved daughter into a demon..."
," But Rosa managed to get less and less of a mutual understanding with Maria, and started to be discouraged by her own powerlessness little by little..."
Ushiromiya Maria,"""Halloween, Halloween!! If you don't give me sweets, I'll play a prank, uu-uu-uu-!!"""
Ushiromiya Rosa,"""I don't have sweets to give you! You just ate breakfast!"""
Ushiromiya Maria,"""If you don't give me sweets, I'll play a prank! If you don't give me sweets, I'll play a prank! Uu-uu-uu-!!"""
,"A stout old woman, who was sitting nearby as Maria stomped her feet, picked a candy out of her handbag and gave it to Maria."
Ushiromiya Maria,"""Uu-! Got a sweet, got a sweet! Look, look, Mama, Mama! Happy Hallowee~n!"""
Ushiromiya Rosa,"""Hey Maria, you can't just accept sweets from strangers, right?! Return it!!"""
,"""It's alright, ho ho ho. She's a lovely young lady. How old is she?"""
,"Maybe there was no malice in those words from the old woman. ...But, it seemed that Rosa had taken that in an extremely humiliating way."
Ushiromiya Rosa,"""Maria, I'm always telling you to not accept sweets from strangers!!"""
Ushiromiya Maria,"""Uu-! Uu-!! Maria got that!! Uu-uu-!! No, Maria's!!"""
Ushiromiya Rosa,"""Let go of it! Don't I always tell you to listen to what Mama says?!!"""
Ushiromiya Maria,"""Mari-a's!! Mariaaaa's!! Uu-!! Uuu--uuu--!!"""
Ushiromiya Rosa,"""Don't I always tell you not to say uu-uu-!!"""
Ushiromiya Maria,"""Uu-uu-uu-uu-uu-uu-uu-uu-!!!"""
,"Rosa reflexively hit Maria violently on her cheek....In a flash, Maria started crying loudly."
, Rosa immediately took the candy from Maria's hand and pushed it back towards the dumbfounded old woman sitting next to them.
Ushiromiya Rosa,"""...Please, do not just give sweets to my daughter!"""
,"""...............I'm, ...I'm very sorry."""
,"Breathing heavily, Rosa once again held the candy out to the old woman."
,"...After the old woman grew bewildered about what she should say, perhaps she understood that what she had done may have caused trouble to parent and child, and she accepted the candy back, apologizing..."
," Then, Rosa finally took notice of her surroundings..."
," Her daughter's clothes were all messed up, she was crying and shouting with her nose dripping, and there were many dumbfounded passengers watching them."
,"...Except for the sound of the train running, the interior was completely silent."
," Fortunately, that pitiful silence didn't last more than a short while....However, it was followed by an even more painful atmosphere as everyone whispered."
," Maria shouted, cried, kicked and stomped her feet as usual, paying no heed to the people sitting around her."
,"...Impulsively, Rosa tried to slap her again, but she noticed the cold eyes of the people in the train, and couldn't do that anymore."
," When the train stopped, Rosa forcibly pulled Maria's arm and got off, almost dragging her daughter along."
," As usual, Maria didn't stop crying."
, Rosa took her to the end of the platform and hit her cheek again.
," At the moment she was hit, Maria stopped crying for an instant, but before long, she shouted and cried even more then before."
," Rosa, whose emotions had exploded, grabbed the nape of Maria's neck and dragged her, tugging at her hair."
Ushiromiya Maria,"""Uu-!! Uu-uu-uu-!! Uu-!! Mama, it hurts, Mama, it hurts!! Uu-uu-uu-!!"""
Ushiromiya Rosa,"""That's why I'm telling you to shut up!! That uu-uu- of yours! I'm telling you to stop that!! "
Ushiromiya Rosa,"That's the reason you can't make friends in class, right?! Get a hold of yourself!! Why are you always a kindergartner inside your head?!! Why can't you obey what Mama says?!! Why!! Why!!!"""
,"Along with those severe words, Rosa hit Maria's cheek over and over again. The more Maria cried and shouted, the more Rosa hit her. And the more Maria was hit, the more intensely she cried and shouted..."
Ushiromiya Maria,"""Mama, it hurts...! Mama, it hurts...! Mama, save me, Mama, save me...! Uu-uu-uu-uu-!!"""
Ushiromiya Rosa,"""Why can't you stop that uu-uu-!! It's because you're like this that you can't make friends!! It's because you are like this that Papa's business trip doesn't end!! It's because you are like this that I...!!"""
,"""ah, ...excuse me, ...madam, did something happen...?"""
Ushiromiya Rosa,"""Is there something, that you want...?!"""
,"The one who timidly called to her was the station attendant. Rosa glared at him with a look that said 'don't cut into the problems of a mother and a child, stranger'."
," The station attendant surely hadn't wanted to talk to her. However, Rosa had been yelling on the platform for a much longer time than she had imagined."
,...Her emotional scolding had caused the passengers on the platform to advise the station attendant that it would be a good idea to call out to her.
," Rosa yelled at the station attendant not to worry anymore, since they would get on the next train."
,"...And then, finally, or maybe we should say, for the second time, ...she noticed the passengers on the platform staring at her from the distance."
,"......Rosa sweat slightly and felt the wind torturing her, making her sweat cold."
," Maria still kept on crying, shielding her own head.......No, ...if this beating continues, she will probably keep crying forever."
Ushiromiya Rosa,""".................., ......I, ............again......"""
