Speaker,Original Witch Hunt (OG)
,The boat gave a big shudder.
, Seems we've docked at the harbor. The boat driver came out and jumped to the pier with the mooring rope.
," A large man in a tuxedo was waiting there for us with a warm, smiling face."
,"......I didn't know his face, but judging by his clothes, I guessed that he was a servant of the Ushiromiya family head house."
Gohda Toshiro,"""Welcome home, Milady. You were quite late, and I began to worry."""
Ushiromiya Jessica,"""Ah, thanks for caring! This moron got so scared that we had to slow down. It was seriously annoying!"""
Ushiromiya Battler,"""S, shut up...someday, when the shoe's on the other foot, you'll remember this, ...ugghh."""
,"At this rate, the word'll spread around the entire family and I'll become the big conversation piece during dinner."
," Even without this, everyone'd be talking about me because of that six year gap...but now I've given them an even juicier topic...! "
,"Dammit, why does the Ushiromiya head house have to live on this isolated island! "
,"In the meantime, the boat had finished its mooring. A small plank was lowered so that we could get down."
," One by one, our parents came out of the boat."
Gohda Toshiro,"""You must all be quite tired from your long trip. Madam, please, allow me to assist you."""
Ushiromiya Eva,"""Thank you. It's been a while, Gohda-san. How are you?"""
Gohda Toshiro,"""Thank you for your concern. It is always my pleasure to serve."""
Ushiromiya Kyrie,"""Battler-kun, isn't this your first time meeting Gohda-san? If I'm not mistaken, you weren't working here six years ago, right?"""
Gohda Toshiro,"""Indeed. So please, allow me greet him for the first time. It is an honor to meet you at last, Battler-sama."""
Ushiromiya Battler,"""......I'm pretty secure about my height, but you're huge. ...This is definitely our first meeting. If I'd ever met a big guy like you, I'd never forget it...!"
Ushiromiya Battler," It's a pleasure. I'm Battler."""
Gohda Toshiro,"""I do apologize for the wait. I have been working for the Ushiromiya head house since the year before last. I am Gohda ({p:0:郷田}), your servant."
Gohda Toshiro," It is a pleasure to make your acquaintance. If there is ever anything you need, please feel free to rely on me."""
Ushiromiya George,"""Gohda-san, it's been some time."""
Gohda Toshiro,"""It has been too long, George-sama. Please, allow me to assist you."""
Ushiromiya Hideyoshi,"""As usual, you're a reception pro... If you ever need a job, just let me know, okay? I'd hire you anytime!"""
Gohda Toshiro,"""You do me too much honor. Please allow me to assist you, Hideyoshi-sama."""
,"Gohda-san then lent a hand to everyone as they disembarked, greeting them as they passed."
, His speech and mannerisms had the refined polish of a professional.
," He was very graceful, in contrast with his initially rough-looking appearance."
," His large size made him seem a bit scary at first, but he was much more polite than my first impression of him had led me to believe."
," He claimed to have served on the island for two years, but he had doubtless worked at a similar job somewhere before."
," After everybody disembarked, the mooring rope was untied and the boat started to steer away from the harbor."
, It was probably returning to its home port of Niijima.
, The captain waved his hand in farewell. Maria conscientiously waved her hand back. 
