Speaker,Original Witch Hunt (OG)
Ushiromiya Rosa,"""............Ah, ............uu........."""
,Silent.  Black.Cold.  Painful.
,Rosa regained consciousness bit by bit......
,And the first thing she thought...was that it would have been better if she hadn't.
,"After all, with her body this cold and hurting, ......it became more painful the more her consciousness returned."
,"It felt like she had been sleeping on ice-cold marble in the darkness, lying face-down for a long time."
,"......Aaah, this is why I always tell myself.Even if its just for a nap, at least get on the sofa."
,"Even though I always know that, if I naively try and close my eyes for just a second, and end up sleeping on the floor or in the study chair, it'll hurt my body later and make things difficult......"
,"Since I slept on such a cold and hard floor, even my bones are ice-cold."
,"Since I slept on such a hard and cold floor, the half of my face pressed down against it hurt a lot."
,"......If I were to look in a mirror right now, I'm sure I'd see an embarrassing mark."
,"I didn't think that just rubbing it would make that mark disappear, but I stroked the hurting side of my face for the time being, trying to smooth it over..."
,"......I wonder, .........where this is."
,"I thought it was pitch black, but it looks like it isn't.After all, I can faintly see my own body."
,"......Without a doubt, there was some source of light, but even if I looked up at the ceiling, ......or else the sky, there was only an expanse of blackness, and I couldn't see a proper light."
,"My body alone was slightly lit, whereas everything else was sunk in darkness, ......that's what this world was like."
,It was almost as though Rosa alone had been abandoned in a forgotten world.
,"As her mind grew clearer, she started getting nervous about why she was all alone in a lonely place like this."
,"......When she was about to call out, asking if anyone was there, ......*patter*, ...*patter*, she could hear footsteps coming towards her."
,"They were light footsteps, so she thought it was probably a kid.  She didn't sense anything disturbing, so she wasn't afraid."
,"But they also weren't Maria's footsteps, so, wondering who in the world would be in a darkness like this, she stared in the direction she could hear the footsteps from."
,".........As she did, ......a faint, approaching silhouette came into view."
,"It looked, ......like a child much younger than Maria."
,......Who is it?I don't know this kid.
,"But, the expression on his face was like a lost child separated from his parents."
,"...As a parent with a daughter herself, Rosa felt as though her chest had been torn apart..."
Sakutarou,『.....................Uryu.』
Ushiromiya Rosa,"""......Ah, ............"""
,"The instant the kid muttered that infantile word, ......she felt pain in the half of her face that had started hurting from the cold floor, as though it had been pierced by long, thin, hard needles."
,"Without thinking, she pressed her hand against that side of her face."
Sakutarou,『......Are you alright......?  Does it still hurt......?』
Ushiromiya Rosa,"""...Thank you, little guy.  .........Where is this...?  It's really, ......cold."""
Sakutarou,『......Come this way......  You must not be here......』
,That child took my other hand and pulled with a grim expression on his face.
,"......I didn't have a clue what was going on.However, a single honest expression on a child, can often tell the truth better than a hundred words from an adult."
,"She didn't know the situation, but even so, Rosa dashed along with him, still being pulled..."
,But this was a world where nothing could be seen in the darkness except for their own forms.She couldn't even really feel like she was running and moving forwards.
,"......Even though she was running, she couldn't even feel any wind.It was as though she was still inside a nightmare...that kind of unreal feeling..."
,"So even though I was running, I couldn't maintain my sense of balance, and my legs got tangled and I fell."
,"......Even in a world that didn't feel real, the pain of smashing my face against the cold, hard floor was reality itself."
Sakutarou,"『Uryu......, are you okay......?』"
Ushiromiya Rosa,"""Uuh, .........nn.........I'm sorry, my head hurts."""
,"......When that kid said that, ......infantile word 'uryu', pain like being stuck with needles ran though my head again."
,"Even though it had only happened twice, I was somehow able to understand that the child's word was the cause of my pain."
,......So I said so frankly.
Ushiromiya Rosa,"""I'm sorry.  Could you stop saying that 'uryu'...?"""
Sakutarou,『Uryu......』
Ushiromiya Rosa,"""Nn, ......wait a second, didn't I tell you to stop..."""
Sakutarou,"『U, ...au, ...uu-!  Sorry......』"
,I had the feeling that this child's words of apology made me feel a sharp pain in my forehead this time.
,.........What is...this child......?
,"I know there's no malice in him, ......but when I'm around this child, ......my head hurts......"
Sakutarou,"『......Are you okay......?  Let's go, quickly......  You must not be here.......』"
Ushiromiya Rosa,"""Why shouldn't I be here...?  Hey, where is this......?  Who are you?  Where is your Mama...?"""
Sakutarou,"『.........The one who made me, ......is Mama, right...?"
Ushiromiya Rosa,"""......Huh......?"""
,That child stared at me with round eyes.
,"......This kid's Mama, .........is me......?......Who?  Who is...this kid?"
,I don't remember at all.
Sakutarou,"『Did you, ......forget about me......?  Mama made me, right......?』"
Ushiromiya Rosa,"""......Wait a second, stop kidding around.  ...Maria is my only child.  .........That's right, where is Maria?  Where is Maria?!  Maria......?!"""
,I suddenly grew nervous about Maria not being there.Why am I all alone in a place like this?
,Where is Maria?!I'm only able to be me because Maria's there for me...!
Sakutarou,"『...Maria is here, ......but she's not Maria now.  It's better if you don't meet with her now.  That's better for your sake, and Maria's as well.  .........For Maria's sake as well, escape.』"
Ushiromiya Rosa,"""Huh......?  What are you saying?  Where is Maria?  Maria?!  Answer me-!!"""
Sakutarou,"『Maria will find you...!  Come this way, quickly, Mama...!』"
,That child pulled on my hand again.......He was probably pulling me in the opposite direction from Maria.So I stopped walking.
Ushiromiya Rosa,"""Let go...!  Just who are you...?!  I don't remember you ever calling me Mama...!"""
Sakutarou,"『......Mama is the one who made me...  Did you forget......?  For Maria's birthday present, ......you made me with your own hands...did you forget......?』"
Ushiromiya Rosa,"""..................You, ......couldn't be...............Maria's, ......Sakutarou............?!"""
Sakutarou,『Yes.........  The lion stuffed animal Mama made...!』
Ushiromiya Rosa,"""Gyah!!""@"
,"A fierce, sharp pain struck me.It came from the palm he had grasped with his hand."
,"When I knocked his hand away without thinking, and looked at my palm, "
,".........a hole the size of a thumb had opened there, and deep-red blood gushed out."
,...It was a hole so big that I could see through to the other side......
Sakutarou,"『U, uryu......!  Are you okay?!  Are you okay?!  What's wrong...?!』"
,"Sakutarou also noticed my wound, and panicked."
,"......As far as I could tell by looking at him, he couldn't understand why my hand had sustained a serious injury."
,"But in my eyes, it felt like I had sustained that injury because he had grabbed my hand."
,"Whether there was malice in him or not, ......I understood that this child was something that would do harm to me, and he instantly became eerie......"
Ushiromiya Rosa,"""Go away......!!  I don't know anything about you...!  Sakutarou was just a disgusting, crappy stuffed animal, right...?!!  "
Ushiromiya Rosa,"I don't know, I'm not your Mama...!!  Go away...!  Disappear!!"""
Sakutarou,"『.........U, ............yu.........』"
,"Slowly, ......the base of Sakutarou's neck, ...was sliced in a horizontal line."
,"It gaped open, and pitch black insides peeked out.......No blood poured out.Only an empty blackness peeked out."
,"Then, .........from the insides of the gash..., cotton snow poured out, ......and as bits of cotton scattered, he slumped over."
,"There, ......was only crumpled yellow cloth, and bits of cotton that looked like sticky, crushed cotton candy."
,.........A lion...stuffed animal.
,"Without a doubt.It was the remains of the Sakutarou stuffed animal I had torn apart on that day, overcome by my emotions."
,"The instant I realized that, ............a long, sharp shriek that could rupture an eardrum tore the world apart......"
Ushiromiya Maria,"""Waaaaaaaaaaaaaaaaaaaaaaaaaaaahhhhhh!!!  Sakutaroooooooo, Sakutaroooooooooo, waaaaaaaaaaaaaaaaaaaaaaaauuhhhh!!  Waaaaaaaaaaaaaaaaaaaauuuuhhhh!!"""
,"Like a flood from a broken dam, or like a broken TV.........Maria cried out in a high-pitched voice."
,".........Maria's voice, which made the ears throb, brought up two emotions..."
,"One was regret..., 'yeah, I was overcome by my emotions and went overboard'."
,"A mother's desire to kneel down right away, hold Maria's head, cry with her and apologize."
,"......Actually, I did that right away.I held Maria's head and apologized for that, crying."
,"But Maria didn't stop crying.On the contrary, she rejected me, the one who had torn her closest friend apart, and pushed me away forcefully with both hands."
,"Since I had been on my knees in an unnatural position, I fell backwards easily."
,"Maria scraped together the yellow scraps of cloth and cotton bits, ......buried her face in them, and cried even more..."
,"Watching that, another emotion welled up.It welled up rapidly.......And then burst."
,"After all, she didn't make up with me after I apologized, and there was nothing else I could do now, and it was all Maria's fault in the first place...!!"
,"Since she was too busy playing with stuffed animals all the time like this, she couldn't make any friends, and is treated like a weirdo...!!"
,"This is a good opportunity, for instructive guidance!It's not like I was pampered all the time myself...!!"
,"Things eventually break, are stolen, are broken!"
,"Even I had lots of toys and treasure stolen, broken, made fun of, and thrown away by my brothers and sister and Father and Mother...!!"
,"But when I cried about that, ......while I might have shed a few tears......, not once did I sob like this and trouble my parents, throw a tantrum, get mad, hit the floor and kick and make a racket...!!"
,"Even though I always wanted to, I'd thought I'd get in more trouble if I did, so I always, always held it back."
,{a:c: It's because I held it back THAT I WAS ABLE TO BECOME THE WONDERFUL ADULT I AM NOW!!!}
,"At that time, I felt something strange."
,"The same feeling as when you use a tool recklessly, and it finally breaks, so that only the base is left."
,But I wasn't using a tool.I had just been repeatedly hitting Maria's head with both hands.
,"So, ......I looked at my hand."
,"......From my wrists onwards, my hands broke off, splintered, ......and disappeared."
,As though only that part of my arms had become ceramic.
,"......No, as though all of me from the wrists onwards had suddenly become ceramic, and had broken and fallen."
,"They had gotten covered with cracks because I had hit Maria too much, and had fallen off."
,"......After all, look, ...aren't both of my wrists lying smashed by my feet......?"
Ushiromiya Rosa,"""Ee.........?  Eeeeeeeeeeeeeeeeeeekkk...!!!"""
,There was no pain.But the shocking sight of my hands breaking off from the wrists onwards made me scream......
Ushiromiya Rosa,"""Wh, what's this?!  What's this?!  My hands, ......hands, hands...!!  Eeeeeeeeeeeeeeeeeeeeeekkkk!!!"""
Ushiromiya Maria,"""...........................This way, ......you won't be able to hit Maria anymore."""
,"Ignoring my confusion, ......Maria spoke that with a very cold voice, ......slowly moving her hands away from her head, where they had been defending against my barrage......"
Ushiromiya Rosa,"""......What is this?!  My hands, my hands...!!  What did you do, Maria, what is this, what's this what's this...?!"""
,"Behind Maria's back, a black silhouette had appeared.......It was the silhouette of an adult."
,............Who?!
{f:5:Beatrice},""".........Since an arm could pat her daughter's head, flip through a picture book, and make warm meals, ......I thought it might be alright to leave it."""
Ushiromiya Maria,"""Mama hit Maria's head more than she patted it.  ......She doesn't turn the pages of a picture book.  She doesn't even make food.  ......Maria goes to buy it herself."
Ushiromiya Maria,"......But Maria must not go to the same store multiple times, must not have her face remembered, must not talk to the policeman............Why?  Why's that?  Did Maria do something wrong?"
Ushiromiya Maria,"Is Maria not supposed to have Mama pat her head, have picture books read to her, eat dinner together with Mama...?  Why?  Why?!  "
Ushiromiya Maria,"Maria didn't do anything wrong!!  Not Maria's fault, Mama's!!  Mama's fault!!"""
Ushiromiya Maria,"""Mama wouldn't play with Maria, but Sakutaro did!  "
Ushiromiya Maria,"He even read books, watched TV and ate meals with Maria!!  He was a much, much more important friend than Mama was!!!"""
Ushiromiya Rosa,"""...I, ......I'm not proud of it...!  B, but what am I supposed to do?!  Mama's busy with work, work!!  You know that Mama's busy with work, right?!  What am I supposed to do?!!  There's nothing I can do!!"""
{f:5:Beatrice},"""That is true.  There is nothing to be done.  Nothing to be done about injuring your daughter, tearing her heart apart, and making her tears run with blood...!  Then there's nothing to be done about the same thing happening again, right here, right now...!!"
{f:5:Beatrice},"Come, MARIA...!  That is enough for the excuses of the woman who calls herself a mother.  Can you forgive her, or not...?!  Is she innocent, or else guilty?!?!"""
Ushiromiya Maria,"""Won't forgive her!!  Mama is guilty!!  I'll make Mama meet the same fate she gave to Sakutaro...!!  Take Mama, ......from the seam at the neck, ......and tear her apart, exposing the cotton within!!"""
,......Maria's eyes ominously flashed blue.
,"In that instant, invisible, massive arms stuck their fingernails out and tightly grasped Rosa's entire body."
,"As the bones all over her body made a sound like twigs being stepped on, they cracked readily and broke."
,".........Rosa had understood vaguely.The massive arms were probably, ......her own arms, from the time she had torn Sakutarou apart."
,"From a stuffed animal's perspective, her arms must certainly be this massive."
,So I could imagine what would happen next.
,"......The sharp nails stuck strongly into the base of my neck, ......and I heard the skin tearing with my own ears."
,"Then, as the two witches watched over her, Rosa's flesh was split in two, top and bottom."
,"When Sakutarou had been torn apart, bits of cotton had flown about like snowflakes."
,"But in Rosa's case, something like black, thick tar came out, filthily flying all over the place."
,"There wasn't even a trace of the red of blood.......It was something black, filthy and thick."
,"It was probably what a bloodless, tearless human kept inside their body instead."
{f:5:Beatrice},"""This is incredible.  Hideous!  What filthy insides...!  That was splendid, MARIA.  Well then, is this enough for your revenge?  Can you forgive your mother, or not?  Innocent, or guilty...?!!"""
Ushiromiya Maria,"""Can't forgive!!  Still can't forgive, guilty...!!!"""
,"When Beatrice brandished her pipe cane, gold butterflies seeped up and restored Rosa's broken flesh in an instant..."
Ushiromiya Rosa,""".........Ack, ......gwah!  *cough*cough*......!"""
{f:5:Beatrice},"""Feel your great sin, which cannot be paid for by a single human life.  And remember your own deep sin...!  Come, try and remember...!!  Remember how great a sin you committed...!!"""
Ushiromiya Maria,.........Hello.  ......Is it Mama?  ......When will you come home?
Ushiromiya Rosa,"""I'm sorry.  I'm busy with work today, so I'm staying over."""
Ushiromiya Maria,"......Staying over for work again.........?  ......Looks like work is tough for you again today, Mama..."
Ushiromiya Rosa,"""Yeah, sorry.  I really am busy.  I'll be holed up in the company the whole time.  I can't even get a breath of outside air."
Ushiromiya Rosa,"  Mama can't just finish her job quickly.  Unless I give them a better design, I won't be given another job...that's how tough this job is.  So it'll just have to take some time."""
Ushiromiya Maria,"...Yeah.  Understand.  .........Maria will be a good girl and watch over the house, so do your best at work, finish it quickly, and come back, okay......?"
Ushiromiya Rosa,"""Thank you for understanding about Mama's work......  I promise that I'll buy a delicious cake tomorrow and take it home."""
Ushiromiya Maria,"Don't need cake.  ......Instead of taking time to go to the cake store, Maria would be happier if Mama came home that much sooner."
Ushiromiya Rosa,"""Don't worry.  I'll come back quickly, I promise.  So let's eat the delicious cake together.  Let's drink delicious tea together.  Let's read a new picture book together.  Let's play with that Wolves and Sheep Puzzle I bought recently.  Both of us together.  ......I promise."""
Ushiromiya Maria,".........Yeah, promise.  Maria will be waiting.  ............Do your best at work, Mama......"
{f:5:Beatrice},"""Hohoh.  It's a lonely story, but isn't this good mother-daughter love, with both looking out for the other?  Do you see any problem with it, Maria?  Rosa?"""
Ushiromiya Rosa,"""..............................Th, that promise, ......I believe I kept it.  The next evening, didn't I do as I promised and buy a cake, returning earlier than usual?"""
Ushiromiya Maria,"""That's not it, Maria knew...............That evening.  A pay-on-delivery package came for Mama, but there wasn't enough money in the wallet, so Maria called Mama's company to ask what should be done.  "
Ushiromiya Maria,"......Maria had been told only to call at special times, ......but thought it would be bad if the package was something important for Mama's work...  So Maria called."""
Ushiromiya Rosa,"""........................."""
Ushiromiya Maria,""".........Then, Maria was told that Mama had the day off.  ...Maria was told that it had been decided long ago that Mama would have the day off, .........and that she had gone far away to play.  ............Maria knew.  The whole, whole time, .........Maria knew that Mama was lying...!"""
Ushiromiya Maria,"But you know what?  ......Sakutarou scolded Maria, saying that wasn't true."
Ushiromiya Maria,"Every day, Mama was very busy with work.{n}There was no way she would abandon Maria and play."
Ushiromiya Maria,He said that the person who told us Mama had the day off had made some kind of mistake...!
Ushiromiya Maria,That's what Sakutaro said.{n}So Maria believed it.......Maria believed it!
Ushiromiya Maria,"Love Mama, love Mama...!"
Ushiromiya Maria,"Of course, Mama says that she loves Maria, loves Maria!!"
Ushiromiya Rosa,"""............Yes.  Me too.  I love you, Maria......"""
,Rosa let out a deep sigh.......Maybe she felt the weight of her words.
,"Then, she set the receiver on the bedside phone."
,The dark room made the starry sky on the ground below the window stand out even more beautifully.
,"On the table in front of the terrace was a very cold wine cooler, and the one she shared a glass with was gazing at the scene below..."
,""".........You didn't tell your daughter that you were on vacation?"""
Ushiromiya Rosa,"""I told her I'd go once, but she was so noisy that I decided not to tell her anymore.  It's less of a pain that way."""
,"""......If you were worried about your daughter, you didn't have to force yourself to put this in your schedule, right?"""
Ushiromiya Rosa,"""But that way, we'd never get our schedules to match...  Didn't I say not to worry about that?"""
,"The slender, middle-aged man clad in a white robe gave a small sigh."
,Rosa reacted instantly to that slight action......
Ushiromiya Rosa,"""Come on!  Let's not talk about my daughter.  It'd be a waste of this precious wine."""
,"""............I find you fascinating as both a woman and a human being.  But for that very reason, I feel bad about taking so much of your time that it strains your relationship with your daughter."""
Ushiromiya Rosa,"""Don't I always tell you not to worry about my relationship with my daughter...?!  I try not to talk about her when I'm alone with you, right?  I wouldn't even have phoned from here if it weren't for the noisy drunk laughing stupidly in the lobby downstairs...!"""
,"""Rosa-san.  Couldn't you reconsider sudden vacations like this in the future, for your daughter's sake...?  Isn't it alright if we only do it when our schedules match?"""
Ushiromiya Rosa,"""That way our schedules won't match at all, right......?!  And I, ......always want to be with you......!"""
,"""That's a child's way of lovemaking.  Lovemaking between adults should be a little more stoic.  ......Not being able to be with you for long periods of time makes me lonely too.  However, I think we can enjoy more than enough adult lovemaking during that limited time."""
Ushiromiya Rosa,"""So you're telling me to be with my daughter more.  ......Don't be a woman, be a mother?"""
,"""......That's what you wish for too, right?  I think you also want to spend lots of time with your daughter.  I won't run away.  I'm trying to say that I think it's sad for you to sacrifice your daughter so you can prioritize your time with me."""
