Speaker,Original Witch Hunt (OG)
Ushiromiya Ange,"""Somebodyyyyyyyyy!! Is anyone there?! Onii-chaaaaaaaan!! Waaaaaahh!!"""
,"Ange flew out of the guesthouse, sobbing."
, Is there anyone still alive on this island? 
,"When she checked the cousins' room earlier, it had been completely empty."
," However, she remembered that she hadn't seen Battler, George, or Maria's bodies."
, What she didn't know was whether this meant they were safe...or whether she was about to be reunited with them as corpses.
Ushiromiya Ange,"""Where are they?! Wheeeeeeeeere?!! Answer meeeeeeeeeeeee!!"""
,She dashed around through the rain.
, Where was she going? Nowhere in particular.
," The lost little sister dashed around in circles, searching for her brother."
, Drenched with rain and all alone......
,".........Eventually, I thought I heard my brother's voice from beyond a bush."
," No, it wasn't just his voice. I heard George onii-chan's and Maria onee-chan's voices too."
," I called out at the top of my lungs, but they didn't answer."
, But it's okay now. They're right there. Just on the other side of the fence.
, I could even faintly see them through the fence.
," When I ran around the fence, I found myself standing in front of a shed or something."
, It must be a shed to store tools for the rose garden.
, The three of them were standing in front of the shed.
Ushiromiya Ange,"""Onii-chan...!!"""
,"I cried out, but my voice didn't reach them. Even though I yelled so loudly? "
,Something felt very wrong about all this.
,"......When people hear a voice, even when they pretend not to have heard it, their bodies tend to show some sign that they've noticed."
," However, there was no trace of that in the three of them."
," Even though I was screaming so loud, ......it truly wasn't reaching their ears."
," The instant I understood that, ......my dash towards them slowed and came to a halt."
," Though we appeared to be in the same world, ......we were actually in different worlds entirely."
, It was like a TV. Or was it more like ghosts...? 
,"I could see them clearly, ......but as far as they were concerned, I didn't exist."
,"......After all, look."
," Even if I stand right in front of them, ......their eyes can't see me."
," If I try and touch them, will I really be able to?......What if my hand just went right through..."
," I was so scared at the thought......that I could do nothing but stand there in shock, even though I was so close to them..."
Ushiromiya Battler,"""Dammit...!! I don't have a clue anymore...! Someone must have snuck in from outside the island after all!! And that person massacred the Ushiromiya family!"""
Ushiromiya Maria,"""......No matter how much we lock ourselves in, someone always gets killed. ......Uu-! It's the work of a witch after all!"""
Ushiromiya George,"""Everyone, calm down...! Let's calm down and think. ......No one exists on this island except those with a direct relation to the Ushiromiya family."""
Ushiromiya Battler,"""That doesn't make sense...! After all, we've just seen several murders that'd be impossible for any one of us!"""
Ushiromiya George,"""......Well, that's true...... But is it really? Maybe we've just missed something."""
Ushiromiya Maria,"""Missed something?"""
Ushiromiya George,"""For example...... .........That's right, maybe someone was playing dead! Since we're the only ones on this island, the culprit must be one of us. That would mean that someone we thought was dead was actually faking...!"""
Ushiromiya Battler,"""But Aniki, that's impossible! Every one of the corpses was checked by someone! There's no way any of them were faking!"""
Ushiromiya George,"""I don't want to think about it, ...but what if those corpse inspections......were also faked?"""
Ushiromiya Maria,"""......Uu-...?"""
Ushiromiya George,"""Let's put it this way. There were multiple culprits from the start. Then, one plays dead, and the other lies and confirms that the first culprit died. Then, the culprit who played dead keeps on committing crimes, creating the illusion that some stranger has snuck onto the island...!"""
Ushiromiya Battler,"""Do you......still suspect someone in the Ushiromiya family of being the culprit?!"""
Ushiromiya George,"""......Doctor Nanjo was killed. Since he was killed, it's probably safe to say that he isn't a culprit. And, we can consider the examinations performed by a doctor like him to be the most reliable."""
,"If so, then we can probably assume that the people whose death Nanjo checked were almost certainly dead."
, Who did Nanjo check? 
,Genji's corpse. Krauss and Natsuhi's corpses. Shannon's corpse. Gohda and Kumasawa's corpses.
Ushiromiya George,"""Think back to the beginning and the bodies in the dining hall. Of those six victims, Doctor Nanjo only inspected Genji-san."""
Ushiromiya Maria,"""......But didn't the rest of us check the others?"""
Ushiromiya George,"""Yes, but Doctor Nanjo didn't actually inspect them himself."""
Ushiromiya Battler,"""What are you talking about?! How the hell could our parents have survived after being killed like that?!"
Ushiromiya Battler," Anyway, what do you think you're saying, George-aniki?! Wouldn't that mean one of our parents is the culprit?! That's insane!!"
Ushiromiya Battler," They were killed right at the beginning, and so many of them...! How can you go calling our parents culprits on top of that?! I won't let anyone, not even you, suspect and slander our parents after they've been killed like that...!!"""
Ushiromiya George,""".........S, ......sorry......"""
Ushiromiya Maria,"""......I know my Mama was really dead. So, does that mean George onii-chan's parents or Battler's parents were the culprits?"""
Ushiromiya George,"""Let's stop with that, Maria-chan...... I must have lost it a bit back there..."""
Ushiromiya Maria,"""George onii-chan wouldn't kill Shannon."""
Ushiromiya Battler,"""That's enough...! None of us would kill our family, right?!!"""
Ushiromiya Maria,"""So, I don't think George onii-chan would lie and say his parents were dead, not if they were really alive. ......There's no way George onii-chan would help out in a crime if Shannon was going to be killed."""
,"Calmly, ......as though answering a quiz or a riddle, Maria spoke to George."
," Then, with a blank look on her face, she turned to Battler and spoke."
Ushiromiya Maria,""".........Battler, you saw your Dad's and Mom's corpses, right?"""
Ushiromiya Battler,"""Yeah, I saw them!! We all saw them right?! Those pitiful, blood-stained......!!"""
Ushiromiya Maria,"""I think you're lying."""
Ushiromiya Battler,"""Huh?! Where the hell did that come from?!!"""
Ushiromiya Maria,"""Because that way, it all makes sense. ......Back in the dining hall, Battler's parents weren't dead. One of them killed Natsuhi oba-san and Krauss oji-san, locked the door from the inside, and waited in that room. ......The other one took over the murders after that."
Ushiromiya Maria," ......To break open the closed room of the guesthouse, they needed to have an accomplice inside. That was Battler. ......That explains everything."""
Ushiromiya Battler,"""E, enooooooooooooough!!!"""
Ushiromiya George,"""S, stop it, Battler-kun...! You too, Maria-chan...!"""
Ushiromiya Maria,"""Finally, all the pieces fit together in the Wolves and Sheep puzzle in my head. ......The culprits are Battler's family. Uu-. ......Am I right?"""
Ushiromiya Battler,"""Wh, what are you talking abooooooooout?!!!"""
,"{a:c: ""Correct.""}"
,"The voice came from behind Ange. She spun around, surprised."
,"......There, covered in blood, ......yet wearing cheery expressions, ...were Rudolf and Kyrie."
Ushiromiya George,"""Rudolf oji-san, Kyrie oba-san, ......I, I'm so glad you're sa-"""
,"After saying that much, George realized what the words meant, and his face twisted into an expression of shock and horror."
," Maria wasn't surprised. However, she showed no joy at having her answer proved correct."
, And Battler...
,......Ange...saw it.
, That terrible expression...one that she would never forget as long as she lived.
, It was...a demon's smile.
," A hideous demon that she'd never be able to look at again twisted its face in a foul grin, and the truly horrible thing was..."
, That she saw it......on her brother's face......
, Rudolf and Kyrie lifted up the guns they had been holding behind them.
," The barrels were pointed at the foreheads of George, who was staggering backwards, and Maria, who was grinning as though she didn't care what happened."
, There was a flash of lightning and a crack of thunder. Nothing more could be heard.
," Then, as George and Maria were snapped around by that roar, ......the strings holding them were snipped."
, The two dolls fell into puddles with a splash...and stopped moving......
Ushiromiya Ange,"""......D, ......Dad......Mom......"""
,All of this occurred right before Ange's eyes...
Ushiromiya Rudolf,"""Heh...hahahahahahahahahahahaha!!"""
Ushiromiya Kyrie,"""Eheheheheheh, hahahahahahahahahaha!!"""
