Speaker,Italian (Ars Magica) (Old) (ITA)
,Un monotono suono elettronico continuava a ripetersi.
,"Un cosiddetto sterile color bianco, privo di emozioni, era il tema di quella stanza. ... Era una stanza di ospedale di una certa clinica universitaria."
,"Né i suoi dottori né la persona stessa avevano dubbi sul fatto che questa stanza, che una persona ordinaria non se la sarebbe potuta permettere solo per trascorrere una notte, sarebbe stata l'ultima in cui sarebbe rimasta..."
,La persona sul letto era... Eva?
,"Sebbene qualcuno avesse detto così, era incredibilmente invecchiata ed esausta."
,"Il robusto uomo in divisa che aspettava nell'angolo vicino la porta stava avendo una conversazione con l'esterno, sull'interfono, a voce bassa."
,... Era una guardia che proteggeva Eva.
,"Dopo aver detto alla persona dall'altro capo dell'interfono di aspettare, si avvicinò al letto di Eva."
,... Eva era stata sveglia per un po' di tempo.
,"... Tuttavia, lei fissava un solo punto in uno spazio vuoto, come se la sua mente non fosse nello stesso posto."
,"""... Ange({p:0:縁寿})-san è arrivata nell'atrio al piano inferiore. Dobbiamo lasciarla passare?"""
Ushiromiya Eva,"""..."""
,"Per un lungo tempo, Eva non rispose."
,"Tuttavia, un po' alla volta, i suoi occhi cominciarono a riacquistare la loro concentrazione, e annuì appena, indicando che le era indifferente se avessero chiamato Ange."
,... Era stata Eva a chiamarla. Ed era arrivata puntuale.
,"Per Eva ora, chiunque avesse voluto incontrarla senza appuntamento sarebbe stato respinto."
,"La stanza era buia, sebbene fuori fosse anche luminoso, perché le tende erano chiuse."
,"... C'era sempre una guardia in attesa nella camera, e altre tre stavano aspettando sul corridoio e nell'atrio."
,Era tutti lì per proteggere Eva...
,"Alla fine, si sentì bussare."
,"Inoltre, ci fu un messaggio dall'interfono; il controllo del corpo dell'ospite era stato completato senza problemi."
,"La porta fu sbloccata, e poi aperta... e una ragazza liceale si trovava lì."
,"""Presidente. Ange-san è arrivata."""
,Eva reagì e girò la faccia verso l'ospite.
,"Tuttavia, invece di reagire alla chiamata della guardia, forse sarebbe stato meglio dire che reagì all'odore del trucco di Ange."
,"... Dopo essere rimasta chiusa in questa stanza per così tanto, Eva era sensibile ai piccoli cambiamenti negli odori."
Ushiromiya Eva,"""... Così sei venuta. ... Ange."""
Ushiromiya Ange,"""... Sono venuta. Mi hai chiamata tu."""
,"Sulla faccia di Eva, non si poteva vedere l'espressione di qualcuno che stesse accogliendo calorosamente la proprio nipote. ... E sulla faccia di Ange, non si poteva vedere l'espressione di qualcuno contento di incontrarsi con la propria zia."
,"Eva allargò le braccia, che erano diventate esili come un ramo appassito, e fece cenno alla guardia di uscire."
