Speaker,Italian (Ars Magica) (Old) (ITA)
,"Nella cattedrale vuota... si poteva scorgere una figura ancora volta verso il cielo, il cui petto era attraversato da una lunga spada rossa che la inchiodava al pavimento... era la figura di Battler."
,"... Ironicamente, tutto era identico a quel che lui aveva fatto a Beato con le lance blu durante il quarto gioco..."
,Battler era morto già da diverso tempo.
,"No... in questo luogo, il concetto di morte non significa altro che un individuo ha cessato di pensare."
,"Dunque, sotto un certo punto di vista, Battler non era morto."
,"... Dopo essere stato sconfitto in un combattimento sulla verità ed essersi arreso, non aveva più la forza di trovare un modo per resistere."
,È per questo che... era morto.
,"La possente spada lunga di Dlanor, lasciata lì a mo' di lapide... inchiodava Battler in quel punto anche dopo la sua morte..."
,"La scena era illuminata da una luce fioca proveniente da un lucernario posto molto, molto in alto."
,Passi ovattati riecheggiarono nella cattedrale in cui tutto era fermo...
,Dall'oscurità dietro una colonna... emerse lentamente una donna.
,... Era Beatrice.
,"Proprio come durante tutto il tempo nella Terra Dorata... i suoi occhi erano privi di luce, ed erano ancora ricoperti da un velo grigio."
,"Un tempo questa persona era stata incapace persino di bere del tè nero a proprio piacimento e di sua spontanea volontà... eppure, anche se lentamente... e anche se non vi era vita nei suoi occhi... sorprendentemente, lei stava camminando."
,"Poi, con passi lenti e deliberati... si avvicinò a Battler, ancora privo di vita e infilzato..."
,"Poi... lentamente, lei... toccò Battler. ... Strattonò... la sua manica."
,"Tuttavia, Battler non mostrò alcuna reazione..."
,... Quando si accorse che non si trattava di sonno... ma di morte... La strega dallo sguardo disperato... abbassò ulteriormente il capo...
,Dopodiché... a bassa voce... sussurrò...
{f:5:Beatrice},"""... Bu ...giardo..."""
,Beato... sfiorò Battler con delicatezza... e poi... premette la propria fronte contro il petto di Battler.
,Non c'era più... alcun battito.
,Non solo perché si era arreso. Ma perché le streghe l'avevano scacciato dal piano di gioco.
,... Dunque da quel momento in poi... Battler non sarebbe mai... tornato...
,"Dunque da quel momento in poi... la Strega Dorata, Beatrice..."
,aveva perso la propria... ragione di vita...
{f:5:Beatrice},{a:c: ... Grazie... bugiardo... addio... e... perdonami. }
,Poi... la Strega Dorata... compiuto... il suo dovere... si dissolse... in una nuvola dorata.
,Nella Terra Dorata... la pioggia grigia... continuava a cadere piano.
,... C'era un leggero aroma di tè nero pregiato.
,"Beato fissava, priva d'espressione, la superficie del tè."
,"C'era Virgilia, ancora alle prese col suo lavoro a maglia... assieme a me e... Dlanor, intenti a discutere."
,... Questo è... un ricordo...
,"Un ricordo proveniente dalla memoria di Battler, che la spada di Dlanor deve aver richiamato nel trafiggerlo..."
,Un ricordo di quella volta che Dlanor era venuta a far visita durante un tea party nella Terra Dorata...
Dlanor,"""Vale lo stesso per ME. La prossima volta che incroceremo le armi, non mi TRATTERRÒ."""
Ushiromiya Battler,"""Fatti pure avanti. Io ti combatterò. Fatti sotto con tutta la tua forza."""
Dlanor,"""Lo PROMETTO. Con tutta la mia FORZA."""
,... Dlanor.
,"Avevo creduto fosse una bambola assassina senza scrupoli né cuore... ma forse, in realtà, è piuttosto cordiale."
,"... Anche se, naturalmente, nessuno di noi due mostrerà alcuna pietà quando ci scontreremo sul piano di gioco."
,"Per un po', fissammo il roseto intriso di pioggia... mentre assaporavamo il nostro tè."
Ushiromiya Battler,"""... Ad ogni modo, mette veramente i brividi. Il modo in cui combatti, dico. {n}I Dieci Comandamenti o Decalogo di Knox, eh? Le premesse del genere mystery, giusto?"""
Dlanor,"""ESATTO. ... Si tratta di regole concepite da mio PADRE."""
Ushiromiya Battler,"""È proibita l'esistenza di passaggi segreti. Dice Knox Terzo, giusto? Ciò significa che non c'è nemmeno bisogno che il detective controlli se ci siano passaggi segreti o meno. ... Mi suona piuttosto ridicola come cosa."""
,È stata Bernkastel stessa a dirlo.
,"Aveva detto che, essendo proibiti da Knox Terzo, anche solo cercare dei passaggi segreti sarebbe stata una perdita di tempo."
,Mi piacerebbe ribattere dicendo che non è tanto raro che la villa di una famiglia benestante disponga di uno o due passaggi segreti.
,"... Ma apparentemente, una regola simile funziona alla perfezione nel genere mystery."
,"A proposito, esistono tanti mystery spettacolari in cui sono presenti passaggi segreti, e in cui i passaggi segreti sono il tema principale."
,"... Ovviamente, la cosa si limita a quei romanzi con la ‘premessa’ che esistono passaggi segreti."
,"Se non c'è quella ‘premessa’, i passaggi segreti non devono assolutamente essere presenti. Perciò, senza quella ‘premessa’, non c'è bisogno di cercare passaggi segreti."
,... Credo che il succo della sua assurda tesi debba essere questo.
,"Ho la sensazione che il detective alla ricerca del vero e l'illusione che cerca di nasconderlo con un miscuglio di verità e menzogne... si stiano fondendo insieme, per dar frutto ad una strana forma di argomentazione simile alla Prova del Diavolo."
,Far sì che un assassinio in una stanza chiusa sembri opera di una strega è fantasy.
,Rivelare che si tratta di un crimine compiuto da un umano grazie a dei trucchi è anti-fantasy.
,Prendere in considerazione tutte le possibilità per portare alla luce quei trucchi è mystery.
,Ma rientra nel mystery... anche l'affermare che non valga la pena indagare su possibilità prive di indizi che le supportino?
,Mettiamo che un passaggio segreto sia nascosto in modo che non vi siano indizi.
,Affermare quindi che un passaggio segreto esista nonostante un detective non sarebbe in grado di trovarlo... sarebbe anti-mystery?
,... Ma basta così con questa storia. È una problematica troppo distante dagli enigmi che mi spetta effettivamente risolvere.
,La mia battaglia è molto semplice.
,"Sto combattendo per spiegare in che modo un essere umano può compiere delitti che si presume siano opera di una strega, nulla di più."
,Tutta questa discussione su cosa sia ‘mystery’ e cosa sia ‘anti’ non ha alcuno scopo.
,Ecco perché non avevo alcun interesse in particolare verso le regole conosciute come il Decalogo di Knox...
Dlanor,"""... Non ti piace KNOX?"""
Ushiromiya Battler,"""Non funziona per me. ... C'è qualcosa di strano nel rendere possibile il rinnegare l'esistenza di qualsiasi passaggio segreto senza prima investigare. {n}Fa acqua da tutte le parti come una Prova del Diavolo. ... Dovrebbe essere l'esatto opposto del fantasy, ma in qualche modo dà l'impressione di essere una tesi dello stesso tipo."""
Dlanor,"""..."""
Ushiromiya Battler,"""... Ah, non avrei dovuto dire quelle cose. È stato tuo Padre a crearle, dopotutto."""
Dlanor,"""Non PREOCCUPARTI. ... In fin dei conti, vi sono alcuni che dicono non si tratti di nulla più che un GIOCO."""
{f:5:Virgilia},"""Il Decalogo ti appare carico di arroganza, non è così, Battler-kun...?"""
Ushiromiya Battler,"""... Ad essere sinceri, sì. ... Se mai ci fosse un detective che dica di non aver bisogno di cercare passaggi segreti perché non possono esistere, tutti gli altri dovrebbero mettersi a setacciare il pavimento per vedere se gli si è allentata qualche vite..."""
Dlanor,"""In tal caso, Battler... poniamo che il Terzo Comandamento non esista. {n}In tal caso, cosa ne sarebbe dei mystery a stanza CHIUSA...?"""
,"... Cosa accadrebbe se Knox Terzo, ‘è proibita l'esistenza di passaggi segreti’, non esistesse...?"
Ushiromiya Battler,"""... In altre parole, i passaggi segreti potrebbero essere sempre usati senza problemi come il trucco standard per tutte le stanze chiuse."""
Dlanor,"""La regola non si riferisce a passaggi segreti privi di indizi o ACCENNI. {n}Ma solo a passaggi che nemmeno il detective può trovare perché sono, appunto, SEGRETI."""
{f:5:Virgilia},"""Battler-kun, spesso tu combatti utilizzando una Prova del Diavolo per dare adito all'esistenza di un elemento X sconosciuto. ... È questo che la regola riguarda."""
Ushiromiya Battler,"""Sarebbe orribile. Non ne varrebbe minimamente la pena di leggere gialli a stanza chiusa."""
,E se non ne valesse più la pena... il genere cesserebbe di esistere.
,"Nessuno avrebbe voglia di provare a risolvere l'enigma già dal primo momento, se si sapesse che la risposta potrebbe essere un passaggio segreto di cui nessuno può prevedere l'esistenza."
Ushiromiya Battler,"""... Se non si ha una qualche certezza che non esistono passaggi segreti, la voglia di ragionarci su proprio non ti viene. ... Ho capito. Knox Terzo è necessario. ... Senza di esso, leggere gialli a stanza chiusa sarebbe una perdita di tempo."""
{f:5:Virgilia},"""Se non hai voglia di rifletterci su... cosa comporta questo...?"""
Ushiromiya Battler,"""Che non ti viene nemmeno voglia di leggere la storia."""
