Speaker,Italian (Ars Magica) (Old) (ITA)
,"Un tempo, solo Beato e le sue compagne streghe si erano riunite in questa sala per fumatori per chiacchierare."
,"Ora, però, vi era presente un numero insolitamente grande di persone."
{f:5:Lambdadelta},"""Ehheheheheh. Chissà che tipo di gioco ha intenzione di mostrarci Battler."""
{f:5:Bernkastel},"""... Non mi interessa... finché è abbastanza divertente da alleviare la mia noia mentre lo distruggo."""
Furudo Erika,"""Lasci fare tutto a me, mia padrona! Mi esibirò al massimo delle mie capacità, e le darò i risultati che desidera!"""
{f:5:Bernkastel},"""Già, è meglio che lo faccia. Grazie a te non ho fatto altro che fare facce strane per tutto il tempo nell'ultimo gioco... penso che potrebbe iniziare a spuntarmi qualche ruga."""
Furudo Erika,"""N-Non ha bisogno di preoccuparsi. La bellezza del viso della mia padrona è senza pari, per quanto possa riempirsi di rughe."""
{f:5:Bernkastel},"""...!!!"""
{f:5:Lambdadelta},"""Eheheheh! È raro vedere Bern così vivace. La tavola di gioco di Beato è qualcosa di magnifico."""
Dlanor,"""... È triste che la padrona di questa tavola da gioco non sia più con NOI."""
{f:5:Lambdadelta},"""Una tigre, morendo, lascia dietro la sua pelliccia. Sembra che Beato sia morta e ci abbia lasciato il suo gioco."""
{f:5:Bernkastel},"""Sebbene gli scacchi esistano ancora, nessuno conosce il nome della persona che li ha inventati."""
{f:5:Lambdadelta},"""Oh, hai ragione! Kyahahaha, poveri inventori di giochi!"""
Furudo Erika,"""Ora che ci penso, Battler-san ci sta davvero facendo aspettare, non è vero? {n}Sta ancora preparando il sesto gioco?"""
Dlanor,"""... Gertrude. Come stanno procedendo le preparazioni di Lord BATTLER?"""
Gertrude,"""Per favore, consentitemi di parlare. ... Sappiate che concluderà molto presto."""
Furudo Erika,"""Se ci ha fatto aspettare così a lungo, deve essere piuttosto fiducioso del suo piano. ... Mi ha davvero umiliato di fronte alla mia padrona la volta scorsa. {n}Lo sconfiggerò a qualunque costo...! E tu in particolare! Fai in modo di non rovinare tutto ancora una volta...!"""
Cornelia,"""... Affronterò la sfida con tutte le mie forze."""
,"La precedente Game Master, Lambdadelta, aveva confermato che Battler aveva capito tutto riguardo il gioco di Beato."
,"Ma per dimostrarlo, Battler avrebbe dovuto gestire questo gioco e portarlo al completamento."
,"In altre parole, se Erika distruggesse questo gioco di Battler, annullerebbe, effettivamente, il disonore del gioco passato."
,"Sebbene Erika non vedesse l'ora di iniziare, Battler ci stava mettendo un sacco di tempo per mostrarsi."
,"In quel momento, uno sciame di farfalle dorate apparvero improvvisamente e formarono una sagoma umana."
,"Dalla forma di quel familiare vestito, immediatamente tutti capirono di chi si trattasse."
Furudo Erika,"""Ah, ecco, è Beatrice-san. E io che pensavo che fossi morta e scomparsa l'ultima volta."""
{f:5:Bernkastel},"""... Colei che è morta la volta scorsa è Beatrice giocatrice. Probabilmente questa è solo una pedina... la pedina di Battler."""
Dlanor,"""Nonostante sia una pedina, il fatto che sia lei non CAMBIA."""
,Beatrice fece un elegante inchino non appena apparve.
,Questa umile entrata era tanto differente dalla sua solita risata acuta che fece il lungo atteso inizio del sesto gioco ancora più infausto di quanto lo sarebbe stato altrimenti...
