Speaker,Italian (Ars Magica) (Old) (ITA)
,"Su un largo letto erano sparse carine gelatine alla frutta dai vari colori, e monete di cioccolato."
,"Una forchetta era infilzata su una torta spuntando da un pacco regalo, e sul tavolino c'erano in fila delle caraffe con bevande di vari colori."
,"Ma il colore del drink in parte finito, che era stato versato in un calice, era venefico e non corrispondeva a nessuno di quelli delle caraffe."
,"Qualcuno probabilmente ci stava giocando, mischiando insieme varie cose."
,"Era molto divertente, a prescindere dal gusto."
,Sul letto vaporoso c'erano molti cuscini grandi e colorati come provenienti da un sogno.
,"E su questo letto che sembrava uscito dal mondo dei sogni di un bambino, Bernkastel era sdraiata a faccia in giù, e Lambdadelta a faccia in su, stringendo un cuscino e rilassandosi..."
{f:5:Lambdadelta},"""Ahhahahhahhahha, è stato piuttosto elettrizzante questa volta, ve~ro? Ero dav~vero preoccupata quanto Beato ha detto che avrebbe fermato il gioco."""
{f:5:Bernkastel},"""... Che strega maleducata, iniziare un gioco come questo e provare a farlo finire gettandolo via."""
{f:5:Lambdadelta},"""Ange non è stata forse una buona pedina? Dopo che Beato stava scappando, Ange l'ha riportata indietro e le ha fatto riprendere il gioco. Tuttavia è un peccato che abbia dato un po' troppo entusiasmo a Battler."""
{f:5:Bernkastel},"""... Perché lei sapeva che Battler è debole alle emozioni."""
{f:5:Lambdadelta},"""Troppo vero. Sembrava quasi potesse andarci leggero con Beato, la sua nemica."""
{f:5:Bernkastel},"""... Ero inquieta per il fatto che, come nell'ultimo gioco, lui avrebbe potuto nel peggiore dei casi provare compassione per Beato, e portare il gioco in una strana direzione. ... Ange è stata l'asso nella manica per far tornare Battler sui suoi passi quando aveva frainteso il suo obiettivo."
{f:5:Bernkastel},"... Anche se volevo che lo supportasse un po' di più prima di usarla. È stata usata davvero subito. Che spreco per una pedina che ha richiesto così tanti preparativi."""
{f:5:Lambdadelta},"""Ehheheheh! È un'ottima cosa che fosse legata alla regola di non avere un nome! Se non fosse stata istituita, la squadra di coppia fratello-sorella avrebbe travolto Beato e vinto in un batter d'occhio."""
{f:5:Bernkastel},"""... Ho pensato che per loro fosse un'opportunità per metterle pressione tutta in una volta, ma sei stata così restrittiva che non non ho potuto fare di lei il miglior uso. ... Aaah, è stata davvero una pedina sprecata."""
{f:5:Lambdadelta},"""Non è ovvio che una pedina scorretta debba essere subito ritirata? Beh, alla fine, lei ha fatto un buon lavoro nel prevenire la sospensione del gioco, e questo ha aiutato anche me. Il modo in cui ha agito per unire entrambi i nostri interessi è ciò che l'ha resa una pedina davvero magnifica."""
{f:5:Bernkastel},"""... Era una ragazzina innocente come Battler, quindi è stato facile farle fare quello che le dicevo. ... I tipi impulsivi e idioti sono i migliori come pedine. ... Aaah, non posso davvero sopportare di aver perso quella pedina."""
{f:5:Lambdadelta},"""Ora, quella ragazzina è carne tritata! Ehi, con quella facciamoci degli hamburger dopo{p:0:☆} Oh aspetta, non ti piacciono di più i gyoza? Mi chiedo che sapore abbiano le sorelle minori, *giggle*, divertente!"""
{f:5:Bernkastel},"""... Va davvero bene che tu ti rilassi così? Grazie ad Ange, Battler si è completamente scosso. Credo abbia iniziato a non dare completamente tregua a Beato, facendo prendere a questo gioco una piega che va a mio vantaggio, giusto...? Voglio dire, Battler questa volta non ha forse risolto praticamente tutti i misteri fino ad ora?"""
{f:5:Lambdadelta},"""Huuh? Ne~anche per idea! Quasi tutta la verità blu di Battler non funziona! {n}La debole verità rossa di Beato è piena di falle. Se avesse avuto un minimo di cervello, ci sarebbe facilmente passata attraverso creando un adeguata rete di logica contorta."
{f:5:Lambdadelta},"... Già, mi dà davvero fastidio. Fossi stata io, le avrei tutte fatte a pezzi con il rosso."""
{f:5:Bernkastel},"""... Oh, davvero? E io che ero sicura che fossero tutte corrette. ... Beh, non so bene per quella parte delle piccole bombe."""
{f:5:Lambdadelta},"""Non tutta la verità blu di Battler è efficace. ... Beato ha chiaramente dichiarato, per il primo gioco, che {p:1:sono garantite le identità di tutti i cadaveri non identificati}! Questo infrange il ragionamento di Battler di come il colpevole dell'omicidio della stanza chiusa di Eva/Hideyoshi sia qualcuno che ha falsificato un cadavere."
{f:5:Lambdadelta},"Poi, Kanon potrebbe essere morto in un incidente nel locale caldaia ma, *giggle*! Che tipo di incidente avrebbe potuto infilzare un picchietto nel suo petto? {n}Sei un idiota? La taglierò con questa preziosa spada rossa."
{f:5:Lambdadelta},"{p:1:Kanon non è morto in un incidente!} Per la prossima, gli omicidi dei tre incluso Genji nel salotto, il pensiero che sia stato un omicidio simultaneo dove loro si sono sparati in senso orario nello stesso momento è ridicolo. {p:1:Genji, Kumasawa, e Nanjo non sono assassini}!"
{f:5:Lambdadelta},"Anche la trappola finale X per uccidere Natsuhi è ridicola. {p:1:Ciò che ha sparato a Natsuhi non è stata una trappola, è stato un vero omicidio da arma da fuoco con un fucile sollevato e un grilletto premuto!} *giggle*, che tristezza...!"""
{f:5:Bernkastel},"""... Non devi farlo. Dire in rosso una cosa del genere. Quella ragazza sta provando a far sembrare che abbia fatto rimbalzare con la magia il proiettile di Natsuhi e l'abbia uccisa."""
{f:5:Lambdadelta},"""Oh-hoh-hoh-hoh, oh cielo, come ho potuto, è vero...! Anche la verità blu per il secondo gioco è stata troppo ingenua."""
{f:5:Lambdadelta},""" {p:1:Quando i sei sono stati uccisi nella cappella, il colpevole era dentro la cappella!} Quel ragazzo prova a spiegare le cose qua e là usando una trappola X. {n}Che diamine è una trappola X, un modello in qualche strano giallo?"
{f:5:Lambdadelta},"È anche ridicolo dire che, nel caso dove Nanjo e Kumasawa sono stati uccisi nella stanza dei domestici, qualcuno abbia ereditato il nome di Kanon. {p:1:L'unico che può affermare di chiamarsi Kanon è lui stesso!} {p:1:Una persona diversa non può affermare di chiamarsi con quel nome!}"
{f:5:Lambdadelta},E anche quella teoria sul prendere il prestito il passepartout da Rosa per la stanza di Natsuhi è inutile!
{f:5:Lambdadelta},"{p:1:Dopo che i passepartout sono andati sotto il controllo di Rosa, nessuno di essi ha lasciato le sue mani!} {p:1:Eccetto nel momento in cui lei ne ha prestato uno a Battler per sbloccare la porta di Natsuhi.} E posso continuare, giusto dando una rapida occhiata si rivelano queste cose, giusto?"""
{f:5:Bernkastel},"""... Dimentica di darci una rapida occhiata... hai già negato la verità blu di Battler per il primo e il secondo gioco su tutta la linea. ... Oh cielo, che brutta cosa. {n}Se ti sentisse Battler, sverrebbe all'istante."""
{f:5:Lambdadelta},"""... Vero? Beato non era per niente messa all'angolo. ... Sembra che quella ragazza dopotutto sia una buona attrice."
{f:5:Lambdadelta},"Sono sicura che abbia progettato di far sembrare che stesse venendo sopraffatta in questo gioco, e poi all'improvviso nel prossimo gioco, *bang*, farla a pezzi con un singolo colpo rosso e rendere Battler shockato e sorpreso."
{f:5:Lambdadelta},"*giggle*, e poi sono sicura che lo dirà ancora con un gran sorriso. ‘Le streghe non sono mai alle stret~te’! Pff, *giggle*giggle*giggle*!!"""
{f:5:Bernkastel},"""... Allora tutto quel senso di tragedia, come se Beato stesse venendo messa all'angolo era tutta una recita?"""
{f:5:Lambdadelta},"""Non è ovvio?! È davvero una grande attrice! Nonostante non fosse per niente messa alle strette, sembrava come un climax sorprendente degno dell'ultimo episodio!"
{f:5:Lambdadelta},"È assolutamente la vincitrice come miglior attrice non protagonista quest'anno!! Oh, ovviamente sono io la sta~r! O potresti essere tu, Be~rn!"""
{f:5:Bernkastel},"""... Alla fine, ha detto qualcosa come ‘uccidimi’ e ha elaborato un gran enigma. Quella non era forse la sua ultima difesa, con la quale Beato sarebbe morta per sempre se quell'enigma fosse risolto?"""
{f:5:Lambdadelta},"""*giggle*giggle*...! Impossibile, sei stata ingannata anche tu, Bern?"
{f:5:Lambdadelta},"Non era per niente un'ultima difesa! Beato ha ancora da parte una straordinaria mossa nascosta. ... Quando ha allungato entrambe le mani per dare l'indovinello finale, hai notato che ha lasciato cadere solo la sua mano destra?"""
{f:5:Bernkastel},"""... Già, ora che me lo fai notare. ... È questo ciò che significava."""
{f:5:Lambdadelta},"""Certo! A quella ragazza sono rimaste un sacco di mosse nascoste! E nessuno dei misteri è stato risolto...!"
{f:5:Lambdadelta},"Quella tensione, come se fosse stata capita e l'ultimo episodio sarebbe stato l'ultimo... lei è davvero un genio di attrice. Già, voglio vederla subito abbattere Battler fino in fondo!"
{f:5:Lambdadelta},"Quella ragazza è stata totalmente incoraggiata dalla sua ‘Strategia del Vento del Nord e del Sole’ dell'ultima volta, giusto? Sono sicura che Battler mostrerà ancora compassione per Beato e ci cascherà completamente...! Perché una singola lacrima di una donna può ingannare un uomo, davvero conveniente e vantaggioso!!"""
{f:5:Bernkastel},"""... Mi chiedo se Battler sarà ancora una volta intrappolato da quella mossa. Anche io devo incitare Battler in modo che non mostri di nuovo compassione. ... Anche se la carne macinata di Ange sembra aver fatto il suo dovere piuttosto bene."""
{f:5:Lambdadelta},"""Un power-up dall'hamburger al sapore di Ange? Oh-hohohohohohoho! Ovviamente, neanche io perderò. A partire da qua, continuerò a supportare Beato abbastanza da farla competere con Battler."
{f:5:Lambdadelta},"... Beato non perderà. Voglio dire, la sto minacciando con una magnifica punizione nel caso perda{p:0:♪}"""
{f:5:Bernkastel},"""... I tuoi giochi punitivi non sono proprio belli, dovresti andarci più leggera."""
{f:5:Lambdadelta},"""Ho deciso cosa fare per la tua prossima punizione, Bern. Vuoi sentire? Vuoi sentire?"""
{f:5:Bernkastel},"""No."""
{f:5:Lambdadelta},"Edda~~i, chiedimelo{p:0:☆} Indovina, indovina? Ti chiuderò in un magnifico, magnifico castello."
{f:5:Lambdadelta},"Quel castello sarà circondato da mura di un bianco puro, 12 chilometri per parte. Con una altezza di 10 metri. La magia e i trucchi sono proibiti! Tu non puoi saltarle, vero?"""
{f:5:Bernkastel},"""1,440,000,000 metri cubici? ... Puoi fermarti qui, so già cosa stai per dire."""
{f:5:Lambdadelta},"""Eheheheheh! E quel posto inizierà ad essere sommerso da gemme, una ogni giorno! E ti chiuderò dentro fino a quando le mura non saranno gremite, e tu sarai seppellita a morte dalle gemme. Non è una meravigliosa, romantica punizione?"""
{f:5:Bernkastel},"""... Se moltiplichi la lunghezza delle pareti per 5, e rendi l'altezza un decimo della sua altezza corrente, non sarebbe un problema per me se tu mi chiudessi dentro anche subito."""
{f:5:Lambdadelta},"""Davvero?! Ciò lo renderebbe di 3,600,000,000 metri cubici, giusto?! Il periodo di tempo per la punizione sarebbe più del doppio, giusto?! Aaahh, tenerti mia prigioniera per un tempo così lungo?! Mi piaci davvero Bern, ti a~mo{p:0:♪}"""
,"Lambdadelta si avvinghiò giocosamente a Bernkastel, che sbadigliò, sembrando annoiata, mentre toccava la parte inferiore del mento di Lambdadelta come se stesse coccolando un gatto..."
