Speaker,Italian (Ars Magica) (Old) (ITA)
,Era il più grande salone rinfreschi in quel grande hotel.
,I molti ospiti che riempivano la sala chiacchieravano e applaudivano la persona che stava ricevendo un premio in cima al palco.
,Il cartello di fronte diceva ‘Cerimonia di Premiazione dell'Agenzia di Pubblicazione Biggs’.
,"""Ed ora, vorrei iniziare la categoria romanzi. Il vincitore... è quel romanzo fantasy di avventura che tutti noi conosciamo bene, la storia che ha iniziato un movimento mondiale che continua a crescere a passi da gigante, ‘La Grande Avventura di Sakutarou’!"""
,Il proiettore di fronte al pubblico mostrò un breve riassunto delle serie.
,Era... un lungo romanzo fantasy d'avventura che aveva già più di 8 puntate di pubblicazione.
,"L'avvincente storia fantasy narrava le avventure di Sakutarou, un pauroso vegeta-leone che si faceva amici, imparava dalle sue esperienze e cresceva nella sua ricerca del Singolo Frammento."
,"Il motto del protagonista, ‘diventerò il re degli animali’, era persino uno dei candidati per il premio di Migliore Frase ad Entrare nello Slang Moderno."
,"In aggiunta ad essere avvincente da leggere, i libri contenevano anche molti messaggi da cui i bambini imparavano, guadagnandosi grandi lodi come romanzo d'avventura che adulti e bambini potevano divertirsi a leggere assieme."
,"Tuttavia, non aveva ricevuto lodi del genere sin dall'inizio."
,"Per i primi sei volumi, passò quasi completamente inosservato, ma l'ultimo anno, quando iniziarono le traduzioni straniere della serie, ebbe la sua grande occasione e improvvisamente divenne un grande argomento di conversazione."
,"Anche prima di questa serie, l'autrice aveva creato parecchi lavori, ma nessuno di questi aveva ottenuto il favore del pubblico."
,"Tuttavia, dopo questo improvviso aumento di popolarità, i suoi precedenti lavori stavano venendo rivalutati uno dopo l'altro."
,Si poteva probabilmente dire che il riconoscimento delle sue opere stava arrivando molto in ritardo.
,"""Miss Kotobuki...!! Congratulazioni per il vostro premio!"""
,"""La vostra ultima opera, ‘Sakutarou e l'Isola della Strega’, è stata davvero una lettura eccellente!"""
,Gli amministratori delle agenzie di pubblicazione ripetutamente la inondavano di lodi.
,‘la Grande Avventura di Sakutarou’. Il nome dell'autrice... era Kotobuki Yukari.
,"Quasi tutti i guadagni dei suoi diritti d'autore venivano mandati ad un fondo per supportare i bambini bisognosi, e lei stessa aveva servito come direttore di diversi istituti di protezione."
,"Qualche persona invidiosa provò a definire ciò falsa carità, ma più quelle persone la conoscevano e più quelle voci si attenuavano e scomparivano."
,Kotobuki Yukari.
,"Ora come ora, quel nome risuonava forte e chiaro per il Giappone."
,"Stava seduta su di una sedia, chiacchierando allegramente con le persone che venivano a salutarla."
,Quell'ultimo anno le fu diagnosticato un cancro allo stadio iniziale e dopo l'intervento la sua forza fisica era calata parecchio.
,"A causa di ciò, persino in questa festa di premiazione, le era stata data una sedia e rimaneva seduta mentre salutava le persone."
,"Certe persone si lamentarono, dicendo che se solo fosse stata 20 o persino 10 anni più giovane... lei avrebbe potuto lasciare il segno nella storia come una delle più grandi autrici nel 21esimo secolo."
,Ci era voluto così tanto prima che le venissero conferite le lodi che meritava...
,"Non poteva più essere definita giovane. Ma anche così, la sua determinazione a scrivere non venne minimamente minata."
,"Si diceva che, persino durante la sua giacenza in ospedale, gran parte del suo tempo l'aveva trascorso scrivendo."
,Diceva sempre la stessa cosa. Che non aveva finito di dire ciò che doveva dire.
,Intendeva dire che non aveva completato del tutto ‘la Grande Avventura di Sakutarou’?
,Questo è ciò che rispose quando quella domanda le fu chiesta da un giornalista...
,"Se, scrivendo anche solo un altro libro, io posso insegnare anche solo ad un altro bambino come trovare la felicità..."
,"Allora trascorrerò il resto della mia vita a scrivere ogni altro libro, ogni altra pagina che posso."
,Perché ancora non ho pienamente comunicato i preziosi insegnamenti che mi sono stati donati...
,"""Miss Kotobuki, congratulazioni per il suo premio! Ho sentito che anche l'adattamento cinematografico sta ricevendo dei commenti splendidi! {n}Se continua così, potrebbe persino sorpassare il record di Hari-Pota!"""
Kotobuki Yukari,"""Molte grazie per le sue parole gentili. È più di ciò che merito..."""
,"""Oh, mi ero dimenticato di dirle una cosa...! Il mio nome è Eks, capo del primo dipartimento editoriale della Compagnia X."""
Kotobuki Yukari,"""È un onore incontrarla... spero che avremo l'opportunità di lavorare assieme prima o poi..."""
,"""... In realtà, Miss Kotobuki. Io, uh, mi scuso per essere brusco... ma per caso conosce una persona autrice di nome Hachijo Tohya?"""
Kotobuki Yukari,"""Hachijo... Tohya... ha detto?"""
,Si ricordava quel nome da diversi decenni fa. Non si sarebbe mai aspettata di sentirlo di nuovo.
,"""Conosce Hachijo? Ha mai incontrato Hachijo, per caso...?"""
Kotobuki Yukari,"""No... le ho fatto visita una volta, ma a quel tempo ero sconosciuta. E, dato che ero piombata all'improvviso nell'ufficio della compagnia pubblicitaria, difficilmente sorprende il fatto che mi fu rifiutata un'intervista..."""
,"""Oh, non lo sapevo...! Può essere che lei fosse appassionata delle opere di Hachijo...?"""
Kotobuki Yukari,"""No. Volevo solamente scoprire che tipo di persona Hachijo fosse..."""
,"""Capisco, capisco. ... Beh, la verità è che... quella persona che scrive romanzi... Hachijo Tohya vorrebbe incontrarla in discrezione."""
Kotobuki Yukari,"""... Incontrare... me?"""
,"""Sì. Non come intervista formale, ma personalmente e ufficiosamente... {n}se è interessata, saremmo felici di arrangiare l'incontro... ma, ovviamente, questo non ha niente a che fare con il lavoro!"""
,... Hachijo Tohya... vuole incontrare... Kotobuki Yukari.
,Proprio come io avevo capito che Itouikukuro era Hachijo Tohya... lei aveva usato il mio nome per capire la mia identità?
,"Il giallo di Rokkenjima, che veniva a volte chiamato il più grande fenomeno sociale di fine secolo."
,"Quel tumulto, che aveva trascinato gli entusiasmi di tutto il mondo, si era improvvisamente calmato dopo un evento tenuto da Hachijo Tohya, dove lei avrebbe ‘svelato il diario di Ushiromiya Eva, che conteneva la verità’."
,"Nonostante avesse preparato lei stessa l'evento, poi scomparse oltraggiosamente senza rilasciare i contenuti del diario, attirandosi dure critiche per aver fatto così."
,"Tuttavia, un sentimento ovvio, ovvero che si stesse sciacallando su di un terribile incidente con molte vittime solo per curiosità, ritornò alla sfera pubblica."
,"E così, la frenesia che circondava il giallo di Rokkenjima scomparve silenziosamente..."
,"Hachijo Tohya. No, Itouikukuro."
,Aveva attirato l'occhio del pubblico come una Falsaria dei gialli di Rokkenjima.
,Aveva affermato di aver raggiunto la verità e rilasciava innovative opere di finzione una dopo l'altra. Divenne famosa come forza conducente dietro il mystery di Rokkenjima.
,"Dopo aver capito che Itouikukuro era Hachijo Tohya, andai alla sua agenzia di pubblicazione per chiedere un'intervista, ma non ne ottenni."
,"In quel periodo, la disprezzavo."
,All'inizio pensai che avesse usato il giallo di Rokkenjima a scopo pubblicitario per fare carriera... ma ora mi sentivo un po' grata verso di lei.
,"Se non si fosse rifiutata di mostrare il diario in un modo così oltraggioso, la scatola del gatto di Rokkenjima sarebbe ancora potuta essere il giocattolo di innumerevoli caproni."
,Era sicuramente una Falsaria che aveva giocato con la scatola del gatto e ancora avevo un sentimento spiacevole nei suoi confronti.
,"Tuttavia nello stesso momento lei era quella che, strettamente parlando, aveva permesso su Rokkenjima di riposare in pace."
,E... aveva davvero raggiunto la verità?
,"Perché ha raggiunto qualcosa che era infinitamente vicina alla verità, ‘persino dalla mia prospettiva’?"
,"Anche ora, dopo tutti questi anni... c'era qualcosa che avrei voluto sapere, se avessi potuto."
,"""Che ne pensa, Miss Kotobuki...? Ovviamente, questa non è una richiesta urgente. Mi è stato detto di dirle di prendersi il suo tempo per decidere, se lo desiderava..."""
Kotobuki Yukari,"""Ho capito. ... Hachijo Tohya vive vicino alla città?"""
,"""Mi è stato detto che un incontro qui vicino sarebbe stato soddisfacente in ogni momento...!"""
Kotobuki Yukari,"""Capisco. ... In questo caso, posso chiederle di preparare un incontro per noi in un caffè tranquillo la prossima Domenica...?"""
,"""Sì, come desidera...! Grazie, grazie davvero! Credo che anche Hachijo ne sarà molto felice...!"""
Kotobuki Yukari,"""Ho una sola condizione."""
,"""Sì, qualunque cosa...!"""
Kotobuki Yukari,"""Non discuterò di affari, quindi vi prego di trattenervi dal mandare qualcuno del dipartimento editoriale."""
,"""Ma certamente! Faremo come dice."""
Kotobuki Yukari,"""Madame Hachijo e io ci incontreremo da sole, solo noi due. Posso fidarmi di lei per mantenere questa promessa...?"""
,"""Beh, per questo... noi, umm, apprezzeremmo molto se lo tenesse per sé, ma..."""
Kotobuki Yukari,"""Cosa c'è...?"""
,"""... Beh, la verità è che... le opere di Hachijo Tohya sono scritte da due persone. Per il mondo esterno, quei libri sono stati scritti da una sola autrice femminile... ma in realtà c'è un altro autore, un maschio... loro due hanno chiesto una possibilità di incontrare lei..."""
,Appena lo sentii... ebbi come un presentimento.
,"... Come aveva fatto Hachijo Tohya, una persona non collegata alla famiglia Ushiromiya, a scrivere su di essa in modo così preciso?"
,Ebbi già il presentimento di un certo tipo di miracolo...
,"Quando partii per il mio viaggio, abbandonai il nome di Ushiromiya Ange e iniziai una nuova vita."
,"In questo momento le cose si sono sistemate, ma quando la famiglia Sumadera era ancora una minaccia, volevo prendere distanza da quel nome."
,"... Grazie a ciò, nessuno riuscì a contattare più la nuova ‘me’."
,Tuttavia ora che ‘l'Avventura di Sakutarou’ aveva catturato l'attenzione del pubblico quest'anno e aveva reso famoso il nome di Kotobuki Yukari... forse aveva finalmente raggiunto le sue orecchie.
