Speaker,Italian (Ars Magica) (Old) (ITA)
,Due pedine bianche erano posizionate sulla scacchiera.
,"... Gli innumerevoli pezzi neri che li circondavano erano ammassati insieme, nemmeno posizionati sulle caselle."
,"Poi, Bernkastel rovesciò le due pedine bianche... e le tolse dalla scacchiera."
{f:5:Bernkastel},"""Va davvero bene terminarla in un posto del genere?"""
{f:5:Featherine},"""... Sì. Sembra che, tra tutti, io sia davvero abituata a sentire leggere te, mia miko."""
{f:5:Bernkastel},"""Come desideri, ho raschiato perfino le parti più interne delle interiora. {n}È sufficiente per farti controllare le tue risposte?"""
{f:5:Featherine},"""Sì. ... Sono molto soddisfatta. Usando come chiave la risposta che hai rivelato, tornerò indietro attraverso tutte le storie create finora, aprendo le stanze chiuse come scrigni di tesori, una dopo l'altra."""
{f:5:Featherine},"""... È divertente trovare la chiave. Ed è persino più divertente infilarla dentro tutte le serrature. Ben fatto, mia miko. Da adesso, fammi godere i miei pensieri da sola. Questo è stato abbastanza..."""
,"La Strega dello Spettacolo si sedette sulla sua sedia a dondolo, con un sorriso soddisfatto sul suo volto, come se si stesse godendo un piacevole retrogusto."
,Non c'era più bisogno di un piano di gioco.
,"Doveva solo tornare indietro mentalmente, attraverso l'intero insieme di storie, per controllare se la sua teoria era giusta oppure no."
,"Sembrava che la lasciasse piacevolmente euforica, in un modo migliore persino del vino più costoso..."
{f:5:Bernkastel},"""... Ora hai finito con me?"""
{f:5:Featherine},"""Ben fatto, mia miko. Ti assolvo dal tuo compito. ... Ritornerò al mio sonno. Vorrei godermi questo piacevole sogno per un altro po' di secoli."""
{f:5:Featherine},"""E quando me ne stancherò... tu troverai ancora un'altra storia per farmi divertire. ... Per questi secoli, che passeranno in un batter d'occhio, ti concederò la tua libertà."""
{f:5:Featherine},"""Heheheheheh... splendido lavoro, Bernkastel. Mia dolce, dolce miko..."""
{f:5:Bernkastel},"""... Non che me ne importi qualcosa. Essiccati e muori, basta questo. {n}Addio, per il resto dell'eternità."""
{f:5:Featherine},"""Tu chiami un po' di semplici secoli ‘per il resto dell'eternità’? *cackle*cackle*... ..."""
,La coscienza di Featherine lentamente svanì.
,Come il sonno della proprietaria dello studio crebbe... le luci della stanza lentamente si rabbuiarono.
{f:5:Bernkastel},"""Buonanotte per sempre, Auaurora. ... Tu non hai più bisogno di questa scacchiera. La prenderò io."""
,"Bernkastel tese la mano verso il piano di gioco di Beato, che giaceva sul tavolo di fronte alla sedia a dondolo di Featherine, e ci picchiettò sopra due volte."
,"La scacchiera e le pedine volarono in aria, si misero da parte e si richiusero, per poi atterrare nella mano destra tesa di Bernkastel."
