Speaker,Italian (Ars Magica) (Old) (ITA)
{f:5:Beatrice},"""... Quale tè preparerò la prossima volta? Permettimi di visualizzare ogni tè raffinato che sia mai stato e mai sarà realizzato."""
,"""... Tè nero alla prugna. ... Quello da 200 yen al pacco."""
{f:5:Beatrice},"""*cackle*cackle*...! ... Per mille anni, sono stata un'amante del tè nero, ma non ne conoscevo uno del genere. ... Non mi stancherò mai di vivere in questo mondo."""
,"""... Beato. Non c'è bisogno di mostrare tanta ostilità. ... Sono solo una strega errante. Non sono venuta con l'intento di violare le regole del tuo territorio."""
{f:5:Beatrice},"""... *cackle*cackle*, non c'è nemmeno una punta di ostilità. ... Sono solo interessata nel vedere che la leggendaria strega, Lady Bernkastel, sia ben curata."""
{f:5:Bernkastel},"""... Hai frainteso. Io sono impotente. Dinanzi ad una strega del tuo calibro, che possiede lo spaventoso potere di uccidere un individuo centinaia di volte, io sono completamente impotente."""
{f:5:Beatrice},"""Che un'impotente Nobile Strega come te possegga un potere a cui nessuno può avvicinarsi è ciò che è veramente terrificante. Dopotutto, quella Grande Strega, Lady Lambdadelta, è stata detronizzata da te sola."""
{f:5:Bernkastel},"""... Ho solo vinto una gara di resistenza. Si è semplicemente stancata."""
{f:5:Beatrice},"""Sebbene questo non sia ciò che ha detto Lady Lambdadelta. ... *cackle*cackle*cackle*, troppa umiltà può essere sconveniente, Lady Bernkastel."""
{f:5:Bernkastel},"""... Quella ragazza ha un potere tremendo. ... Il potere di uccidere un individuo ‘senza fallire’. Tuttavia, ‘senza fallire’ non esiste in questo mondo. Non importa quante volte dividi 1, non potrai mai raggiungere lo zero."
{f:5:Bernkastel},"Quella ragazza ha il potere di portare la probabilità di fallimento a ‘quasi zero’... il potere di dare origine alla ‘quasi perfetta certezza’. ... Spero di non dover mai più sfidare un strega terrificante come lei."""
{f:5:Beatrice},"""Tuttavia, tu hai il potere di avere successo senza fallire, ‘fintanto che le possibilità non siano zero’. ... Sebbene dici che ‘senza fallire’ non esiste in questo mondo, tu stessa possiedi un infallibile potere. ... Davvero terrificante, *cackle*cackle*cackle*...!"""
{f:5:Bernkastel},"""... Il potere di uccidere un individuo ‘infinitamente’... penso che tu sia la più terrificante."""
{f:5:Beatrice},"""Quale ironia. ... Dal tuo punto di vista, il mio è solo un insignificante potere. Questa è quasi certamente quel che chiamerebbero una lode a vuoto."""
{f:5:Bernkastel},"""... Chiamala adulazione per compensare il costo del mio soggiorno. ... Sono una viaggiatrice fuggitiva che attraversa i {c:86EF9C:Frammenti}, fuggendo continuamente dalla noia. ... Sono venuta semplicemente perché ho sentito che hai iniziato qualcosa di interessante. Non ho dubbi che sceglierò di andarmene appena non ti troverò più interessante."""
{f:5:Beatrice},"""*cackle*cackle*...! Io, Beatrice, sono profondamente e modestamente lieta di aver la grande Lady Bernkastel come osservatrice. *cackle*cackle*! Allora, la tua opinione?"""
{f:5:Bernkastel},"""... Lambdadelta è terrificante a causa della sua crudeltà... tuttavia, è una ragazza che posso capire. ... Sembri possedere affetto, ma non riesco a capirti per niente. È per questo che sei molto più terrificante di lei."""
{f:5:Beatrice},"""*cackle*cackle*cackle*...! Sono capricciosa di natura. Perdonami. ... Tra l'altro, credo che anche a te piaccia affidarti al fato del lancio del capriccioso dado, vero, Lady Bernkastel?"""
{f:5:Bernkastel},"""... Quando lancio il dado, penso chiaramente a cosa voglio ottenere. {n}Al contrario di te. Tu, d'altra parte, non hai mai fatto cadere il dado dalla tua mano."
{f:5:Bernkastel},"Quindi, qualsiasi cosa il dado mostri, non sei mai delusa. Qualsiasi cosa il dado ti mostri, sei soddisfatta ‘senza fallire’. ... In quel caso, tu mi sorpassi di molto."
{f:5:Bernkastel},"... Sei davvero qualcuno con cui non vorrei mai battermi. Dentro te, non c'è altro che zero. È per questo che non posso vincere contro di te con il mio potere. ... La peggior compatibilità. ... Probabilmente Lambdadelta, d'altra parte, ha una buona compatibilità con te. Siccome potrebbe essere capace di uccidere il tuo ‘infinito’."""
{f:5:Beatrice},"""*cackle*cackle*, *cackle*cackle*cackle*! ... Oh sì, le streghe sono davvero le migliori persone con cui bere del tè nero. Non ci si annoia affatto. *cackle*cackle*!"""
{f:5:Bernkastel},"""... Allora, sono sollevata. La noia è l'unico veleno che può uccidermi. ... Quindi, non uccidermi, capito? Lady Beatrice, Strega dell'Infinito."""
{f:5:Beatrice},"""Se questo è il tuo desiderio, Io, Beatrice, ti mostrerò anche qualcosa di meglio."
{f:5:Beatrice},"... In questo caso, non sarebbe meglio se preparassi subito la prossima scacchiera? Sembra che nella prossima storia farai molto di più che riempire la tua tazza di tè nero."""
{f:5:Bernkastel},"""..."""
{f:5:Beatrice},"""Aspetta solo un momento. ... *cackle*cackle*!"""
{f:5:Bernkastel},... Qualcosa di fastidioso sembra averti preso in simpatia.
{f:5:Bernkastel},"Mi piacerebbe prestarti un po' del mio potere ma, come hai appena sentito, il potere di quella ragazza e il mio hanno una compatibilità davvero pessima. Sfortunatamente."
{f:5:Bernkastel},"Ma mi sembri davvero senza speranze, perciò ti aiuterò un pochino."
{f:5:Bernkastel},"Prima di tutto, riguardo quella ragazza."
{f:5:Bernkastel},"Il suo nome è Beatrice, ma non significa necessariamente che è ‘una donna individuale’."
{f:5:Bernkastel},"Capito cosa intendo? In altre parole, non è umana. La sua esistenza è una personificazione delle regole di questo mondo."
{f:5:Bernkastel},"Per batterla, devi esporre le regole di questo mondo e svelarle."
{f:5:Bernkastel},"Per esempio, può essere come imparare le regole degli scacchi guardando un gioco."
{f:5:Bernkastel},"Prima, dai uno sguardo alla scacchiera. {n}Poi, impara i movimenti e i ruoli dei pezzi. {n}Poi, comprendi le condizioni richieste per vincere al suo gioco."
{f:5:Bernkastel},"Quando sarai riuscito a svelare tutte queste cose, il suo cuore verrà esposto. {n}Dopodiché, potrai strapparlo o schiacciarlo come ti pare e piace."
{f:5:Bernkastel},"... Sono abbastanza generosa. In passato, quando avevo un corpo umano, ci ho messo centinaia di anni a capire tutto questo."
{f:5:Bernkastel},"Questo è il mio scarno regalo d'addio per te, il poverino catturato da Beato. È proprio come un cucchiaio."
{f:5:Bernkastel},"Un cucchiaio può essere usato in più modi, non solo per berci della zuppa. {n}Puoi usarlo per scavare attraverso la prigione in cui sei bloccato, o usarlo come arma per cavare gli occhi della strega."
{f:5:Bernkastel},"... Ovviamente, puoi anche usare il cucchiaio per sorseggiare continuamente la zuppa annacquata dentro la tua eterna prigione."
{f:5:Bernkastel},... Non farti un'idea sbagliata. Non ho alcuna intenzione di diventare tua alleata.
{f:5:Bernkastel},"Sento di dispiacermi per te, ma non ti aiuterò. {n}... Tu sei come qualcuno che sta seduto davanti alla televisione, che urla alle persone dall'altra parte dello schermo anche se la tua voce non li raggiungerà mai."
{f:5:Bernkastel},"{a:c: QUINDI, COMPRENDI CHE IO SONO UNA STREGA?}"
{f:5:Bernkastel},Intendo gustarmi questa infinita storia che Beato sta tessendo finché non me ne stancherò. Ma solo quella non tratterrà il mio interesse.
{f:5:Bernkastel},... È per questo che ti presterò il mio potere. Tutto ciò in modo che io non mi possa annoiare.
{f:5:Bernkastel},"Io sono la strega più crudele del mondo. {n}Chiunque sia il nemico, io lo farò arrendere di sicuro."
{f:5:Bernkastel},"... Anche se fosse Beatrice, la Strega dell'Infinito, ok...?"
{f:5:Bernkastel},"Tu sei la mia pedina da gioco. Fai del tuo meglio. {n}Ti darò dei consigli a volte, quando lei non vedrà."
{f:5:Bernkastel},"Non annoiarmi, ok...?"
{f:5:Bernkastel},*giggle*giggle*giggle*...
