Speaker,Italian (Ars Magica) (Old) (ITA)
{f:5:Bernkastel},"""... Lambda... dove sei...?"""
,Solo dover dire così era come ammettere la sconfitta... e non mi piaceva.
,Perché è sempre così sgradevole e appiccicosa quando non ho bisogno di lei... e poi non risponde quando la chiamo?
,Dove... sono...?
,"Infastidita dalla conclusione del tutto prevedibile, avevo lasciato la cattedrale."
,... Avevo in mente di trovare qualche terrazzo con una fresca brezza nottura per ammazzare il tempo fino alla fine di quel ridicolo ricevimento.
{f:5:Bernkastel},"""... È vero che ho provato a trovare qualche posto desolato così che non dovessi guardare la gente... ma così è esagerato."""
,"Io, la grande Bernkastel... mi sono persa?"
,Un miracolo come questo certamente non può succedere.
,Già... i miracoli non esistono in questo mondo.
,"Per creare un miracolo, si ha bisogno di ‘una quantità di tempo che non può mai essere raggiunta’, un periodo non diverso da infinito."
,"Perciò, quando qualcosa che sembra essere un miracolo succede in un lasso di tempo più breve di così... non è un miracolo... ma è a causa del disegno... di qualcuno."
,"""In altre parole... la ragione per cui sto camminando in questo corridoio... è perché il disegno di qualcuno mi ha costretta qui..."
{f:5:Bernkastel},"""... Chi? Chi mi tirerebbe mai uno scherzo così complicato? ... Sembra che quel qualcuno sia timido... a convocarmi in un desolato posto del genere."""
,... Poi... dall'altro capo del buio corridoio... sentii un rumore.
,{a:c:*patter**patter*patter*patter*... }
,"Sembrava come se un qualche piccolo animale, come un cane od un gatto, stesse camminando a passo veloce."
,Nessun miracolo provocherebbe che un cane od un gatto sia in un posto del genere. Un simile miracolo non sarebbe ‘permesso’.
,"Dato che non è un miracolo, ciò significa che sto venendo guidata in tale direzione."
,... Molto bene. Questa potrebbe essere qualche nuova idea per farmi divertire.
,"Se questo è qualche nuovo scherzo di Lambda, come ricompensa le coprirò di miele l'intero corpo usando la mia lingua."
,"... E poi, infilerò ombrellini di cioccolata nei suoi occhi e le dirò di non farlo mai più."
,"Nella direzione da cui proveniva il rumore... non era solamente fioco, ma avvolto nella completa oscurità."
,Tuttavia... riuscii a scorgere qualcosa in quell'oscurità.
,... C'erano due bagliori verde smeraldo... probabilmente occhi di gatto. {n}Gli occhi di un gatto nero che sbirciava nell'oscurità.
{f:5:Bernkastel},"""Sei tu quello che mi ha chiamato qui...? O... sei solamente il messaggero...?"""
,Quando guardai ai miei piedi... vidi impronte rosse del gatto che mi conducevano da quegli occhi.
,... Era inquietante... come se fosse corso qui con le zampe macchiate di sangue.
,"Quando i miei occhi si abituarono all'oscurità... allora anche in mancanza di luce, io ero più o meno capace di individuare quelle impronte rosse."
,... In realtà non stavano brillando o qualcosa del genere... ma servivano perfettamente come cartelli stradali per condurmi in avanti.
,{a:c:*patter*patter*patter*patter*... }
,Come se mi stesse dicendo di seguirlo... il gatto si girò e corse nell'oscurità.
,... Che cos'è? ... Qualcosa mi sembra... molto strano.
,È una sensazione che non avevo mai sentito da quando avevo iniziato a chiamarmi la strega più crudele del mondo.
,... Non riesco proprio a ricordare cos'è questa sensazione.
,"Tuttavia... per una come me stanca della noia, era sicuramente più divertente in questo modo."
,"Seguii le impronte insanguinate del gatto, che a volte si fermava e si girava a guardarmi... e camminai ancora e ancora nel corridoio buio..."
,Avanti... giravo... di volta in volta scendevo quelle che sembravano delle scale.
,E poi... nonostante non possa davvero dirlo per via dell'oscurità... rimasi proprio di fronte ad una porta.
{f:5:Bernkastel},"""... Qui...?"""
,"Spinsi lentamente la porta per aprirla... ma all'interno era buio, proprio come il corridoio."
,"Tuttavia, l'aria e il leggero cambio nell'eco prodotto dai passi... mi rivelò che questa era una stanza, non un corridoio."
,Il suono dei passi del gatto sparirono.
,"... Tuttavia, le impronte insanguinate rimasero."
,Dall'altra parte di una cosa simile ad uno schermo in legno... sotto quello che sembrava un piccolo proiettore...
,... C'era quello stesso gatto nero chinato sopra nel cibo per animali macchiato di sangue.
,... Capisco. Quindi quella è la sua ricompensa per avermi condotto qui...
{f:5:Bernkastel},"""Gatto... mi spiace disturbarti durante il tuo pasto... ma vorrei che tu evocassi il tuo padrone. ... Ecco, a meno che non sia tu che mi hai convocata...?"""
,Parlargli non lo fece girare.
,"... Beh, è comunque un animale che mangia il suo cibo. ... Se lo calcio via, probabilmente correrà dal suo padrone."
{f:5:Bernkastel},"""... Hmph."""
,"Quando calciai il gatto... venne spostato come un animale di pezza, colpì la parete e cadde a terra."
,"Poi sparì, come se si fosse sciolto nell'oscurità..."
,... Cos'è questo gatto? ... È solo un'illusione?
{f:5:Bernkastel},"""...!"""
,Quando guardai la sua ciotola del cibo... era colma con quella che sembrava essere carne cruda inzuppata di sangue.
,... Era come se qualcuno avesse dilaniato sul posto della carne viva e l'avesse ammucchiata lì.
{f:5:Bernkastel},"""... Dai, cos'è questa spaventosa accoglienza?"""
,"{a:c: ――È stata una cosa cattiva, calciarlo via. }"
,"Nell'istante in cui sentii quella voce, si rizzarono i capelli dietro al mio collo."
,Poi... l'area circostante finalmente si illuminò...
,"Tuttavia, Bernkastel aveva già capito dov'era prima che si illuminasse..."
{f:5:Featherine},"""... Quella eri tu, no? ... Quel gatto."""
{f:5:Bernkastel},"""..."""
{f:5:Featherine},"""... Un gatto che ha imparato a mangiare carne e ha scelto il proprio cammino. ... È passato molto tempo..."""
{f:5:Bernkastel},"""È un cammino che di cui non mi sarei mai accorta se tu non me l'avessi detto. ... Sei tu il mostro che mi ha insegnato il sapore nella carne. ... Quindi, sei tornata in vita. ... Featherine Auaurora..."""
{f:5:Featherine},"""... Augustus Aurora... non imparerai mai, non importa quanto spesso te lo dica... molto bene. Persino ciò mi riporta alla mente teneri ricordi... ho sentito i pettegolezzi... sembra che tu abbia preso il nome Bernkastel, Strega dei Miracoli... e che stessi giocando il gioco di un Frammento, molto lontano dall'essere lodevole..."""
{f:5:Bernkastel},"""Ti sto solo imitando. Anche se difficilmente potrei raggiungere il tuo livello. ... Sei i pettegolezzi che hai sentito su di me sono pessimi, questo si applica a te cento volte tanto."""
,Bernkastel si sedette senza riserve su un'antica sedia... come se fosse il posto le fosse già familiare.
{f:5:Featherine},"""... Di cosa hai paura? Sto solamente celebrando la mia riunione con quella che finora è stata la miko che mi ha servito più a lungo... hai davvero trovato il mio gatto messaggero così spiacevole?"""
,I modi di fare di Bernkastel sembravano completamente rilassati...
,"Tuttavia, Featherine la ammonì, dicendole di non avete paura."
,"... E, a giudicare dall'espressione sorta sul volto di Bern... Featherine aveva colto nel segno..."
{f:5:Bernkastel},"""Dovevi davvero fare certe insinuazione così brusche contro di me? ... Un gatto che lascia dietro di sé impronte insanguinate e che ficca la sua faccia in cane macchiata di sangue..."""
{f:5:Featherine},"""... Non temere. ... Guarda attentamente. ... Vedi per caso un gatto che ficca la sua faccia nella carne...? Io gli ho solo dato un piatto di biscotti come ricompensare per essere andato a prenderti..."""
{f:5:Bernkastel},"""..."""
,"... Sembrava come se la fuliggine che copriva il piatto ai suoi piedi venisse spazzata via, nonostante non ci fosse vento."
,... Lì c'era un adorabile... e perfettamente normale... piatto per gatti... con una pila di piccoli biscotti su di esso...
{f:5:Bernkastel},"""... Tch..."""
,Bernkastel non nascose nemmeno la sua smorfia scontenta.
,"Featherine fece spallucce e mormorò ‘non sei cambiata, figlia dell'uomo’ mentre muoveva la sua sedia a dondolo."
{f:5:Bernkastel},"""... Vedo che sei spiacevole come sempre. ... Ma sono felice ora. Imitarti è stato davvero lontano dall'essere noioso."""
{f:5:Featherine},"""... Rimproverami se vuoi. È il regalo d'addio che ti ho donato quando ci siamo incontrati l'ultima volta."""
{f:5:Bernkastel},"""A te piacciono le miko offensive che ti fanno divertire, giusto...? Tch, ridicolo. ... Se parlare ti fa solo piacere, allora starò zitta. ... Insomma... cosa vuoi da me...?"""
{f:5:Featherine},"""Sembra che il gioco di Beatrice sia terminato con la vittoria di Battler. {n}L'ho osservato. È stato abbastanza divertente."""
{f:5:Bernkastel},"""... Sono sicura che ti sia piaciuto vedermi fallire miseramente."""
{f:5:Featherine},"""Non dire cose senza senso, è stata una splendida performance... sono sicura che Beato ti è molto grata."""
{f:5:Bernkastel},"""... Hmph. ... E? Se vuoi che io legga i Frammenti del gioco di Beato ad alta voce per te, rifiuto. Non sono più la tua miko."""
{f:5:Featherine},"""Io ho osservato tutti i giochi di Beato. ... Ho guardato anche il gioco di Lambdadelta e quello di Battler con grande interesse. ... Credo di aver costruito una risposta a tutti gli enigmi, a mio modo. ... Il colpevole. Il movente. I singoli trucchi. ... Non mi è ancora molto chiara l'ultima parte dell'enigma dell'epigrafe, ma ho una teoria tale che se io andassi davvero su Rokkenjima e investigassi, sarei capace di capire anche quella parte."""
{f:5:Bernkastel},"""... E...?"""
{f:5:Featherine},"""Ovviamente, dato che non c'è una singola verità, la mia teoria è probabilmente solo una di quelle tante possibilità. ... Tuttavia, è una di quelle, quindi quel problema è triviale."""
{f:5:Bernkastel},"""... A cosa miri? ... Vuoi discutere con me del gioco di Beato?"""
{f:5:Featherine},"""Sbagliato. ... Quello che voglio è vedere le risposte, figlia dell'uomo."""
,Quelle parole di Featherine fecero raddrizzare Bernkastel.
,... La sua vecchia padrona non mancò di notare quella sua piccola reazione.
{f:5:Featherine},"""Fino ad ora, hai condito questa storia come un attrice. Nel fare ciò, probabilmente sei venuta a conoscenza di molte verità. ... Tuttavia, anche tu sei ignara della verità che Beato ha abilmente tenuta nascosta dietro i molti enigmi, corretto...?"""
{f:5:Bernkastel},"""... Capisco... tu vuoi ancora che io strappi via e tiri fuori le interiora di qualcosa."""
{f:5:Featherine},"""Dopo aver visto un'opera teatrale, averne letto l'opuscolo e aver saputo quello che succede dietro le scene, è simile a, come diresti tu, godersi del the nero dopo un pasto. ... Quel divertimento non può essere lasciato incompiuto."""
{f:5:Bernkastel},"""A te piace giocare con loro e voler loro bene quando sono vivi, poi mangiare le loro carni quando muoiono. ... Perciò, i gatti ti sono doppiamente utili. {n}Muori e basta, mostro."""
{f:5:Featherine},"""Io voglio... vedere le risposte. ... Sono sicura che tu voglia conoscerle."""
{f:5:Bernkastel},"""..."""
{f:5:Featherine},"""Pensa ad esso come alla sepoltura del cadavere di Beato, di cui tu ti devi occupare. ... Che ne dici, figlia dell'uomo?"""
{f:5:Bernkastel},"""... Ora stai iniziando a parlare la mia lingua."""
,"Quando Featherine schioccò le sue dita, una piccola luce apparve sul tavolo, che era coperto da libri disordinati."
,Lì... giaceva una versione piegata della scacchiera per il gioco di Beato.
,"La Strega dello Spettacolo girò il suo dito in cerchio, e il piano di gioco si aprì da solo, mostrando le pedine nere e bianche posizionate su di esso."
{f:5:Featherine},"""... Il piano di gioco e tutti i pezzi sono sistemati. ... Gli atti di tutti i giochi precedenti sono anch'essi qui."
,"Con un fruscio, il librò sfogliò tutte le sue pagine di propria iniziativa, dal fronte al retro, si chiuse, e voltò al fianco del piano di gioco, dove aspettò. {n}Dentro di esso, erano registrati tutti i movimenti delle pedine durante i precedenti giochi..."
{f:5:Bernkastel},"""... Capisco. Quindi ti manca sia un giocatore che un commentatore..."""
{f:5:Featherine},"""Stiamo anche per finire il tè nero. ... Così come le prugne secche. Ovviamente, ne troverò altre."""
{f:5:Bernkastel},"""... Ok. Se aggiungi anche delle torte di riso alla senape, allora siamo d'accordo."""
{f:5:Featherine},"""Le negoziazioni sono concluse."""
{f:5:Bernkastel},"""Ho una condizione."""
{f:5:Featherine},"""Oh, e qual è?"""
{f:5:Bernkastel},"""Io sarò la Lettrice, giusto...? Io non ho amore, quindi un po' di cose potranno essere interpretate in maniera strana. ... Tuttavia, la Lettrice è libera di leggere le cose nella maniera e con l'intonazione che lei sceglie."""
{f:5:Featherine},"""Io voglio solo controllare le risposte. ... Non mi interessa particolarmente la storia di per sé. ... Non sono profondamente interessata a che tipo di storia creerai. ... Ah, sì. Ora capisco a cosa stai mirando."""
{f:5:Bernkastel},"""... Accetterai quella condizione?"""
{f:5:Featherine},"""Molto bene... io voglio conoscere la risposta. Tu hai il tuo rancore di cui preoccuparti. Le negoziazioni sono concluse."""
,"Quando Featherine schioccò le sue dita ancora una volta... una larga sedia apparve, come se stesse invitando Bernkastel a sedersi lì."
,Si abbinava orribilmente con l'arredamento di questa stanza... un trono.
,"Un attimo, io questo l'ho già visto. ... Questo è-"
{f:5:Featherine},"""Io lo consento. Tu puoi sederti. Sei tu la Game Master."""
{f:5:Bernkastel},"""... Ne sei sicura? ... Ne sei davvero... sicura...?"""
{f:5:Featherine},"""Puoi creare qualsiasi tipo di storia preferisci per soddisfare il tuo astio. {n}Io non sono interessata. Tuttavia, ho anche io una condizione. ... Rispondi a tutte le domande che chiedo. Non devi nascondere niente, nessun occultamento o trucco."""
{f:5:Bernkastel},"""Heh... heheheheheheheheheh...! Lascia fare a me. Dilaniare il petto e tirare fuori le interiora è la mia specialità. ... Dopotutto, mi hai allenata tu."""
{f:5:Featherine},"""Prepariamo del tè nero. ... Useremo le nostre mani, non la magia. {n}Lascia che la padrona offra del tè alla sua miko..."""
{f:5:Bernkastel},"""La vecchia Beato mi disse che le streghe sono le migliori con cui godersi un tè nero."""
{f:5:Featherine},"""Sembra che non corrispondiamo a quella descrizione... heh... heheheheheheheheheheheheheheheh."""
,"... Ad un certo punto... quel piatto colmo di biscotti... era stato ancora una volta coperto da una montagna di carne dilaniata e schizzi di sangue. No, non solo carne... anche le viscere..."
{f:5:Featherine},"""... Il tè nero si gode al meglio-"""
,"""""Con i tuoi compagni mostri."""""
{f:5:Bernkastel},"""... In questo caso, prepariamo le pedine. Se contiamo, questo sarà il gioco numero 7, giusto?"""
{f:5:Featherine},"""Corretto. Un numero adatto."""
{f:5:Bernkastel},"""Adatto per Beato intendi, giusto?"""
,Bernkastel lentamente prese una pedina nera.
,Era... quella che rappresentava Beatrice.
,"Qualche volte era un re, qualche volta una regina, e poteva diventare un cavallo."
,"... Tuttavia, quello solo se fosse stata promossa. Fino ad allora, era solo una pedina pezzente, come il pedone."
,"Prima di tutto si posizionano le pedine. A questo punto, il gioco della strega è già iniziato."
,Bernkastel prese la pedina di Beato e la sollevò in alto.
{f:5:Bernkastel},"""Prima mossa, posizionamento. Beatrice in d8."""
