Speaker,Russian (RU)
Ushiromiya Eva,"""Жить ему осталось месяца три. Разве не так вы говорили в прошлом году, доктор Нанджо?"""
Nanjo Terumasa,"""......Я... я говорил лишь о том, что выяснил из всестороннего анализа его физического состояния на тот момент. В результате, и в этом году не исключено..."""
Ushiromiya Rudolf,"""Несмотря на то, что отец вряд ли протянет до конца этого года, он всё ещё с энтузиазмом погружён в свои оккультные исследования. И при всём этом, ему осталось лишь три месяца, доктор?"""
Nanjo Terumasa,"""К‐как я уже сказал, Кинзо‐сан..."""
Ushiromiya Krauss,"""Разве не чудесно, что наш многоуважаемый отец всё ещё не пал духом? Из уважения к родителям вы все жаждете повидаться с ним. Потому не можете смириться с тем, что такой возможности нет."""
Ushiromiya Natsuhi,"""...Учитывая, что вы все нацелены на разговор о наследстве ещё до захода солнца, сомневаюсь, что вы и правда хотите увидеть отца."""
Ushiromiya Rosa,"""Т‐ты ошибаешься, Нацухи нее‐сан. ......Мы всего лишь, м‐м‐м..."""
Ushiromiya Rudolf,"""Отец не бессмертен и, {i:рано или поздно}, он умрёт. Мы не желаем ему смерти. Мы лишь говорим, что {i:этот день} когда‐нибудь настанет и лишь вместе обсуждаем, как к нему подготовиться."""
Ushiromiya Natsuhi,"""Это как раз и есть проявление неуважения!"""
Ushiromiya Krauss,"""Прекрати. Ты лишь обостришь свою головную боль."""
,"Обратился Краусс к Нацухи, взволнованно вскочившей со стула, тем самым попросив её сесть."
,"Пытаясь сгладить атмосферу подозрения, внезапно заполнившую помещение, Хидэёши натянуто улыбнулся и предложил всем успокоиться."
Ushiromiya Hideyoshi,"""......Нацухи‐сан, не пойми превратно. Говорят, что за собой всегда нужно убирать, так ведь? Мы всего лишь говорим о том, как будем провожать его. Мы обсуждаем это, чтобы проводить отца с честью и без грязи, когда придёт его время отправиться в последний путь."""
Ushiromiya Krauss,"""Ха‐ха‐ха... Это так похоже на тебя, Хидэёши‐сан. Из твоих уст одни и те же мысли звучат намного интеллигентнее."""
Ushiromiya Eva,"""Да уж. Чего, однако, не скажешь про тебя, нии‐сан."""
Ushiromiya Rudolf,"""Хватит. Так мы ничего не добьёмся. .........Вот о чём мы и говорим, Аники. Мы просто можем забыть обо всём этом наследстве. Не страшно, даже если отец ударит нас."""
Ushiromiya Rudolf,"""Короче говоря, мы хотим поздороваться с отцом при личной встрече. Даже если он говорит, что не хочет этого. Если он заперся в своем кабинете, мы не постыдимся позаимствовать ключ у Генджи‐сана. Так ведь, Роза?"""
Ushiromiya Rosa,"""О... Ну, м‐м‐м... не то, чтобы мы вас заставляли... Просто... мы уже так давно не виделись с отцом."""
Ushiromiya Rosa,"""Если ему действительно осталось немного, есть вероятность, что мы никогда его больше не увидим.........Сегодняшний день может оказаться нашей последней возможностью поговорить с отцом..."""
Ushiromiya Eva,"""Всё в точности, как говорит Роза. Если ему осталось всего три месяца, то его смерть, которая может наступить в любой момент, не будет чем‐то странным, не так ли?"""
Ushiromiya Eva,"""Не хочешь ли ты сказать, что, несмотря на всё это, у нас нет даже права поговорить с ним в последний раз? ......Независимо от обстоятельств, не слишком ли это?.."""
Ushiromiya Natsuhi,"""......Вы смогли бы встретиться с отцом, если бы тема, которую вы хотите обсудить, была на самом деле так тривиальна."""
Ushiromiya Natsuhi,"""Однако отец уже знает, что за непочтительную тему вы хотите поднять! Никто не захочет вас видеть при таких обстоятельствах. Причина, по которой вы не сможете увидеть отца — ваше собственное поведение и ничего более, ясно?"""
Ushiromiya Krauss,"""Хе‐хе. Именно. Думаю вы понимаете, почему отец не хочет видеть ваших улыбок, зная, что за ними скрыто. Он в курсе вашего плачевного финансового состояния."""
Ushiromiya Eva,""".........О чем ты говоришь? ...Я не понимаю, что ты имеешь в виду, нии‐сан."""
Ushiromiya Krauss,"""Хе‐хе‐хе‐хе! Думаете, я не знал о состоянии каждого из вас?.."""
,"Ева и остальные поняли, что он знает об их текущей нехватке средств и, то блефуя, то возвращаясь к главной теме разговора и споря, они продолжали давить на Краусса, чтобы тот позволил им встретиться с Кинзо."
,"...Сладкий запах чёрного чая, специально купленного Розой, пропал впустую."
,"Единственное, чему она была сейчас рада, так это тому, что дети не присутствуют при всём этом."
,"......То, что они ушли играть на пляж сразу после обеда, было их единственным спасением."
