Speaker,Russian (RU)
,Фигура Баттлера виднелась в обеденном зале.
,"Ему не хотелось возвращаться в домик для гостей под таким дождём. Он вяло слонялся по особняку в поисках места, где он мог бы расположиться... и в конце концов превратил обеденный зал в свою крепость."
,Он даже не заперся.
,"Он думал, что, возможно, теперь, когда он отделился ото всех, бесформенный убийца или Золотая Ведьма придут, чтобы убить его, но он больше не думал о противостоянии преступнику."
,"Напротив, у него не возникло даже желания воспользоваться замком, чтобы удержать преступника.{n}Он хотел, чтобы тот человек пришёл к нему открыто, лицом к лицу."
,"...Окажись это убийца, он подумывал попросить его рассказать об этих невероятных фокусах с закрытыми комнатами в качестве прощального подарка."
,"Окажись это ведьма, думал он, то она хотя бы отнимет его жизнь своей удивительной магией."
,"......Однако, какая ирония, ни один из них не пришёл встретить Баттлера..."
,"Баттлер открыл бар и от души наслаждался спиртным.{n}Нигде больше не осталось никого, кто возмутился бы тем, что он распивает алкоголь."
,"Он смело водрузил обе ноги на изысканную скатерть и смаковал высококачественные спиртные напитки, вероятно стоившие сумасшедшие деньги, прямо из горла каждой бутылки..."
,В этот момент... кто‐то постучал.
,"Баттлер понял, что кто‐то наконец пришёл поприветствовать его..."
Ushiromiya Battler,"""Э‐эй, не заперто. Кем бы ты ни был, прошу, заходи. И представься, пожалуйста. Если ты — человек, назови своё имя. Если ты — {f:5:Беатриче}, скажи мне три своих размера."""
Ushiromiya Battler,"""Хоть у меня и такой вид, но я хорошо известен как человек, знающий толк в женских грудях, знаешь ли."""
Ronoue Genji,""".........Это Генджи, Баттлер‐сама."""
Ushiromiya Battler,"""...Генджи‐сан, значит. ......Прости, но размер твоего бюста меня не интересует. Ты можешь войти. Тут не заперто."""
Ronoue Genji,""".........Я извиняюсь."""
,Генджи‐сан открыл дверь и поклонился.
,".........Стало быть, Генджи‐сан всё‐таки был преступником... или, может быть, сообщником? ......Эта теория, возможно, объяснила бы большую часть хитростей..."
Ushiromiya Battler,"""Ты пришел, чтобы воздать мне последние почести?"""
Ronoue Genji,""".........Ничего подобного. .......Простите, если я вас потревожил."""
Ushiromiya Battler,"""...Эй, эй, извиняться, даже не говоря, чего ты хочешь, вообще‐то достаточно жутко. ...Чего ты хочешь? ...Пожалуйста, хоть в самом конце, позволь мне делать что пожелаю."""
Ronoue Genji,""".........Баттлер‐сама, вы хотите провести то немногое время, что вам отпущено перед смертью, в столь ленивой манере?"""
,Его слова поразили меня...{n}......Это было не так.
Ushiromiya Battler,"""............................... А что ещё мне остаётся делать? ......Я готов к смерти в любое время..."""
Ronoue Genji,"""......Вы так похожи на господина. Действительно, кровь гуще всего в вас..."""
Ushiromiya Battler,"""Хочешь сказать, что дедушка в свой бурный век каждый день был готов к смерти?.. Это что‐то новое."""
Ronoue Genji,""".........После некоторых печальных событий, жизнь господина... свелась к одному лишь искуплению."""
Ushiromiya Battler,"""...Что тебе известно?"""
