Speaker,Russian (RU)
,"Кузены шли вдоль пляжа, играя."
,"Они искали стекляшки, отшлифованные волнами и ставшие маленькими жемчужинами.{n}Делились новостями из жизни и шутили."
,Писали слова на песке.{n}Гнались за отступающими волнами и убегали от наступающих.
,Кузены весело проводили время.
Ushiromiya Battler,"""Вернись, Мария! На этот раз ты так легко не отделаешься! Ва‐ха‐ха‐ха!"""
Ushiromiya Maria,"""Кья‐ха‐ха‐ха‐ха‐ха! Ни за что, нет, кья‐ха‐ха‐ха!"""
Ushiromiya George,"""Вы поранитесь, если упадёте. Осторожнее."""
Ushiromiya Jessica,"""Ветер вроде стал сильнее. Скоро надо будет возвращаться."""
Ushiromiya George,"""Ты права. И небо заволакивает облаками. .........Баттлер, Мария! Уже пора сворачиваться и возвращаться в домик для гостей."""
Ushiromiya Maria,"""У‐у? Ни за что! Я хочу ещё поиграть!"""
Ushiromiya Battler,"""Эй, не игнорируй своего кузена. Ладно, закончим на этом. Вот, отдаю тебе свою стекляшку."""
Ushiromiya Maria,"""У‐у! Правда?! Спасибо, Баттлер! Теперь у меня больше всех, так что я победила! У‐у, у‐у, у‐у!"""
Ushiromiya Jessica,"""Энджи, всё хорошо?"""
Ushiromiya Ange,"""......Да."""
Ushiromiya Battler,"""Что такое, Энджи? Выглядишь расстроенной."""
Ushiromiya George,"""Просто она вымоталась. Давайте возвращаться."""
,"Да, выражение Энджи выглядело усталым.{n}Но один Баттлер увидел в нём что‐то ещё."
Ushiromiya Battler,"""Что случилось? Может, скажешь мне?"""
Ushiromiya Ange,"""......Ничего."""
,"Несмотря на её слова, что‐то в её выражении давало понять, что она почему‐то недовольна."
,"Энджи не сказала, в чём дело, а Баттлер не понимал и не мог предположить."
,"Он сжал её руку, молча давая ей понять, что она может сказать ему в любое время, когда будет готова..."
,Хотя ещё недавно этот день казался таким ярким и солнечным...
,"Небо посерело, а ветер начал больше раздражать, чем освежать."
,Вскоре они могут попасть и под рассеянные дождевые капли.
Ushiromiya Jessica,"""Наверняка теперь дождь будет лить не переставая. Вот скука."""
Ushiromiya George,"""Но было весело снова побыть ребёнком, пусть даже недолго."""
Ushiromiya Maria,"""Не терпится показать маме эту стекляшку! Я скажу ей, что победила!"""
Ushiromiya Battler,"""Ихи‐хи. Хотя ты победила только потому, что я отдал тебе свою."""
Ushiromiya Maria,"""У‐у! Она у меня, а значит, моя! Поэтому я победила! У‐у, у‐у, у‐у!"""
,"Энджи шла рассеянно, волочась за братом."
,"Джордж и остальные посчитали, что она слишком рано проснулась и устала, поэтому особо с ней не разговаривали."
,"Как только они дошли до конца лесной дорожки, перед ними раскинулся розарий.{n}Они видели, как сильный ветер раскачивает кусты роз."
Ushiromiya Maria,"""Мама! Смотри! Я победила!"""
,"Мария с криком побежала вперёд, размахивая руками.{n}Роза махала им, стоя перед домиком для гостей."
Ushiromiya Jessica,"""Я вернусь в свою комнату на секунду. Сразу после этого встретимся в комнате кузенов."""
Ushiromiya George,"""Ладно, понял. Тогда увидимся позже."""
,Джессика побежала к особняку.
,"Джордж обернулся, словно говоря, что им лучше поторопиться."
,"Но увидев, как Энджи стоит на месте по‐прежнему с раздражительным взглядом, он понял, что ей что‐то могло испортить настроение."
Ushiromiya George,"""......Всё в порядке?"""
Ushiromiya Battler,"""Д‐да, с ней всё хорошо. Извини, но ты не мог бы пойти вперёд?"""
Ushiromiya George,"""Конечно, понял. Увидимся позже."""
,Джордж направился к домику для гостей.
,"В розарии остались только Баттлер, машущий Джорджу...... и Энджи, которая всё смотрела в землю, держа Баттлера за руку."
,"Последние несколько минут он неоднократно спрашивал у Энджи, в чём дело."
,"Он понял, что ей испортила настроение уж точно не боль в животе или нечто очевидное."
,"Но девочки часто расстраиваются по причинам, которые понятны только им."
,"Баттлер знал, поэтому никак не торопил её и продолжал рассматривать прекрасный розарий, держа её за руку."
Ushiromiya Ange,"""............Братик."""
Ushiromiya Battler,"""......Что?"""
Ushiromiya Ange,"""Что...... это за место?"""
,"Спросила она, будто говоря о чём‐то по другую сторону киноэкрана."
,"Баттлер прикинулся дураком, хоть и понял, что означает этот вопрос."
Ushiromiya Battler,"""Что за место? Роккенджима."""
Ushiromiya Ange,"""Ошибаешься."""
Ushiromiya Battler,"""Нет, не ошибаюсь."""
Ushiromiya Ange,"""Каким местом это Роккенджима?"""
