Speaker,Russian (RU)
Ushiromiya Lion,"""Уиллард пришёл."""
Willard H. Wright,"""............"""
,Кинзо и Генджи были в почётной комнате.
,"Кинзо сидел в кресле с закрытыми глазами, словно в беспокойном сне."
Ronoue Genji,"""......Господин. К вам пришёл гость."""
Ushiromiya Kinzo,"""............Н‐н."""
,Кинзо медленно открыл глаза.{n}......Его глаза были красными от слёз.
,Они медленно обратились на Уилла.
Ushiromiya Kinzo,"""......Я... Уширомия Кинзо."""
Ushiromiya Lion,"""......Уилл."""
Willard H. Wright,"""Уиллард. Примите мои соболезнования."""
Ushiromiya Kinzo,"""......Так ты приехал на похороны {f:5:Беатриче}. ......Кто ты?"""
Willard H. Wright,"""Никто. Я ни с кем здесь не связан. Особо не задумывайтесь об этом. Только заработаете головную боль. ......Oй."""
Ushiromiya Lion,"""Попрошу вас осторожнее подбирать слова."""
Ushiromiya Kinzo,"""......Хмф, какой странный гость. И? Какое у тебя ко мне дело?"""
Willard H. Wright,"""Я хочу спросить о Беатриче."""
Ushiromiya Kinzo,"""Что?.."""
,Взгляд Кинзо стал резче.
,Ну зачем было говорить так прямолинейно?
Ushiromiya Kinzo,"""Почему ты спрашиваешь? Ты никто и всё же хочешь узнать о Беатриче? Какова твоя цель?"""
Willard H. Wright,"""Я никто и именно поэтому могу открыто выслушать и записать вашу историю. Вы в недалёком будущем покинете этот мир. Если вы умрёте, ничего не рассказав о Беатриче, ваши дети приукрасят её любой историей, какая им понравится, и вот что останется в их воспоминаниях."""
Ushiromiya Kinzo,"""Пф, ха‐ха‐ха‐ха‐ха‐ха! Развеселил ты меня, юноша. Думаешь, что можешь написать за меня моё завещание?!"""
Ushiromiya Kinzo,"""Но тебя это не касается. Беатриче только моя. Кто бы что ни говорил, никому не осквернить меня и эту историю. Их слова не имеют значения! Как бы Краусс и другие ни искажали её, меня это не заденет и не ранит."""
Ronoue Genji,"""......Мистер Уиллард. Господин не любит завещания. Он не из тех, кто бросает всё ещё при жизни."""
Willard H. Wright,"""......Возможно. Я подумал, что это на вас не похоже."""
Ushiromiya Kinzo,"""Нас делает людьми умение бороться, пока мы живём! Думаешь, я так скоро опущу руки и оставлю завещание? До чего смехотворный абсурд!"""
Willard H. Wright,"""Да, вот что больше на вас похоже. ......Не в вашем стиле просить написать о прошлом лишь потому, что вы вскоре можете умереть."""
Ushiromiya Lion,"""......Мы знаем, как сильно ты любил Беатриче. Для нас ты идеал, достойный уважения, и пример для подражания в каждом аспекте нашей жизни."""
Ushiromiya Lion,"""Направь наши блуждающие души и расскажи нам, как сильно ты её любил, дедушка, как смог выжить благодаря её любви. ......Могу я попросить тебя направить нас, показав нам силу этой любви?.."""
Willard H. Wright,"""А у тебя хорошо получается."""
Ushiromiya Lion,"""Ты сам виноват в своей бестактности."""
Ushiromiya Kinzo,"""Юноша. Что ты знаешь о Беатриче? Невежественный и вовсе не стал бы проявлять интерес. Раз тебе известно имя Беатриче, ты не невежественен и всё же как‐то связан."""
Willard H. Wright,"""Верно. ......Беатриче, о которой я знаю, — это та, кого вы любили и встретили ещё до того, как на Роккенджиме построили особняк. Однако она покинула этот мир, оставив после себя дочь. Ту девочку, которую вырастили в Кувадориане."""
Ushiromiya Kinzo,"""......Хо."""
Ronoue Genji,"""Мистер Уиллард. На Роккенджиме нет здания, известного как Кувадориан."""
Ushiromiya Lion,"""......Это название, Кувадориан... Оно упоминалось и в нашем разговоре с тётей Розой. ......Что это?"""
Willard H. Wright,"""У тебя уже должно быть представление. Так называется скрытый особняк в глубине леса, где жила дочь его любовницы."""
Ushiromiya Kinzo,"""Интересно. ......Так тебе и вправду известно название Кувадориан. ......Продолжай. Ты разжёг мой интерес."""
,Кинзо пожал плечами и ухмыльнулся......
Willard H. Wright,"""Та, кто жила в Кувадориане, была дочерью Беатриче, но вы так не считали."""
Ushiromiya Kinzo,"""Хo. ......Тогда кем я её считал?"""
Willard H. Wright,"""Когда в Кувадориан пришла Уширомия Роза, Беатриче рассказала ей о себе. ......В этом разговоре она называла вас по имени. И точно так же когда она говорила с вами напрямую."""
Willard H. Wright,"""Хотя она сказала, что считает вас отцом, она не называла вас так. ......Либо сама не называла, либо ей не разрешали. Это может означать только одно."""
Ushiromiya Kinzo,"""И что же?.."""
Willard H. Wright,"""Перевоплощение. Вы не считали свою дочь ребёнком, оставленным Беатриче. Вы верили, что покойная Беатриче возродилась в новом теле. ......Генджи. Однажды ты заявил перед Нацухи и другими членами семьи, что у Кинзо и Беатриче не было ребёнка."""
Ronoue Genji,"""......Не помню, чтобы я это говорил."""
,"Конечно, Генджи *этой игры* вряд ли помнит."
,"Но ближе к концу первой игры, когда все выжившие собрались в кабинете Кинзо..."
,"Генджи спросили, был ли у Кинзо и Беатриче ребёнок, и он опроверг это, сказав, что не слышал ни о чём подобном."
Willard H. Wright,"""Ложь, но в некотором смысле идеальный ответ для приближённого Кинзо. ......Ведь в глазах Кинзо она была не дочерью, а перевоплощением {i:Беатриче}."""
Ushiromiya Lion,"""Уилл!.. Не знаю, о чём ты говоришь, но я не позволю тебе оклеветать главу семьи!"""
Willard H. Wright,"""Это не клевета, а рассуждение. ......Но я понимаю сердце. В ваших глазах Беатриче была той, кого вы любили больше всех. Она осталась такой даже после смерти, навеки, нисколько не померкнув."""
Willard H. Wright,"""Сомневаюсь, что вы считали её перевоплощением Беатриче уже с момента её рождения. Но неудивительно, если вы постепенно начали думать, может ли этот ребёнок с голубыми глазами и прекрасными светлыми волосами, напоминающий вам юную Беатриче, быть её перевоплощением."""
Ronoue Genji,"""............Господин. Мне?.."""
,'Мне выпроводить отсюда этого грубого юношу?' — спросил у Кинзо Генджи.
,"Кинзо молча опустил голову, будто вспомнив что‐то из своего прошлого."
Willard H. Wright,"""Ваша дочь выросла в прекрасную девушку и стала почти точной копией матери. Наверное, вы были в восторге. Но вряд ли вас всё устроило. ......В конце концов, хотя для вас она была перевоплощением Беатриче, сама она так не думала."""
Ushiromiya Kinzo,"""......Откуда тебе знать?"""
Willard H. Wright,"""Всякий раз, когда её называли Беатриче, ей было неуютно — казалось, что что‐то не к месту. ......Люди никогда не чувствуют ничего странного в имени, которое им было дано в момент рождения. Однако у неё было такое чувство. А значит, она понимала, что имя 'Беатриче' не её."""
,"В Кувадориане она спрашивала и Кинзо, и Розу о том, кто она."
{f:5:Beatrice},"""Кто я? ......Все называют меня {f:5:Беатриче}. ...Как ты и говоришь, так зовут великую ведьму."""
{f:5:Beatrice},"""......Но это не я. Я не могу колдовать. ......В моём теле просто заперта душа этой ведьмы."""
Ushiromiya Kinzo,"""............Её память... вернулась бы. ......Она однозначно была перевоплощением Беатриче. ......Её память по крупицам возвращалась. Мои магические обряды помогали ей постепенно возвращать воспоминания......"""
Ushiromiya Lion,"""Го... ......господин глава......"""
Willard H. Wright,"""Ничего удивительного. Информация из всех предыдущих игр приводит как раз к такому ответу. ......Высшая {f:5:Беатриче} метафорой сказала, что Кинзо не отпустил душу ведьмы даже после смерти и вместо этого поймал её и запер в теле из плоти. Также она сказала, что были запечатаны её сила и память. Если соотнести её толкование с этой теорией, оно приобретает смысл."""
Ronoue Genji,""".........Мистер Уиллард. Благодаря мощному магическому ритуалу Господин добился перевоплощения госпожи Беатриче в ребёнке. Это неопровержимо."""
Willard H. Wright,"""Я и не опровергаю. И я не намерен подвергать сомнению глубины любви Кинзо к Беатриче. ......Каждый человек сам решает, как выражать свои чувства к ребёнку, который единственное, что напоминает о его матери. Если она всё больше напоминала Беатриче, и любовь Кинзо породила новую, особую эмоцию, это вполне нормальная реакция."""
Ushiromiya Kinzo,""".........По‐твоему, ...ты понимаешь мою любовь?.."""
Willard H. Wright,"""Не мне понимать её, как и опровергать."""
Ushiromiya Kinzo,"""............O‐о‐о...... Беатриче......... Прошу, ...прости меня......"""
,"Кинзо тихо всхлипывал, вытирая слезы..."
,"Из‐за любви он вырастил её, веря, что она перевоплощение Беатриче."
,"Но, быть может...... в глубине души он испытывал угрызения совести, говорящие ему, что он перекладывает свои чувства на ту, кто не Беатриче."
,"И тогда к Беатриче из Кувадориана пришла неожиданная гостья, Роза."
,"Она никак не могла поверить, что она та самая Беатриче, которую любил Кинзо. Она не могла смириться с тем, что не понимала, кто она такая, и хотела сбежать во внешний мир."
,И тогда......... она упала с обрыва... и умерла.
Willard H. Wright,"""Генджи тихо разобрался со смертью, о которой общественность не должна была узнать."""
Ronoue Genji,"""............"""
Willard H. Wright,"""Похороны не для мёртвых. ......Они нужны для того, чтобы живые могли разорвать свои связи с покойным. ......Вы не могли провести их, потому это и кровоточило внутри вас."""
Ushiromiya Kinzo,"""......Беатриче......... о‐о‐о‐о‐о......"""
Ushiromiya Lion,"""Де... ......дедушка........."""
Willard H. Wright,"""Вы потеряли дочь своей возлюбленной...... нет, вы потеряли Беатриче во второй раз. Вы не могли позволить этой печали выйти наружу и держали её взаперти в своём сердце. ......В конечном счёте она загноилась и обратилась в безумие. Вот что привело к вашему аномально сильному интересу к оккультизму в последующие годы."""
Ushiromiya Kinzo,"""О‐о‐о‐о‐о‐о! Беатри‐и‐и‐и‐иче, Беатри‐и‐и‐и‐иче! Почему?!! Почему ты покинула меня дважды?! Твоя улыбка, твои глаза, эти прекрасные волосы... ......Хотя я обнимал их дважды, почему ты умерла во второй раз?!"""
Ushiromiya Kinzo,"""Вот как...... как я......... о‐о‐о‐о‐о, о‐о‐о‐о‐о‐о‐о‐о... о‐о..."""
,Кинзо уже даже не сдерживал рыдания.
,"То он в тоске почёсывал голову, то смотрел вверх, как оперный певец."
,"Кинзо снова и снова кричал, повторяя имя Беатриче......"
,В этот момент дверь тихо закрылась.
,"......Когда они повернулись, она уже стояла там.{n}Пришла Кумасава."
Kumasawa Chiyo,""".........Если они уже столько знают, почему бы не рассказать им остальное?.."""
Ronoue Genji,"""......Если они столько знают, думаю, больше говорить не о чем..."""
Kumasawa Chiyo,"""Нет, нам нужно рассказать им. Как женщина...... я всегда считала, что душа Беатриче Кувадориана — история, которая должна быть рассказана. И появился тот, кто достоин услышать. Мне кажется, пора рассказать всё, ничего не утаивая."""
Ronoue Genji,"""............"""
Ushiromiya Lion,"""Кумасава, вы что‐то знаете? О Беатриче......"""
Willard H. Wright,"""Конечно знает. ......В четвёртой игре капитан парома дал показания, согласно которым Кумасава ездила в Кувадориан. Наверняка она в разные смены работала то на особняк, то на Кувадориан. Нужно было заботиться о девочке. Кумасава с её долгим опытом ухода за детьми должна была иметь огромный опыт."""
Kumasawa Chiyo,""".........Верно. Меня даже можно назвать её кормилицей."""
Ushiromiya Lion,"""Не может быть...... ......Поверить не могу. ......Так...... Уилл говорит правду?"""
Kumasawa Chiyo,"""......Да. Это факт. ......На противоположной стороне острова был построен скрытый особняк для госпожи Беатриче. Кувадориан действительно существует."""
Willard H. Wright,"""Я не знаю, когда Кинзо женился на своей официальной жене, но уже нажив огромное состояние и купив Роккенджиму, он построил два особняка и наладил две отдельные жизни."""
,Дети Кинзо тоже знали о его тайных чудачествах в то время.
,"Скорее всего, было нелегко наладить две жизни.{n}К тому же, жена Кинзо всё время что‐то подозревала и вынюхивала..."
Kumasawa Chiyo,"""Господин оставался в Кувадориане сколько позволяло время. Иногда он притворялся, что уезжал по делам, и оставался там на несколько дней, дорожа временем, которое проводил с госпожой Беатриче. ......Это были не просто отношения отца и дочери. Порой можно было мельком разглядеть его сильную, трогательную любовь к покойной госпоже Беатриче."""
Willard H. Wright,"""Звучит так, словно он иногда относился к ней... как к замене Беатриче."""
Kumasawa Chiyo,"""Oхo. Если это так прозвучало, я прошу прощения. ......Госпожа Беатриче приняла любовь своего отца. Но я не отрицаю, что иногда ей приходилось выносить любовь, которую она не понимала."""
,"Кумасава сказала так, словно упрекала Кинзо."
,"Как мать, вырастившая много детей, она, наверное, заметила, что любовь Кинзо часто была ошибочной."
,"Но чем больше его дочь напоминала свою покойную мать, тем больше искажалось его сердце......"
,"Из‐за его глубокой любви оно очень, очень...... исказилось......"
Ushiromiya Kinzo,""".........Ты вправе ругать меня, друг мой. .........Я понимаю. Моя любовь вечна и бессмертна. ......Но я должен признать, что... излил её... не на того человека......"""
Ushiromiya Lion,"""......Дедушка......... Погоди...... неужели..."""
Kumasawa Chiyo,"""Лион. Все люди в этом мире связаны друг с другом. Даже если они не замечают, всегда есть некая связь. Эти связи...... окутывают людей и сводят их друг с другом."""
Ushiromiya Lion,"""Не может быть......... .........Дедушка........."""
,"Так же, как сделал Кинзо, Лион вытирает слёзы и опускает взгляд."
,Правда оказалась слишком большим потрясением...
Kumasawa Chiyo,"""......Господин. Не пора ли рассказать?"""
Ushiromiya Kinzo,"""..................Вот как. Время наконец пришло...... друг мой."""
Willard H. Wright,"""Пока вы не расскажете, ничто из правды не прояснится."""
Ronoue Genji,""".........Господин. ......Я считаю, что они имеют право знать."""
Ushiromiya Kinzo,"""Знаю. Быть может, в день этих фальшивых похорон Беатриче с небес даёт мне шанс искупить вину... ......Простите, что не рассказал раньше."""
,"Глубоко вздохнув, Кинзо наконец опустил руки, закрывавшие лицо, и посмотрел на них красными глазами."
Ushiromiya Kinzo,"""............"""
Ushiromiya Lion,"""......Дедушка..."""
Ushiromiya Kinzo,"""Ты тоже выслушай, Лион. ......Гость. Уиллард, так?"""
Willard H. Wright,"""Да."""
Ushiromiya Kinzo,"""......Спасибо, что дал мне шанс рассказать правду, пока я ещё могу. ......Ты, безусловно, посланник с небес, отправленный Беатриче... ......Прими мою благодарность......"""
Willard H. Wright,"""Благодарите не Беатриче, а одну ведьму. ......Впрочем, они обе ведьмы..."""
Ushiromiya Kinzo,"""Хмф...... неважно. Мне дали шанс. Этого достаточно. Спасибо, Уиллард."""
,Кинзо медленно встал и протянул правую руку.{n}Предлагал пожать руки.
,"Должно быть, так он выражал признательность..."
,Уилл ответил.{n}Две руки плотно сжали друг друга.
,И тогда...... из просвета между ними полился яркий свет.
Willard H. Wright,"""............Н‐н‐"""
,"Уиллу показалось, будто в его ладонь впилось нечто размером с зерно."
,"...Это была та сила, которую дала ему {f:5:Бернкастель}."
,Свет становился всё ярче.
,"Но, судя по всему, Кинзо и остальные его не видели."
Ushiromiya Kinzo,"""......Теперь я расскажу. Я встретил Беатриче, ......Беатриче Кастильони... незадолго до конца войны. Она приехала из‐за моря......"""
,"""............"""
Willard H. Wright,"""......Ты... Кинзо?"""
Ushiromiya Lion,"""Так дедушка выглядел в прошлом. Мне доводилось видеть фотографии. ......Но как..."""
Willard H. Wright,"""Это сила театрала, которую дала мне {f:5:Бернкастель}. ......Не пытайся понять."""
Ushiromiya Lion,"""Только заработаю головную боль?"""
Willard H. Wright,"""А ты привыкаешь."""
,"Однажды Генджи сказал Баттлеру, что тот похож на Кинзо в молодости."
