Speaker,Russian (RU)
Ushiromiya Eva,"""Кто даст нам головоломку следующим?"""
Ushiromiya Ange,"""Как насчёт тех двоих?"""
Ushiromiya Eva,"""Шаннон и Канон? Да, должно быть здорово."""
Shannon,"""Госпожа Ева, госпожа Энджи, вам что‐нибудь нужно?"""
Kanon,"""......Не глупи, сестра. Они спрашивают у нас загадки."""
Shannon,"""А, п‐прошу прощения."""
,Шаннон была как никогда рассеянной.
,"Но Канон выглядел чрезвычайно спокойным и, вероятно, уже приготовил безупречную загадку."
Shannon,"""Э‐э, ух‐х........."""
Kanon,"""......Эх. Хорошо, я начну первым. А сестра пока придумает головоломку."""
Shannon,"""Ла... ладно. Извини..."""
Kanon,"""И раз я выигрываю время, пока сестра придумывает загадку, придётся сделать её достаточно хитрой, чтобы ненадолго загнать вас в тупик."""
Ushiromiya Eva,"""Эхе‐хе‐хе‐хех, а ты храбрец. Ну что, начнём? Дай нам самую трудную!"""
Ushiromiya Ange,"""Не провоцируй его! Я хочу простую!"""
Kanon,"""Раз госпожа Ева разрешила, позвольте представить вам безумно сложную головоломку."""
Ushiromiya Eva,"""Положись на меня. Я её разгадаю!"""
Ushiromiya Ange,"""Число монет не только очень разное, но и странное."""
Ushiromiya Eva,"""Подожди секунду, Канон! О чём ты думаешь?! Она же ни за что не поймёт эту загадку!"""
Kanon,"""Простите, я просто выигрываю время, пока сестра придумывает вопрос."""
Shannon,"""С‐спасибо!.. Я придумала!.."""
Kanon,"""......Понял. Что ж, госпожа Ева, госпожа Энджи. Я дам вам подсказку. .........Медь — 29, серебро — 47, а золото — 79. Вот подсказка."""
Ushiromiya Ange,"""То же самое, что ты сказал в вопросе!.. Это не подсказка!"""
Ushiromiya Eva,"""......Медь — 29? Серебро — 47??? .........О, так вот оно что!"""
Ushiromiya Ange,"""Э? Ты поняла?! Я тоже! Платина лучше золота, поэтому приз должен быть больше 79 монет!"""
Ushiromiya Eva,"""Неверно. С такими правилами платиновый приз может стоить меньше золотого. Так ведь?"""
Kanon,"""......Как вы и сказали. Вижу, вы уже догадались."""
Ushiromiya Eva,"""Для Энджи эта головоломка невозможна. Нужно быть, по крайней мере, в средней школе. Я отвечу! Ничего, Энджи?"""
Ushiromiya Ange,"""Д‐да. Оставляю это тебе!.."""
Kanon,"""Неверно."""
Ushiromiya Eva,"""А‐а‐а‐а‐а, извини, я напортачила! Надо было серьёзнее воспринимать химию!"""
Ushiromiya Ange,"""В смысле? Не понимаю."""
Ushiromiya Eva,"""Количество золотых монет — атомный номер каждого элемента. Медь — 29, серебро — 47, золото — 79. Я не помню номер платины!.."""
Ushiromiya Ange,"""Ничего не понимаю."""
Ushiromiya Eva,"""Ты! Какой вопрос ты задал Энджи?! Больше думай, придумывая головоломки!"""
Kanon,"""Вы разрешили мне дать ей самую трудную."""
Ushiromiya Ange,"""......Точно. Ты сама сказала. Вот почему нам дали загадку, которая для меня оказалась слишком трудной."""
Ushiromiya Eva,"""Н‐нгх‐х‐х‐х!.. П‐...... прости, Энджи..."""
,"Поморщившись, тётя Ева стиснула руки."
,"Было слишком сложно, и я ничего не поняла......"
Kanon,""".........Правильно."""
Ushiromiya Ange,"""Здорово, тётя Ева! Почему?! Почему 78?! Если платина лучше золота, почему на золото монет больше?!"""
Ushiromiya Eva,"""Количество получаемых монет везде совпадает с атомным номером приза. Медь — 29, серебро — 47, а золото — 79. И кстати, платина — 78. Поэтому за платиновый приз получаешь 78 монет."""
Ushiromiya Ange,"""Тё‐...... тётя Ева, ты невероятна!"""
,"Папа однажды сказал мне, что тётя Ева училась с энтузиазмом и была очень‐очень умной даже в школе."
,"Даже братик Джордж — её сын — умный, так что она должна быть невероятна."
Ushiromiya Eva,"""И всё же, ты выбрал ужасную загадку. Дал бы Энджи хотя бы ту, которую она могла бы понять."""
