Speaker,Russian (RU)
,Трагедия первых сумерек была обнаружена в 6:00 утра на следующий день.
,"Проснувшись, чтобы приготовить завтрак, Года пошёл проверить взрослых братьев и сестёр, которые с прошлой ночи были в столовой на семейном собрании."
Ushiromiya Battler,"""Расскажите об обнаружении преступления."""
Gohda Toshiro,"""{p:42:Столовая была заперта}. Да, на двери столовой есть замок, но она обычно остаётся не заперта. Я постучал, однако никто не ответил..."""
Kumasawa Chiyo,"""{p:42:Тогда появилась я}. Я посоветовала ему на всякий случай отпереть дверь."""
Gohda Toshiro,"""Когда {p:42:я отпер дверь универсальным ключом}, внутри меня ждало страшное зрелище......"""
Kumasawa Chiyo,"""{p:42:Госпожа Ева, господин Хидэёши, господин Рудольф, госпожа Кирие, госпожа Роза и Генджи — всего шесть человек — лежали там все в крови......}"""
Ushiromiya Krauss,"""Поднялась паника. {p:42:Все собрались в столовой}."""
Ushiromiya Natsuhi,"""Даже не хочу вспоминать... Плача, дети склонились над трупами своих родителей..."""
Ushiromiya Jessica,"""Был шанс, что они ещё могут быть живы. ......Все отчаянно трясли их."""
Shannon,"""Но ничего не помогло...{p:42:Смерти родителей были подтверждены их детьми}..."""
Kanon,"""{p:42:Мы с доктором Нанджо подтвердили, что господин Генджи мёртв}."""
Nanjo Terumasa,"""Такая страшная смерть......{p:42:Никто бы не ошибся в подтверждении смерти, даже остальные помимо меня}."""
Ushiromiya Maria,"""Похоже, {p:42:все жертвы умерли мгновенно}. ......Ки‐хи‐хи‐хи‐хи."""
Ushiromiya Krauss,"""{p:42:Осмотрев интерьер столовой, мы поняли, что все окна и двери были заперты, а значит, это закрытая комната}."""
Ushiromiya Battler,"""И {p:42:в столовой не было обнаружено ничего подозрительного}."""
Ushiromiya George,"""Разумеется, {p:42:в столовой никто не скрывался}."""
Ushiromiya Krauss,"""Естественно. Все мы сейчас здесь.{p:42:Ясно, что никто не скрывается}."""
Ushiromiya Jessica,"""Но, папа, если это так, я не понимаю... Шесть человек убиты, а столовая — закрытая комната! Как можно было убить их и выбраться?!"""
Ushiromiya Natsuhi,"""......Я бы предпочла не думать об этом, но слуги со своими универсальными ключами наиболее подозрительны."""
Ushiromiya Krauss,"""Они убили шестерых, а потом ушли и заперли дверь своими универсальными ключами. ......Логичная теория."""
Gohda Toshiro,"""И... и‐и‐и! Ка... какой абсурд!"""
,"Раз преступник не мог прятаться в столовой, имеет смысл предположить, что он запер дверь после совершения убийств и выхода из комнаты."
,"Естественно, что служащие со своими универсальными ключами попадают под подозрение."
,"И, что достаточно печально, ни у кого из слуг не было алиби."
,"Опять же, не только у служащих. У всех остальных алиби тоже отсутствовали."
Ushiromiya Battler,"""Есть способ запереть дверь извне без универсального ключа?"""
{f:5:Bernkastel},"""Нет. .........Хм‐м, недостаточно. Я скажу красной правдой."""
{f:5:Bernkastel},"{p:1:Все двери можно запереть и отпереть только универсальным ключом}. {p:1:Разумеется, из комнаты можно отпереть и запереть дверь даже без универсального ключа}."
{f:5:Lambdadelta},"""Как видите. Ещё вопросы?"""
{f:5:Beatrice},"""Разве в дополнение к универсальным ключам нет ключей от отдельных комнат?"""
{f:5:Bernkastel},"""......Как правило, они были бы. Но это только усложнило бы игру, поэтому я устранила их. Красная правда. {p:1:В этой игре мы будем считать универсальные ключи единственными существующими ключами}."""
Ushiromiya Battler,"""Иначе говоря, все замки, появляющиеся в этой игре, могут быть заперты и отперты только универсальными ключами."""
{f:5:Lambdadelta},"""Именно. И вправду простая игра."""
{f:5:Beatrice},"""В таком случае, теперь нам следует проверить, сколько всего универсальных ключей и у кого они."""
{f:5:Bernkastel},"""{p:1:Всего пять универсальных ключей. По одному у каждого из пяти слуг}. Ключи будут управляться особым образом. {p:1:Слуги всё время держат универсальные ключи при себе, поэтому их нельзя украсть или передать, и ими не может воспользоваться никто другой, кроме них}."""
Ushiromiya Battler,"""Какого чёрта. Теперь меньше похоже на ключи и больше на систему снятия отпечатков пальцев."""
{f:5:Beatrice},"""Интересная метафора. ......В общем, в мире этой игры отпереть и запереть двери могут не универсальные ключи, а сами пять слуг."""
Ushiromiya Krauss,"""Мы хотели забрать универсальный ключ Генджи, но нам не повезло."""
Ushiromiya Natsuhi,"""Во избежание проблем, {p:42:мы сломали универсальный ключ Генджи}."""
,Преступление первых сумерек.{n}Место — запертая закрытая столовая.
,"Ни у кого из слуг с универсальными ключами нет алиби.{n}Опять же, ни у кого другого алиби тоже нет......"
,"Все вернулись в гостиную, чтобы обсудить дальнейшие действия."
,"Телефоны не работали, и они не могли связаться с полицией."
,"В этот самый момент таинственный преступник где‐то скрывается, планируя нападение на следующую жертву?"
,"Или же преступник здесь с ними и мысленно высовывает язык, пробуя на вкус следующую добычу?"
,"Ни у кого нет алиби, и любой из них может быть преступником..."
,Однако чувство напряжения продлилось недолго.
,"К полудню всем надоело спорить, и они решили взять перерыв."
,"Краусс и Нацухи заявили, что хотят поговорить друг с другом наедине, и поднялись на второй этаж."
,"После этого все разошлись в разные стороны: кто‐то пошёл в ванную, кто‐то вглядывался в нескончаемый дождь."
,"Тем не менее, сколько бы времени ни проходило, только Краусс и Нацухи всё никак не возвращались."
,"Звонили и в комнату Краусса, и в комнату Нацухи, но ответа не было."
,Что‐то могло случиться.
,Все направились к комнатам Краусса и Нацухи...... и в комнате Нацухи они нашли их распластавшимися на полу.
Gohda Toshiro,"""{p:42:Комната мадам была заперта}! Всё точно так же, как со столовой!"""
Shannon,"""Получив разрешение остальных, {p:42:я отперла дверь}..."""
Kanon,"""{p:42:Господин Краусс и госпожа Нацухи лежали в комнате, распластавшись на полу}."""
Ushiromiya Battler,"""{p:42:Доктор Нанджо проверил их пульс, после чего заявил, что они оба умерли мгновенно}."""
Nanjo Terumasa,"""Верно. {p:42:Я подтвердил обе их смерти. Не может быть сомнений в том, что они умерли мгновенно}."""
Ushiromiya Jessica,"""Я обыскала всю комнату в поисках улик!.. И в итоге {p:42:поняла, что все окна и двери были заперты, а значит, это закрытая комната}."""
