Speaker,Russian (RU)
Ushiromiya Lion,"""Так ты выяснил... кто убил {f:5:Беатриче}?"""
Willard H. Wright,"""Да. Вроде бы."""
Ushiromiya Lion,"""Ты же... не про главу?"""
Willard H. Wright,"""{f:5:Бернкастель} спрашивала нас не о двух Беатриче, связанных с Кинзо, а о том, кто убил {f:5:Беатриче} 1986."""
Ushiromiya Lion,"""......Я не совсем понимаю, что значит {f:5:Беатриче} 1986. Что ещё за ведьма {f:5:Беатриче}? Мы говорили об этом только что, да ещё и эпитафия. Не пора ли тебе всё мне объяснить?"""
Willard H. Wright,"""Ладно. Водить тебя за нос всё равно бессмысленно."""
Ushiromiya Lion,"""Давай с самого начала. ......Кто такая эта ведьма {f:5:Беатриче}?"""
Willard H. Wright,"""Строго говоря, это не человек, а концепция, известная как 'Золотая ведьма Беатриче'."""
Ushiromiya Lion,"""Ты имеешь в виду сами истории о призраке?"""
Willard H. Wright,"""Если конкретнее, даже истории о призраке лишь один из элементов, составляющих концепцию."""
Ushiromiya Lion,"""Не совсем понимаю."""
Willard H. Wright,"""Истории о призраках обычно рассказывают от второго лица или от третьего. Однако кто‐то стал рассказывать их от первого."""
Ushiromiya Lion,"""Кто‐то начал называть себя {f:5:Беатриче}?.."""
Willard H. Wright,"""Легенда о злых духах Роккенджимы и история, придуманная, чтобы дети держались подальше от леса... Они смешались с постоянными криками Кинзо 'Беатриче, Беатриче' и постепенно стали легендой о ведьме. Уширомия Мария, очарованная вымышленной ведьмой, стала искать с ней встречи. И затем кто‐то {i:*исполнил её желание*}."""
Ushiromiya Lion,"""......Всё равно не понимаю, но сделаем вид, что это не так. ......Что значит исполнил её желание?"""
Willard H. Wright,"""Из‐за неудачного воспитания Уширомия Мария стала одержима оккультизмом. ......Кто‐то посочувствовал ей, притворился {f:5:Беатриче} и сыграл с ней."""
,"Мария склонна узнавать людей по их поведению, а не по внешнему виду."
,"Хотя Роза — это только один человек, Мария называет свою мать 'тёмной ведьмой', когда та становится жестокой, и в такие моменты она считает Розу другим человеком, а не своей матерью."
,"Поэтому получается, что она привыкла считать одного человека разными людьми в зависимости от их поведения."
,"Так можно легко истолковать ту сцену, где Мария впервые встретила {f:5:Беатриче}."
,"Когда взрослые выпроводили её из особняка, Мария решила выпить чай в розарии."
,В это время кто‐то с ней заговорил.
,"И потом...... услышав, как эта любящая оккультизм девочка радостно говорит о своём желании встретить ведьму {f:5:Беатриче}, ......этот человек повёл себя так, будто {f:5:Беатриче} вселилась в него."
,Внешне он не был на неё похож.
,"Тем не менее, когда у него резко изменилось поведение и манера речи, Мария приняла его за другого человека."
,Вот почему 'её' появление было таким неожиданным.
Willard H. Wright,"""Любовь Марии к ведьмам и оккультизму можно считать способом сбежать от реальности. ......Она верила, что ведьма может изменить не устраивающую её жизнь. Вот почему ей хотелось верить в ведьм. Она думала, что вера сделает её счастливой."""
Ushiromiya Lion,"""......Да, тётя Роза воспитывает Марию одна и всегда занята на работе. Мне жаль Марию, но всё же..."""
Willard H. Wright,"""Не игнорируй сердце. ......В общем, Мария верила {i:ради веры}. Она от всего сердца поверила в фокус {f:5:Беатриче}. Наверное, это сильно её утешило. ......И в тот момент родилась ведьма {f:5:Беатриче}."""
Ushiromiya Lion,"""Кто‐то увидел, что Мария хочет встретить ведьму, и решил сыграть с ней в ведьм?.."""
Willard H. Wright,"""Именно."""
,Так родилась старшая Беато.
,"Она прожила тысячу лет, была привязана к Роккенджиме и так далее."
,"История о призраке, блуждающем ночью по особняку, смешалась с легендой о злых духах Роккенджимы."
,"Как Фурудо Эрика и предположила, две страшилки слились в одну."
,Кто‐то смешал две истории и сыграл роль.
,Характеристики двух страшилок объединились. {f:5:Беатриче} по ночам правит особняком и тоже боится паутины.
Ushiromiya Lion,"""И когда {f:5:Бернкастель} спросила нас о том, кто убил {f:5:Беатриче}, она имела в виду убийство доброго человека, выдавшего себя за {f:5:Беатриче}?"""
Willard H. Wright,"""Близко, но не совсем. Не выдавшего себя. Они два разных человека. ......Так же, как её мать и тёмная ведьма разные люди, {f:5:Беатриче} и тот, кто сыграл эту роль, для Марии тоже разные."""
,Это как Меридж Сорсьер.
,"Один человек — творец, а другой признаёт эти творения, тем самым лелея иллюзию."
,"Золотая ведьма тоже была создана одним человеком, а потом взлелеяна, когда Мария признала её."
Ushiromiya Lion,"""Иначе говоря, убийство действующего персонажа не означает убийство доброго человека, сыгравшего роль?"""
Willard H. Wright,"""Даже если сосуд {f:5:Беатриче} потерян, это ещё не значит, что её убили."""
Willard H. Wright,"""......Проще понять на примере телефона. Допустим, я звоню тебе. Для меня во время звонка телефон, с которым я говорю, — это ты."""
Willard H. Wright,"""Но что если я сломаю его?"""
Ushiromiya Lion,"""......Ясно. Убив телефон, ты больше не сможешь со мной разговаривать, но это не значит, что ты убьёшь меня."""
Willard H. Wright,"""В начале Мария предложила {f:5:Беатриче} вселиться в неё. Это ясно показывает, что {f:5:Беатриче} тогда не выглядела так же, как на портрете."""
Ushiromiya Lion,"""И если тот, кто играет роль, и его персонаж‐ведьма — разные люди...... имеется в виду убийство самого персонажа. ......Такое вообще возможно?"""
Willard H. Wright,"""Персонажа может убить только актёр. Иначе говоря, {f:5:Беатриче} убил тот, кто сыграл её роль."""
Ushiromiya Lion,"""Значит, тот, кто сыграл с Марией в ведьм, и есть преступник, о котором говорит {f:5:Бернкастель}?"""
Willard H. Wright,"""Да. .........И всё же, будто этого мало для путаницы, сейчас эта часовня — мир в кошачьей коробке. Преступник — кошка, и здесь их одновременно две — одна жива, вторая мертва."""
Ushiromiya Lion,"""......Да, запутанно. Я всё ещё в растерянности, но продолжай. Говоришь, преступника два?"""
Willard H. Wright,"""Верно. ......Тот, кто может создать и убить {f:5:Беатриче}. И тот, кто не давал ей начало, но может убить всю её концепцию. Они оба здесь."""
Ushiromiya Lion,"""Тогда скажи. Кто эти два преступника, замешанные в убийстве {f:5:Беатриче}?"""
Willard H. Wright,"""Начнём... с мёртвой кошки."""
Ushiromiya Lion,"""Кто она?"""
Willard H. Wright,"""Ты."""
Ushiromiya Lion,"""Ч... ......что ?.."""
Willard H. Wright,"""До этого очень просто додуматься. Ведьмы {f:5:Беатриче} нет только в твоём мире."""
Ushiromiya Lion,"""Я не понимаю."""
Willard H. Wright,"""И Мария, и Джессика рассказали мне истории о ведьме {f:5:Беатриче}. Тем не менее, когда они говорили о ранговой системе за обеденным столом, тебя там не было."""
Ushiromiya Lion,"""Меня... там не было?.."""
Willard H. Wright,"""Мария приехала на Роккенджиму с Розой. И Роза сидела рядом с ней. Это невозможно. ......С тобой за Розой следует Лион, затем Джессика, а затем Мария."""
,"Между Розой и Марией, согласно рангу, должно быть два человека."
,"В этом случае они должны сидеть друг напротив друга, разделённые одним местом."
,"......Иными словами, в мире, где есть Лион, Мария не может сидеть рядом с Розой."
Willard H. Wright,"""То же самое было и в истории Джессики. С тобой в ранговой системе, если смотреть вдоль стола к месту Кинзо, твоё место должно быть слева, а место Джессики — справа. Затем идёт Джордж слева, и Энджи справа. ......Есть ты или нет, Джессика и Энджи будут сидеть друг рядом с другом. Но стороны стола, за которыми они сидят, меняются."""
,"В мире, где Лион есть, место Энджи слева от Джессики.{n}А если нет — место Энджи справа от Джессики."
Willard H. Wright,"""Упоминая ведьму {f:5:Беатриче} 1986, все говорят о мире, в котором тебя нет. А в твоём мире нет страшилок о ведьме. Для тебя Беатриче — это либо любовница Кинзо, либо его благодетельница, но никак не блуждающий призрак."""
Ushiromiya Lion,"""Глава очень любил {f:5:Беатриче}. Не представляю, как она могла стать историей о призраке."""
Willard H. Wright,"""Вот именно. Если ты есть, нет ведьмы {f:5:Беатриче}. Твоё существование {i:убивает {f:7:Беатриче}}."""
Ushiromiya Lion,"""Так я и есть убийца {f:5:Беатриче}?.. ......Абсурд. Как такое возможно, если я не знаю её и даже не понимаю?"""
Willard H. Wright,"""С другой стороны...... если тебя нет — рождается {f:5:Беатриче}."""
Ushiromiya Lion,"""С другой стороны? Выходит, мы с {f:5:Беатриче} — две стороны одной монеты?"""
Willard H. Wright,"""Можно сказать и так. Всё верно. Вы — монета, и {f:5:Беатриче} на другой стороне."""
Ushiromiya Lion,"""Ничего не понимаю."""
Willard H. Wright,"""Да, я не понимал, откуда ты здесь. ......Но после всего этого у меня появилось предположение. Важно то, что тебе 19."""
Ushiromiya Lion,"""......Не знаю, откуда тебе известен мой возраст, но ты прав. ......Как ты узнал?"""
Willard H. Wright,"""Джессика сказала, что когда она пошла в среднюю школу, у тебя уже была должность заместителя председателя студсовета, а на следующий год тебя сделали председателем. Получается, ты на год старше Джессики."""
,Ей 18...... и так мы выходим на 19.
Ushiromiya Lion,"""Вот как... И что же ты мог предположить, узнав, что мне 19?"""
