Speaker,Russian (RU)
,"Настоящим врагом людей, находящихся в осаде, является не страх перед незримыми врагами, но скорее страх, а хватит ли у них сил продержаться долгое время."
,"Марии стало скучно и она принялась шуметь, потому что хотела посмотреть телевизор. Поскольку в фойе телевизора не было, мы решили вернуться в комнату для кузенов и кузин на втором этаже."
,"Они, должно быть, ожидали, что мы не захотим оставить Марию одну. И взрослые сказали всем детям подняться на второй этаж в их комнату."
,"Джордж, чьё сердце было разбито потерей девушки, с которой он обручился, пошёл на второй этаж без каких‐либо возражений."
,"Нанджо поначалу читал книгу в фойе, но как только заметил желание родственников поговорить о чём‐то зловещем, то сказал: ""По‐видимому, я тут лишний"", — и удалился в свою комнату на втором этаже."
Ushiromiya Rudolf,"""............Я проголодался. Если мы просто продолжим тут сидеть, то сонливость одолеет нас ещё сильнее."""
Ushiromiya Rosa,"""Что не удивительно. Ведь мы с прошлой ночи на ногах."""
Ushiromiya Krauss,"""...Нам наверняка придётся забаррикадироваться здесь на все 24 часа. Разумнее всего будет спать по очереди, чтобы не перегрузить себя."""
Ushiromiya Natsuhi,"""Правильно. Мы с мужем побудем здесь, так что если кто чувствует, что действительно устал, то ему не следует перегружать себя и отдохнуть."""
Ushiromiya Eva,"""Наш враг может ожидать этого, не находишь? Хоть им наверняка будет проблематично одолеть такое количество людей, если наше количество бодрствующих уменьшится, они могут воспользоваться возникшим преимуществом."""
Ushiromiya Kyrie,"""Нас здесь семеро. Мы можем дежурить парами посменно. ......До завтра ещё очень долго. У нас ещё осталось немного сил, но сегодня придётся нелегко."""
Ushiromiya Hideyoshi,"""Это точно. Кого‐нибудь клонит в сон? Если да, то не перенапрягайтесь и отдохните."""
,"Хидэёши оглядел присутствующих, взглядом спрашивая, кто хочет прилечь первым, но никто не вызвался."
,"...Все действительно устали, но ни у одного не нашлось достаточно храбрости, чтобы сейчас заснуть. ......Их страх перед неизвестным преступником не уступал их сонливости."
Ushiromiya Hideyoshi,"""......Никто? Ладно, только не перестарайтесь."""
Ushiromiya Eva,"""Если устанем, то тогда и придумаем что‐нибудь. ......Я действительно устала, но не в настроении, чтобы спать."""
,"Своим резковатым тоном Ева напомнила присутствующим о втором письме {f:5:Беатриче}, найденном в котельной."
,"{f:5:Беатриче} послала им два письма, в каждом из которых призывала их разгадать загадку эпитафии."
,"И она даже провоцировала их, написав, что отдаст своё имущество и наследство, если эпитафия будет разгадана..."
,"Ева достала блокнот и открыла его на странице, куда была переписана эпитафия."
Ushiromiya Kyrie,"""............Это эпитафия?"""
Ushiromiya Eva,"""Да. ......И хотя следование словам преступника не может не раздражать, у нас, как‐никак, имеется свободное время. Полагаю, это занятие вполне сможет прогнать скуку."""
Ushiromiya Krauss,"""...Неплохой способ убить время. Почему бы нам не попробовать ответить на вызов как братьям и сёстрам?"""
Ushiromiya Kyrie,"""......Могу я позаимствовать твой блокнот? Я перепишу её более крупными буквами. Нацухи‐сан, у тебя найдётся листок бумаги чуть больших размеров?"""
Ushiromiya Natsuhi,"""Бумага должна быть в комнате для прислуги. Я принесу её."""
,"Сказав это, Нацухи ушла и тут же вернулась с чистым листом формата В4, взятым в комнате для прислуги."
,"Кирие, позаимствовав блокнот Евы, переписала эпитафию и положила листок с ней на стол."
,"Все тут же вперили свой взгляд в текст,{n}автоматически сгрудившись над ним."
Ushiromiya Hideyoshi,"""Я слышал о ней, но... И правда непростая загадка. Совершенно не имею понятия, о чём идёт речь."""
Ushiromiya Rosa,"""Когда‐то я тоже попыталась разгадать её, но аналогично не добилась никаких результатов."""
Ushiromiya Rudolf,"""Если бы ты догадалась, то не приехала бы сюда с намерением урвать денег. Всё‐таки это десять тонн золота."""
Ushiromiya Kyrie,"""............Я впервые серьёзно читаю эту эпитафию, но... Грубо говоря, нельзя ли разбить её на три части?"""
Ushiromiya Krauss,"""...Я подметил это уже вчера вечером, но голова у тебя варит неплохо, Кирие‐сан. Возможно даже, что ты с лёгкостью разгадаешь эту загадку, чего не смогли мы."""
