Speaker,Russian (RU)
Willard H. Wright,"""........."""
,"""......Эта внешность..."""
{f:5:Bernkastel},"""Возьми на время. Ненавижу идиотов. ......*хи‐хи*хи‐хи*. Можешь временно называть себя Клэр. Или ты предпочитаешь Беато?"""
Clair,"""...............Примите мою благодарность. Так мне не придётся раскрывать свою убогую внешность."""
,{f:5:Бернкастель} дала Клэр фальшивую внешность.
,"Временную внешность для лица, играющего роль {f:5:Беатриче}.{n}Подделку для обмана тех, кто ещё не раскрыл её истинный облик......"
Ushiromiya Lion,"""......Значит... эта история... обо мне в другом мире?"""
Clair,"""Лион. ......Это история о тебе в другом мире, а также моя история. ......История о мире, в котором я живу как ведьма, а не {y:0:Человек}{n:0:человек}..."""
Ushiromiya Lion,""".........Я могу представить сценарии своей жизни 'а что если'. ......Ho... история, которую ты рассказываешь...... превзошла все мои ожидания..."""
Willard H. Wright,"""И всё‐таки...... это твоя жизнь в другом мире."""
Ushiromiya Lion,"""Но всё же! Такое непросто принять."""
,Лион вдруг вскрикивает и опускает взгляд.{n}Лион уже знает.
,Из‐за фрагментов {f:5:Бернкастель} Лион знает.
,В этом другом мире тот же человек живёт как Золотая ведьма {f:5:Беатриче}.
,И в том мире...... в конце концов......... в день семейного собрания в октябре 1986 года......она возглавит совершение страшного преступления.
Ushiromiya Lion,"""......Даже если это другой мир...... вы говорите, что вся моя семья и все слуги будут втянуты в страшное преступление, где я тайный лидер! Как мне смириться с этим?!"""
Willard H. Wright,""".........Замолчи, выслушай и пойми."""
Ushiromiya Lion,"""В другой жизни я слуга! И, будто этого мало, я неожиданно становлюсь ведьмой! А потом я в конце концов совершаю ужасающие убийства!.. Как это можно понять?!"""
Clair,"""............"""
Willard H. Wright,"""Да, понимаю. ......Не каждый может понять. ......Она думала, что никто никогда не поймёт. Именно поэтому ты здесь. ......Именно поэтому {f:5:Бернкастель} свела вас двоих — тех, кто никогда не должен был встретиться."""
{f:5:Bernkastel},""".........Не скажу, что у меня есть важная причина. Просто каприз."""
Willard H. Wright,"""Лион, этот мотив не понять никому другому, поэтому тебе нужно стать тем человеком, который поймёт. Не я главный персонаж этой истории, а ты. ......Я здесь просто чтобы помочь тебе понять."""
Ushiromiya Lion,"""Ты сказал, что понял мотив преступника."""
Willard H. Wright,"""......Да."""
Ushiromiya Lion,"""Этот мотив...... удовлетворительное объяснение тому, почему я убиваю всю свою семью?!"""
Willard H. Wright,"""Кто знает. Тебе решать. Даже если я скажу, что да, тебя это может не устроить. ......Тебе нужно решить самостоятельно."""
Ushiromiya Lion,"""Я ничего не понимаю!.. Мне открылись игровые доски — преступления, которые якобы совершила {f:5:Беатриче}. А теперь я слышу, как 'я' из другого мира говорит о другой жизни, не похожей на мою. Но всё это не соответствует преступлению! Я не понимаю!"""
Clair,""".........На данный момент в истории...... даже мне... и сниться не могло то, что я в конечном итоге совершу такие страшные преступления. По правде говоря, даже если бы и снилось...... тогда я была не в силах совершить их."""
Willard H. Wright,"""Возможно. ......Твоя беда пришла... когда ты разгадала загадку эпитафии."""
