Speaker,Russian (RU)
,Когда‐то в этой курилке собирались поболтать только Беато и её коллеги‐ведьмы.
,"Теперь, однако, там присутствовало необычайно много людей."
{f:5:Lambdadelta},"""Эхе‐хе‐хе‐хех. Интересно, какую игру Баттлер нам покажет."""
{f:5:Bernkastel},"""......Любая сойдёт... пока она достаточно забавна, чтобы прогонять мою скуку."""
Furudo Erika,"""Положитесь на меня, госпожа! Я выложусь на полную и принесу вам желаемые результаты!"""
{f:5:Bernkastel},"""Да, постарайся уж. ......Я всю прошлую игру по твоей милости корчила странные лица... Наверное, у меня даже начинают появляться морщины."""
Furudo Erika,"""Н‐не стоит беспокоиться. Красота лица моей госпожи не имеет себе равных, каким бы морщинистым оно ни стало."""
{f:5:Bernkastel},"""...............!!!"""
{f:5:Lambdadelta},"""Эхе‐хе‐хех! Редко видишь Берн в таком хорошем настроении. Игровая доска Беато и впрямь нечто."""
Dlanor,"""......Грустно, что её хозяйки больше нет с {f:5:нами}."""
{f:5:Lambdadelta},"""Тигр умирает и сбрасывает шкуру. Беато умерла и оставила свою игру."""
{f:5:Bernkastel},"""Хотя шахматы по‐прежнему существуют, никто не знает имени того, кто их изобрёл."""
{f:5:Lambdadelta},"""О, а ты права! Кья‐ха‐ха, бедные создатели игр!"""
Furudo Erika,"""Кстати, Баттлер заставляет нас ждать. Он ещё организовывает шестую игру?"""
Dlanor,"""......Гертруда. Каков {f:5:прогресс} подготовки лорда {f:5:Баттлера}?"""
Gertrude,"""Уважаемые присутствующие, я смиренно прошу слова. ......Знайте, что он скоро закончит."""
Furudo Erika,"""Он нас так задерживает — стало быть, уверен в своём плане. ......Так унизить меня тогда перед госпожой... Я любой ценой одержу над ним победу!.. Особенно ты! Смотри не напортачь, как в прошлый раз!.."""
Cornelia,"""......Сделаю всё возможное."""
,"Предыдущий Владелец игры — {f:5:Лямбдадельта} — подтвердила, что Баттлер всё понял об игре Беато."
,"Однако, чтобы доказать это, ему нужно самому запустить игру и провести её до конца."
,"Иначе говоря, если Эрика сможет сокрушить игру Баттлера, она, по сути, смоет позор после прошлой игры."
,"Эрика не могла дождаться начала, но Баттлеру требовалось время, чтобы проявить себя."
,В этот момент рой появившихся золотых бабочек принял человеческий облик.
,"По знакомому платью все сразу же поняли, кто это."
Furudo Erika,"""О, надо же, {f:5:Беатриче}. А я думала, что вы умерли и исчезли."""
{f:5:Bernkastel},"""......Умерла игрок Беато. Это просто фигура, фигура Баттлера."""
Dlanor,"""Даже если она фигура, это всё равно {f:5:она}."""
,"Появившись, {f:5:Беатриче} сделала изящный реверанс."
,"Это скромное появление так отличалось от её привычного пронзительного смеха, что долгожданный запуск шестой игры стал ещё более зловещим, чем мог бы быть..."
{f:5:Beatrice},"""Отец скоро придёт. Прошу, подождите ещё немного......"""
{f:5:Lambdadelta},"""...............Aхa. Что? Отец? Какая‐то новая схема?"""
,"Беато не только говорила необычайно вежливо, но и употребила слово 'отец', вероятно, имея в виду Баттлера."
,"Мгновение все были молча поражены, но быстро поняли, что это какая‐то схема, и ухмыльнулись."
,"Беато не из тех, кто может долго вести себя подобным образом."
,Она наверняка через несколько секунд сломается и снова начнёт грубо смеяться и гоготать.
,"Эрика, рвавшаяся в бой, почти сразу же накинулась на неё."
Furudo Erika,"""Поверить не могу, что некомпетентный Баттлер понял правду вашей игры."""
{f:5:Beatrice},"""......Уверена, отец достаточно глубоко её понимает. Он очень хорош в таких вещах."""
Furudo Erika,"""............ Но всё‐таки, как же вам повезло. Вы бы не возродились, не стань Баттлер Владельцем игры. Хотя, может, стоит сказать, что вам как раз‐таки не повезло."""
{f:5:Beatrice},"""......Не повезло?"""
Furudo Erika,"""Ну, я ведь заставлю вас в полном объёме расплатиться за тот раз. Вы не более чем заблуждение Баттлера, поэтому я окончательно вас сотру и сброшу в бездну забвения."""
{f:5:Beatrice},"""Я тоже не могу так легко отдать вам победу. ......Я, э‐э, надеюсь на хорошее, гладкое сражение."""
Furudo Erika,"""............???"""
,"К этому времени все поняли, что что‐то не так."
,"Нет сомнений — лицо, платье и волосы {f:5:Беатриче}."
,......Но...... её выражение было другим.
,"Хотя у неё было лицо Беато, Беато бы никогда никому не показала подобное выражение."
{f:5:Bernkastel},"""............"""
{f:5:Lambdadelta},"""......Ты... кто такая?"""
,Повисло тяжёлое молчание.
,......{f:5:Лямбдадельта} высказалась за всех.
,"Сначала у Беато было улыбающееся, но всё же пустое выражение. ......Однако поняв, что атмосфера вдруг похолодела, она наконец помрачнела и опустила голову."
Furudo Erika,"""Кто...... ты?"""
Dlanor,"""......Вы вроде как леди {f:5:Беатриче}...... но {f:5:правда} ли это так?.."""
,"Даже Дланор была вынуждена спросить, несмотря на всю грубость вопроса."
,"Вот как сильно... эта женщина, которая выглядела как Беато, не была... на неё похожа."
{f:5:Beatrice},"""......Я чем‐то отличаюсь...... от той {f:5:Беатриче}, которую все ожидали увидеть?"""
{f:5:Lambdadelta},"""О чём...... ты говоришь?"""
Furudo Erika,"""Подождите, она что, потеряла память?.."""
{f:5:Beatrice},"""Я... я родилась совсем недавно, поэтому у меня и вовсе нет воспоминаний. ......Н‐но... я буду стараться... стать той {f:5:Беатриче}, которую все вы ожидали‐"""
Ushiromiya Battler,"{a:c:""Беато. ......Я же сказал тебе оставаться в своей комнате.""}"
,Из ниоткуда донёсся голос Баттлера.
,"......Он говорил немного холодно.{n}Беато выглядела как маленькая девочка, которую отругали."
,Из вихря золотых бабочек...... появился Баттлер.
,"У него был достойный внешний вид, какой и должен быть у правителя этой игры."
,"......Но выражение выглядело мрачным, ...а взгляд был направлен на Беато."
Ushiromiya Battler,"""......Возвращайся в свою комнату. Ты не должна здесь находиться."""
{f:5:Beatrice},"""Я... я просто хотела помочь вам чем могла, отец......"""
Ushiromiya Battler,"""Возвращайся. В свою комнату."""
,"Он говорил и тихо, и решительно. Баттлер не оставил места спорам."
,"Беато опустила голову и сделала реверанс, готовясь покинуть комнату..."
Ushiromiya Battler,"""И ещё."""
{f:5:Beatrice},"""Д‐да, что, отец?"""
Ushiromiya Battler,"""......Меня зовут Баттлер. ...Никогда больше не называй меня по‐другому."""
{f:5:Beatrice},"""...Хо... .........хорошо."""
,Беато растворилась в вихре бабочек и исчезла.
,Так началась история с Баттлером в роли Владельца игры.
,"Ведьмы ожидали, что он появится с роскошными, крупными разработками, и остались в недоумении."
,......У них до сих пор были раскрыты рты.
{f:5:Bernkastel},"""......Странный план."""
Ushiromiya Battler,"""Извини. ......Забудьте всё, что сейчас видели."""
Furudo Erika,"""Хмф, хотите нас этим одурачить? Интригуете, чтобы мы не так поняли... Очередная стратегия Северного ветра и солнца?"""
Dlanor,"""......Что‐то {f:5:не так}?"""
Ushiromiya Battler,"""Не беспокойся. К вам это никак не относится."""
{f:5:Lambdadelta},"""Да? Тогда неважно. Что ж, Баттлер! Сейчас же начинай новую игру! Мы столько ждали, что стало совсем скучно!"""
