Speaker,Russian (RU)
,"...Хоть это и был чёрный как смоль мир, в котором ничего не было видно, я почему‐то чувствовал присутствие Беато рядом с собой."
,".....Поэтому я попытался окликнуть её.{n}...Будь то человек или ведьма, с ними можно разговаривать."
,......Так что даже в отрицающем ведьм мире у меня должно было получиться поговорить с ней...
Ushiromiya Battler,"""............Беато......"""
{f:5:Beatrice},"""......Баттлер... ...............Сделала. ......Я... сделала это."""
Ushiromiya Battler,"""Да. ......Я ничего не слышал, но смотрел на тебя до самого конца... Я ясно видел как ты... храбро противостояла этой злой ведьме..."""
{f:5:Beatrice},"""............Теперь... я больше не ведьма. ...............А значит, я безусловно... вновь стану ведьмой... ......И тогда... я стану трудиться, чтобы снова называться Золотой Ведьмой... и ещё раз... вернусь, чтобы оказаться принятой твоим противником..."""
Ushiromiya Battler,"""Нет. .........Ты... была ведьмой."""
{f:5:Beatrice},"""............Что?.."""
Ushiromiya Battler,"""...Я... увидел. .........Когда ты противостояла злой ведьме, и разоблачила её той удивительной магией, явив её настоящую форму, я увидел это своими собственными глазами..."""
{f:5:Beatrice},"""Эт...это была не магия, а красная..."""
Ushiromiya Battler,"""Нет, это была магия. .........Ты точно... Золотая Ведьма. .........Ты даже отрицала саму себя. .........Я признаю это. ............'Ты действительно... Золотая Ведьма'."""
,......Когда Баттлер произнёс эти слова...
,"В мире, погружённом во тьму, внезапно возникла единственная песчинка."
,"...Миниатюрная крупица золота, похожая на пшеничное зёрнышко, ярко сияла.{n}И пусть даже она была маленькой, она сверкала сильным золотым блеском."
,"А затем она осветила их обоих, сидевших спиной друг к другу..."
,И пара стала осознавать собственное бытие.
,...Они существовали не только как сознание.
,"......Они осознали, что у них есть тела, и они действительно существуют."
,"...Нет, возможно, правильнее было бы сказать, что они начали существовать в виде тел."
,"Когда Баттлер взглянул на себя, он не выглядел удивлённым."
,"...Но когда Беато увидела собственное воплощение, она выглядела слегка ошарашенной."
,"......С точки зрения Баттлера она выглядела, как и обычно, ......но на краткий момент она удивилась этой форме..."
{f:5:Beatrice},""".........Что... происходит?...."""
Ushiromiya Battler,"""Искры из этой крупицы света... постепенно становятся ярче..."""
,"Это ржаное зёрнышко было уже не просто ярко‐золотым, но стало светить подобно солнцу."
,Затем оно стало мягко... подплывать к груди Беато.
,И когда это солнечное зерно... засосало внутрь её груди...
,"......Мир окутало глубокое голубое небо, а под ними раскинулся глубокий синий океан..."
,"Всплыл остров, который тут же покрыли целые леса деревьев, стены окружили нас и потолок поглотил нас."
,"Мир стали наполнять множество вещей, и он начал принимать облик зала в особняке Уширомия."
,"В центре фантастического зала, где рой бабочек махали своими золотыми крыльями, стояло множество столов, накрытых белыми скатертями, словно на праздник, и уставлены прекрасными кушаньями и фруктами."
,...И прямо там... находилось много разных фигур.{n}И все они разговаривали и улыбались.
Ushiromiya Battler,"""Вы все..."""
,"Здесь были отец и Кирие‐сан, дядя Краусс, тётя Нацухи и тётя Роза и, разумеется, даже тётя Ева и дядя Хидэёши."
,"......Джордж‐аники, Джессика, Мария...стоп, стоп, даже Шаннон‐чан, Канон‐кун, Года‐сан и Кумасава‐сан были здесь."
,"Все, все были в сборе, хлопали в ладоши и праздновали наше возвращение..."
Ushiromiya Battler,"""К...как?.. Ведь они все были мертвы!.. Почему тогда они живы?!"""
{f:5:Virgilia},"""......В Золотой Земле души всех мёртвых воскресают. ......С возвращением, {f:5:Беатриче}. И тебя с возвращением, Баттлер‐кун. Добро пожаловать в Золотую Землю."""
{f:5:Beatrice},"""............У меня... получилось? ...Я создала дверь В Золотую Землю?"""
Ronove,"""Да. ......Миледи, вам, наконец, удалось пригласить всех в Золотую Землю. Добро пожаловать в Золотую Землю, Баттлер‐сама."""
Ushiromiya Kinzo,"""Баттлер. .........Итак, тебе, наконец, удалось добраться досюда."""
Ushiromiya Battler,"""Д‐дедушка... .........Куда я... угодил..."""
Ushiromiya Kinzo,"""Моей... крови, несовместимой с магией, течёт в твоих жилах больше, чем у остальных. ...Именно поэтому ты оказался единственным, у кого не было возможности достигнуть Золотой Земли, и {f:5:Беатриче} искала тебя всё это время. ...Она испробовала всё, чтобы доставить тебя сюда."""
Ushiromiya Battler,"""............Что ты сказал?...."""
Nanjo Terumasa,"""Ну вот мы все и собрались."""
Gohda Toshiro,"""Баттлер‐сама, прошу вас садиться за стол. Сегодняшний ужин — моя самая совершенная работа. Пожалуйста, соблаговолите отведать его."""
Beelzebub,"""Тебе впору ощущать себя польщённым! Обычно я съедаю всё подчистую, но в качестве благодарности оставила тебе немного!"""
Ushiromiya Battler,"""......Кинжальные сёстры..."""
Lucifer,"""В Золотой Земле все мыслящие существа равны между собой. ......Здесь, в этом месте, нет различий между мебелью, {y:0:Люд}{n:0:люд}ьми и ведьмами."""
Shannon,"""...Баттлер‐сама. Мы ждали вас. И добро пожаловать в Золотую Землю..."""
Ushiromiya Battler,"""Шаннон‐чан... Джордж‐аники!.."""
Ushiromiya George,"""......Я всё ещё подозреваю, что это может оказаться лишь сном... Мы ведь должны были умереть. ......Но... я жив. И все, все здесь... и счастливы. ...Я не могу в это поверить."""
Ushiromiya Eva,"""Точно, это место и есть мир мечты‐ы! Это и есть та мечта, в которой Джордж настолько дружен с девочкой служанкой! Ува‐а‐а‐а‐а‐а!"""
Ushiromiya Hideyoshi,"""Может, не будем ему мешать, Ева? Покамест, давай‐ка лучше промолчим и молча благословим молодую пару. Золотая Земля — это город радости. Нам никогда не следует здесь ссориться!.."""
Mammon,"""Здесь любой человек может свободно любить другого. ...Пусть никто в этом не сомневается."""
Asmodeus,"""Джессика‐чан, Канон‐кун, как здорово! Как же мне завид‐но!"""
Ushiromiya Jessica,"""......Э‐эй, Баттлер... Мне немного того, м‐м‐м, ва‐ха‐ха‐ха‐ха..."""
Kanon,"""Баттлер‐сама, добро пожаловать. И с возвращением домой..."""
,"Джессика, вероятно, была смущена, поскольку она держалась с Канон‐куном за руки."
,"А Канон‐кун попытался соответствовать образу слуги и поклониться, но поскольку никто из них не отпустил друг друга, ему не удалось сделать это соответствующим образом, из‐за чего его потуги выглядели довольно комично."
Ushiromiya Natsuhi,"""Ты с юношей из прислуги?!!.. Ты не можешь, наша Джессика не может пойти на такое!.."""
Ushiromiya Krauss,"""Это ведь не проблема, согласна? Пусть она хотя бы выберет того человека, которого она любит."""
Ushiromiya Natsuhi,"""Она не должна, она не должна, а‐а‐а‐а‐а‐а‐а‐а‐а‐аххх, Джессика‐а‐а‐а‐а‐а‐а‐а‐а!"""
Ushiromiya Eva,"""Тебе тоже нельзя‐а‐а‐а‐а, Джо‐о‐о‐о‐о‐о‐о‐о‐ордж!"""
,"...Обняв друг друга, Тётя Нацухи и тётя Ева, проливали слёзы сожаления о своих милых детях."
,......Хотя они и всегда конфликтовали друг с другом. ...Это была довольно невероятная сцена.
Ushiromiya Rosa,"""......Это ведь и правда не проблема, верно? Какая разница, кто кого любит."""
Ushiromiya Kyrie,"""Это точно. Это доказывает, что родители способны отпустить своих детей."""
Ushiromiya Rudolf,"""Баттле‐ер, какую бы женщину ты ни привёл домой, я устрою ей тё‐ёплый приём, договорились?"""
Ushiromiya Kyrie,"""Не вздумай знакомить её с ним, ладно? Он её немедленно присвоит себе. И с ней сбежит."""
Ushiromiya Maria,"""............Баттлер. Ты, наконец, пришёл сюда. Ки‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи."""
Ushiromiya Battler,"""Мария... .........С самого начала... Ты ведь знала, что мы попадём сюда?.."""
Ushiromiya Maria,"""У‐у! Поэтому Мария совсем и не боялась. Все так боялись и тряслись. Было так забавно!"""
Ushiromiya Battler,"""......Ёпрст. ...Хоть я и думал, что ты больше всех не дружишь с головой, ты на деле с самого начала знала всю правду."""
Chiester45,"""К‐как грубо!.. Я ни за что не прощу тебя за подобные слова о Леди {i:Марии}!"""
Chiester410,"""Формирование Кривой Выстрела, Подготовка Атаки Завершена. Леди {i:Мария}, мы можем атаковать в любой момент. Нихи!"""
Ushiromiya Maria,"""Ки‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи!.. Ай!"""
Ronoue Genji,"""...Молчите. Вы находитесь в присутствии {f:5:Беатриче}‐сама."""
Ronove,"""Ничего страшного, не будь так холоден. Позволь заметить, что сейчас все по‐своему дурачатся и развлекаются вместе. Что важнее, почему бы нам уже не подготовить тост?"""
Kumasawa Chiyo,"""Разумеется, готовка моей восхитительной скумбрии уже закончилась. Я могу подать её в любое время."""
Satan,"""Эй!!! Вы все! Работайте в поте лица как полагается мебели!!!"""
Leviathan,"""Не‐е‐е‐е‐ет!!! Я ещё хочу есть! У‐уа‐а‐а!"""
Belphegor,"""Давайте, живей за работу. Не заставляйте гостей ждать. Работайте как следует и заботьтесь о них. Не утруждайте гостей ничем. Дайте им лениться, пусть они ленятся, откармливайте их как свиней. Ах‐ха‐ха‐ха!"""
{f:5:Virgilia},"""......{f:5:Беатриче}. Баттлер‐кун. Подойдите сюда."""
,"Дедушка и {f:5:Вергилия} стояли на лестничной площадке, на самом верху лестницы, и звали нас."
,"Когда я и Беато повернули головы посмотреть, в чём дело, мы вместе поднялись по лестнице."
,Из зала это место как очень высокая сцена.
,"Там стоял небольшой столик, на котором лежали кусок пергамента и старомодное гусиное перо."
,"Я увидел странные магические знаки, сбоку от которых были написаны японские иероглифы.{n}...А под ними было написано много имён."
,"Их было 17. ......Дедушка был первым, и далее по списку следовали имена остальных."
,"Люди, прибывшие в Золотую Землю, похоже, расписывались здесь один за другим."
Ushiromiya Kinzo,"""Баттлер. Теперь, когда ты здесь, все, наконец, в сборе. Слушай внимательно."""
{f:5:Virgilia},"""Золотая Земля не является миром, поддерживающимся одной лишь магией. Требуется ещё сотрудничество и согласие всех людей, что получают здесь счастье. Ради общего блага от нас требуется собрать подписи всех присутствующих здесь."""
Ushiromiya Kinzo,"""В прошлый раз дверь в Золотую Землю была, наконец, открыта, но ты отказался ставить подпись. ......Хотя ты, наверное, уже и не помнишь. Из‐за того, что ты отказался подписаться, этот мир снова оказался запечатан во тьме."""
Ushiromiya Battler,"""......Слушая подобное изложение... складывается впечатление, словно я единственный настолько упёртый, и что я в разной степени успел доставить всем хлопот..."""
{f:5:Beatrice},"""Это из‐за того, что твоё упрямство искреннее. Похоже, ты унаследовал гораздо больше, чем просто кровь Кинзо."""
,"Беато дружески рассмеялась. Мне впору было почувствовать, что она посмеивается надо мной, но не задумываясь, я рассмеялся и заулыбался следом за ней."
{f:5:Beatrice},"""Магия — это чудо. ......Чудеса не воплощаются, пока в них не поверят все. ......И когда ты в итоге поверил, это чудо... Золотая Земля наконец‐то обрела целостность."""
Ushiromiya Battler,"""...............Похоже, я оказался настоящей занозой. ...В общем, что от меня требуется?.."""
{f:5:Virgilia},"""Сперва распишись здесь. Затем, {f:5:Беатриче}, распишись здесь."""
Ushiromiya Battler,"""......Пером тяжело писать. ...Блин, посадил пятно."""
{f:5:Beatrice},"""Растяпа. Сажать пятна — плохая примета. Ты даже не можешь своё имя быстро написать? Скрючился как червяк. *смешок*смешок*смешок*смешок*смешок*!.."""
Ushiromiya Battler,"""Кто бы говорил! Не записывай его {c:86ef9c:{ruby:катаканой:прописными}}! {f:5:Беатриче} — имя со стилем, поэтому записывай прописью! А то твое имя и перо рыдать начнут!"""
{f:5:Beatrice},"""По‐помолчи, разве в школе не говорят не пользоваться курсивом на контрольных?"""
Ushiromiya Kinzo,"""Это торжественный ритуал. Угомонитесь."""
{f:5:Virgilia},"""Очень хорошо. Мы собрали две подписи, включая бланк договора. ......Вы двое, ваши клятвы пожалуйста. Мы начнём с {f:5:Беатриче}. Положи руку на договор и присягни."""
{f:5:Virgilia},"""......‘Как добрая ведьма, {f:5:Беатриче} клянется продолжать своё обучение и отныне приносить людям счастье’. ...Скажи это."""
{f:5:Beatrice},"""......Х...хм‐м... ......М‐мне немного неловко."""
{f:5:Beatrice},"""......Я, {f:5:Б‐Беатриче}, как добрая ведьма, клянусь продолжать своё обучение и отныне приносить людям счастье. ......Так пойдёт?"""
Ushiromiya Kinzo,"""Годится. Баттлер следующий."""
{f:5:Virgilia},"""Аналогично, Баттлер‐кун. Положи руку на договор и присягни. ......'Как член Золотой Земли, Баттлер клянется служить на своё благо и благо своих близких'."""
Ushiromiya Battler,"""Ах... как член Золотой Земли, Баттлер клянётся служить на своё благо и благо своих близких. ......Как же меня это смущает..."""
Ushiromiya Kinzo,"""Слушайте все! Здесь сейчас мы собрали подписи всех восемнадцати людей, принявших Золотую Землю!"""
,"Когда Кинзо объявил это, все тут же зааплодировали, поздравляя нас."
,"......Поскольку я здесь единственный был самым большим упрямцем, доставившим столько боли, мне стало немного не по себе, что я больше всего являюсь виновником торжества."
{f:5:Virgilia},"""И, помимо этого, следуя древней традиции, мы просим Баттлера‐куна, последним принести обет, подписав приглашение в Золотую Землю. ......Это и есть приглашение Золотой Ведьмы, {f:5:Беатриче}, в Золотую Землю. Золотая Земля примет Золотую Ведьму через согласие тех, кто признал её, и всё будет готово."""
Ushiromiya Kinzo,"""Баттлер, я буду зачитывать вслух. Слушай внимательно. ............'18 из нас признают {f:5:Беатриче} Золотой Ведьмой и приветствуют её в Золотой Земле'."""
Ushiromiya Battler,"""Что с вами такое? Вы не могли пригласить её, пока я не приглашу?"""
{f:5:Beatrice},"""Таков, видать, ритуал. Мне не по себе. Почему бы нам побыстрее не закончить с этим? Я за всё это время успела основательно проголодаться."""
Ushiromiya Battler,"""......Если вспомнить, я перекусывал одними лишь консервами и так и не попробовал ничего стоящего. Давайте быстрее закончим с этой подписью."""
Ushiromiya Battler,"""Что там? 'Я признаю тебя ведьмой'. .........Чего? Это совсем не сложно. Чёртов дедушка, ты слишком сильно загнул."""
{f:5:Beatrice},"""Ну же, ну же, быстрее."""
{f:5:Virgilia},"""""Расписывайся, прямо здесь."""
Ushiromiya Battler,"""............Ась?.."""
{f:5:Beatrice},"""Быстрее."""
{f:5:Virgilia},"""Расписывайся."""
,"......С немного странными и настораживающими улыбками, эти двое стали требовать, чтобы я расписался..."
,"И в этот момент невероятный звук, напоминающий звук разбитого стекла, разнёсся по всему залу, и оживлённый шум резко обернулся полной тишиной."
,"Я бросил перо и обернулся, пытаясь разглядеть, что же случилось."
,Когда я сделал это... Откуда она здесь взялась?
,"...Человек, которого определённо совсем недавно там не было, стоял в самом центре зала... Глядя на нас."
,Кто это?.. ......Девушка?{n}На вид она была ровесницей нам с Джессикой.
,......Но я не знал её лица.{n}Никто из присутствующих здесь не знал её лица.
