Speaker,Russian (RU)
,"......В комнате было очень темно, прямо хоть глаз выколи."
,"В ней не было окон, а света от лампочки на потолке едва хватало, чтобы разглядеть окружающую обстановку."
,"По виду комната напоминала помещение заброшенного подземного склада, куда в спешке накидали какую‐то пыльную мебель..."
,"Однако и при столь скромном освещении можно было хотя бы сделать вывод, что это всё‐таки не склад."
,......Поскольку выход из комнаты преграждала стальная решётка.
Ushiromiya Kyrie,"""......Где мы?"""
Ushiromiya Krauss,"""Не знаю... ......Может, место где‐то под особняком? Неужели такая комната... находилась прямо под обеденным залом?"""
,"Их сбросили в нечто, напоминающее яму, и они {i:свалились}... в эту комнату."
,"Поэтому было разумно предположить, что данная комната находилась прямо под обеденным залом."
,"......Однако даже Краусс не мог заставить себя поверить, что под любимым обеденным залом, в котором он годами наслаждался пищей, были установлены ямы, ведущие прямо в эту напоминающую тюремную камеру подземную комнату."
,"Тем не менее, над головами у них находился грубо выполненный каменный потолок, и в этих самых головах не укладывалось, как они могли упасть сюда оттуда сверху."
,"Нет, все пятеро сброшенные сюда подумали одно и то же."
,"Хотя у них возникло ощущение, будто они падали в глубокую яму, в обеденном зале никак не могло быть ни ям, ни этой подземной камеры прямо под ним."
,"......И однако же все они свалились в это место, где и оказались заперты.{n}......Итак, они были сбиты с толку."
Nanjo Terumasa,"""......Повезло ещё, что никто не ушибся после падения с такой высоты..."""
Ushiromiya Krauss,"""........Шаннон, Канон. Вы знали об этой комнате?"""
Kanon,"""......Нет. Не знали, как и вы."""
Ushiromiya Kyrie,"""..................Правда?"""
Shannon,"""П‐правда... Мы действительно... не знали о такой комнате..."""
,"Несмотря на их возраст, Кирие, судя по всему, не находила странной вероятность, что будучи слугами, получившими дозволение носить Однокрылого орла, Шаннон с Каноном вполне могли знать о секретных механизмах особняка."
,"Последовала долгая тишина, в течение которой Краусс взвешивал их ответ..."
Ushiromiya Krauss,"""......Нет, они наверняка не врут, что не знали. Ведь тут мы имеем дело с чистюлей Шаннон."""
Ushiromiya Krauss,"""Знай она о таком месте, то прибиралась бы тут до тех пор, пока это место на засверкало. Ужасное состояние этой комнаты — доказательство, что вы двое о ней не знали. ......И вообще, нам сейчас впору задуматься, что делать дальше."""
Nanjo Terumasa,"""В‐вот именно... Нам нужно вызвать полицию... Или перво‐наперво как можно скорее оказать первую помощь..."""
,Слова Нанджо были пусты.
,...Причём со всей очевидностью.
,В обеденном зале оказались убиты шесть человек.{n}Все стали свидетелями конкретного момента их убийства.
,"К тому же, поскольку у них уничтожили половину головы, то даже дураку становилось ясно, что шестёрка погибла мгновенно."
,"Все поняли, что в первой помощи больше не было никакого смысла..."
Ushiromiya Kyrie,"""Спасибо, доктор Нанджо. ......Мы уже отдаём себе отчёт в смерти наших супругов. .........Благодарим вас за попытку утешить нас, упомянув первую помощь."""
Ushiromiya Krauss,""".........Нацухи......................................."""
,И вновь ими овладела угрюмая тишина.
,"Но в конце концов, Краусс резко покачал головой, решив на время отодвинуть в сторону боль от потери любимой им жены и сосредоточиться на выяснении того, где они находятся."
Ushiromiya Krauss,"""Так, все, послушайте меня. ...............Отец... теперь безнадёжен. Спрашивать его о причине или требовать объяснения больше не имеет смысла."""
,Никто не ответил.
,"......Без всяких переговоров или пощады, шестеро людей были убиты в один момент."
,"Кинзо же, в свою очередь, оказался достаточно нахален, чтобы заявить, будто они станут жертвами для ритуала, включающего 13 убийств."
,"......А поскольку мы оказались заточены в таком месте, мы тоже, как пить дать, очень скоро станем жертвами следующего ритуала."
,К тому времени наши глаза привыкли к темноте... И мы стали потихоньку различать обстановку нашей темницы.
,"......Тем, что мы приняли за брошенную в спешке мебель, оказалось вовсе не мебелью."
,"Это были... приспособления вроде маленьких клеток, в которые запирали людей, удержатели... Или даже пыточные скамьи."
,.....Сея тюремная камера оказалась даже пострашнее обычной.
,"Поскольку приспособления эти были покрыты ржавчиной на пару с толстым слоем пыли, становилось очевидно, что их давно как забросили здесь."
,"......Наверное, их даже можно было назвать запечатанным и забытым безумием Кинзо."
,И однако же нас заточили в этой комнате.
,"......А данные предметы явно не способствовали душевному комфорту людей, запертых, но лелеющих надежду, что их отпустят без причинения вреда..."
Ushiromiya Krauss,"""......В общем, давайте выбираться отсюда. Мы потеряли наших возлюбленных и друзей, и нам бы хотелось потратить немного времени на то, чтобы поплакать, однако... Я очень переживаю за детей."""
Shannon,""".........Я... я тоже гадаю, в порядке ли дети..."""
Ushiromiya Krauss,"""Нам остаётся только молиться... ......Кстати говоря, Кумасава с Годой не с нами."""
Shannon,"""Должно быть, им всё‐таки удалось сбежать..."""
Nanjo Terumasa,"""Кто знает. По крайней мере, на душе будет легче, если им удалось добраться до детей..."""
Shannon,"""Когда прижмёт, Года‐сан — надёжный человек, а Кумасава‐сан — знающая и рассудительная... Уверена, они помогут детям..."""
Ushiromiya Krauss,"""......Ха‐ха‐ха. Что ж, хорошо."""
,"Шаннон и Краусс слегка и горько улыбнулись. Но затем быстро осознали, что ведут себя неподобающе моменту, и прекратили, прочищая горло."
Kanon,""".........Нам не следует быть столь оптимистичными, нее‐сан. Вполне вероятно, что на них могли напасть сразу после нас."""
Ushiromiya Kyrie,"""Согласна. Тем, что отец устроил в обеденном зале, было... шесть убийств в первые сумерки по эпитафии ведьмы, верно? А на вторые сумерки 'оставшиеся пару разлучат, в которой оба дороги друг другу'."""
Ushiromiya Kyrie,"""......Мы не можем отрицать вероятность того, что их убили сразу же после попытки побега. ......Нам не следует цепляться за оптимистическую надежду, что им удалось добраться до домика для гостей и встать на защиту детей."""
,Кирие холодно анализировала худший из раскладов.
,"Её сердце разрывалось от потери любимого мужа.{n}.......Но сейчас на первом месте стояла защита сына этого мужа, а вместе с ним и остальных детей от участи стать жертвами в ритуале сбрендившего главы."
,"Она смогла усмирить свою печаль родительским стремлением защитить детей от горя, которое должно обрушиться на них."
,"......В этой тяжёлой ситуации Кирие с Крауссом всё‐таки оказались достаточно сильны духом, чтобы забыть о своей печали, пусть хоть и на какое‐то время..."
,Рыдать они будут потом.
,"......Чтобы защитить детей, они должны действовать."
Ushiromiya Krauss,"""Короче, давайте выбираться отсюда... На вид камера довольно старая. Может, у нас выйдет сломать чем‐нибудь прутья? Давай‐те обыщем всё помещение в поисках способа побега."""
Ushiromiya Kyrie,"""Вокруг всех этих клеток могут обнаружиться пыточные инструменты. Они могут помочь сломать прутья или сгодятся как оружие."""
,Кирие извлекла зажигалку из своего кармана.
,"Сама она не курила, но держала при себе одну, чтобы зажигать сигареты Рудольфа."
,"......Итак, в их распоряжении оказался крайне ценный источник освещения в этом слабо озаряемом подземелье."
Ushiromiya Krauss,"""Шаннон, помоги Кирие‐сан обыскать комнату. Канон, ты поможешь мне испытать прутья. Это очень старая тюремная камера, так что может статься, какой‐нибудь из прутьев можно будет расшатать."""
Nanjo Terumasa,"""Ч‐чем я могу помочь?"""
Ushiromiya Krauss,"""Пожалуйста, берегите силы. ......Скоро наверняка заявится отец. Вы единственный, чьи слова могут достичь его. В каком‐то смысле, наши жизни вполне могут находиться в ваших руках."""
Nanjo Terumasa,"""......Мои слова... Боюсь, они больше его не вразумят. Простите, но не думаю, что могу оказаться хоть чем‐нибудь вам полезен..."""
Ushiromiya Kyrie,"""Тогда нам хотелось бы узнать ваше мнение как специалиста, доктор. .........Может ли существовать такой препарат, способный вызвать у людей моментальную потерю сознания?"""
Shannon,"""......Препарат, вызывающий моментальную потерю сознания? Что вы имеете в виду?"""
Ushiromiya Kyrie,"""Перед тем, как угодить в это подземелье, всем нам показалось, будто мы упали в яму. ......Утверждению в этом мнении тогда поспособствовала и паника, в которой мы находились."""
Ushiromiya Kyrie,"""......Но соотнеся пространство этой комнаты, я пришла к следующему выводу. Это подземелье не может находиться под обеденным залом."""
Shannon,"""Но почему нет?"""
Kanon,""".........А ты подумай как следует, нее‐сан. По сравнению с обеденным залом, это подземелье слишком узкое."""
