Speaker,Russian (RU)
,"Приближающееся утро нельзя было заметить, не открыв окно и не посмотрев на облачное небо, на котором наметился лёгкий просвет."
,"Данное утро нельзя было назвать освежающим. Всё, что можно было услышать, это звук дождя, продолжавшего лить с прошлого вечера, смешанного с завываниями ветра..."
Ushiromiya Kyrie,"""......Трудно представить, что на дворе утро. Эта ужасная погода отражает, что творится у нас на душе."""
Ushiromiya Rudolf,"""Так не является ли такая погода мягкой? Дождь из воды всегда лучше, чем дождь из копий."""
Ushiromiya Hideyoshi,"""Ва‐ха‐ха. Из воды или из копий, но он внушителен."""
Ushiromiya Hideyoshi,""".........Уже шесть? Фуа‐а‐а‐а‐а... Не хватит ли с нас пока? В конце концов, мы не можем принять какие‐либо меры, пока таинственный 19‐й человек — {f:5:Беатриче}, не начнёт действовать."""
Ushiromiya Krauss,"""Это так. ......Однако я полагаю, что мы предусмотрели все уловки, которыми она могла бы воспользоваться против нас."""
Ushiromiya Eva,"""Согласна. Пока в наших рядах не заведётся предатель, мы сможем справиться с большинством ситуаций."""
Ushiromiya Rosa,"""......Разве мы не достаточно поговорили на эту тему? Всю ночь просидели. ...Я устала."""
Ushiromiya Natsuhi,"""Ты права. Что скажете насчёт отдыха за завтраком?"""
Ushiromiya Krauss,"""...Хорошая мысль. Бодрствовать всю ночь утомительно в нашем возрасте."""
,"Потянувшись, они старались, насколько это возможно, извлечь приятное из этого столь не освежающего утра."
Ushiromiya Rudolf,"""Я схожу ополоснуть лицо. Видок у нас ещё тот."""
Ushiromiya Kyrie,"""...............? Что это за ужасная вонь?"""
,"Как только они вышли в коридор, Кирие, не таясь, состроила гримасу отвращения."
Ushiromiya Natsuhi,"""...Что случилось?"""
Ushiromiya Kyrie,"""Слушай, ты ничего дурного не чуешь?"""
Ushiromiya Hideyoshi,""".........Хм. ...Что за вонь? Она мне не нравится..."""
,"Встревоженные этим, все высунули головы в коридор.{n}...Запах был слабоват, но когда Кирие высказала своё недовольство запахом, тут уж и остальные чётко ощутили его."
,"Все вышли в коридор и, прибегнув к собственному обонянию, попытались определить источник этого странного смрада..."
Ushiromiya Natsuhi,"""Что же это всё‐таки такое? Предоставим Генджи разобраться с этим. Полагаю, он уже пришёл в комнату для прислуги, чтобы приступить к утренним приготовлениям."""
Ushiromiya Krauss,"""Хм, да, пожалуй. Сложно себе представить, что завтрак, вышедший из‐под руки Годы, станет источать такой смрад..."""
,"Поискав источник запаха, Рудольф и остальные определили, что он исходил снизу, из котельной."
,"Но дверь была закрыта, не давая им проверить, что творится за нею."
,"Затем, когда Нацухи и остальные направились найти кого‐нибудь в комнате для прислуги, то обратили внимание на какую‐то странность в гостиной."
Ushiromiya Natsuhi,"""......Что это?!"""
Ushiromiya Rosa,"""К‐какой ужасный розыгрыш... У кого рука поднялась..."""
,"На двери в гостиную, напоминающей кровь краской, был нарисован магический круг."
Ushiromiya Eva,"""На кухню ещё никто не пришёл. ......Чт‐что это?"""
,"Группа Евы, предположившей, что запах доносится из кухни, вернулась, убедившись, что на кухне нет ни души и приготовления завтрака ещё не начались."
,......И они тоже заметили необычный элемент гостиной.
Ushiromiya Rudolf,"""Бесполезно, дверь в котельную заперта. Разве нам не выйдет боком, если там что‐то сломалось? Здесь хоть какой‐то слуга поблизости наблюдается?"""
Ushiromiya Kyrie,""".........! И здесь эта вульгарная мазня? На двери в котельную она тоже была."""
Ushiromiya Hideyoshi,"""То есть как?! Этот жуткий рисунок не только здесь, но ещё и в других местах?! Ха‐ха, как думаете, это лесная ведьма {f:5:Беатриче} вышла на тропу войны, а?"""
,"Хидэёши попытался обратить происходящее в шутку, но от взгляда на этот жуткий магический круг, фоном которому служили шум ветра и дождя, в голову назойливо закрадывалась мысль, что это было послание от ведьмы."
,"...Капающая ярко‐красная краска наводила на мысли о крови, что вносило свою толику жути."
,"Хидэёши попробовал открыть дверь, но та оказалась заперта."
,"...Обычно гостиную было не принято закрывать.{n}Но кто‐то, похоже, позаботился запереть её."
Ushiromiya Rosa,"""......Что это значит? Неужели, пока мы беседовали в обеденном зале, кто‐то втихаря намалевал это художество? На дверях в гостиную и котельную?"""
Ushiromiya Eva,"""...Уверена, за этим стоят слуги. Мы всё это время были вместе. Так что у нас всех есть алиби. ......Они наверняка получили какой‐нибудь странный приказ от отца и устроили этот розыгрыш."""
Ushiromiya Rudolf,""".........Принимая во внимание вчерашнее происшествие с письмом Марии, становится очень легко заподозрить, что слуги действуют в соответствии с приказами отца и что‐то задумали. ......И вообще, куда все подевались? Не в прятки же они играют. Давайте поищем их."""
Ushiromiya Rosa,"""Первым делом, меня волнуют дети. С ними же всё в порядке, так? Я пойду и проверю, а по пути заодно посмотрю, есть ли поблизости кто‐то из слуг."""
Ushiromiya Rudolf,"""Тогда давайте разделимся. Вы направитесь в домик для гостей, чтобы проверить, как дела у ребятни, а мы пока обследуем особняк. .........Не хочется думать об этом, но эти жутковатые магические круги могут оказаться не только в местах, где мы их обнаружили."""
