Speaker,Russian (RU)
Ushiromiya Eva,"""..................хррррр..."""
Ushiromiya Hideyoshi,"""...............Уфф. ...Похоже, она наконец‐то успокоилась.."""
,"Хидэёши вытер пот со лба. ...Еве, по‐видимому, какое‐то время снился очень болезненный кошмар, но сейчас она вроде в конце концов смогла заснуть."
,"Как он и обещал, он сжал её руку. ...Ему на ум пришла мысль, что ничего страшного не случится, если он вскорости отпустит её, но продолжал добросовестно держать её."
,"Некоторое время спустя его рука уставала, и он менял правую руку на левую и наоборот, но, несмотря на это, он сдерживал своё обещание и не отпускал её руку..."
,"К тому времени уже наступило одиннадцать часов. Ева наконец‐то смогла заснуть, поэтому Хидэёши позволил себе слегка поморщиться."
Ushiromiya Rudolf,"""......Анеки, Хидэёши‐сан, прошу прощения. Роза с вами?"""
,Это был голос Рудольфа. ...Что же могло произойти?
,"Хидэёши направился к двери, скрывая шаги, чтобы не разбудить Еву."
,"......Это определённо был голос Рудольфа, но на всякий случай он открыл дверь не убирая цепочку."
Ushiromiya Hideyoshi,"""В чем дело? Что‐то случилось с Розой?"""
Ushiromiya Rudolf,"""Мы не можем найти Розу и Марию‐чан. Я подумал, что они могут быть с вами."""
Ushiromiya Hideyoshi,"""...Я слышал, как она ругает Марию‐чан в коридоре. Затем они замолчали, поэтому я подумал, что они вернулись в холл... Так как?"""
Ushiromiya Rudolf,""".........Вот дура..."""
,Рудольф цокнул языком.
,"В коридоре можно было увидеть других людей. Роза не вернулась некоторое время спустя после того, как вышла в коридор, поэтому все начали беспокоиться."
,Нацухи указала на снятую цепочку рядом с входной дверью.
Ushiromiya Natsuhi,"""..........Цепочка не установлена. Похоже, они всё‐таки пошли полюбоваться на розарий."""
Ushiromiya Krauss,"""Уйти, не оставив дверь запертой — слишком уж неосторожно. Умеет же она доставлять хлопоты."""
Ushiromiya Kyrie,"""...Что важнее, теперь я волнуюсь за самих Розу‐сан и Марию‐чан."""
Ushiromiya Rudolf,"""Согласен. ......Эй, ребятня. Где Мариина роза?!"""
Ushiromiya Jessica,"""Насколько я помню... на клумбе прямо посередине розария..."""
Ushiromiya George,"""Если они обе находятся там, мы их быстро отыщем."""
Ushiromiya Battler,"""......Папа, не стоит ли нам как можно скорее вернуть их?.."""
Ushiromiya Rudolf,"""Разумеется. Мы вернём их и отшлёпаем. Я сбегаю туда и вернусь обратно. Заприте дверь, как только я выйду."""
Ushiromiya Battler,"""...Папа, я пойду с тобой."""
